right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0019,65.7722,space,50.7459,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,65.7729,120.9829,space,25.1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,120.9834,126.1793,space,2.1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,126.253,126.6995,126.7002,126.9437,126.944,128.4338,,128.4343,129.5374,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,129.5399,130.0389,130.0391,130.2793,130.2795,131.0114,right,131.0117,132.1118,0.0,1.0,1.0,0.0,1.0,0.2,0.7186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.113,136.7904,space,1.6589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,136.8416,137.2931,,,137.5448,138.0809,left,,,,,,,,0.45,0.5282,,,,,,,137.2942,137.5447,138.0821,"[0.07181121837675733,-0.04761818556516453]",100.0,"[0.10199399433953124,-0.1563166527177413]",4.0,"[-0.17401640612378924,-0.012701331338593504]",4.0,"[0.17138927044053243,-0.01934130834854489]",100.0,"[-0.0025289159539112717,-0.05007462257248513]",4.0,"[-0.03054598556911005,-0.13683384051981856]",100.0,"[0.005468090461232575,-0.16913216730390432]",4.0,"[-0.03544797053038266,0.02438739267943521]",100.0,"[-0.06484753168298396,0.11412356388419162]",100.0,"[0.029930150213691085,-0.09350353236724714]",4.0,"[-0.16726653553437573,-0.052206087278089335]",100.0,"[0.01793958795769084,0.08719435222721106]",4.0,"[0.14127857920943673,-0.12090121639677201]",4.0,"[-0.08387090606041425,-0.12008207031789543]",4.0,"[0.1361279158534237,0.04337164956287028]",100.0,"[-0.08414518791134046,-0.06725632846379767]",4.0,"[0.08299697137094879,0.0792967497784458]",4.0,"[-0.017098154361821903,0.14640176977898697]",4.0,"[-0.06635212338627171,0.15495935217123757]",100.0,"[0.07397030496146025,0.16638890198291983]",100.0,"[0.01801763123517793,0.1805004551210876]",100.0,"[-0.1389357043635812,0.08296510709017708]",4.0,"[0.05544106683421284,0.04382719341368521]",4.0,"[0.18831657015074663,0.032775174831447464]",100.0,"[-0.13108974544235258,-0.1460523546799356]",100.0,"[-0.03405724634068566,-0.02386627105911594]",4.0,"[-0.034427835579208296,0.19018897151939057]",100.0,"[-0.0739851337604038,0.0584743356727352]",100.0,"[0.17921235632020285,-0.06184250873069667]",4.0,"[0.07239444904410265,0.12633913967778754]",4.0,"[0.0988846827073641,0.0020257758151836546]",4.0,"[0.17947421800452326,0.08652438041675638]",4.0,"[0.02,0.02]",139.1775,0.0,0.0,0.0,134.0,1.0,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,139.1784,139.6787,,,139.9281,140.3788,right,,,,,,,,0.4,0.4356,,,,,,,139.6789,139.9281,140.3789,"[-0.036710536132676753,0.19424496835696103]",100.0,"[-0.038673868851287985,-0.09178441181997272]",4.0,"[-0.17119059394306835,0.028801445738331707]",4.0,"[0.04057877452904767,-0.04156636139193368]",4.0,"[-0.05544734114467338,0.15780188586844635]",100.0,"[0.13657019926146044,-0.08414079781264827]",4.0,"[-0.17674703540208542,-0.08582780783814509]",4.0,"[0.11057464785980954,0.12633981186543214]",100.0,"[-0.058593901833949275,0.08026003930816007]",100.0,"[-0.032669741193431356,-0.01973076574086442]",100.0,"[0.010504591524853259,0.16984854434539443]",100.0,"[-0.005257407556531766,0.015334507182862687]",100.0,"[0.07678938570665379,-0.13752061734754428]",4.0,"[0.07107492829486091,0.020340600883104132]",4.0,"[-0.15299907485204117,0.08227834703353297]",4.0,"[-0.12912674492444676,-0.07467569821570876]",4.0,"[0.009492359476090938,-0.09034457461102886]",4.0,"[0.12237709126732944,-0.04616429027225568]",100.0,"[0.1598051890217344,0.042041529339071584]",4.0,"[0.08162011056437926,-0.05412359146465338]",4.0,"[-0.10286942210494572,0.15487448285859182]",4.0,"[0.06260869189029401,-0.18404211688394423]",4.0,"[-0.029664124915165666,-0.15650130195322484]",4.0,"[0.14925738759287263,0.0025951578456769805]",4.0,"[0.06557628495455071,0.16114794407863728]",100.0,"[0.14337281963514512,0.10087538216764316]",100.0,"[0.007265160202268794,-0.1920160320832604]",100.0,"[0.12211624720267351,-0.1384068954897181]",4.0,"[-0.044799952082497894,0.11870185442769815]",100.0,"[0.08927789133825742,0.07189471488365454]",100.0,"[-0.11815312248636049,-0.14526769171464843]",4.0,"[0.19924816890888222,0.008287626606013876]",4.0,"[0.02,0.02]",141.4763,0.0,1.0,1.0,168.0,1.0,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,141.4774,141.9765,,,142.2182,142.7354,left,,,,,,,,0.6,0.5001,,,,,,,141.9766,142.2182,142.7356,"[0.024526285410300833,-0.08951620637747192]",100.0,"[0.10248128879057603,0.13254769057363566]",100.0,"[0.055218727219075385,0.06413304132837157]",100.0,"[-0.1524317907123403,0.03766135525832052]",100.0,"[-0.002927212115551786,0.006144961204934241]",4.0,"[0.006233382917771164,-0.1621502631415408]",100.0,"[-0.09306794655927957,0.0815441356027926]",100.0,"[-0.07880722878423432,0.022329596544751223]",4.0,"[-0.048090174443806366,0.1122143196999183]",100.0,"[0.15119180489544906,0.09371935056303585]",100.0,"[0.09024235641144586,-0.0797709433339553]",100.0,"[0.1672233542986087,-0.020525771922912245]",100.0,"[0.12216723408710047,0.014673290365667732]",100.0,"[-0.07799443354778626,-0.04054082486181471]",4.0,"[0.035523731226600117,-0.031215504564743157]",4.0,"[0.08673898671560373,-0.00973489614847145]",100.0,"[-0.0886431826343185,0.12956642622512504]",4.0,"[0.029526742468855487,0.17725278363961575]",100.0,"[-0.0051233600347396525,0.1472242174676569]",4.0,"[-0.010810758393036484,-0.04517358857792689]",4.0,"[0.026882693574930228,0.11905123796792944]",100.0,"[-0.04837402970514863,0.16666309084702152]",100.0,"[-0.15429037544672125,0.1084039136687181]",4.0,"[-0.1368041502591718,-0.11985007770407628]",4.0,"[0.16924638105365772,-0.08304075287779843]",100.0,"[0.06867060692782072,-0.13729773540972195]",4.0,"[0.16678446589857635,0.02895934562039113]",4.0,"[-0.023937454918287304,0.05975734643703549]",4.0,"[-0.14305660611717627,-0.04494559915055492]",100.0,"[-0.18006752773810134,-0.08293060654342758]",100.0,"[-0.05517852562280401,-0.08754669611637853]",100.0,"[-0.10602225410856736,-0.16001877969085926]",4.0,"[0.02,0.02]",143.8335,0.0,2.0,2.0,47.0,1.0,,,,,,,
,,,,,,,66781db404eab5e142f849d9,684429353c5b0407a0aaead4,2025-06-07_14h01.17.429,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,143.835,144.3333,,,144.576,145.1258,right,,,,,,,,0.4,0.5378,,,,,,,144.3334,144.5759,145.1258,"[-0.15419742584747137,0.061248626616069994]",4.0,"[0.027059676058168693,-0.0968240065711168]",4.0,"[-0.04032727626120743,0.17903634608561078]",100.0,"[0.175715242215372,-0.06420053502493765]",4.0,"[-0.04594293941120209,-0.1534937316768818]",4.0,"[-0.07878993360029819,-0.09828280918512956]",4.0,"[-0.09511962775988445,0.08940685537678773]",100.0,"[-0.09334554598066325,0.1711113222657851]",100.0,"[0.10234238784838774,-0.01503420398725667]",100.0,"[-0.0488541016606885,0.02427455592917738]",4.0,"[0.10793684471184149,0.06347574226947433]",100.0,"[0.1455256295064464,0.08282753614752075]",4.0,"[-0.1316086047627102,-0.1239276475689736]",4.0,"[0.09360548529270328,-0.1732467108704613]",100.0,"[0.060689083366987154,-0.06653159760898936]",4.0,"[0.1490144306482352,-0.09952580751690138]",4.0,"[-0.08884863260344585,-0.14661696693795637]",4.0,"[-0.08915437686699208,-0.029635236154981384]",100.0,"[0.09720853788910337,-0.11714830197446224]",4.0,"[0.1710383949238733,-0.012000621241121893]",100.0,"[-0.14942300269888223,-0.005044843007183763]",4.0,"[-0.18958066985021185,0.010140386720977196]",4.0,"[-0.14695586566126953,0.12004655768952989]",100.0,"[-0.11735442078568001,-0.06469157207862684]",100.0,"[-0.024948592760544057,0.09085488882601268]",4.0,"[-0.03511331340761539,-0.08333584442548507]",4.0,"[0.06577984586030777,0.005098321766932612]",100.0,"[0.09674754734958516,0.12148441033730396]",4.0,"[0.023138435943571713,0.09406640823322841]",100.0,"[0.001736256498960966,-0.006836129638961752]",4.0,"[0.027308523008383337,-0.16018290428765286]",4.0,"[0.061056793925838126,0.07218246172717183]",100.0,"[0.02,0.02]",146.2244,0.0,3.0,3.0,164.0,1.0,,,,,,,
