right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,35.5404,space,20.5279,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,35.5408,67.4425,space,1.8862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,67.4432,73.58,space,3.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,73.5971,74.0951,74.0956,74.3458,74.3461,75.1481,right,0.7767,,75.1482,76.2473,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,76.248,76.7475,76.7475,76.9981,76.9982,77.5507,right,0.5457,,77.5508,78.6492,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6495,85.9904,space,4.3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,86.0131,86.4907,,,86.7419,87.2455,right,0.4972,,,,,,,,,0.45,,,,,,86.4915,86.7419,87.246,"[0.01677431228831455,-0.19736464524959665]",100.0,"[0.09625266573650641,0.11036917712222212]",4.0,"[0.12371674227799984,0.04345752970888842]",4.0,"[-0.04943293768938589,0.1279647165283697]",100.0,"[-0.008053416899869636,0.18860046699898064]",4.0,"[0.11338395511028895,-0.06987793385327755]",100.0,"[-0.058317954601935944,-0.018562723732037607]",4.0,"[-0.051760568422765385,0.030436328446558917]",100.0,"[0.1799471034386699,0.0517211832181794]",4.0,"[-0.08018753058925814,0.0823852345125334]",4.0,"[0.03240982334118165,0.18363243627221165]",100.0,"[0.14744282500054115,-0.0043391741458342625]",100.0,"[-0.10714705097624141,0.0031408793311344025]",100.0,"[-0.10325231618649983,0.12499928130649325]",4.0,"[0.033873828229191875,0.11392453832195684]",4.0,"[0.05696060226344569,-0.0030503535622296426]",4.0,"[-0.015210146111756102,-0.1068988807459347]",4.0,"[-0.1075611139218089,-0.08469555979746869]",100.0,"[0.0023357783993742196,-0.032560269261813324]",4.0,"[-0.059943519735172084,-0.17709158411489595]",4.0,"[-0.1725906619449636,-0.0033875834852163797]",100.0,"[0.15275383050999317,-0.09911011462676261]",4.0,"[0.09753797374923501,-0.12212507150727593]",100.0,"[-0.016099405797487518,-0.14978278843854945]",4.0,"[-0.17415683552278483,0.07797479351373639]",100.0,"[0.06158519351925908,0.0791972718286252]",4.0,"[-0.0653769115471363,-0.07958494637044455]",100.0,"[0.04073825030673913,-0.08293833570658227]",100.0,"[0.08886185578141555,-0.03578210651004422]",100.0,"[-0.15858714394802464,-0.09872545790166588]",4.0,"[0.033040032706585024,0.03245910965487156]",4.0,"[-0.1335852636195543,0.04424998898109428]",4.0,"[0.02,0.02]",88.3427,0.0,0.0,0.0,149.0,1.0,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,88.3433,88.8429,,,89.0936,89.6772,left,0.5745,,,,,,,,,0.4,,,,,,88.843,89.0936,89.6773,"[0.133312885172838,-0.08515537881493886]",4.0,"[-0.06617910207586891,0.036714938899913244]",4.0,"[0.04106487378941269,-0.1450105236507017]",4.0,"[-0.10323823977990432,-0.01625153573195854]",100.0,"[-0.021787720691458682,-0.14806248716442827]",4.0,"[-0.040795958114185994,-0.1040021028787329]",4.0,"[0.11562084192196742,-0.04759301015179328]",100.0,"[0.08960716357773452,0.031272062048132376]",4.0,"[-0.07285462687953002,0.11360718480444502]",4.0,"[-0.11695330819635856,0.05588859489524131]",100.0,"[-0.1433629405508063,-0.10798027553027009]",100.0,"[-0.1439930908253454,-0.02425060147802852]",100.0,"[0.1391160425044485,0.06562213069800689]",100.0,"[0.03926170482345279,-0.059797592331047165]",4.0,"[0.15088274306312183,0.11949259402645336]",100.0,"[0.029886434091172205,0.1574033123250526]",4.0,"[0.08061631615331068,-0.09397459249271559]",4.0,"[-0.15106198980627517,0.1056719391652198]",4.0,"[0.02500949350696195,-0.1965059085030231]",4.0,"[0.11734580355638577,-0.15108489631049155]",100.0,"[-0.06505490494391808,0.16049573493811875]",4.0,"[0.19863883468382026,-0.0106799944731592]",4.0,"[0.0397687946429464,0.04468739432174258]",100.0,"[-0.0077278012934185155,0.018071146962629386]",100.0,"[-0.11807245530515231,-0.07554446718286661]",100.0,"[-0.011943074049062278,0.11671726121353976]",4.0,"[0.041385013640343186,0.0953835326204774]",100.0,"[-0.19091242973955552,0.057552444283643506]",4.0,"[-0.0731432673598808,-0.15455282551107627]",100.0,"[0.11748656009818627,-0.00641134879838774]",4.0,"[0.09378041934757939,0.15862814135306252]",4.0,"[-0.08072175908322209,-0.10983818099769227]",4.0,"[0.02,0.02]",90.7782,0.0,1.0,1.0,172.0,1.0,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,90.7786,91.2786,,,91.5294,91.9962,left,0.4585,,,,,,,,,0.5,,,,,,91.2786,91.5293,91.9962,"[0.12534497141262055,-0.07184319726598791]",100.0,"[-0.11852214123540847,0.06549310624789909]",100.0,"[-0.031958144114861864,-0.1825296521748994]",4.0,"[0.08677071918280291,-0.03950298119225855]",4.0,"[0.18816118567574475,-0.004480907484531096]",100.0,"[-0.14372556697602537,-0.12829622980804042]",4.0,"[-0.18146071075905906,-0.02308146204699857]",4.0,"[0.054067318009098066,0.041454711884898306]",4.0,"[-0.02252759602843695,0.030266444182747265]",4.0,"[0.14462157747684715,0.03543578203674546]",4.0,"[-0.019675961243730826,-0.020852683139396665]",100.0,"[-0.07774255190742065,0.16033225935786005]",100.0,"[-0.05907167741848396,0.06389223927103697]",100.0,"[0.10955955855894432,0.11112625088759963]",4.0,"[-0.03361276728936921,-0.10488417476141007]",100.0,"[0.015920002967343985,-0.13772275292265895]",100.0,"[0.0026336867749316762,0.17979662952442774]",100.0,"[-0.04629802648944468,0.10278185947997595]",4.0,"[0.17407706576140694,-0.054833816413456395]",100.0,"[-0.1141096071167543,0.1414613467047586]",4.0,"[0.046607109488607225,-0.05876150166887279]",100.0,"[-0.12520624308199627,-0.036982560527160965]",100.0,"[-0.08443453973255292,-0.06877606524071316]",100.0,"[-0.07936733654488191,0.014977935313429681]",100.0,"[-0.1709731344570289,0.046230573501785374]",4.0,"[-0.12073098789630148,0.02437084289902395]",4.0,"[0.059178479961465434,0.10806380180102863]",4.0,"[0.08326753390844763,0.17571817809366352]",100.0,"[-0.1252654050456977,-0.07768478776053582]",4.0,"[0.01478912152867601,0.09588199774039262]",4.0,"[0.10520262057257604,0.043064426755750486]",4.0,"[0.10414109794865413,-0.15928851860495205]",100.0,"[0.02,0.02]",93.0974,0.0,2.0,2.0,112.0,1.0,,,,,,,
,,,,,,,66826c4a2d42c713e9c7475d,684429150c78fcbafbee02e6,2025-06-07_13h58.01.171,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,93.0976,93.5977,,,93.8482,94.4651,left,0.6062,,,,,,,,,0.45,,,,,,93.5977,93.8482,94.4652,"[-0.18183175138093344,-0.024208412105705426]",4.0,"[0.021590413693457527,0.0483932520533374]",4.0,"[-0.06701961325384659,-0.13107659077980158]",4.0,"[0.12225355892540321,-0.06515220368332382]",100.0,"[0.029939081244416542,-0.11656618061911071]",4.0,"[-0.10355292213973698,-0.1678664038474543]",100.0,"[-0.08833215713491609,0.04995526500209471]",4.0,"[-0.1883678468883642,0.060007545096228916]",4.0,"[0.1620366529786159,0.08719483275007976]",100.0,"[-0.13688232598637565,0.028070692072552746]",100.0,"[-0.09684314086505183,-0.04159346728895149]",100.0,"[0.05233000692331993,-0.08149876596747394]",100.0,"[0.09584213181396765,0.17017302601947462]",4.0,"[0.014270236981994242,-0.05928307302222619]",4.0,"[-0.008245175533524487,0.14067713433753753]",100.0,"[0.1810580540866657,-0.028138172251815256]",4.0,"[-0.032510715931030956,-0.011973216959526467]",4.0,"[-0.16005694086516936,-0.11379523859528226]",4.0,"[-0.04775318577972563,0.10661683804656613]",100.0,"[0.12177830563584127,-0.020948605777122337]",100.0,"[0.06536358845796443,0.09654778822346768]",4.0,"[-0.18467414002413896,-0.07485495092990306]",4.0,"[-0.017873776923686472,-0.11767583056902711]",4.0,"[0.05590430506381645,-0.004752595163961175]",4.0,"[-0.10061571843444556,0.11021422796907679]",100.0,"[-0.030364618281212685,0.06288620037472484]",100.0,"[0.10801576498781076,0.02448746546959586]",100.0,"[-0.10919592335302075,-0.12319634484894301]",4.0,"[0.10810196440508035,-0.1168921691283199]",100.0,"[0.014845237044838346,0.09701861007187293]",4.0,"[-0.05200674550643484,0.17675711638550934]",100.0,"[0.18018232762058972,0.049502444728058474]",4.0,"[0.02,0.02]",95.5665,0.0,3.0,3.0,129.0,1.0,,,,,,,
