right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0007,40.1832,space,25.1587,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,40.1838,75.7966,space,5.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,75.797,80.4547,space,1.6393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,80.5139,80.9655,80.9662,81.2347,81.2349,82.7103,,82.7114,83.8091,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,83.8111,84.3091,84.3094,84.5603,84.5603,85.0463,left,85.0467,86.1439,0.0,1.0,1.0,1.0,1.0,0.8,0.4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.146,90.7132,space,1.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,90.7588,91.2252,,,91.477,91.8622,left,,,,,,,,0.9,0.3708,,,,,,,91.2265,91.477,91.8631,"[-0.1286563733477351,0.10600600535323358]",100.0,"[0.02488777999377094,-0.179767876932166]",100.0,"[0.15327469226446314,-0.04472096387143637]",100.0,"[0.05391173492864692,0.00679860483109826]",100.0,"[0.12650389391231212,0.08395870372058233]",100.0,"[0.009647757637602943,-0.09426371285087598]",100.0,"[-0.016307598355302832,0.027616932328960186]",100.0,"[-0.10305759115082094,0.14396010827543224]",100.0,"[-0.1294336136618241,0.015732447233023073]",100.0,"[0.01092967417068034,0.16880546349878145]",100.0,"[0.12146322076412523,0.008933447954099304]",100.0,"[-0.07912514923691805,-0.08205225069975298]",100.0,"[-0.06759253592921063,-0.1721628748002708]",100.0,"[-0.02662868091739562,-0.047165958172504664]",100.0,"[0.13007722561643173,-0.13329064685463804]",100.0,"[-0.12307272636177956,-0.10463028531734686]",100.0,"[0.057021837627404585,0.13443464906007546]",100.0,"[-0.0735664790533901,-0.014791478523041617]",100.0,"[0.08352100067246752,0.0786875883161888]",100.0,"[-0.1286389575834747,-0.04732410022684241]",100.0,"[-0.17710758457119982,-0.09007451193176265]",100.0,"[0.01288902899048867,0.09799455348001573]",100.0,"[-0.06129311881405466,-0.12068166115391354]",100.0,"[-0.1843413822355895,0.04981809094547331]",100.0,"[0.04471695049257138,-0.04261792470860359]",100.0,"[0.004638743962787662,-0.021790514939954198]",100.0,"[0.05221223179586802,-0.1432359690460542]",4.0,"[-0.09240247654391093,0.08650966449149074]",4.0,"[0.18102537593433699,0.020677090057717774]",100.0,"[-0.1982215115882214,-0.025941419021209843]",100.0,"[-0.04048035645465843,0.10226504012757051]",100.0,"[0.09254782324136795,0.17190624054780762]",4.0,"[0.02,0.02]",92.9595,0.0,0.0,0.0,24.0,1.0,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,92.9605,93.4592,,,93.7115,94.0468,right,,,,,,,,0.9,0.313,,,,,,,93.4592,93.7112,94.0469,"[0.08465938177691118,0.13489808481203916]",100.0,"[0.11885405952649693,0.07030831574561426]",100.0,"[-0.04409577314245972,-0.12492236750318944]",100.0,"[0.0449646573046599,0.03750737095776444]",4.0,"[0.020727119826557654,-0.1804580536463652]",100.0,"[0.023865101360103065,-0.02049527987793619]",100.0,"[-0.059412527864195264,-0.05432145564798959]",100.0,"[0.1128800002198933,-0.0755328896617172]",100.0,"[-0.07300883796214433,0.14681501305543665]",4.0,"[0.17062708708386587,0.004310148265393936]",100.0,"[-0.11148481858881529,-0.14976409051518622]",100.0,"[0.006173956941087225,0.18393769711348454]",100.0,"[0.02826049861885384,0.1359786432784115]",100.0,"[0.19663098079572217,-0.03463853483488616]",100.0,"[-0.08374262236873072,0.007872026781522287]",100.0,"[0.13787515876751028,-0.026715696794350548]",100.0,"[0.08611330777188728,-0.13151544624760642]",100.0,"[0.06657250242854201,-0.003062534214350653]",100.0,"[-0.05950083603345014,0.06312518077658363]",100.0,"[-0.1552051530314547,0.09037591891619814]",100.0,"[-0.016746911808343697,-0.05028306848564643]",100.0,"[-0.024058594961390473,0.09471735281181023]",100.0,"[0.0024714435946339964,0.06352981861903444]",100.0,"[-0.10475101353698876,0.06851675675726462]",100.0,"[-0.1249173660623655,-0.046745133149012845]",100.0,"[-0.0637353253409967,-0.1699915491522976]",4.0,"[0.08026116191785092,0.058077666794585446]",100.0,"[-0.15047599210161047,-0.13073878255777224]",100.0,"[-0.15707716126865523,-0.08176086550910647]",100.0,"[0.054734498604880166,-0.05926724541270919]",100.0,"[0.007327576714307136,-0.12194312379505833]",100.0,"[0.051986807884025835,0.17972247090390955]",100.0,"[0.02,0.02]",95.1421,0.0,1.0,1.0,11.0,1.0,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,95.1429,95.642,,,95.8932,96.1524,left,,,,,,,,0.45,0.2458,,,,,,,95.642,95.8931,96.1525,"[-0.11987838304118406,0.08746689233574205]",100.0,"[0.12363105196292654,0.08875308681050509]",100.0,"[0.10889010606453035,-0.13655823102756676]",4.0,"[-0.1296089713979258,0.04829418240356103]",4.0,"[0.05370056990288501,0.09245947587520852]",100.0,"[0.06670079541679334,-0.07441041797735373]",4.0,"[-0.13427878513704714,-0.12083590751943507]",100.0,"[-0.08896546925401787,0.11455283419818174]",4.0,"[-0.022381050935959382,0.13641427986390164]",4.0,"[-0.05120407316735633,-0.0511155531429328]",4.0,"[0.1073851957863465,-0.004520556233633249]",100.0,"[0.06827607913550071,0.14297683126425664]",4.0,"[0.010057903285413833,0.10510118381346119]",4.0,"[-0.012802143076343343,0.029411417264573272]",100.0,"[0.026185597510645066,0.0182927620225808]",4.0,"[-0.02318184975513388,-0.10895012769452841]",4.0,"[-0.08166665476132179,0.16890993848315713]",100.0,"[0.12514716193496087,0.15291637812316417]",100.0,"[0.020944715019288962,-0.15560324869949782]",4.0,"[0.040573863247443116,-0.04093034783897153]",100.0,"[-0.01855325036665546,-0.18334854249696309]",4.0,"[0.16245296903621323,-0.08821616050551553]",100.0,"[0.1523310093679761,-0.023208900361881998]",4.0,"[-0.06585021496630271,0.028432357859981706]",4.0,"[0.014336225764240337,-0.0714708800791663]",100.0,"[-0.04767830497996539,-0.14412783471876012]",100.0,"[-0.114413003996967,-0.07638210585416866]",100.0,"[0.11360793870281599,-0.06627583330465464]",4.0,"[-0.13547074473816284,-0.010496233879410293]",4.0,"[0.17981855383366763,0.03791972205613172]",100.0,"[-0.10572893135633776,-0.15952322941128957]",4.0,"[0.01895807115400472,0.15334969593101266]",4.0,"[0.02,0.02]",97.243,0.0,2.0,2.0,137.0,1.0,,,,,,,
,,,,,,,6691fe909352702ee451b38e,684428c773935a8d5b9b876a,2025-06-07_13h57.47.211,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,97.2439,97.7432,,,97.995,98.272,right,,,,,,,,0.6,0.255,,,,,,,97.7432,97.995,98.2721,"[0.029313508248781598,-0.060220867980569796]",4.0,"[0.01564761645297022,-0.10747502227494068]",4.0,"[-0.04325802806708187,-0.15550072303764426]",4.0,"[0.07120578220806353,0.05777643873210465]",100.0,"[-0.07087372586262336,-0.0268656553098896]",100.0,"[-0.011217780623463743,0.015139929985532073]",100.0,"[0.15749543766071517,0.06851873894617753]",100.0,"[0.11746133179109958,-0.040293038704830975]",100.0,"[0.04363414442208913,0.12409881249618412]",100.0,"[-0.07773482157313467,-0.13276609955184626]",100.0,"[0.16355529884000594,0.02639281481449017]",4.0,"[0.1760214897115071,-0.02258699345066561]",4.0,"[0.03196073243373247,0.0009234645622085091]",100.0,"[-0.011092964561413355,-0.04682994931482894]",100.0,"[0.07542329244681156,-0.04892332693672271]",100.0,"[0.11144026231223111,0.04309301862610627]",100.0,"[0.11727745419521886,-0.1486780887781276]",100.0,"[-0.16922002241969616,-0.038006226954378004]",4.0,"[0.11535807759973327,0.1408396716490167]",4.0,"[-0.055605110384428516,0.1834046220779387]",4.0,"[-0.019911943112647868,0.12830260015189157]",100.0,"[-0.10635304089442119,0.11056071944303215]",100.0,"[0.055126750092614855,-0.13484094258425208]",100.0,"[-0.07979392736812886,0.030637516732609643]",100.0,"[0.1725968454196798,-0.09624903658600406]",100.0,"[0.08939071447109177,-0.17805392150202276]",100.0,"[-0.09792918255884114,-0.07066073142777989]",4.0,"[-0.09778425294673534,0.07112493367789517]",4.0,"[-0.09771012466066646,0.16864499915118822]",4.0,"[-0.13320090078849284,0.03342984611148628]",4.0,"[-0.02759999376820683,-0.10433633570230065]",4.0,"[0.009360134119565162,0.06283154689796677]",100.0,"[0.02,0.02]",99.3752,0.0,3.0,3.0,58.0,1.0,,,,,,,
