right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0008,56.8512,space,41.8322,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,56.8514,87.0983,space,0.2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,87.0989,91.5444,space,1.4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,91.5628,92.0603,92.0608,92.3141,92.3141,93.8086,,93.8087,94.9076,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,94.9081,95.4068,95.4068,95.6572,95.6572,96.2063,right,96.2063,97.3053,0.0,1.0,1.0,0.0,1.0,0.2,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3058,103.3502,space,3.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,103.3624,103.8662,,,104.1165,104.8484,left,,,,,,,,0.5,0.7197,,,,,,,103.8666,104.1165,104.8488,"[0.06261914576728933,-0.052497894762143615]",4.0,"[-0.11169248743050823,-0.08251939168438696]",100.0,"[0.10488528691408497,0.15619478875788873]",100.0,"[-0.08377293837050231,-0.03636246855870563]",100.0,"[-0.043650015775903446,0.017605406001747516]",100.0,"[0.12817949848828955,-0.005210555743132881]",100.0,"[-0.16581958966491583,-0.0658816318978887]",100.0,"[-0.056168493062708574,0.09731161542572561]",100.0,"[-0.18462970994590805,-0.011644235751319133]",100.0,"[-0.01504184903268487,-0.14848858461789635]",4.0,"[0.18037446625007636,0.04138757756356521]",4.0,"[0.06134232294452539,0.027091958880950544]",4.0,"[0.1560496687141386,-0.11950539163084745]",100.0,"[0.1745912604023885,-0.0018949711847515305]",4.0,"[0.09227039436753813,-0.11898226907231997]",4.0,"[-0.09675840262698561,0.17176563900682176]",4.0,"[0.07056743743492687,0.09387836347300466]",100.0,"[0.13034378345494924,0.11199479510036091]",4.0,"[0.019596400464521754,0.14114331021182275]",100.0,"[-0.010052276139269305,0.0578572933767109]",100.0,"[0.0423534269606281,-0.19123104031392626]",4.0,"[-0.03931712284113292,-0.06571930472080233]",4.0,"[-0.08193989449825488,-0.13327429622961515]",4.0,"[-0.013210463991909666,0.10210640986323259]",100.0,"[0.028612373559852303,-0.1257676455775116]",4.0,"[-0.11175970090480297,0.006846299039835405]",4.0,"[-0.03927003100845208,0.1953636115537708]",4.0,"[-0.1535533820883257,-0.10496881351577432]",4.0,"[-0.12949793619377545,-0.037004708194278355]",100.0,"[-0.12704644218741404,0.06460124099942631]",4.0,"[-0.010805555380423269,-0.10314516533078258]",100.0,"[0.016397438695423032,-0.0302242220059077]",100.0,"[0.02,0.02]",105.9479,0.0,0.0,0.0,117.0,1.0,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,105.9483,106.4472,,,106.6973,107.1468,right,,,,,,,,0.9,0.4379,,,,,,,106.4473,106.6972,107.1468,"[-0.021324623475463832,-0.045575982107052444]",100.0,"[-0.04504199750527172,0.03761327358861778]",100.0,"[0.0037992601444431025,-0.004377871502677204]",100.0,"[-0.03989197204032973,-0.1593598614382568]",100.0,"[-0.11466117280225255,-0.14841937379775244]",100.0,"[0.018970511257179537,-0.046112983825523424]",100.0,"[-0.0016108016395446594,-0.12015728470941421]",100.0,"[-0.18514275421969148,-0.0029927034048723503]",100.0,"[0.1553458239901464,-0.08330164685235955]",100.0,"[0.1234359235293157,-0.01601339071265676]",100.0,"[-0.12068063546681743,0.03605846754542604]",100.0,"[-0.08828149746654067,-0.01912013569617374]",4.0,"[-0.07963866838083745,-0.06057074337361669]",100.0,"[0.007110898334830584,0.07949550837258254]",100.0,"[0.07877695695055315,0.07748692063826657]",100.0,"[-0.10107594199136256,-0.10768815723194404]",100.0,"[0.17315143797151014,-0.04114009509819814]",100.0,"[0.14184621604489134,0.05505273583116088]",100.0,"[0.06259266535132203,0.14347250871270814]",100.0,"[0.04719168061186423,-0.1278928662376865]",100.0,"[0.10008211845359799,-0.06506396045553807]",100.0,"[0.053256777502923264,0.18360122048947153]",4.0,"[-0.18269035166062195,0.05111610014129049]",100.0,"[0.05882910610872264,0.03615376158336413]",100.0,"[0.047520507246521716,-0.07760058556500227]",100.0,"[0.13785445908755808,0.1342156801197203]",100.0,"[0.008479438834282227,0.15257990483797584]",100.0,"[-0.09266465750658812,0.14514537670749367]",100.0,"[-0.03237846366916284,0.1520148634621208]",100.0,"[-0.07545471233979147,0.1047835719908671]",4.0,"[0.18817803237529732,0.06406047494119167]",100.0,"[-0.14117715175531562,-0.07100236558803909]",100.0,"[0.02,0.02]",108.2456,0.0,1.0,1.0,1.0,1.0,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,108.246,108.7454,,,108.9954,109.6111,left,,,,,,,,0.5,0.6103,,,,,,,108.7454,108.9954,109.6111,"[-0.13508328495323946,0.016641153509719057]",100.0,"[0.08220842789026413,-0.08074582627970178]",4.0,"[0.09382733812962778,0.11196935163283817]",100.0,"[-0.07710713417602098,0.03852267803083799]",100.0,"[0.13608780598937084,0.06051233806958107]",4.0,"[0.13736987550035937,-0.10316152383484689]",100.0,"[0.19679434372638713,-0.014031011718930808]",100.0,"[-0.02137955154332546,0.13854556507521532]",4.0,"[0.012713320952165706,0.004676944497210165]",100.0,"[0.0037714493865991863,-0.13792168390139672]",100.0,"[0.08258135890905995,-0.03327784917063221]",4.0,"[0.00017187360942074134,-0.08393392258919452]",100.0,"[0.042770096103613056,-0.14854187204392838]",100.0,"[0.10965610845161813,-0.15200798745748595]",100.0,"[-0.07438175408969942,0.08663393692364478]",4.0,"[-0.08621608809853812,-0.05498414817746164]",100.0,"[0.06257190895475959,0.022573559891068143]",100.0,"[-0.06975093407753001,0.17052244656260282]",4.0,"[-0.13977079292894812,0.10749407033026644]",4.0,"[-0.034134211198415865,0.048852212501237176]",100.0,"[-0.08479398047735202,-0.10891075202586559]",4.0,"[-0.10179676771932879,0.13308368681397]",4.0,"[-0.19113726022063646,-0.04365207743746909]",100.0,"[0.017370224409609638,-0.04473885754237944]",100.0,"[-0.060438917911715906,-0.17957775939152426]",4.0,"[0.13500646994447785,-0.007510175424687219]",4.0,"[0.08130712797647059,0.15856787393813945]",4.0,"[-0.004668359932459459,0.1928867088833953]",4.0,"[0.18029577751155734,-0.0816980566481302]",4.0,"[-0.05103388493250978,-0.08250748074208944]",4.0,"[0.0315008593427826,0.05119754851929324]",4.0,"[0.1439677573007791,0.11790172721765278]",100.0,"[0.02,0.02]",110.7104,0.0,2.0,2.0,95.0,1.0,,,,,,,
,,,,,,,66aa651e21c9af8ebcd8081e,6842bb812a3936a39a8c70e6,2025-06-06_10h58.51.095,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,110.7108,111.2094,,,111.4598,112.1425,left,,,,,,,,0.1,0.665,,,,,,,111.2094,111.4598,112.1425,"[0.015700469360188273,-0.061090575654841994]",4.0,"[-0.020784436043404738,-0.15799370349823563]",4.0,"[0.04939058522479468,-0.1253608814008353]",4.0,"[0.061643146868446415,-0.034640212333177794]",4.0,"[-0.07722707737453016,0.15843275553003267]",100.0,"[-0.1537073291549102,0.0665343642938192]",4.0,"[-0.13053313314764659,-0.05339875357671596]",4.0,"[0.01729767271953398,0.10644365398884056]",4.0,"[0.10360767701112433,0.09850397415003123]",4.0,"[0.01888430656723281,-0.17237941380057037]",4.0,"[0.13109087080795834,-0.07185490071328679]",4.0,"[0.06323451995407493,0.03933519211304136]",4.0,"[-0.04343449317824966,0.12062097090848961]",4.0,"[-0.11554957406475724,0.10950393475006617]",4.0,"[0.06425932517814742,0.1397586417868073]",4.0,"[-0.1457748900678028,-0.014857778153428149]",4.0,"[0.15610256059137026,0.0980629806687217]",4.0,"[0.08652678425341945,-0.06670167799269242]",4.0,"[-0.09498237640687682,0.05660767269625305]",4.0,"[-0.00628205996426449,-0.01823191327286211]",4.0,"[0.1615501964529363,0.01582837189628134]",4.0,"[-0.03390003516747937,-0.051113685175158574]",100.0,"[-0.002095474038406873,-0.12033881480911782]",100.0,"[-0.13138836877139742,-0.1147023775882999]",4.0,"[0.1441339782692199,-0.1255878266842405]",4.0,"[-0.04662231749974396,0.052794279749119016]",4.0,"[-0.09510305637780414,0.00916657827276235]",4.0,"[0.09542316314341694,-0.16651940451193548]",4.0,"[0.1152228466721383,0.024875288654826893]",4.0,"[0.17327625282856832,-0.07405631682518135]",4.0,"[0.1099512942296308,-0.021814803806785805]",4.0,"[-0.000808183954502118,0.059482752145634026]",4.0,"[0.02,0.02]",113.2414,0.0,3.0,3.0,184.0,1.0,,,,,,,
