right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,78.0898,space,63.0743,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,78.0902,142.7241,space,34.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,142.7244,149.489,space,3.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,149.508,150.0054,150.0056,150.242,150.2422,151.7383,,151.7385,152.838,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,152.8383,153.3377,153.3377,153.588,153.588,153.9542,right,153.9543,155.0539,0.0,1.0,1.0,0.0,1.0,0.2,0.3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0542,203.7093,space,45.6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,203.7201,204.2087,,,204.4624,204.8253,left,,,,,,,,0.9,0.3366,,,,,,,204.2092,204.4624,204.8258,"[-0.1876538550763301,0.06664561499657085]",100.0,"[0.0861214389954252,-0.15479071882380985]",100.0,"[0.041894662767133994,-0.1309341459689935]",100.0,"[-0.03696108855575931,-0.007911113720194908]",100.0,"[-0.0005204424900982288,0.01426612095038995]",100.0,"[-0.06879570796621466,0.017183745792979883]",4.0,"[-0.020171730490056633,-0.12209018117976045]",100.0,"[-0.09890228416762938,0.05777977176768681]",4.0,"[0.12345617562097669,-0.0995213892063245]",100.0,"[0.05878397337971703,0.10760255633002812]",100.0,"[-0.11666835048468684,0.12103757896838731]",100.0,"[-0.18017952102108173,-0.07633778810387008]",100.0,"[-0.060585913386828824,0.08591481504572013]",100.0,"[-0.09057745820447172,-0.019013121810275677]",100.0,"[-0.06527485343873561,0.1784100195842939]",100.0,"[0.1868017132368121,0.06521710831953348]",100.0,"[0.09444492952433957,-0.07151381916034949]",100.0,"[0.043013191049339476,0.1931552363082171]",100.0,"[0.1673391124377152,-0.035177584096531156]",100.0,"[-0.018965927276561607,0.18725902694444388]",4.0,"[0.01864625696486991,-0.03070459854165545]",100.0,"[-0.09766370043699252,-0.1546773428726976]",100.0,"[0.010667415635202921,0.1085733403511413]",100.0,"[0.13132046468472866,0.1485879140951504]",100.0,"[0.1502745941442736,0.038172685031902166]",100.0,"[0.0732900696628842,-0.009526453308500557]",100.0,"[-0.0019366867945008947,-0.16227450322806425]",100.0,"[-0.10426916686205533,-0.08614144655400095]",100.0,"[-0.05121309902412856,-0.07885341035923914]",100.0,"[0.05959539250504867,0.05868433617823731]",100.0,"[-0.14762606803566963,-0.1287918863242233]",100.0,"[0.12105688419841992,-0.007829054388519193]",100.0,"[0.02,0.02]",205.9253,0.0,0.0,0.0,9.0,1.0,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,205.9257,206.4249,,,206.6792,207.0248,right,,,,,,,,0.5,0.3283,,,,,,,206.425,206.6792,207.0248,"[0.1135713138712266,0.06894984263035943]",100.0,"[-0.04188958376041066,0.16984877951937688]",100.0,"[-0.0817377003559894,-0.019782269784949784]",4.0,"[0.050450888555360215,-0.1883815879598692]",4.0,"[-0.1849208339668988,0.0017190155250163552]",100.0,"[0.005719785199309127,-0.10678180430530532]",100.0,"[-0.06316410247176699,0.03307694682148369]",4.0,"[-0.07637692927921676,0.13508432550358807]",4.0,"[0.14216527717159227,-0.044597561370006616]",100.0,"[-0.1314840322681672,-0.1376965866047379]",4.0,"[-0.18255092153199268,0.06823572512105351]",4.0,"[-0.021958989244241032,0.10515561953374526]",4.0,"[0.12572164322727802,-0.10377573136265207]",100.0,"[0.04244304264503822,0.07537145652430548]",100.0,"[0.07515566586086725,0.001863446393544405]",100.0,"[-0.15878548178477675,0.11905613288839235]",4.0,"[0.03865076961659964,-0.06418270711519515]",4.0,"[0.0198434132849235,0.11517993421054654]",100.0,"[-0.030500517643842984,-0.027070535039199154]",100.0,"[-0.08330645777775342,-0.07185073495820278]",4.0,"[0.17877613560806407,0.06937376199153973]",4.0,"[0.1615666035404892,0.1156194122257093]",100.0,"[0.013531844728207402,0.16280747148924207]",4.0,"[-0.045707496780370366,-0.117263954455801]",4.0,"[-0.061489810508419875,0.0904230287835063]",100.0,"[0.05158016025759566,-0.13483124400763566]",4.0,"[-0.13941816291891837,0.05535837796769516]",4.0,"[-0.13042343452536623,0.0017303310259147184]",100.0,"[0.11491715584779504,0.11632089707382683]",4.0,"[0.16611419568616706,-0.006280641824725931]",100.0,"[-0.0854975063393973,-0.16369033816602743]",100.0,"[0.18458926417104152,-0.07001763643696417]",100.0,"[0.02,0.02]",208.1246,0.0,1.0,1.0,110.0,1.0,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,208.1249,208.6244,,,208.8765,209.3076,left,,,,,,,,0.45,0.4009,,,,,,,208.6245,208.8765,209.3076,"[0.08271619652539093,0.034390062269135845]",100.0,"[0.04481714569409315,-0.1429077959487626]",4.0,"[-0.11355002574372346,0.08855645488091109]",100.0,"[0.020930302413918068,-0.03114770443393686]",4.0,"[-0.07599039713313499,0.055559798446104]",100.0,"[0.11566477561888161,-0.07236189242655823]",100.0,"[-0.15087707347840712,-0.10927036692974502]",4.0,"[-0.009856174527391409,0.19461492976996397]",100.0,"[0.08681071154964959,0.162211243866121]",100.0,"[-0.1764995689653333,-0.0580951177465573]",4.0,"[0.03185460472136892,0.12612919638615008]",4.0,"[-0.08788684516379354,-0.09418200807958027]",4.0,"[0.13773592500997472,-0.10880233014525674]",100.0,"[0.15511192520475625,0.03687993173420595]",4.0,"[0.1343583922128705,-0.03632102248914952]",4.0,"[-0.13966966523838173,0.12372782595769886]",4.0,"[-0.022520698981617147,0.08351279145143559]",4.0,"[-0.07420316843718519,0.11802343320043872]",4.0,"[0.10107933599912294,0.08073578539005664]",4.0,"[-0.02974584633225691,-0.0396001389473991]",100.0,"[0.16278185625168398,0.10493345066634836]",100.0,"[0.03744394952476317,0.06630786115140484]",100.0,"[-0.0036182684970429255,-0.10125339413038767]",4.0,"[-0.03470905281344374,-0.13816905396607632]",4.0,"[-0.05977776786513837,-0.17461879767993146]",100.0,"[-0.15996060990210012,0.053470290471185275]",4.0,"[-0.11556908158174135,-0.04787018837188874]",100.0,"[0.026097242820220076,-0.18958670207731376]",4.0,"[0.03487242217615053,-0.07725403563725351]",100.0,"[-0.0366645885329335,0.16451166570682577]",4.0,"[-0.12315146745970698,0.020486221056559385]",4.0,"[0.18991581792897966,-0.018634143868550453]",100.0,"[0.02,0.02]",210.4073,0.0,2.0,2.0,135.0,1.0,,,,,,,
,,,,,,,66af93dfdf68b39e95f1dd7e,684429d264ef8554049c6fce,2025-06-07_14h04.12.694,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,210.4077,210.9072,,,211.1613,211.2572,right,,,,,,,,0.5,0.0702,,,,,,,210.9073,211.1613,211.2572,"[-0.19758836805322744,-0.007245161078223839]",100.0,"[0.19202695454768956,-0.024933500424613227]",100.0,"[-0.08412663528228219,0.13272777590288654]",100.0,"[0.11384496910937707,0.13786906311101324]",4.0,"[-0.18549343759662595,0.06721113636048036]",4.0,"[0.030593147651519034,-0.05967862010460123]",100.0,"[-0.00950875471035928,0.16808918430686115]",100.0,"[0.09978410129012508,0.023073161596740905]",100.0,"[-0.11341161562168835,-0.15771265221013744]",100.0,"[0.1439021056898834,0.1013065347813809]",4.0,"[-0.04228427312495746,0.028419027055616823]",4.0,"[0.007152163575816949,0.09046365542763764]",4.0,"[0.07647230431044717,0.1633566732092523]",100.0,"[0.14823743790664054,0.003738308746194739]",4.0,"[0.0408464212490445,-0.13468212768303472]",4.0,"[-0.0063694312642670866,-0.013376470648595507]",4.0,"[-0.14562074941594685,0.13617704597354163]",100.0,"[0.11002349611761174,-0.09472467521914901]",4.0,"[0.07740483701396608,-0.05590516415048531]",100.0,"[0.04291585676693865,0.03036319542399469]",4.0,"[-0.04955219287571933,-0.023191573967966006]",4.0,"[0.10281834765881304,0.06794510373041704]",4.0,"[-0.13606361575015505,-0.017520263673825632]",4.0,"[0.04423116387838561,-0.1852687977859137]",100.0,"[0.048352189419136896,0.1110287754989739]",4.0,"[0.06904458694031262,-0.015607526558596912]",4.0,"[-0.07516213983692342,-0.07317002994445665]",100.0,"[0.1598757544922643,-0.11074648651699084]",100.0,"[-0.054875948308304764,0.077097707143386]",100.0,"[-0.056097913113224124,-0.1872557622237564]",4.0,"[-0.03818852260335451,-0.11203674543201643]",100.0,"[-0.1371685369529044,0.08114133399006489]",100.0,"[0.02,0.02]",212.3568,0.0,3.0,3.0,106.0,1.0,,,,,,,
