right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,82.2936,space,67.2809,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,82.294,187.6804,space,75.3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,187.6808,192.4084,space,1.7074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,192.4378,192.9247,192.9259,193.1767,193.1772,194.2774,right,1.062,,194.2782,195.375,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,195.3758,195.8753,195.8756,196.1304,196.1305,196.7586,right,0.6118,,196.7589,197.8587,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.8605,200.9749,space,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,200.991,201.4925,,,201.7278,202.6412,left,0.8957,,,,,,,,,0.6,,,,,,201.4929,201.7277,202.642,"[-0.002025549785760045,-0.04658917048882529]",100.0,"[0.016619295595007987,-0.16020790629622994]",100.0,"[-0.04520509662714819,-0.0217949930021695]",100.0,"[0.18273439988027504,0.08046328611642521]",4.0,"[-0.10244296005312965,0.14703631970670142]",4.0,"[0.08156672785352863,-0.08639706143573854]",4.0,"[0.148454087765612,-0.11831430682607165]",100.0,"[0.0619971682591177,-0.022491011323037043]",100.0,"[0.18274792824750602,0.027583654917079037]",100.0,"[-0.10988396783885554,0.033966370279470165]",100.0,"[0.023533136706312022,0.005199966381891802]",4.0,"[0.06364537268507674,0.08872396562647152]",100.0,"[0.10511460656973451,0.10355934807184715]",100.0,"[-0.07394821674674162,-0.09687295824768706]",100.0,"[0.12193655530170247,0.020222770816820487]",4.0,"[0.021040367730905438,0.14444060298861303]",100.0,"[0.1694109815750155,-0.06896582392257156]",4.0,"[-0.04130366971165027,0.08584815966499222]",4.0,"[-0.1719953444463247,0.04673430713526]",100.0,"[-0.12545341243748753,-0.015485765935902928]",4.0,"[0.016432881106538243,-0.08816167767450578]",4.0,"[0.051510011474208736,-0.1925998243379619]",100.0,"[-0.13446371653351805,0.12247072447073411]",4.0,"[-0.19349925159250372,-0.038183064058170554]",100.0,"[0.19143727289018256,-0.017503068818003373]",100.0,"[-0.05584120131682091,-0.1398160125911302]",100.0,"[0.09745990404611754,-0.04145642818833648]",100.0,"[-0.05395511092118623,0.14255123348394794]",4.0,"[-0.12571578670892414,-0.15276702518353769]",4.0,"[-0.005741705415703932,0.052628046953695794]",4.0,"[-0.1857475159671742,0.008273296886527481]",100.0,"[-0.08621804837516493,0.105827286394686]",100.0,"[0.02,0.02]",203.7428,0.0,0.0,0.0,48.0,1.0,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,203.7442,204.242,,,204.493,205.1076,right,0.5981,,,,,,,,,0.6,,,,,,204.2422,204.4929,205.1076,"[-0.0500815985095849,0.18524111021471662]",100.0,"[-0.1272893227928994,0.00626925382542527]",100.0,"[-0.04020366916447787,-0.15149897405852905]",100.0,"[-0.1866214384664102,0.05777875078472343]",4.0,"[0.0602392460514257,-0.09630196901010314]",100.0,"[0.11204333405891015,0.0390261877124313]",4.0,"[-0.07545054374038976,-0.08446212120300764]",100.0,"[-0.01625329821311516,-0.09168305505443246]",100.0,"[-0.17574250255287244,-0.03633237185610071]",100.0,"[-0.14751642861801925,-0.07737836640678662]",100.0,"[0.017988389305121595,0.10552206456431816]",4.0,"[0.10556542303068532,-0.04412229299863578]",4.0,"[0.06912290351004409,-0.01724793315826631]",4.0,"[0.015073725061319784,-0.02289064638588172]",4.0,"[0.11029471018114265,0.08372293087629287]",100.0,"[-0.10755633888578728,0.15108536865630462]",4.0,"[0.07255530797235471,-0.1556513682013323]",100.0,"[0.11949163268526855,-0.1387819268784857]",100.0,"[0.10684923227961401,-0.003234269176515533]",100.0,"[0.15004558284052338,0.10939106761088332]",4.0,"[0.19265848783616177,0.006003535826111557]",100.0,"[0.015835666755812567,-0.19207617655897796]",100.0,"[-0.015486320955863327,0.1562035531888843]",100.0,"[0.10793355987351246,0.14429159746428452]",100.0,"[-0.06560811478662687,0.014862880843449666]",4.0,"[-0.08415744948122227,-0.13674327749255558]",100.0,"[-0.081034002348274,0.061780837593164835]",100.0,"[0.16674257649444763,0.043841300250921734]",4.0,"[-0.1364694923649995,0.07878594212234873]",4.0,"[-0.04626512916366473,0.10088248144973971]",4.0,"[0.03907220741995549,0.011178161884089842]",100.0,"[0.056407744401196794,0.14209258955926635]",4.0,"[0.02,0.02]",206.2075,0.0,1.0,1.0,43.0,1.0,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,206.2079,206.7077,,,206.958,207.3746,left,0.4066,,,,,,,,,0.1,,,,,,206.7077,206.958,207.3747,"[-0.13448544992183945,0.041151784087082074]",4.0,"[0.15832059024675332,0.08123217040903673]",4.0,"[0.08420374691576274,0.07283886309385659]",4.0,"[0.03386339472329718,-0.15330034773107154]",4.0,"[-0.12347007000975929,0.13876551178520377]",4.0,"[-0.09477577655106975,-0.17111238864702885]",4.0,"[0.12305752427329698,-0.09687891638799252]",4.0,"[-0.1031295949060834,0.07902099506724924]",4.0,"[-0.039293363288236176,0.09183062180010801]",4.0,"[-0.05228427816244094,-0.11054017007514917]",100.0,"[-0.037942687915759526,0.18743788793976432]",4.0,"[0.11710669962754729,0.15593448748180722]",4.0,"[-0.06912286993590867,0.12038157087115664]",100.0,"[0.005223808767721582,-0.004906664665665086]",4.0,"[-0.11267457549186839,-0.08325949094327724]",4.0,"[-0.029480842471932556,-0.14763760811918472]",4.0,"[0.024566692598381297,0.19104715070444592]",4.0,"[-0.0072540670984136725,0.12168352800297391]",4.0,"[-0.06197776952638308,-0.06913487198154844]",4.0,"[0.17071559985266954,0.006128797274179801]",4.0,"[0.008207520614627043,0.0773332834735845]",100.0,"[0.07209647793290341,0.1514702833100964]",4.0,"[-0.07807381482755225,0.047601292765946435]",4.0,"[0.012470754911643614,-0.05349882560275902]",4.0,"[-0.17418810803083967,-0.018760933758308437]",4.0,"[0.009230605878221384,-0.09427184478563555]",4.0,"[0.08771661249127922,-0.0491860986416722]",4.0,"[-0.15473127910048495,-0.06301928441524526]",4.0,"[-0.15272905947311896,0.09935921865683817]",4.0,"[0.0103456784743251,0.03583206435241521]",4.0,"[0.10823709876362031,-0.16069187867441762]",4.0,"[0.15358679535095915,-0.04795084632730338]",4.0,"[0.02,0.02]",208.4758,0.0,2.0,2.0,184.0,1.0,,,,,,,
,,,,,,,66fb12ba2bfd1e0379ced77c,6842baf91828ed44861df872,2025-06-06_05h13.40.685,shape_ratio,2024.1.5,Win32,57.14285714,6842b561977af9ba9b0f87ca,,,,,,,,,,,208.477,208.9754,,,209.2259,209.6587,right,0.4204,,,,,,,,,0.6,,,,,,208.9756,209.2259,209.6588,"[0.1271131364077375,0.030579086689915786]",100.0,"[-0.09250422242801129,-0.12783871706548994]",4.0,"[0.04924596070977729,0.13623289891511303]",100.0,"[0.01154144274121854,-0.17698231171720555]",100.0,"[0.0036424012859699343,0.06388550510918302]",4.0,"[0.17615681303250724,-0.0894343086049462]",100.0,"[-0.047046085865489994,0.07423844949195793]",4.0,"[0.013278230375671019,0.10476528680526255]",4.0,"[-0.15532621249222026,0.008127476989327134]",4.0,"[-0.04041022332498292,-0.022885747942502102]",4.0,"[0.022105903582161402,-0.12566692223215145]",100.0,"[-0.02049749443053526,-0.10003546223266219]",4.0,"[0.12063003079953065,-0.056805546271162896]",100.0,"[-0.1261874922280952,0.11357196489012998]",4.0,"[-0.04331270147479437,-0.1556857771137301]",100.0,"[-0.06527708935940522,0.17236954289050954]",100.0,"[-0.08406565316775609,-0.07310838929254933]",100.0,"[0.04173255666279909,0.024435231252268506]",4.0,"[-0.08271473250586325,0.11532027655093306]",100.0,"[-0.15528473513995608,-0.10731466064803724]",4.0,"[0.0856529425037216,0.016361012005319725]",4.0,"[0.036552483045106325,-0.07416077560439437]",100.0,"[0.1493844860225072,0.11534287285544832]",100.0,"[-0.09260007414665043,0.012733294871620445]",4.0,"[0.08985301734092575,0.14765283134339757]",100.0,"[0.056702694647455136,-0.19027407545315858]",100.0,"[0.05453803420798354,0.08851239889650972]",4.0,"[0.1144841779605019,-0.10168820524419797]",100.0,"[0.16315449207102203,-0.00705746903636278]",100.0,"[-0.010844475466251856,0.13784601059259236]",100.0,"[-0.1192672333776241,-0.051233751937129486]",100.0,"[0.08403528279787816,-0.028216412851419945]",100.0,"[0.02,0.02]",210.7589,0.0,3.0,3.0,45.0,1.0,,,,,,,
