right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,71.6493,space,56.6288,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,71.6517,110.9545,space,9.2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,110.9554,115.1869,space,1.2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,115.226,115.7016,115.7023,115.9533,115.9548,117.4513,,117.4516,118.5515,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,118.5541,119.0509,119.051,119.3014,119.3014,119.7006,left,119.7008,120.8002,0.0,1.0,1.0,0.0,1.0,0.2,0.3853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8008,123.9206,space,0.0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,123.9448,124.4332,,,124.6841,124.9162,right,,,,,,,,0.4,0.2164,,,,,,,124.4346,124.6839,124.9169,"[0.001003635090325448,-0.08278972680938647]",4.0,"[-0.038841137889346615,-0.18459992415311097]",4.0,"[0.038695891601390454,-0.026996727215851238]",100.0,"[0.11984627350889497,-0.027195644663809703]",4.0,"[-0.13089653504538573,-0.15114603208069236]",4.0,"[0.09042097771221108,-0.16927534275661107]",100.0,"[-0.14124351873114477,-0.1097274987285617]",4.0,"[0.1667063643873814,-0.014685544088899735]",4.0,"[0.07192159156782917,0.12533251903740952]",4.0,"[-0.12711059295924554,-0.009294476733836515]",4.0,"[-0.061006809462064215,-0.004717139764936987]",100.0,"[0.05706389156257125,0.1753866865142154]",100.0,"[-0.14978676649481495,0.12015377278114382]",4.0,"[-0.1285000438861925,0.04284600728898763]",100.0,"[-0.1743130316364762,0.03989884163124497]",100.0,"[0.04468347692694187,-0.1295376869035689]",100.0,"[0.06082560122069143,0.023969396128229577]",4.0,"[-0.0005872620585017558,0.19701017066181714]",4.0,"[-0.027071167381391578,-0.04571930840285811]",4.0,"[-0.09751550587361058,0.088580592320145]",4.0,"[0.11008718356515707,0.035947876075093275]",100.0,"[-0.01999067856966875,-0.00009185663203522236]",4.0,"[-0.08613900867219054,0.03438977092551532]",100.0,"[-0.04015221534795067,0.11070611205464073]",100.0,"[0.07040522375095529,0.07389594270661413]",4.0,"[0.0015155131757603987,-0.19916154770018438]",100.0,"[-0.03819223121391963,0.04619361646492082]",100.0,"[0.1205858235276134,-0.12267334742520652]",4.0,"[0.017570764820052147,0.04067338045571835]",100.0,"[-0.061102384134599515,0.16221639251509054]",4.0,"[0.1404442447341159,0.07955723379539752]",4.0,"[0.08131626136384734,-0.0974666657732592]",4.0,"[0.02,0.02]",126.0164,0.0,0.0,0.0,167.0,1.0,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,126.0174,126.516,,,126.7664,127.0837,right,,,,,,,,0.5,0.3017,,,,,,,126.5162,126.7664,127.0838,"[0.016705834671014247,0.057675933198047466]",4.0,"[-0.18349865537107496,0.03153040697352097]",4.0,"[0.11092186005988801,-0.10281862692671259]",4.0,"[-0.03197909604042961,0.14230544839055304]",4.0,"[-0.18121056434760707,-0.05129111993852023]",100.0,"[-0.006133144916214527,-0.0074503707622243795]",100.0,"[-0.0236549577261606,0.04127609021323549]",4.0,"[0.185923550440732,0.04314519835590178]",100.0,"[0.03620466339679491,-0.1377670708732741]",100.0,"[0.0573240992295368,-0.060102251553400536]",4.0,"[0.06075960732692486,-0.16988563263925466]",100.0,"[-0.11379154290173278,-0.0761806364757141]",100.0,"[0.09835057492423789,-0.020214133405489287]",100.0,"[0.10873237570984756,0.09673087203622523]",4.0,"[-0.09855912251440156,0.009398628879981108]",4.0,"[-0.0739334737317336,0.04427178509224083]",100.0,"[-0.0766684594768036,-0.038810158583222384]",4.0,"[0.055686245107262194,0.09260909424561906]",4.0,"[-0.0685104211234432,-0.10777121517279747]",100.0,"[0.09733812632009688,-0.06494374527104897]",100.0,"[-0.12250111253108337,0.0760475348063379]",100.0,"[0.002138676766073518,-0.06928159145718138]",100.0,"[-0.10118753753736018,0.16309345753440632]",100.0,"[0.17224988734507402,-0.041205536539108176]",4.0,"[-0.03587703710833149,0.09259141188743517]",4.0,"[0.03785842190474044,-0.015126484841797678]",100.0,"[-0.0016860281983173506,0.19634021143292543]",100.0,"[0.1401535161065349,-0.1370504652772926]",4.0,"[-0.16792438342668928,0.08755543981295762]",4.0,"[0.12022951661084917,0.03469931540211813]",4.0,"[0.07446727520255918,-0.12245617685023262]",4.0,"[0.020038437911888692,-0.17863935967325956]",100.0,"[0.02,0.02]",128.1822,0.0,1.0,1.0,113.0,1.0,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,128.1829,128.6823,,,128.9327,129.0988,right,,,,,,,,0.4,0.1511,,,,,,,128.6823,128.9326,129.0989,"[0.12718662222334834,-0.041696854854452785]",100.0,"[-0.02635491295610276,0.11960332521486382]",4.0,"[-0.0278897788280411,-0.013852607972413907]",100.0,"[0.1466088310351959,0.11733760388181937]",100.0,"[0.1277200245447635,0.06834497891544418]",100.0,"[0.06568459481476151,-0.14657821077925215]",100.0,"[-0.045556108288313676,-0.16154201154368902]",4.0,"[0.19294841504658153,-0.035435026904976706]",4.0,"[-0.1575331163187573,0.103771069821055]",4.0,"[-0.023121243834753488,0.036337013380943584]",100.0,"[0.0041337937712414,-0.11050973882322467]",4.0,"[-0.09954425700212458,0.12680557552030836]",100.0,"[-0.054786812388033894,-0.06934252633161152]",4.0,"[0.01648808862632354,-0.032962785973422185]",4.0,"[0.07868524983220358,-0.08805286732912826]",4.0,"[0.028137660512760284,0.050387369053111836]",100.0,"[-0.16454029597580494,-0.022958642622524852]",4.0,"[0.043294278378541384,0.14957947043491152]",100.0,"[-0.19907222475859224,0.004211033883500506]",4.0,"[-0.1184736967083521,0.04099030833400953]",100.0,"[-0.055768940641823674,0.17829000091503264]",100.0,"[0.16150349828756713,0.030706738526427357]",4.0,"[0.05178638166670401,0.08475522397538834]",100.0,"[-0.12801259765756565,-0.10222286547773533]",4.0,"[0.14661831401522726,-0.08655271180445111]",4.0,"[0.033791893313202495,-0.07054710728707261]",4.0,"[-0.10889181510221581,-0.05023129858941682]",4.0,"[0.12183252620206617,0.015517125245148363]",100.0,"[0.0013129274872750415,0.17744380329398257]",4.0,"[-0.011823773216901137,-0.0693943394708056]",4.0,"[-0.06552832116486189,0.00754716112417519]",4.0,"[0.08894387919487612,0.04208574785248968]",4.0,"[0.02,0.02]",130.1989,0.0,2.0,2.0,162.0,1.0,,,,,,,
,,,,,,,672b330d847a68f7de308027,684429403ff03c54a4ebd4d9,2025-06-07_11h59.44.590,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,130.1999,130.6981,,,130.9489,131.1154,right,,,,,,,,0.5,0.1539,,,,,,,130.6983,130.9489,131.1157,"[0.009068573585443641,0.09998375931783735]",4.0,"[-0.06376895541859251,-0.1333688257582307]",100.0,"[-0.0345440143366544,0.11099223789784313]",4.0,"[0.0155803293571764,0.008166843247360164]",100.0,"[-0.1336346364536699,-0.03411843368713382]",4.0,"[-0.08362666382037105,-0.033688825757988816]",4.0,"[0.04576085018214295,-0.12734179458309303]",100.0,"[-0.02377961078764053,-0.18039782930878442]",4.0,"[-0.01006841964858387,-0.11003161321814313]",100.0,"[0.06077787683135878,-0.16772583962576365]",100.0,"[-0.15045270099156693,-0.10609236754477935]",4.0,"[-0.09687477874307707,0.12211249530137798]",4.0,"[-0.14895993401155339,0.023315903128976245]",100.0,"[0.1583638753284855,-0.11214242567557228]",4.0,"[0.050571034675586324,-0.07778997010179613]",100.0,"[0.1159979277257905,0.031668915458775475]",100.0,"[0.14135877494787955,0.0903211705816222]",100.0,"[0.09104254990105527,-0.1149256162187613]",4.0,"[0.18854568924013293,-0.010708197681418829]",100.0,"[-0.03523170854024258,0.1653318525669385]",4.0,"[-0.060181578502244634,0.002503479690213443]",100.0,"[0.09191997588825866,0.06544817083428732]",100.0,"[0.09312314214440402,-0.05549606929447687]",100.0,"[-0.07023373616325893,0.06954799039614785]",4.0,"[-0.08787375559146444,-0.07867832398346643]",100.0,"[0.024838480098612885,-0.1958253990831186]",4.0,"[-0.021969609598254496,-0.03287168871172811]",4.0,"[-0.10735161568133987,0.05427614785582863]",100.0,"[0.18982450126085812,0.05943028451662555]",4.0,"[-0.15739806280068433,0.08224000192272882]",4.0,"[0.11591248678873615,0.1529869053298236]",4.0,"[0.13362591862665074,-0.14430661366833855]",100.0,"[0.02,0.02]",132.2148,0.0,3.0,3.0,95.0,1.0,,,,,,,
