right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,38.2111,space,23.1932,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,38.2112,70.9978,space,2.7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,70.9979,75.6458,space,1.6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,75.6598,76.1465,76.1467,76.3959,76.396,77.7291,left,1.3093,,77.7293,78.8284,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,78.8288,79.3284,79.3285,79.5777,79.5778,80.3107,right,0.7268,,80.3107,81.4105,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4107,85.7094,space,1.2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,85.7185,86.2089,,,86.4592,87.1249,right,0.6477,,,,,,,,,0.6,,,,,,86.2092,86.4592,87.1252,"[0.07546690943653506,-0.1507248839291791]",100.0,"[0.06488822270881238,0.1531128996817165]",100.0,"[-0.01824483327504723,-0.06064527043420579]",100.0,"[0.0876725677123733,0.048107637920639545]",4.0,"[0.13211308134434915,-0.14732601037704757]",4.0,"[-0.1580606699696595,-0.12211717731403397]",4.0,"[-0.09609808518185063,0.016432476616996417]",100.0,"[-0.08745908580969596,0.15876048373790386]",4.0,"[-0.04875025227725762,-0.1841916351632362]",100.0,"[0.1254640989872461,-0.09938551170395934]",100.0,"[-0.09840651534322013,0.11020670897382456]",100.0,"[0.013138947859432464,0.10973244844987956]",4.0,"[0.19473463666479196,-0.025071264002719543]",100.0,"[-0.06686882398541726,-0.14408989935887692]",4.0,"[0.09739949108641843,-0.04467670407600529]",100.0,"[-0.1840663705328933,-0.02156132582727056]",100.0,"[0.019078658142838403,0.06989998416606678]",4.0,"[-0.08373172487051996,-0.039192453084732654]",100.0,"[0.10730292188553624,0.16055120936405842]",100.0,"[-0.15220212954705936,0.044340668647979926]",4.0,"[-0.16091358737524905,0.0971734462995872]",100.0,"[-0.03526229128097029,0.11089605337744891]",4.0,"[-0.011155852113883024,-0.1431482354587171]",100.0,"[0.156826947855522,-0.007103207120180888]",4.0,"[-0.027910371940116783,-0.0013257512812797911]",4.0,"[-0.05139657397258613,-0.08534056756800748]",100.0,"[0.0540879903171253,-0.0035975787341311865]",100.0,"[0.14388506985395136,0.11169299732065405]",100.0,"[-0.11911455424382031,-0.08251778833422707]",100.0,"[0.026961670941143108,-0.1838915091229825]",4.0,"[-0.1280768832370909,-0.036651177257789935]",100.0,"[-0.10151518348118099,0.06019771085440942]",4.0,"[0.02,0.02]",88.2245,0.0,0.0,0.0,32.0,1.0,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,88.2248,88.7241,,,88.9744,89.3405,left,0.3491,,,,,,,,,0.6,,,,,,88.7242,88.9744,89.3405,"[-0.07935231433524635,-0.17275240840570918]",4.0,"[0.09375706942427231,-0.08668581057148875]",100.0,"[-0.03773127078798311,-0.18765356257584095]",100.0,"[-0.106943268230055,-0.003547456350602237]",100.0,"[0.021892346139667937,-0.14099198797045395]",4.0,"[0.1060663921614921,-0.00032656507232525794]",100.0,"[-0.17490814738222912,0.04387356597142945]",4.0,"[-0.15294138703874183,-0.034543387587830404]",4.0,"[-0.08497290904905995,-0.05561755778811264]",100.0,"[-0.028812446081528102,0.12979818179240837]",100.0,"[0.12341295963041843,0.1367892063845116]",4.0,"[0.19352673772596862,0.039863006506377925]",4.0,"[-0.08227900625543866,0.13889263051589495]",100.0,"[-0.1583707996802523,-0.08027400913435205]",100.0,"[-0.04388024741510974,0.17490554622773263]",100.0,"[0.15519914024211037,0.06988022502004841]",4.0,"[0.06357532393737865,-0.029170646431652517]",100.0,"[0.17724454324724082,-0.0704298905844658]",100.0,"[0.06575726302815342,0.04465932035163341]",100.0,"[-0.07463119777931645,0.02799066346672587]",100.0,"[0.06625327988186996,0.10365361679114357]",100.0,"[-0.05126119041248885,-0.134915098388127]",4.0,"[0.1363226771330806,-0.11144099391987258]",4.0,"[0.11216168822316744,0.07638166091547564]",100.0,"[-0.028929966611996226,0.03781691626717979]",4.0,"[-0.03330665742403959,-0.02761942345997832]",100.0,"[-0.19656747595045485,-0.00047603731048759333]",100.0,"[0.02516686082831302,-0.07874922180830515]",4.0,"[0.14720386103798097,0.0060026284047506664]",4.0,"[-0.15566734883456898,0.0851525280517497]",4.0,"[-0.003518007632155797,0.18701505400747936]",100.0,"[-0.1361271538174425,0.1316510260862922]",100.0,"[0.02,0.02]",90.4408,0.0,1.0,1.0,33.0,1.0,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,90.441,90.9406,,,91.1908,91.573,right,0.3781,,,,,,,,,0.9,,,,,,90.9406,91.1907,91.573,"[0.004116178761411046,-0.08598068810797124]",100.0,"[0.09936392449707869,-0.02706803030545518]",4.0,"[0.04003696100148146,-0.12336541798084825]",100.0,"[0.17605003650917453,-0.04831809816736899]",100.0,"[-0.18444423794296969,0.006311494601943896]",100.0,"[-0.08141043877503086,0.010012409685288381]",100.0,"[-0.05830885755927669,-0.10104811528531106]",100.0,"[-0.17510361230425248,-0.09243552140510847]",4.0,"[0.0001441462655117633,-0.02100412047366372]",4.0,"[0.11508623772381707,-0.11888167204272321]",100.0,"[-0.06431911444394443,0.1343717178180372]",100.0,"[0.023376974653141994,0.12987087880702297]",100.0,"[-0.09501262098389834,0.17158693943433567]",100.0,"[-0.09203783248208522,-0.040826810707989776]",100.0,"[-0.04843148917243208,0.0447586357290648]",100.0,"[0.14357403386890732,0.11632038965919811]",100.0,"[-0.08466727175673962,-0.13694516244397328]",100.0,"[-0.11380317913381137,-0.07914894781678027]",100.0,"[0.1620742311833473,-0.11636512498546234]",100.0,"[-0.03764683945278286,-0.06268386959050262]",100.0,"[0.17420072181484944,-0.002539612726445171]",100.0,"[0.04666908873089035,-0.08259800211955316]",100.0,"[-0.050072093335363714,-0.18333481773777366]",100.0,"[-0.1218080119691775,0.05222913772425721]",100.0,"[0.0635962183267825,0.08101895147157172]",100.0,"[-0.17066286666441496,0.07332803919997057]",100.0,"[0.058901348966695244,-0.010795382425976656]",100.0,"[-0.03783596705540124,0.08740873354027862]",100.0,"[0.029994398903153176,-0.19346171711751814]",100.0,"[-0.10839014680432428,0.09887843775093721]",100.0,"[0.0024945992677105826,-0.13850316938655896]",100.0,"[0.043352494838511835,0.19510500339283288]",100.0,"[0.02,0.02]",92.6728,0.0,2.0,2.0,6.0,1.0,,,,,,,
,,,,,,,676054ef296caad582258e02,6842bab55b1a86511aa0124a,2025-06-06_10h54.28.635,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,92.673,93.1724,,,93.4226,93.9723,right,0.5325,,,,,,,,,0.5,,,,,,93.1724,93.4225,93.9723,"[-0.1968777894417774,-0.02733859878306803]",4.0,"[0.018335000190717227,-0.11945744078876992]",4.0,"[-0.08669191019249918,0.09416131467768094]",4.0,"[-0.007199861244857696,0.17545267869477527]",4.0,"[0.07695987585050319,-0.16878259758771902]",4.0,"[0.1317781170415061,0.020550321605764442]",100.0,"[-0.1419706440493224,0.019612124762177965]",100.0,"[-0.1080921449519137,-0.023961637587816394]",100.0,"[-0.0034103427316973575,-0.04094195152554336]",4.0,"[0.13932461767173265,-0.029984306437051314]",4.0,"[-0.023091758004493895,0.014173887123187678]",100.0,"[0.08783449338230225,0.11097872333445509]",4.0,"[-0.05633037300275388,-0.18829677351572294]",100.0,"[0.023854415890314454,-0.19195434336403136]",100.0,"[0.059250640575631654,0.06819018811713659]",100.0,"[0.19273417110184946,-0.002091695496790838]",4.0,"[0.10854240001794756,-0.08320606809418916]",4.0,"[0.16937463184790436,-0.06402934416926388]",100.0,"[-0.13828991597223653,-0.06831150965770202]",4.0,"[-0.0760945950057122,0.046053133219642405]",4.0,"[-0.0699040265492091,0.16221076333084505]",4.0,"[-0.05185765893949564,-0.0645401233445484]",100.0,"[0.012127776462262947,0.10239421764146074]",100.0,"[0.0960601937875531,0.1739264357929093]",100.0,"[-0.04125909563551291,-0.13065081075635904]",100.0,"[0.019701073372542708,0.01323656524768854]",100.0,"[0.16282273856185261,0.0567605382020204]",100.0,"[0.06077427522156658,-0.08050066063020515]",100.0,"[-0.13305684256482292,0.09234407904701813]",4.0,"[-0.030314041327350095,0.06019576939016359]",100.0,"[-0.13620674951252923,-0.14270941162109055]",4.0,"[-0.19688216709878886,0.016539756447642603]",4.0,"[0.02,0.02]",95.0718,0.0,3.0,3.0,96.0,1.0,,,,,,,
