right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0018,55.236,space,40.2135,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,55.2364,105.4392,space,20.1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,105.4395,110.501,space,2.0544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,110.5621,111.0124,111.0129,111.2539,111.2541,112.7457,,112.746,113.8455,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,113.8465,114.3358,114.3358,114.5831,114.5832,115.045,right,115.0452,116.145,0.0,1.0,1.0,0.0,1.0,0.2,0.4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1459,124.9211,space,5.7667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,124.943,125.4278,,,125.6801,125.8627,left,,,,,,,,0.5,0.1671,,,,,,,125.4284,125.6799,125.8631,"[-0.07441280319241973,0.13897624888896792]",4.0,"[0.12967445294028945,-0.07720657706787849]",100.0,"[-0.02687166183534954,0.005093133679383012]",4.0,"[-0.1531689798427287,0.06212372229210694]",4.0,"[-0.06453862029821034,-0.14235379871115947]",4.0,"[0.0498241568480937,0.0005413194878501197]",100.0,"[-0.1378500021231873,-0.09269180317428025]",100.0,"[-0.16211305692564404,0.01982245676986221]",4.0,"[-0.06611389682091477,0.015668220993348473]",4.0,"[0.037198365249562715,0.05283773018136328]",4.0,"[0.04020493984466372,-0.05125268056870292]",100.0,"[-0.03574190606016145,0.18790448598600568]",100.0,"[0.1303987719645552,0.00674362280121499]",100.0,"[-0.14518168337346887,-0.03763063370243893]",100.0,"[0.03913383422428013,0.11915437556452857]",100.0,"[0.1662973319308059,0.04588827875282214]",100.0,"[-0.11327167360964896,0.03416484331042847]",4.0,"[0.029201097956732893,-0.15323593510659847]",100.0,"[-0.03503235781476496,-0.17922258060106253]",100.0,"[0.07630407205975144,0.07022031585372376]",100.0,"[-0.017697565452906103,0.1012481514666177]",100.0,"[0.13251383811245815,0.12827425520406088]",4.0,"[0.19588525096393294,-0.02338826665915346]",100.0,"[-0.1323982621327883,0.13777411049932928]",4.0,"[-0.19325051394510667,-0.016357144122608715]",100.0,"[-0.008157473606730681,-0.04035880724068083]",4.0,"[-0.18588178788391116,-0.0623355733061749]",4.0,"[0.04799139843909199,-0.10127079091218333]",4.0,"[0.11188884352921934,-0.15217080967475236]",4.0,"[0.179746853731386,-0.07156384908509222]",100.0,"[-0.08728277607479498,0.09617880276917667]",4.0,"[0.013132038439411431,0.1567543160341276]",4.0,"[0.02,0.02]",126.9626,0.0,0.0,0.0,117.0,1.0,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,126.9632,127.4624,,,127.7028,128.1371,left,,,,,,,,0.6,0.4181,,,,,,,127.4625,127.7028,128.1372,"[-0.15475676205543615,0.08531509587557487]",100.0,"[0.12083479023343202,-0.13675953224248322]",100.0,"[0.1729181339742,-0.008621561717013828]",4.0,"[0.02604667466340083,0.1663505358935309]",4.0,"[0.011330429842749203,0.06970784440230268]",100.0,"[-0.09606368404077285,-0.16808293769592744]",100.0,"[0.10741228813383402,0.0752435211994052]",100.0,"[0.003590615501619675,-0.1611064292167529]",4.0,"[0.17027708627145585,0.06781163712855466]",100.0,"[-0.044090681959834156,0.1252806142094516]",4.0,"[0.13550171943338316,-0.09271059649523528]",100.0,"[-0.025267097877196384,0.008381431302551841]",100.0,"[0.1495546958521257,-0.049233543394094074]",4.0,"[0.05065959138687228,-0.06274903820809849]",100.0,"[0.0720379025891259,0.1493196978340691]",4.0,"[0.0736632454346585,-0.14827017090626632]",100.0,"[-0.12720890278853203,0.13538730004165447]",100.0,"[0.038499844697735354,-0.01923254120052003]",4.0,"[-0.05066272155206877,-0.1697313777424287]",100.0,"[-0.1753542696993054,-0.017564678170278854]",4.0,"[-0.1170495760067698,0.037085091956932915]",4.0,"[-0.04388035899630184,-0.03659172872985052]",100.0,"[-0.09561075241309952,-0.06392051941804813]",100.0,"[-0.09615668903368813,0.07904366874402496]",4.0,"[0.07149430357164192,0.04535383829533447]",100.0,"[0.0699994532960047,-0.10211342756149212]",100.0,"[0.0790258884102214,-0.002727439270386879]",100.0,"[0.10992809153297506,-0.03235171650435419]",4.0,"[-0.01627154790124937,-0.08790925078518927]",4.0,"[-0.05206498323079811,-0.1272089661894088]",100.0,"[-0.08097483951099656,0.1608271935221113]",100.0,"[0.15538562155016822,0.10837573298390472]",4.0,"[0.02,0.02]",129.229,0.0,1.0,1.0,53.0,1.0,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,129.2296,129.7278,,,129.9694,131.2616,left,,,,,,,,0.55,1.2706,,,,,,,129.7278,129.9694,131.2617,"[-0.15109174493932137,-0.05960440484362035]",100.0,"[-0.12663467253010896,-0.11327944654312963]",100.0,"[-0.1849496791517532,-0.03282035693374446]",100.0,"[-0.14712141406022547,0.10706701688711412]",4.0,"[0.07165352940383926,-0.08904778045553624]",4.0,"[0.08194666742261791,0.0719428512637802]",100.0,"[-0.04039517047113102,-0.03325516685022454]",100.0,"[0.009372080508194634,0.1285678217618953]",100.0,"[0.1424674064676424,0.04196630869184218]",4.0,"[0.025572593655117392,0.1833929192826979]",4.0,"[0.03504742392469011,-0.1806221901322315]",4.0,"[-0.026072917220963984,-0.10573972298379557]",100.0,"[0.07721379246433453,0.12045920326556867]",100.0,"[0.11626384400916248,-0.15534276377998948]",4.0,"[0.13038770236893185,-0.05113911507250995]",4.0,"[0.03372340464045584,-0.06739071193622487]",4.0,"[-0.06342968812892476,-0.1349067986729491]",100.0,"[0.1308305201632344,-0.11069029378621968]",4.0,"[-0.07479823824549207,0.15601164744565352]",100.0,"[-0.13993459308470005,0.0656781989088513]",4.0,"[-0.0739612243408969,0.08470130454991737]",100.0,"[-0.052194130432448145,0.024452118739410812]",4.0,"[-0.0019772037757762816,0.05081958320707265]",4.0,"[-0.022140904892875967,-0.16093299681441084]",100.0,"[0.18034617281736504,0.023637867407534152]",100.0,"[0.0866289143801918,-0.01690158501757687]",100.0,"[0.02800312168502675,0.0852834216896171]",100.0,"[0.17315056581767369,-0.058546166442589094]",4.0,"[-0.0900123051553095,-0.17767390902705088]",4.0,"[0.1352962905458811,0.14588891034146986]",100.0,"[0.06331296599433199,0.16783868123842924]",100.0,"[-0.09939132214752816,0.013227832106141663]",100.0,"[0.02,0.02]",132.3525,0.0,2.0,2.0,70.0,1.0,,,,,,,
,,,,,,,676c33a837a28914650c4962,6842bbfbd8e6f71878035cde,2025-06-06_12h01.16.738,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,132.3532,132.8441,,,133.0859,134.1845,right,,,,,,,,0.55,1.0826,,,,,,,132.8442,133.0858,134.1845,"[-0.16385485080065174,-0.04390091455091331]",4.0,"[0.10460707843856416,-0.12562911000155053]",100.0,"[0.05721090811563954,0.12427293463710429]",100.0,"[-0.041583502418677816,0.08049388567494015]",4.0,"[-0.014464650180380996,0.15935773377587714]",4.0,"[0.004750934955778306,0.04491653358697335]",4.0,"[0.03707109466072543,0.010722586329488925]",100.0,"[0.08882193604608388,-0.02926724451688829]",100.0,"[-0.1290154132181465,0.05792561864870748]",4.0,"[-0.09771178993294914,-0.052448499391787626]",4.0,"[0.19725967428291322,-0.01612172053996716]",4.0,"[0.04101082746407557,-0.13591706668311807]",100.0,"[-0.13762995733184877,-0.0800063843432041]",100.0,"[-0.07313873594462075,0.011103376917153447]",4.0,"[0.07798695968496787,-0.07882560578174101]",4.0,"[-0.043754697262849376,-0.11662780867858841]",4.0,"[0.11358290568477417,0.03794279666105178]",4.0,"[0.16381987922974303,-0.07230732918285235]",100.0,"[-0.13742087874893041,0.10231990027547377]",100.0,"[-0.13507346580163473,-0.13169802046052562]",4.0,"[-0.006734931267463229,-0.09159320073576668]",100.0,"[-0.14785514002610234,0.012980376027101762]",100.0,"[-0.05540422840000208,-0.07020327627648806]",100.0,"[0.12262015793980628,-0.06247277213498222]",4.0,"[-0.0869015329985011,-0.17974269813700872]",100.0,"[-0.07122813218914015,0.11752536508081808]",4.0,"[-0.022957638100876258,0.11630782318050147]",100.0,"[0.1471716834284085,0.08771522111962081]",100.0,"[0.04664919914526754,0.0655778361068883]",100.0,"[-0.06461393233566318,0.18702846841076481]",100.0,"[0.1531164101928798,-0.11140397188976216]",100.0,"[-0.19216455529784415,0.036663419635667945]",100.0,"[0.02,0.02]",135.284,0.0,3.0,3.0,76.0,1.0,,,,,,,
