right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,19.4893,space,4.4792,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,19.4898,50.6215,space,1.1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,50.6216,54.2546,space,0.6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,54.2651,54.7544,54.7549,55.0049,55.005,56.5047,,56.5049,57.6047,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,57.6053,58.1043,58.1044,58.3545,58.3546,59.3378,left,59.3378,60.4375,0.0,1.0,1.0,0.0,1.0,0.2,0.9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4378,65.8545,space,2.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.8641,66.3542,,,66.6046,67.4876,right,,,,,,,,0.9,0.8664,,,,,,,66.3548,66.6045,67.4882,"[0.12806015173075805,0.017875229366425282]",100.0,"[-0.014220428292731803,-0.02333879014119763]",100.0,"[0.07286543477058378,0.03536859389237439]",100.0,"[0.07875622671659821,-0.04774554066353382]",100.0,"[-0.11491840397389423,0.1620802426753238]",100.0,"[-0.10296204000907971,-0.15194770405342128]",100.0,"[0.07117521921206266,0.15499179197909732]",100.0,"[0.15081558756348692,0.10129599445221918]",100.0,"[-0.01399391072706306,0.08317822751705932]",100.0,"[-0.1930873338494229,-0.026502278875622863]",100.0,"[-0.1477695402713607,0.12894043574125547]",100.0,"[0.021964754800931473,-0.10097705826412576]",100.0,"[-0.02800733626465657,-0.1896326660116648]",100.0,"[-0.050768164544254764,0.019629506132138937]",100.0,"[-0.18485821582155032,-0.07268401809637619]",100.0,"[-0.060572020799094246,-0.07858879011962358]",100.0,"[0.030473595973882505,0.10267088441690565]",4.0,"[-0.14047490501337778,0.005536450698010215]",100.0,"[-0.15931767331574873,0.04920678296420425]",100.0,"[-0.03734275942077805,0.12144569831087453]",100.0,"[0.06138655653769453,-0.17105103262049687]",4.0,"[0.1076655840169247,0.0901384533481698]",100.0,"[0.10172591107239833,-0.16275132029358566]",100.0,"[-0.055063541135860275,-0.15389416309344717]",100.0,"[0.13248570075706595,-0.06613760415680994]",4.0,"[-0.07568281418766686,0.06560457461118982]",100.0,"[-0.13112156551471543,-0.10203112428492722]",100.0,"[-0.10805767682458858,-0.053601939134749]",100.0,"[0.013283600516953478,0.032912540132738144]",100.0,"[-0.11255079085105817,0.10199058279876497]",100.0,"[-0.047894561971759016,0.19382028428110595]",100.0,"[0.19522757232959564,-0.042485656869491]",100.0,"[0.02,0.02]",68.5881,0.0,0.0,0.0,9.0,1.0,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,68.5887,69.0874,,,69.3382,70.1043,left,,,,,,,,0.45,0.7493,,,,,,,69.0874,69.338,70.1044,"[-0.005396988159893245,-0.14396155325273294]",4.0,"[0.09215451718625549,-0.13195989752250648]",100.0,"[0.1342327512033091,-0.037121518366717]",100.0,"[0.08816014412404963,0.02079320966926663]",100.0,"[0.12730037200235683,0.12821807141618616]",100.0,"[-0.13121477960028285,-0.0049858516390957975]",100.0,"[0.18123786161153072,-0.06368901369842969]",4.0,"[-0.06566390127273683,-0.14825855322775341]",4.0,"[-0.19342800556238104,-0.003196603907407572]",4.0,"[-0.01169287046354447,-0.05700304734350775]",100.0,"[-0.06636096961586281,0.1495962397644982]",4.0,"[-0.12348857235085099,-0.1112222836820935]",4.0,"[0.0663162377144303,-0.16420308645038448]",100.0,"[0.1635035687424549,0.07980517327568477]",100.0,"[0.08488402858615572,0.06284063754416744]",4.0,"[0.143162893297976,0.02973558752855094]",4.0,"[0.0791982063792081,0.1598875595737236]",100.0,"[-0.18880331848183346,0.058175045174843544]",4.0,"[-0.1285286888181499,0.05171199148630759]",4.0,"[-0.014944625777848811,0.004041166907492806]",100.0,"[0.19712506954610878,-0.010595108363656859]",100.0,"[-0.04877735237704042,0.03273996392461742]",100.0,"[0.04909993454521921,-0.008792914725893235]",100.0,"[-0.03522522595451637,-0.11668125263581208]",4.0,"[0.02825175234888762,-0.1778409471179886]",4.0,"[-0.038203807708295325,-0.19258998013319428]",100.0,"[-0.07910802979913503,0.08689338020207603]",4.0,"[-0.005455621792658723,0.18956365644258558]",4.0,"[-0.01728818831710595,0.061837375773607824]",4.0,"[0.02566482920311679,-0.08493738360899092]",4.0,"[-0.13550700590029077,0.13809179751935405]",4.0,"[-0.1332668194012747,-0.05274583273030832]",4.0,"[0.02,0.02]",71.2041,0.0,1.0,1.0,138.0,1.0,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,71.2048,71.7041,,,71.9549,72.8376,right,,,,,,,,0.5,0.8687,,,,,,,71.7043,71.9547,72.8377,"[0.08736367966018446,-0.08845118005693291]",100.0,"[0.0053626632175870735,-0.03003947352119762]",100.0,"[-0.00948033067289089,-0.0795530019648043]",4.0,"[-0.12902234667951365,0.037517354929702096]",100.0,"[-0.07469620223405948,-0.03520338293811402]",4.0,"[-0.17825149048546543,0.044685540506789835]",100.0,"[-0.16055562813686464,0.09570828194498028]",4.0,"[-0.04025725626480651,-0.1727286932615732]",4.0,"[0.16562438585580014,0.06342968435382361]",4.0,"[-0.1007620326617104,-0.12572648905777406]",4.0,"[0.16347974652204492,-0.08305273694125366]",100.0,"[-0.13924083734552115,-0.11356798144577769]",100.0,"[0.08891084467870132,0.0710393800839755]",100.0,"[-0.11252136408286456,-0.0009591128480454905]",4.0,"[0.12186082647774249,0.11411110599731339]",4.0,"[0.10435229008183011,0.004240858210268996]",100.0,"[0.03079410677684628,-0.09748384516131652]",100.0,"[0.05068996890080911,0.02755187685288224]",100.0,"[0.1367529271359528,-0.03948363222838843]",4.0,"[-0.057784270350217125,0.04738621448457378]",4.0,"[0.06561299522744407,-0.04941141233274116]",4.0,"[0.05607695942425245,-0.15064923421184748]",4.0,"[-0.027566250132314455,0.1435573729447384]",100.0,"[0.056358730996897394,0.12347954072068329]",100.0,"[0.00622391179665796,0.06929432406902994]",4.0,"[-0.000672230696834674,-0.13873306378387482]",4.0,"[0.1974488693539887,-0.0095144146841688]",4.0,"[-0.10567318187347986,0.08034872396637498]",100.0,"[-0.17435478731654852,-0.07337985051552225]",100.0,"[-0.11433845478430284,-0.07340243529719716]",100.0,"[-0.11454591635183789,0.12369906058742822]",4.0,"[-0.1619894916305972,-0.031371322799833186]",100.0,"[0.02,0.02]",73.9376,0.0,2.0,2.0,110.0,1.0,,,,,,,
,,,,,,,6773ea482c488f0e35bd7b5c,6842bbd118fcc34cd77fab51,2025-06-06_10h58.52.797,shape_ratio,2024.1.5,Win32,59.52380952,6842b561977af9ba9b0f87ca,,,,,,,,,,,73.9381,74.4376,,,74.6877,75.5211,right,,,,,,,,0.6,0.8248,,,,,,,74.4377,74.6877,75.5211,"[-0.07203127716654337,-0.13996806726998215]",100.0,"[0.04968356880191541,0.060898876356572026]",4.0,"[-0.18555206372322902,0.005954252337801994]",100.0,"[-0.05200934486842087,-0.0791176522365899]",4.0,"[-0.04777589849278104,-0.00707924672040015]",4.0,"[0.10125829454419745,0.09621146152486902]",4.0,"[0.12102726069366694,-0.12820035504935823]",4.0,"[-0.005415742658932136,0.10527903964179433]",100.0,"[0.07288569162227776,0.16845355979642088]",100.0,"[-0.00423874388192762,-0.013271534888484425]",100.0,"[-0.176971088326122,0.07359636255768384]",100.0,"[-0.118456647510192,-0.1553580269359089]",100.0,"[0.005525660064231066,0.17743951678333636]",100.0,"[-0.1490159904977244,-0.08546521136011728]",100.0,"[-0.014609443571213966,-0.05817020582193399]",100.0,"[-0.03932582087172696,0.1930818982860709]",100.0,"[-0.03175854591948149,0.06760383338300677]",4.0,"[0.053815015587447085,-0.1379154007940619]",100.0,"[-0.17662754289295624,-0.033679162122555485]",100.0,"[0.0423068171256854,-0.04712518922276911]",100.0,"[0.14285970192004838,0.11408560930787581]",100.0,"[-0.13402305391743596,-0.02754501528135422]",100.0,"[0.08747508608673595,0.02146450310189711]",4.0,"[-0.13704111629243054,0.12236210770574163]",100.0,"[-0.005946612504121293,-0.17556403244102994]",4.0,"[0.04192992385412764,0.011261482976341166]",4.0,"[-0.10555901473496788,-0.0846285537594779]",4.0,"[0.14538185117137897,-0.09128650351529924]",100.0,"[0.15138933540521335,0.05274562701097069]",4.0,"[-0.08284201620072626,0.11622040178339636]",4.0,"[0.1752681434082367,-0.013260272083087861]",4.0,"[0.12353765066563328,-0.0309680944998665]",100.0,"[0.02,0.02]",76.6208,0.0,3.0,3.0,40.0,1.0,,,,,,,
