right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,41.0202,space,25.9957,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,41.0212,94.0514,space,23.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,94.0521,107.0036,space,9.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,107.0499,107.5196,107.5203,107.7695,107.7697,109.268,,109.2685,110.3668,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,110.3679,110.8659,110.866,111.1219,111.1221,111.5654,left,111.5656,112.6643,0.0,1.0,1.0,1.0,1.0,0.8,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6656,117.3601,space,1.6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,117.3796,117.8755,,,118.1266,118.7917,right,,,,,,,,0.45,0.6486,,,,,,,117.8765,118.1264,118.7928,"[-0.14534715663540382,-0.014592397782937248]",100.0,"[-0.06921341201914442,-0.11673516139505319]",4.0,"[0.1436990755291744,-0.008250713171570357]",4.0,"[-0.007380827868529101,-0.0873026859187041]",100.0,"[0.022260273925936977,0.047604470904287675]",4.0,"[-0.11463687597874421,-0.12971485973223254]",4.0,"[-0.0773485359368957,0.1069760855384736]",100.0,"[-0.125700102202613,-0.05721768727421427]",100.0,"[-0.1463699127706612,0.05010242739946748]",4.0,"[0.08589783981790136,-0.07574206445839905]",100.0,"[-0.1909226180305053,-0.0007296217619520136]",4.0,"[0.07458963577951885,-0.15370251892425507]",100.0,"[0.09776545436399862,0.11197391816777735]",4.0,"[0.00792919453599877,-0.0458919473797055]",100.0,"[-0.15481991327110226,0.10648347869358132]",4.0,"[0.03487045531560212,0.17887571979067382]",4.0,"[0.056786805528708593,0.018677216143798248]",4.0,"[0.0024911489099564872,0.12532065346950924]",100.0,"[0.17514917693046603,0.08808194182089657]",4.0,"[0.1827566035855596,0.014605624862386063]",100.0,"[0.1108307183761521,-0.12640836890799048]",100.0,"[0.13490853369314693,0.08068128643094333]",100.0,"[0.14721872346145673,-0.06601454845801545]",100.0,"[0.1663590102403863,-0.11020502446501816]",4.0,"[-0.12267028256524137,0.15044328769532522]",4.0,"[-0.01281412644695756,0.17805617678294036]",4.0,"[0.032306635985264634,-0.1937557645462198]",4.0,"[-0.18767052619348001,0.05595045803894069]",4.0,"[0.011696805292358583,-0.15088022304738058]",100.0,"[-0.10015011923843456,0.029724896732557026]",4.0,"[-0.056507669070109026,0.190959712682663]",4.0,"[-0.18000690775848022,-0.04475940852320556]",100.0,"[0.02,0.02]",119.8907,0.0,0.0,0.0,138.0,1.0,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,119.8914,120.3899,,,120.6404,121.1224,left,,,,,,,,0.5,0.4743,,,,,,,120.39,120.6403,121.1225,"[-0.030229893587985723,0.058323798899948966]",100.0,"[0.07439055505728448,-0.014233044204053639]",4.0,"[0.039633114889611853,-0.1412347095841088]",100.0,"[0.09482269894272144,0.04618217576408956]",4.0,"[0.12707770065306206,0.15037973368374716]",4.0,"[-0.08616369388552779,0.16959443063551413]",100.0,"[0.06160605238195642,0.06951342482991221]",4.0,"[0.15395253676690127,0.06129986867337835]",100.0,"[-0.030593175641897785,-0.12855571758378398]",100.0,"[-0.17403667546337612,-0.008157899461857052]",4.0,"[-0.11523227620512176,0.03375954988682712]",4.0,"[-0.1430671212558492,0.0791615985415473]",100.0,"[0.008130572207398289,-0.19350683374601874]",4.0,"[0.09041990928936668,-0.15010264087488573]",100.0,"[0.08620824371028123,0.10619389626868832]",4.0,"[-0.0905798696147814,-0.021902275479190714]",4.0,"[-0.09517184619966618,-0.11603282989851657]",100.0,"[-0.02907352280654036,0.1319452372367468]",100.0,"[0.07473216873523718,-0.07358372316887467]",100.0,"[-0.15745400248479657,-0.11510736881802126]",4.0,"[-0.08005755875868688,0.10896238767955908]",100.0,"[0.048782870175834186,-0.192387175587146]",4.0,"[-0.12545528270609924,-0.15544300695023852]",4.0,"[-0.022875659272463295,-0.07122029546191026]",100.0,"[0.1405192789606184,-0.07110521453090393]",100.0,"[0.06125709425406533,0.14038258069821433]",100.0,"[-0.12483544953490196,0.14137316337932432]",100.0,"[0.17515866731094581,-0.026228076542859247]",4.0,"[0.020445910406863225,0.008171505922986076]",100.0,"[0.03902385822232859,-0.048200030569069116]",4.0,"[-0.06802840261653012,0.0330752486813575]",4.0,"[-0.12019849819709602,-0.06557639130555006]",4.0,"[0.02,0.02]",122.2215,0.0,1.0,1.0,109.0,1.0,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,122.2222,122.7208,,,122.9707,123.4537,left,,,,,,,,0.9,0.4702,,,,,,,122.7209,122.9706,123.4538,"[0.07672190359571575,-0.053273780113470365]",100.0,"[0.0035288572616790055,0.16126338094102896]",100.0,"[-0.09639671797127951,0.13898460550376776]",100.0,"[0.14223282236555881,-0.054927283979134836]",100.0,"[-0.07400357317223143,0.09036944588596113]",100.0,"[0.1703624280128134,0.01081730259811586]",4.0,"[0.12653635838535765,0.07878463877397489]",100.0,"[-0.004414295702822584,-0.0022378794714177164]",100.0,"[0.13664644901066972,-0.13260092387970748]",4.0,"[0.06006856869940867,0.04173167193394954]",100.0,"[0.026701456287796885,-0.17099006112833862]",100.0,"[-0.052172172752815105,-0.03388925917347119]",100.0,"[0.026266685569116103,-0.03139362687301685]",100.0,"[-0.1220981574823279,-0.05869091121060488]",100.0,"[-0.15906185683272003,0.09900398280145026]",100.0,"[-0.09560960889969432,0.050412484192532324]",100.0,"[-0.08114875114797772,-0.13049511628191146]",100.0,"[-0.12905837370380357,-0.15274780581407943]",100.0,"[0.030323339363501116,-0.08829702171512739]",100.0,"[0.09510178131021152,-0.11292412847384636]",100.0,"[-0.14649330406007458,0.0036176646400081416]",100.0,"[0.1739054472817133,0.08160387938485344]",100.0,"[0.050338099598732436,0.10456555206216096]",100.0,"[0.011691852506449758,0.07160495204354102]",100.0,"[-0.05536138662883429,0.1712883145444576]",100.0,"[-0.021807999050547408,-0.06595667299696449]",100.0,"[-0.04769300694079236,0.12059992913110731]",100.0,"[-0.0608037712768167,0.01615835385229924]",100.0,"[-0.0219926908120374,-0.17047643250643255]",4.0,"[-0.18126149496289992,0.039076350318309146]",100.0,"[0.09066515756937449,0.11493428347199644]",100.0,"[-0.09323501547350484,-0.08935355338032587]",100.0,"[0.02,0.02]",124.5524,0.0,2.0,2.0,21.0,1.0,,,,,,,
,,,,,,,677948fa843635fdb42a4351,684429505a86090779a67644,2025-06-07_12h58.21.636,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,124.5531,125.052,,,125.3023,125.7013,right,,,,,,,,0.55,0.3726,,,,,,,125.0521,125.3021,125.7014,"[0.08877021327557544,0.019345079459314917]",100.0,"[0.13566976187674434,0.07331783370065828]",100.0,"[-0.11240715765117106,0.16443650243171845]",4.0,"[-0.016767506540240083,0.09304343519138102]",100.0,"[0.17530083553061593,0.03268665025992232]",100.0,"[-0.11681993682104211,-0.02837046357189233]",4.0,"[-0.029133205916051716,-0.0337431241786946]",100.0,"[-0.01100695629749877,-0.1478254608925532]",4.0,"[0.037452191895504416,0.047821540351357925]",100.0,"[-0.11424054775979486,0.08067005126644515]",4.0,"[0.004472749778052646,-0.18642570854892707]",4.0,"[-0.061757014561896036,-0.1871446937078966]",4.0,"[-0.07083526641044087,-0.04684101532971196]",4.0,"[0.01763217142084318,0.17368992069378233]",4.0,"[0.016703273996660887,-0.03248274508768977]",4.0,"[-0.10068333778144327,0.12003381502919411]",100.0,"[0.056523137508203654,-0.13236637509548838]",4.0,"[-0.03386822591848565,-0.10328962273313667]",100.0,"[0.14329228271549166,-0.03730073985916995]",4.0,"[0.07663368025850671,-0.020874862355779063]",100.0,"[-0.06785079142730588,0.06320336755432093]",100.0,"[0.12416950758084576,0.14172845514716453]",100.0,"[-0.07895065025201267,-0.1157573890883122]",100.0,"[0.15343936990045984,-0.10322680482361932]",100.0,"[0.11476781328343816,-0.117432551247238]",100.0,"[0.07840270915273852,0.058124238657018004]",100.0,"[-0.11275210806473226,-0.0755812521643449]",4.0,"[-0.02231768449529855,0.01844995118141717]",4.0,"[-0.16363115060314432,0.026767340934952383]",100.0,"[-0.15148475306675704,-0.10308313934311765]",100.0,"[-0.09983521063313151,-0.16319116754686042]",4.0,"[-0.048961536652060184,0.15117373883117252]",100.0,"[0.02,0.02]",126.8,0.0,3.0,3.0,86.0,1.0,,,,,,,
