right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0009,103.5538,space,88.4099,0.0428,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,103.5591,315.459,space,181.7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,315.4651,323.798,space,5.3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,323.9042,324.3021,324.303,324.5847,324.5853,326.053,,326.0539,327.157,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,327.1618,327.6485,327.6486,328.0034,328.0036,328.5725,left,328.5727,329.6714,0.0,1.0,1.0,0.0,1.0,0.2,0.5506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.6722,333.5536,space,0.8757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,333.6256,334.0681,,,334.6424,335.4776,left,,,,,,,,0.55,0.8213,,,,,,,334.069,334.6424,335.4783,"[0.046667419050522546,-0.058396108628849745]",100.0,"[0.08655062680197395,0.07904846111550455]",100.0,"[-0.006604507342890825,-0.19394585396119787]",100.0,"[-0.0780000523128259,0.11549064901778791]",4.0,"[0.13121804546996954,-0.05480188821829032]",4.0,"[0.10371623053772917,-0.12986833980328197]",4.0,"[0.19101394537421132,-0.022849694453442506]",100.0,"[0.14030795930078568,-0.09872412746564202]",100.0,"[0.052092139627053224,-0.18605408968242468]",100.0,"[-0.16710920205951554,0.05341060923847886]",4.0,"[-0.07501819213477627,-0.1435762054664573]",4.0,"[0.05713148457550929,0.13645644388561748]",4.0,"[-0.07856573437256978,0.04513558412050395]",100.0,"[0.09907769404935333,0.12461633755451086]",100.0,"[-0.04791107150221782,0.0010016781788398522]",4.0,"[-0.15643531085423448,-0.10904407825698295]",100.0,"[-0.004366745504884378,-0.016570766544221002]",4.0,"[0.17054363553481314,-0.06931682411784933]",100.0,"[0.006477166239839346,0.05534826415592777]",4.0,"[-0.019067309053125463,-0.08814219359533865]",4.0,"[-0.14399130192965612,-0.004430178915987108]",100.0,"[-0.07969480271227318,-0.08927755727801605]",100.0,"[-0.055553576972714444,-0.05498621668864437]",100.0,"[-0.14989215806238312,-0.0635903512217443]",100.0,"[-0.08519568409114033,0.1663861717117648]",4.0,"[0.18798143731828784,0.066050349824327]",4.0,"[-0.011899142746816117,0.17508277743987052]",100.0,"[0.16607759270052977,0.1023303473475116]",100.0,"[0.09981484703685232,-0.01376795243871188]",4.0,"[0.14939857188110112,0.014431901792335063]",100.0,"[-0.10521743269925149,-0.041049458442511365]",4.0,"[0.13464275685012658,0.06987672749024651]",100.0,"[0.02,0.02]",336.5745,0.0,0.0,0.0,76.0,1.0,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,336.5771,337.1792,,,337.5991,338.3342,right,,,,,,,,0.55,0.6897,,,,,,,337.1806,337.5989,338.3385,"[-0.051138738601536705,0.16416123550585143]",4.0,"[-0.038463161039807035,-0.18265383656228043]",4.0,"[0.155755883221503,0.06368605342357736]",100.0,"[-0.0336508303074289,-0.13736024640929909]",100.0,"[-0.05419896423813279,-0.06339060022354798]",100.0,"[0.022811990282741706,0.15687327080120314]",100.0,"[0.006787000616120776,-0.01828825542805038]",4.0,"[0.12946170000316792,-0.04656716260600085]",100.0,"[-0.1266525633588542,-0.06383109354897236]",4.0,"[-0.09399601274564844,-0.037502861798413424]",100.0,"[-0.1089050765163866,-0.12747627357991895]",100.0,"[-0.15805301358044013,0.10789336998986257]",4.0,"[-0.014438924028588984,0.07661336666318908]",4.0,"[0.1909949291247361,0.01234368052745912]",4.0,"[0.060198429768022685,-0.012848258963266766]",100.0,"[0.17099319060069634,-0.03369595720010608]",4.0,"[0.021937315678778373,-0.09810896863996961]",100.0,"[0.02060657049835195,-0.16535183968958814]",100.0,"[-0.07091625947083956,0.10771500051594277]",4.0,"[-0.15165955962829464,0.023248581322250394]",4.0,"[-0.04296917306223013,-0.003240458702941245]",4.0,"[0.0762052562498204,0.09541833017962978]",100.0,"[-0.09597555169954039,0.020453947644008326]",100.0,"[0.08197908004669743,-0.09362864261001184]",100.0,"[0.1327879807298998,0.10171033428196659]",4.0,"[-0.15702553548234785,-0.11742276962583034]",4.0,"[0.16071200654825782,-0.11866912567452384]",100.0,"[-0.1887352173208341,-0.015355938718045907]",100.0,"[0.059460078288098,-0.05978718475818182]",100.0,"[-0.024046835696032127,0.1311447799994321]",100.0,"[-0.1050746006104429,0.16581952393408347]",4.0,"[-0.055846739747252995,0.047176750180301374]",100.0,"[0.02,0.02]",339.3993,0.0,1.0,1.0,65.0,1.0,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,339.4005,339.8959,,,340.1212,341.0125,left,,,,,,,,0.5,0.8804,,,,,,,339.8959,340.1211,341.0125,"[-0.11848622830020308,-0.09759892617981776]",100.0,"[-0.17806823040759662,-0.00814636814769358]",4.0,"[-0.037847204440730635,0.043010346860871726]",100.0,"[-0.1471315799550293,-0.06950977336410542]",4.0,"[0.009511816785870554,-0.15994985840254825]",4.0,"[0.09742905967125817,-0.0038529359562553714]",4.0,"[0.10329498869687048,0.09748707401979782]",4.0,"[0.15932128238377602,0.01597746338285873]",100.0,"[0.10553536692266037,0.13959997980045835]",100.0,"[0.14280872623332128,0.11248668718288016]",100.0,"[-0.0948689187824712,0.013277247961364121]",4.0,"[-0.1339180416193107,0.05737495759647187]",100.0,"[-0.055996098594551506,0.1748749288017825]",100.0,"[-0.07382347825176806,-0.1489322977643099]",4.0,"[0.06409461434544826,-0.07332201903738518]",4.0,"[0.007674473523734809,0.13316932405924525]",4.0,"[0.14555905496543184,-0.037908217899238025]",100.0,"[0.02264493648915671,-0.09194813944095986]",100.0,"[-0.11964543431583817,0.10249371350752745]",4.0,"[0.03753254889256644,-0.007680660903463274]",100.0,"[0.07336694165904054,-0.14639325976841702]",4.0,"[-0.034469265973021614,-0.17970281364727544]",4.0,"[-0.039520561157058924,-0.018735863126569923]",4.0,"[0.12401739181571038,-0.11991738919446973]",4.0,"[-0.019246521094259558,-0.07780972741693451]",100.0,"[-0.09640099414454863,0.14899910195455374]",100.0,"[0.13072621002373466,0.05856877792136319]",100.0,"[0.03261504876700904,0.058885294174448086]",100.0,"[-0.06324265704735352,-0.09573804165904178]",4.0,"[0.044776988797273716,0.1550713577948098]",100.0,"[-0.03925341194442871,0.0883574602446029]",100.0,"[-0.19637018311950175,0.033174603557550045]",4.0,"[0.02,0.02]",342.1103,0.0,2.0,2.0,102.0,1.0,,,,,,,
,,,,,,,678cbebf7d5530210477f254,6842bbf17e14c96824c5a452,2025-06-06_12h01.10.688,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,342.1115,342.6118,,,342.7696,343.399,right,,,,,,,,0.9,0.6163,,,,,,,342.6119,342.7695,343.399,"[-0.10413652842547995,0.04642547925596596]",100.0,"[0.015941432419179672,-0.19655396459932226]",100.0,"[0.19935533291438198,-0.006726313982549938]",100.0,"[0.1618530777435848,0.10883095168973381]",100.0,"[-0.0959823989836924,-0.08316758263947074]",4.0,"[-0.025669386020740932,0.04396071382771059]",100.0,"[-0.13215759781300568,0.08009901236019532]",100.0,"[-0.1207835228683934,-0.11614760036693832]",100.0,"[0.12933875631310726,-0.11679760549025635]",100.0,"[0.10197140009547537,-0.04132110896948761]",100.0,"[0.0955105350631921,0.08160527477875289]",100.0,"[-0.04179972568053752,-0.12461152009369084]",100.0,"[0.009909984480143286,0.0009656518619706861]",100.0,"[0.007823074079973038,-0.14307920917716296]",100.0,"[-0.03194961810492665,0.16629118960236627]",100.0,"[-0.12946801721306514,-0.028453153884546133]",4.0,"[0.04067597120091169,0.13149515500430803]",100.0,"[-0.19694886070459464,-0.015324940887629698]",100.0,"[0.1036416293890202,-0.15337790756967798]",100.0,"[-0.01830760110920515,-0.03796248732027827]",100.0,"[0.07647674597877917,0.03812058835113076]",100.0,"[0.08059838474190227,0.14558740617925828]",100.0,"[0.15894213415546274,-0.021871121928914942]",100.0,"[-0.06329910908009613,0.0915951835206092]",100.0,"[-0.07253905089945098,0.1682815525058625]",4.0,"[0.15345631722614206,0.047500514769271036]",100.0,"[-0.0308309385122061,0.12138374693136661]",100.0,"[-0.1097199783513594,0.14908657090697025]",100.0,"[0.047659684815870546,0.1795986835107352]",100.0,"[-0.01440675206356934,-0.08085387743607858]",100.0,"[-0.15821499734680292,0.02482022599379428]",100.0,"[0.005786561944264271,0.1937002395277666]",100.0,"[0.02,0.02]",344.5041,0.0,3.0,3.0,13.0,1.0,,,,,,,
