right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,53.2964,space,38.2702,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,53.297,94.4228,space,11.1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,94.4233,100.2509,space,2.8082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,100.2931,100.765,100.7662,101.0024,101.0027,102.4976,,102.4986,103.5962,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,103.5993,104.0949,104.095,104.4035,104.4037,105.8587,left,105.8589,106.9591,0.0,1.0,1.0,1.0,1.0,0.8,1.4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.9616,113.0882,space,3.1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,113.1327,113.6022,,,113.8225,114.2686,left,,,,,,,,0.4,0.4329,,,,,,,113.6051,113.8224,114.271,"[0.012262522111540034,-0.05283063570975438]",4.0,"[-0.06353403063105767,0.152771939496203]",4.0,"[0.15450671584317072,-0.12476295025630606]",100.0,"[-0.004406037274425536,0.1503101368953416]",100.0,"[0.030421466785764094,0.129715795470593]",4.0,"[-0.013934635450414352,-0.18903738291495378]",4.0,"[-0.17405230783003484,0.052702948507258006]",100.0,"[-0.045236335975857925,0.054387041759921165]",4.0,"[-0.08798750655486892,0.031115960613175436]",4.0,"[0.15414413793909798,-0.06571172890461248]",100.0,"[0.09942370073245878,0.09208009042292087]",4.0,"[-0.17610590390123843,-0.02660398055900714]",4.0,"[-0.04391901130352246,-0.11845234108498323]",4.0,"[-0.029914721585949336,-0.0675002092388859]",4.0,"[-0.03009858340142369,0.19012085827143194]",100.0,"[-0.11517297150298186,-0.03027820361465873]",4.0,"[-0.10628464898791452,-0.13685192011295894]",100.0,"[0.057625579626343,-0.1667514712576705]",4.0,"[-0.12306436829677989,0.15106658160381112]",100.0,"[0.1166218670443622,-0.15313104362568797]",4.0,"[0.13507310454178698,-0.01578337854694408]",4.0,"[0.16013161647451263,0.11494439470023833]",100.0,"[0.10000054694269032,0.16868841095856218]",4.0,"[0.15332337266392398,0.04260201163682968]",100.0,"[-0.1308945832473709,-0.09228462263974793]",100.0,"[0.04266992255327772,-0.011401802192803907]",100.0,"[-0.10456068718663049,0.08348982330519701]",4.0,"[0.05776976187565462,0.08095644288827425]",4.0,"[0.1889929377500757,0.014366852348583198]",100.0,"[0.10581901711881833,-0.11017396975228518]",4.0,"[-0.06418179926763946,-0.1553088035834777]",100.0,"[0.1019911092074475,-0.04956963393941349]",4.0,"[0.02,0.02]",115.3676,0.0,0.0,0.0,164.0,1.0,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,115.3701,115.8673,,,116.1119,116.5673,right,,,,,,,,0.9,0.4446,,,,,,,115.8677,116.1117,116.5685,"[-0.005489285395548826,-0.035335489686456036]",100.0,"[0.16619910230730064,0.07951193395867023]",100.0,"[-0.1153089758390218,0.025103425332473048]",100.0,"[0.08894017936520345,0.1768181670694761]",100.0,"[-0.02780081590278257,0.04315775960851751]",4.0,"[-0.029906606388627573,-0.18800820817328653]",100.0,"[-0.10952642581429045,-0.07014569983094773]",100.0,"[0.09628079742080911,-0.12458356501231625]",100.0,"[-0.05950650003511716,-0.14178011647658506]",100.0,"[0.07841494130029811,0.11928054955446085]",100.0,"[0.12577360225178577,0.08598871937851046]",100.0,"[-0.10317978648320908,-0.14891281353626445]",100.0,"[0.133592579905291,-0.14009064587888403]",100.0,"[0.12071513837945239,-0.028121277969941662]",100.0,"[0.02141742457979491,0.12384058764718707]",100.0,"[0.047078700632222706,0.16900647739669994]",100.0,"[0.03743755011758553,-0.17756024069957319]",100.0,"[0.16719431607877874,-0.07465581823971025]",100.0,"[-0.18005163885041836,0.04774078665825588]",100.0,"[0.08592789629126378,-0.0028915514355943956]",100.0,"[0.03240127947421631,-0.05900204037084368]",100.0,"[-0.08117431744993109,0.17463310624462938]",100.0,"[0.08011212092033669,0.06832304587035297]",100.0,"[0.007577918161126125,-0.11578784887288787]",100.0,"[0.15470467961567502,-0.0056334063477268045]",100.0,"[-0.07781182274170692,0.11808085828165192]",4.0,"[-0.0704764841870815,-0.005932862368099724]",100.0,"[-0.019307944925376845,0.1300791615251679]",4.0,"[-0.028088312062373874,0.0022244250848286575]",100.0,"[0.029144304300956807,0.04203641151428613]",100.0,"[0.11787565433122418,-0.0873344017783606]",100.0,"[0.12554240577747727,0.12986567604168342]",100.0,"[0.02,0.02]",117.6654,0.0,1.0,1.0,7.0,1.0,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,117.668,118.1648,,,118.4222,118.6149,left,,,,,,,,0.4,0.1756,,,,,,,118.1649,118.4221,118.615,"[0.1944178343470415,-0.03488381479213187]",100.0,"[-0.07046666743857084,0.08476817697398899]",4.0,"[0.08808924174386555,-0.1274131810441074]",4.0,"[0.025706769925395424,0.06994054475652992]",4.0,"[-0.020267070889137078,-0.01624791301318765]",4.0,"[0.02232582883937315,0.0022403717373651287]",100.0,"[0.14080001821326454,-0.13416457515949867]",4.0,"[-0.12144337978250594,0.09432962783333508]",4.0,"[-0.005467353591262186,-0.15147873571651174]",4.0,"[-0.0862110565138214,0.1795361442324633]",100.0,"[0.041423503148732485,0.11653869275851991]",100.0,"[0.18722560110022615,0.049169266522246693]",4.0,"[0.16858920825062057,0.09674566477241545]",4.0,"[0.11129689445106375,0.1448338871927522]",100.0,"[-0.030302755307720457,-0.07851275294170851]",4.0,"[-0.14544292712497725,-0.1281303249738743]",4.0,"[-0.07212518526682814,-0.027426974807420006]",100.0,"[-0.14566628784260185,-0.0845819558487008]",4.0,"[-0.1332094956863025,-0.0009415871253233883]",4.0,"[-0.040334072378705024,0.03746427462745947]",100.0,"[0.03501222302463712,-0.08940542230249394]",100.0,"[-0.11412753070795557,-0.15740639399100012]",100.0,"[0.10766036131749852,0.06379323183686499]",100.0,"[-0.03592727023559877,0.17919426691361903]",4.0,"[0.098156613242471,-0.17228684583687862]",4.0,"[-0.06029167790566464,-0.11750038345170517]",4.0,"[0.14400378532816338,-0.08327591782121246]",4.0,"[-0.11259635619610439,-0.04750898258569891]",100.0,"[0.1460246003920024,-0.01265665986439165]",100.0,"[0.027273418177734907,-0.17599587231585812]",4.0,"[0.02296356203625682,0.19030637955647567]",100.0,"[0.10077043950556083,-0.04649912386897299]",4.0,"[0.02,0.02]",119.7137,0.0,2.0,2.0,172.0,1.0,,,,,,,
,,,,,,,678e394d5908a64d41ba0bd1,6844293f136f67aece87c25e,2025-06-07_14h00.04.330,shape_ratio,2024.1.5,Win32,60.60606061,684250e4f00cb30b92d1fa88,,,,,,,,,,,119.7152,120.2118,,,120.453,120.7472,right,,,,,,,,0.5,0.2773,,,,,,,120.2119,120.4527,120.7473,"[-0.05703831349749772,0.15512084213714758]",4.0,"[0.13266688121652948,0.08159370551135739]",4.0,"[-0.03158074868489589,0.006141375983539167]",100.0,"[-0.10328025226369303,0.08521901882978489]",4.0,"[0.1506083171753998,-0.09714353321212293]",100.0,"[0.07746119570628827,-0.040493162379004445]",4.0,"[-0.03552264837881637,0.11204235667941854]",100.0,"[-0.13566132316104282,0.14146272947232372]",4.0,"[-0.06606993911494402,-0.11311469643329941]",100.0,"[-0.15311148136752176,0.017595972183354926]",100.0,"[-0.06921219633523257,-0.02295785401153093]",100.0,"[0.1682334723169917,0.029236215128232188]",4.0,"[0.013692348750815625,0.040579144683321945]",100.0,"[-0.025253265890914974,-0.1740707228258493]",100.0,"[-0.06684702243070603,-0.17663747075566846]",4.0,"[-0.1280709466631824,-0.07711128331163229]",4.0,"[0.09225147293983459,0.04715254515581089]",4.0,"[0.15649764658216353,0.1216070583900028]",4.0,"[0.009597036684766557,-0.018694763694143492]",100.0,"[-0.16887739387431808,-0.026627685787377477]",100.0,"[0.033213124257885716,-0.13709400384096557]",100.0,"[0.006314410878710245,0.1826105366155398]",4.0,"[0.03522186011492592,0.13505940917489326]",4.0,"[0.006011896324223389,0.08303596588803909]",100.0,"[0.08206257150699099,-0.16279367036962653]",4.0,"[0.027539575867747648,-0.05633195180102895]",4.0,"[-0.09853580995316014,0.1601327313905851]",100.0,"[-0.032993203910637994,0.06392412779575955]",100.0,"[-0.17582261741571803,-0.0933503783120701]",4.0,"[0.11329023562483946,-0.00662321903025423]",100.0,"[-0.039222187689189544,-0.06697174493374265]",100.0,"[0.06805757341839065,-0.08251038856652534]",4.0,"[0.02,0.02]",121.8476,0.0,3.0,3.0,100.0,1.0,,,,,,,
