right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,59.2547,space,44.2187,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,59.2555,100.7201,space,11.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,100.7203,106.0877,space,2.3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,106.1264,106.6195,106.6199,106.8536,106.8538,107.6537,left,0.7573,,107.6541,108.7539,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,108.7554,109.2524,109.2525,109.4882,109.4883,109.9199,right,0.4157,,109.9203,111.0206,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0217,120.1881,space,6.1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,120.2168,120.7199,,,120.9553,121.3539,left,0.3677,,,,,,,,,0.45,,,,,,120.721,120.9552,121.3551,"[-0.003485171479471228,0.0554123805555008]",4.0,"[0.000876340341623258,-0.18496747904407676]",100.0,"[0.1717612684086354,0.06897438566995073]",4.0,"[-0.015334341096521532,0.015195981156108951]",4.0,"[0.12898470763245395,-0.049554452453229814]",4.0,"[-0.19642715711666792,0.03692066156057522]",4.0,"[-0.12163234000394128,0.14278733657943643]",4.0,"[0.03190669618087941,-0.1462881874881466]",100.0,"[0.02932024684630233,0.030708891755478394]",4.0,"[-0.016358784663965894,-0.06140673406843564]",4.0,"[-0.08478539166307335,0.027119860263292425]",100.0,"[0.0010484016277567685,0.14160084695368777]",4.0,"[-0.15689006684463191,-0.02585262331288642]",100.0,"[-0.13961770227878367,0.04460264214734316]",100.0,"[-0.06987875118279484,0.12791141869205486]",4.0,"[0.14254382185681017,0.016443620569538218]",4.0,"[0.1392716753989493,0.1289814608216818]",100.0,"[0.10401511088956293,0.060390651388891624]",100.0,"[-0.025363855056275645,-0.1462363793729956]",100.0,"[0.19785363060026517,0.017886184705722754]",100.0,"[0.09039961361783294,-0.13074578463219838]",4.0,"[-0.04326015099891615,-0.1906554442241547]",100.0,"[0.045108100672046535,0.14441361460192517]",100.0,"[-0.10838398587167823,-0.04987725392259286]",100.0,"[0.04685708400692946,0.07010267487792887]",100.0,"[-0.01268652030534645,-0.10674413475297063]",100.0,"[-0.1870280240951492,-0.07047145362132957]",4.0,"[-0.03778102751543882,0.16229738676336197]",4.0,"[-0.1738786987079589,0.07366714516974233]",4.0,"[-0.07087715671605405,-0.01634186745480811]",4.0,"[0.18331619066765018,-0.061535159958890064]",4.0,"[-0.11307559063298965,-0.1561749168049828]",4.0,"[0.02,0.02]",122.4536,0.0,0.0,0.0,126.0,1.0,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,122.4547,122.9535,,,123.1879,123.5207,right,0.3097,,,,,,,,,0.45,,,,,,122.9536,123.1878,123.5208,"[0.14766968507997705,-0.06935439946518268]",100.0,"[0.12061767575342723,-0.021159720620032307]",4.0,"[-0.07200599769114778,-0.10322281863400423]",4.0,"[-0.17899549435504855,0.037705407375624306]",4.0,"[0.04189437751211211,0.015326024132668528]",100.0,"[0.10357621425184076,-0.1644867784584379]",4.0,"[0.057421002299206464,0.18577957372905068]",4.0,"[0.008662127944279214,0.14540702167290986]",100.0,"[-0.12690063290889547,0.05921184012975607]",4.0,"[-0.14395683112083094,-0.08028461249684098]",100.0,"[-0.04216548216913365,0.1523641429660373]",100.0,"[0.12956383379398048,0.027207322632274652]",100.0,"[0.14558321947841638,0.10650436801749581]",4.0,"[-0.020766448583550506,-0.030672772758437397]",4.0,"[0.017334617489583978,-0.07321941184963701]",4.0,"[-0.06072171948543434,0.03393412978848396]",100.0,"[-0.021906432183411748,-0.13171785088836163]",100.0,"[-0.1305197447506173,0.014304990155917114]",100.0,"[0.056262367731263994,0.05929091364162674]",100.0,"[-0.02979644438809045,-0.1967353219372632]",4.0,"[-0.10181767393043512,-0.14543040252666925]",4.0,"[-0.17752395545137092,-0.044744929092244486]",100.0,"[0.1098333054392555,0.1650031971611768]",4.0,"[-0.0363128408636003,0.06701928982453462]",4.0,"[0.044302503856234486,-0.17788915575530598]",4.0,"[-0.06996509927685031,-0.061566921778936454]",100.0,"[0.0008959305118945664,0.01395402671785725]",4.0,"[-0.061095403777131393,-0.011528971652538755]",4.0,"[0.11430389947085196,0.07478798311095078]",100.0,"[0.07580627766551279,-0.0738440608524515]",100.0,"[0.19720275467199477,0.006048727155389622]",4.0,"[-0.1432128461825312,-0.13049640988402345]",4.0,"[0.02,0.02]",124.6205,0.0,1.0,1.0,125.0,1.0,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,124.6214,125.122,,,125.3571,125.9025,left,0.5192,,,,,,,,,0.6,,,,,,125.122,125.3571,125.9029,"[-0.09972771624333573,-0.08186487412861893]",4.0,"[-0.013454198888779394,-0.017854177982985095]",4.0,"[0.13395771861003203,-0.13043750387768724]",100.0,"[0.05616400686953204,-0.026784924900113936]",100.0,"[-0.0065429476618015835,-0.096874676223801]",4.0,"[-0.012689130480678478,0.12723192461537094]",4.0,"[-0.052053599881613476,0.030517657929801455]",100.0,"[0.09000510893625698,0.059673052556326205]",100.0,"[-0.17965932491371361,0.08379671475348337]",100.0,"[-0.10192151130036696,0.10871592219548486]",100.0,"[0.07476537570621962,0.16004775211362238]",100.0,"[-0.10019847488744105,-0.16309397801552009]",4.0,"[0.19195750653369317,-0.022266502008539187]",100.0,"[0.1299983363532232,0.11858478758639174]",100.0,"[-0.016040106881439118,-0.1771953758551441]",100.0,"[0.041749591076284225,-0.165113831133573]",100.0,"[0.1354051000221972,-0.06638549220114853]",4.0,"[0.05225362461493031,0.02818423256141465]",100.0,"[-0.14305902468981802,-0.013112775605369675]",100.0,"[-0.12150375604582554,0.15567100622853852]",4.0,"[0.17567579937586664,-0.08414256772862018]",4.0,"[-0.17439183108491768,0.026394190396495088]",100.0,"[0.03836686522532157,-0.0782946682074885]",4.0,"[-0.053055049476313794,-0.1595461662516807]",4.0,"[0.08261361136856223,0.11706059341959102]",4.0,"[-0.05781471754848088,0.1527385785054794]",100.0,"[0.09895228981207813,-0.16303424799600205]",100.0,"[-0.09564612466161128,0.017581446267825495]",100.0,"[0.021958039697595137,0.15295984390222295]",4.0,"[0.17226816378875492,0.093612459451863]",100.0,"[0.087802722363458,-0.12101822876970914]",100.0,"[-0.17164391944755267,-0.06899494892391968]",4.0,"[0.02,0.02]",126.9865,0.0,2.0,2.0,34.0,1.0,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,126.9873,127.4864,,,127.7211,129.2205,,,,,,,,,,,0.45,,,,,,127.4864,127.721,129.2207,"[0.17918444699742753,-0.071160600045206]",100.0,"[0.0911242821644664,0.05831917719877573]",100.0,"[0.055528590420118984,-0.1897243510491045]",4.0,"[0.06046649025765159,0.1347608439799003]",4.0,"[0.008161825147351792,0.007812923333996255]",100.0,"[0.1410950226561729,-0.03971694168037741]",4.0,"[-0.1128657750136264,0.14786815695462424]",4.0,"[-0.01463000691586648,0.1283832848278817]",4.0,"[-0.005766730510049293,0.18809146016252457]",4.0,"[-0.11123698962888372,-0.10829819657573643]",100.0,"[0.08309623476920973,-0.10699335892955837]",4.0,"[-0.1472801193437368,0.009597134961178904]",4.0,"[-0.15213686390672207,-0.09414504666212012]",100.0,"[0.0777686565807103,-0.017988042528755077]",4.0,"[-0.0021483706413183506,-0.04947166267093661]",100.0,"[-0.15898254104975365,0.06763981464169118]",4.0,"[0.10930595681586895,-0.06856257756825392]",4.0,"[-0.1005270066326368,0.0246157947010534]",100.0,"[-0.19128028527859675,-0.01626162347275806]",4.0,"[0.021451918964535178,-0.14008519139023326]",100.0,"[-0.060122730286836235,-0.13160775382823983]",100.0,"[0.0968419467665242,0.17149089028615397]",4.0,"[-0.05305611068716127,0.0940334767824583]",4.0,"[-0.055758908553293934,-0.17940275398997194]",4.0,"[0.04548388344501086,0.06115373455306376]",100.0,"[0.1826234954130062,0.019645864447160162]",100.0,"[-0.09287870432432857,-0.040721665779277334]",4.0,"[-0.03264463301402829,0.027073122385052426]",100.0,"[-0.13517612565239576,-0.14734524804698093]",100.0,"[-0.16340856169237,0.11128170530384367]",4.0,"[0.10804286275060997,0.021082108962262577]",4.0,"[-0.07828575880790871,0.17033064133813955]",100.0,"[0.02,0.02]",130.3195,0.0,3.0,3.0,131.0,1.0,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,130.3202,130.8199,,,131.0546,132.5574,,,,,,,,,,,0.5,,,,,,130.8201,131.0544,132.5575,"[0.02646719347218536,0.13373298914309428]",100.0,"[-0.1415363149551335,-0.03419503531463553]",4.0,"[0.11440251289995593,-0.041679684012475814]",4.0,"[-0.017376037533102344,0.058133942407947566]",100.0,"[0.16947020974258428,0.08646856199039721]",100.0,"[-0.030030396263837956,-0.15800815908875257]",100.0,"[0.03094135891158528,-0.07644158032507431]",100.0,"[0.04373276428569187,0.0012902500291444902]",100.0,"[0.05368370461420662,-0.11040082842977483]",100.0,"[-0.0012507086690640632,0.17252498291598115]",100.0,"[-0.04636653436388981,-0.026989769508753366]",4.0,"[-0.10552224535000314,-0.08576773446279677]",100.0,"[0.09377721327641406,0.0006752078251020184]",4.0,"[-0.09999037195408035,0.14095483606491058]",4.0,"[0.06566967046048836,0.12370876259736348]",4.0,"[-0.1759859958313582,0.047487576354942086]",4.0,"[-0.06472765155979213,-0.11626616517141139]",100.0,"[0.18009119542458016,-0.05693438920089147]",100.0,"[-0.12816566118527298,0.06967180307180529]",4.0,"[-0.18704203631144442,-0.0019472775291850695]",4.0,"[-0.06634348676761062,0.11682096971631092]",100.0,"[-0.034230900332341684,-0.06901507016226295]",100.0,"[0.10633105153077235,0.15225198055480724]",4.0,"[0.09735584456856662,-0.12415987075372707]",4.0,"[0.07202029733033122,-0.06840106987490553]",100.0,"[-0.11402509076159502,0.002555529647468239]",4.0,"[0.19110248515059605,0.006136104118529435]",4.0,"[0.06343541529692497,0.07234136341137719]",4.0,"[-0.1194003913277252,-0.14902528669213647]",100.0,"[0.040016482719119104,-0.1696131204532444]",100.0,"[0.08181875916817623,-0.17456979568351785]",4.0,"[-0.16993327109960482,-0.10473680686429095]",4.0,"[0.02,0.02]",133.6524,0.0,4.0,4.0,94.0,1.0,,,,,,,
,,,,,,,67ab0c530956db6bcc65f096,6842bbf2af60556d55078113,2025-06-06_12h02.41.785,shape_ratio,2024.1.5,Win32,29.76190476,6842b561977af9ba9b0f87ca,,,,,,,,,,,133.6527,134.1414,,,134.3859,134.5857,right,0.1735,,,,,,,,,0.45,,,,,,134.1415,134.3859,134.5857,"[-0.07407945731139434,0.004101725198178662]",100.0,"[0.08727469535853921,-0.03235986020587441]",100.0,"[-0.05939110016252027,-0.1320121479687251]",100.0,"[0.07874281085595825,-0.15269196221211487]",100.0,"[0.004490472330958981,-0.07286300067504634]",4.0,"[-0.16920567316383398,-0.10064324717058253]",4.0,"[-0.02973380182062369,-0.0016052735056003241]",4.0,"[0.042871726856559315,0.189471878790926]",100.0,"[0.12443609305634998,0.13965563131278905]",100.0,"[-0.17308678335790245,0.09822022393625589]",100.0,"[0.11351142345354007,-0.07575690746175086]",100.0,"[-0.11964892890521346,0.04884503067774455]",4.0,"[-0.05263124413459422,0.1703483708689286]",4.0,"[0.0767047749298301,0.03982958959287448]",4.0,"[0.03911171304620568,-0.10150533659067204]",4.0,"[0.10580420386806311,0.08114655440015336]",100.0,"[0.0169564718515735,-0.17739306499666896]",100.0,"[-0.07822254035228911,0.13527683011404815]",4.0,"[-0.015634501996789386,0.11872618069550617]",100.0,"[0.18887724186669758,-0.0037453413163230343]",100.0,"[-0.07233175832873187,-0.1734292591532799]",4.0,"[0.15352326356252963,0.018410079448806238]",4.0,"[0.04306707985953713,0.13505590653472188]",100.0,"[0.07983352721566858,0.16774731464347584]",4.0,"[-0.09684294611977164,-0.07746443642834279]",4.0,"[0.13299006683995218,-0.13733606533568762]",4.0,"[-0.19812516924311566,0.00381663587834535]",4.0,"[-0.15229415432064822,-0.04188144421426436]",4.0,"[0.003296328188794002,-0.025068222624185527]",4.0,"[-0.11461999493502634,0.16055493261906564]",4.0,"[-0.014098592686803201,0.05877539057451668]",4.0,"[-0.07420585476961475,-0.044121496053308715]",100.0,"[0.02,0.02]",135.6857,0.0,5.0,5.0,136.0,1.0,,,,,,,
