right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0011,18.3742,space,3.3422,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,18.3753,52.5559,space,4.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,52.5564,57.8629,space,2.2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,57.9914,58.3849,58.3861,58.5514,58.5519,59.3554,left,0.4889,,59.3559,60.4686,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,60.4709,60.968,60.9683,61.2201,61.2205,61.8875,right,0.6494,,61.8877,62.9941,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9953,70.8874,space,4.8794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,70.9678,71.4024,,,71.6567,72.6775,left,1.0029,,,,,,,,,0.9,,,,,,71.4037,71.6565,72.6785,"[0.16354089987443873,-0.03896787681261481]",100.0,"[0.07450937684745695,0.11744189130416874]",100.0,"[-0.068171260400065,0.1570420159516706]",100.0,"[0.09012634596328646,-0.1081007301532979]",100.0,"[-0.09702019776631064,-0.05092100600822332]",100.0,"[0.14359814215670155,0.034939815742339564]",4.0,"[0.02387808011435151,0.07211475568398606]",100.0,"[-0.03225953481653857,0.11545926967367783]",100.0,"[-0.039877974525070296,-0.11296124949295001]",100.0,"[0.06759295292240973,-0.07388240146997871]",100.0,"[0.14695978983047403,0.1257299818000442]",100.0,"[-0.05592330895214725,-0.05254242331681534]",100.0,"[0.060940181771301095,-0.15726054905852566]",100.0,"[0.0404280618104804,-0.10930533064635585]",100.0,"[-0.08518287617731372,0.01999434876150417]",100.0,"[-0.0912657964538354,0.10489857119073094]",100.0,"[-0.13637154810078791,-0.09194814136028763]",100.0,"[-0.13015265313570687,-0.02382496809101083]",4.0,"[0.08767118277830215,-0.035023160186101805]",100.0,"[0.16747207368601982,-0.0997135814023542]",100.0,"[0.17834555897211055,0.07580004648872157]",100.0,"[0.04189767999506348,0.015199214713934713]",100.0,"[-0.1865632082145824,-0.0489654277290071]",100.0,"[-0.01647208088201398,0.05113014445719023]",100.0,"[0.14161005725939005,-0.13702353620758342]",100.0,"[-0.17501875908558032,0.055501699245320835]",4.0,"[-0.15569036145400986,0.1067583137780371]",100.0,"[0.07919221880287206,0.1745735460520763]",100.0,"[-0.12868904432919975,-0.1520323134446953]",100.0,"[0.08670814620477295,0.019748777725731373]",100.0,"[-0.0007067220489707688,-0.042666944619561616]",100.0,"[-0.07449877399928749,-0.16562208001809992]",100.0,"[0.02,0.02]",73.7558,0.0,0.0,0.0,28.0,1.0,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,73.7569,74.2623,,,74.5212,76.0061,,,,,,,,,,,0.45,,,,,,74.2625,74.521,76.0061,"[-0.004339365439286652,-0.11087028581153094]",4.0,"[0.0031012391404795173,-0.06825962142679583]",4.0,"[-0.06577946674851647,0.06718399300100086]",4.0,"[0.13025568402925014,-0.1410076199528782]",100.0,"[0.15250921517243093,-0.08733239243052372]",100.0,"[-0.1694877777813171,0.013611114844336702]",4.0,"[-0.049177125362198024,-0.09469790263476568]",100.0,"[0.14925511909791872,-0.034319603582765985]",4.0,"[-0.14668545742427136,-0.07256762317363778]",4.0,"[-0.08914055856120451,0.13180613835588129]",100.0,"[-0.008691195824813659,-0.19181845154821767]",100.0,"[0.06211615949894224,-0.016678155336878765]",4.0,"[0.0573733268808101,-0.1740859819035894]",100.0,"[0.025837344940139503,-0.14319890527898807]",100.0,"[-0.029422727940670104,-0.026555955523148263]",100.0,"[0.10813795803908424,0.09372739370286673]",4.0,"[0.17235771734762637,0.0014705051695545876]",100.0,"[0.08710756382451865,-0.048595741588262575]",4.0,"[0.03192504248766164,0.03546269255187845]",4.0,"[0.12842799201932398,0.04160093795012089]",4.0,"[-0.011734035270302194,0.08790050839616313]",100.0,"[-0.1138299912923132,0.07585688266203608]",100.0,"[-0.03811596587171007,0.1789657548833862]",4.0,"[0.021101965509039426,0.18516318910075083]",4.0,"[-0.10364978674594238,0.0007285804407104067]",100.0,"[0.03236128350937832,0.10387385166683505]",4.0,"[-0.10406610269897487,-0.07143774782184409]",4.0,"[0.11695588887189384,0.13932662911570498]",100.0,"[-0.0077614284407807555,0.15121793005111253]",4.0,"[0.08321235854977883,-0.10902271426112535]",4.0,"[-0.02215923764951927,0.04706906832410367]",100.0,"[-0.18338763363700183,0.06379322723656546]",4.0,"[0.02,0.02]",77.0913,0.0,1.0,1.0,127.0,1.0,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,77.0921,77.5918,,,77.8375,78.3399,right,0.4863,,,,,,,,,0.5,,,,,,77.5919,77.8375,78.3402,"[-0.09116768680477054,0.010462866492415868]",4.0,"[-0.0505254979390409,-0.015282652389746994]",100.0,"[-0.05339370580003891,-0.1536255062902466]",100.0,"[0.017019065649595596,-0.16643236618203783]",100.0,"[-0.15393241003572897,0.12542434558372226]",4.0,"[0.08657957844468268,0.07288643222724633]",4.0,"[0.1516240066742527,0.01669437551654582]",4.0,"[-0.09653894661112436,-0.12599255090359207]",100.0,"[-0.1585190529474793,-0.08304696312504142]",4.0,"[-0.1443835441495253,0.07497629532624146]",4.0,"[-0.13266351028302764,0.03232947134221822]",100.0,"[0.1969254446662786,0.005984963645775644]",4.0,"[-0.045271612598619684,0.09241804516365222]",4.0,"[0.02818412565852092,0.19011429437408825]",100.0,"[0.04093158672011213,0.11866819564552046]",4.0,"[0.015382960245682201,0.015387179465996239]",4.0,"[0.09140596459334975,-0.056718921182404444]",100.0,"[-0.04813529645407691,-0.1063605771393315]",4.0,"[0.03902108859466465,0.07395862602407356]",100.0,"[-0.18347149235492,0.015601906895102666]",100.0,"[-0.013389418110638705,0.16238478415169522]",4.0,"[-0.05695239655570209,0.04125423977299901]",4.0,"[-0.18021737883586916,-0.03732396367667582]",100.0,"[0.023020498051479286,-0.02785745262344497]",100.0,"[0.12320215949258446,0.04965344565632071]",4.0,"[0.14122095188520944,-0.04513308070655839]",100.0,"[0.06790906366910542,-0.14434119549696597]",4.0,"[0.05509490299763681,0.024283020950155543]",4.0,"[0.13414359435049855,-0.143128035707273]",100.0,"[-0.11341298627226669,-0.06542707896945418]",100.0,"[-0.02532336111143201,-0.07065957487591498]",100.0,"[0.136640090990247,0.0874104102554108]",100.0,"[0.02,0.02]",79.4436,0.0,2.0,2.0,110.0,1.0,,,,,,,
,,,,,,,67c65eac81e48b55bcd1f70a,684429a65a83f276ecf558cc,2025-06-07_14h09.42.011,shape_ratio,2024.1.5,Win32,30.12048193,684250e4f00cb30b92d1fa88,,,,,,,,,,,79.4453,79.9489,,,80.2027,81.7034,,,,,,,,,,,0.1,,,,,,79.949,80.2026,81.7037,"[-0.07649087224322366,-0.0465778936914837]",4.0,"[0.04967067029089223,0.18057982187040758]",100.0,"[0.07727873904411424,0.0026502831314940706]",4.0,"[0.059308870778822825,-0.14803874964316688]",4.0,"[-0.15397246393678668,-0.06648739956612405]",4.0,"[0.11550989643564924,-0.01824092326728591]",4.0,"[-0.04050845379250331,0.03333680631292828]",4.0,"[0.023192317157585057,0.05276895213064713]",4.0,"[-0.09520401283566986,-0.1703561472454776]",4.0,"[0.17899185769990397,-0.05831363294057427]",4.0,"[-0.09086599316937286,0.07913868000598628]",100.0,"[0.01847455803584516,-0.05644849772602891]",4.0,"[-0.14937343304471673,0.12743410089532414]",4.0,"[0.09270756065504032,-0.1767940104755346]",4.0,"[0.1710919734045882,0.020406542188747472]",4.0,"[-0.07901361005918157,0.12087473656488983]",4.0,"[0.0026573052117817124,0.007127557450424659]",4.0,"[-0.11049621177512224,0.030409002329856456]",4.0,"[0.060496589479025226,-0.10568885679233017]",4.0,"[-0.051844098704031574,-0.0053118850415451715]",4.0,"[-0.04607028776866156,0.18293815539671338]",4.0,"[0.0023041127230832574,0.11606064425134124]",4.0,"[-0.19521037916527387,0.027392681035957222]",4.0,"[-0.08799955599493223,-0.09242947503901273]",4.0,"[-0.03461945471846056,-0.08104398359488707]",4.0,"[0.1282090964695395,0.057883830680760924]",100.0,"[0.11258890724495105,0.12400863277690728]",4.0,"[0.0489472982183966,0.13705801893672007]",4.0,"[0.13557755916233372,-0.13257653475923695]",4.0,"[0.018658951217150714,-0.15577580886967152]",4.0,"[-0.024982151607525323,-0.1758920502071242]",4.0,"[-0.128255052743295,-0.104957236196351]",4.0,"[0.02,0.02]",82.7911,0.0,3.0,3.0,195.0,1.0,,,,,,,
