right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0005,46.3111,space,31.3025,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,46.3115,143.257,space,66.9327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,143.2574,157.0806,space,10.8109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,157.1244,157.5976,157.5985,157.8487,157.8491,159.1983,right,1.3104,,159.1987,160.2986,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,160.3001,160.7986,160.7988,161.0502,161.0503,161.7469,left,0.6855,,161.747,162.8498,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.8509,174.324,space,8.4675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,174.3581,174.8258,,,175.0805,175.7241,right,0.6261,,,,,,,,,0.45,,,,,,174.8266,175.0804,175.7252,"[-0.13220328186204774,0.059566324571895674]",100.0,"[0.03858783520589851,-0.10859165095904605]",100.0,"[-0.13288088955269595,-0.012986859658582012]",100.0,"[0.19650186817674453,0.030720019671597813]",100.0,"[-0.07167283943360832,-0.03821540570982673]",4.0,"[0.08153419829661154,0.07553982589729172]",4.0,"[-0.022728143360389363,0.08670819513141251]",100.0,"[-0.045507707430931126,0.010801388446859182]",4.0,"[-0.016499174944302114,-0.04327534022954318]",100.0,"[0.03750544056658343,0.05351268794575672]",100.0,"[-0.18086671852534886,-0.03865088285906238]",4.0,"[0.10335415260660445,-0.13246455991690917]",4.0,"[-0.004697303744085354,0.1938795463940856]",100.0,"[-0.19905780567322498,0.014313167762876514]",4.0,"[-0.05480197834500577,0.13162498222332833]",4.0,"[0.057681032988203255,0.14923165885941742]",4.0,"[0.13070044578370624,0.12436085033059657]",4.0,"[0.1543387295080724,0.07039127281251203]",100.0,"[-0.002587975087433983,0.14717105569020833]",4.0,"[-0.05009833407492936,-0.07431023772619035]",100.0,"[-0.08026131434214304,-0.17610104950321812]",4.0,"[0.18978339036693442,-0.04591095771313486]",100.0,"[-0.13871559601378733,0.11005199493994279]",4.0,"[0.011814072582466922,-0.014382753075749774]",4.0,"[-0.1805275193083797,0.055108646652088866]",100.0,"[-0.009120340796130985,-0.14577521680696162]",4.0,"[0.08031451571925358,-0.06786518244650173]",4.0,"[0.1306476721359024,-0.043479250623115466]",100.0,"[0.021753791065193456,0.09615079229897323]",4.0,"[-0.11499355400127914,-0.09023773372127183]",100.0,"[0.061422286037523324,-0.01829341677861656]",4.0,"[-0.10368678600033283,0.13300326158416065]",4.0,"[0.02,0.02]",176.8134,0.0,0.0,0.0,120.0,1.0,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,176.814,177.3085,,,177.5592,178.2918,left,0.721,,,,,,,,,0.55,,,,,,177.3086,177.5592,178.2919,"[-0.06523284750064297,0.10134153796197573]",4.0,"[0.16326007706351345,0.026067962046391224]",100.0,"[0.16374852214965982,-0.10050586756055763]",100.0,"[0.043523491041583574,-0.07749203161274394]",4.0,"[0.10538539833742878,0.029274195399648588]",4.0,"[0.11733239992405048,0.13097039340657737]",100.0,"[0.14552991828295544,0.0984293593858759]",4.0,"[0.014780287837375058,0.028703027408558558]",100.0,"[0.10238736662763302,-0.16180230622527805]",4.0,"[0.010551044257101726,-0.18161731842574835]",100.0,"[0.15963420971630068,-0.052575001302558766]",100.0,"[-0.09671419052422717,0.033599686764380715]",4.0,"[0.024204211494479502,0.17807638794079586]",100.0,"[-0.04346115745464925,-0.04046299387071079]",4.0,"[-0.09254769563591934,-0.03802580400546019]",100.0,"[-0.10146983228330576,0.15519155477920202]",100.0,"[-0.1366243856103068,0.08167882953213104]",4.0,"[-0.12272099663844199,-0.07498762381551674]",100.0,"[0.010692516440036017,0.12254354057893994]",100.0,"[0.010307438570013462,0.07073674391780621]",4.0,"[-0.13125204864700618,-0.14391090888123995]",100.0,"[0.10316201251413121,-0.01968505336895707]",4.0,"[0.02025191673043539,-0.11477207609173554]",100.0,"[-0.04509672394215159,-0.15957734374096422]",100.0,"[0.04987368017420517,-0.015103102296142689]",100.0,"[-0.002309404455284441,-0.03012599501653539]",100.0,"[0.0722349608299431,0.1097481087254131]",100.0,"[-0.08461804497832288,-0.11163939407112722]",4.0,"[-0.036228718506742454,0.010732219193413921]",4.0,"[0.12283521201766645,-0.10166341543219984]",4.0,"[-0.029466407063163072,0.14875622481564568]",100.0,"[-0.0444428550614777,-0.08429950879948479]",4.0,"[0.02,0.02]",179.3926,0.0,1.0,1.0,82.0,1.0,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,179.3936,179.8931,,,180.1497,180.6164,right,0.4507,,,,,,,,,0.4,,,,,,179.8931,180.1497,180.6165,"[-0.01798400916896437,0.04860144643728796]",4.0,"[-0.09855433201804796,-0.14502732797370305]",4.0,"[-0.035273416894823974,0.1792375605534583]",4.0,"[-0.08977491520271204,-0.035101586605344334]",100.0,"[-0.07530674099332432,0.13421316524054705]",100.0,"[-0.03500549420317897,0.0851885022486111]",4.0,"[-0.04272170638771589,-0.01128214589208975]",4.0,"[0.15896944644060573,0.03952482808966462]",4.0,"[0.04942476049707748,0.0667758059260888]",4.0,"[0.05819356136049515,-0.05248192736582491]",100.0,"[-0.19452826048205318,0.044558715541610075]",4.0,"[-0.1194733694657805,-0.10785156104953465]",4.0,"[0.08439168117655818,0.03271656742059093]",4.0,"[0.15287022963650043,-0.06477619481701558]",4.0,"[-0.08697830979094084,0.012539319233456666]",4.0,"[-0.14594411771379764,0.026034253766273083]",100.0,"[0.13908486113553545,-0.021998684384196547]",100.0,"[-0.17099929961825383,0.07969436506093229]",100.0,"[-0.030181398542135852,-0.07933087649620965]",100.0,"[0.06774234460323718,-0.15160955266683068]",4.0,"[-0.10168768272892184,0.06494810105332047]",100.0,"[0.10609346541354003,0.12222455769516338]",100.0,"[0.1942249408494663,-0.03149431895773529]",4.0,"[0.0642101798393201,0.16366845691462648]",100.0,"[-0.1455098652563801,-0.056696166228400915]",100.0,"[-0.05897130227568047,0.04743148217271481]",4.0,"[0.1314110987866764,-0.1021651378366291]",4.0,"[0.019599368843518566,-0.0800723631700676]",4.0,"[-0.03202817120623766,-0.12076497128064478]",100.0,"[0.02983653050381537,-0.16683666364687547]",4.0,"[0.15441370320671993,0.10020547373550548]",4.0,"[-0.04976694732923785,-0.18145989807931745]",100.0,"[0.02,0.02]",181.7107,0.0,2.0,2.0,161.0,1.0,,,,,,,
,,,,,,,67c712364ec9ad3f92b3a339,684429a03fa3be5ac784e29c,2025-06-07_14h02.35.372,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,181.7118,182.2003,,,182.4454,183.2946,left,0.8395,,,,,,,,,0.6,,,,,,182.2003,182.4453,183.2947,"[0.017689923747117628,-0.17792070680144656]",100.0,"[-0.02263638652530125,0.005944497863817134]",100.0,"[-0.15113174690479467,-0.12952134065722418]",100.0,"[-0.08165960246089854,-0.09107588923942649]",100.0,"[0.059233355594568785,-0.13222003045011557]",100.0,"[-0.08298688190893339,0.04938964494557347]",4.0,"[-0.021271061066801482,-0.040064542302676906]",4.0,"[-0.11351454185652865,-0.02000726140785845]",4.0,"[-0.15188082595656208,0.12905854150226173]",100.0,"[-0.062228424076679986,0.16323340880273451]",4.0,"[0.034757400279918686,0.012409133545889515]",100.0,"[0.14959708873064825,-0.015239308100398188]",100.0,"[0.1587355578351019,-0.07716313813924079]",4.0,"[-0.11034929440962088,0.12523285436248535]",100.0,"[-0.045272479347156086,-0.1774868089747609]",100.0,"[0.06525250527593644,0.1236375467105256]",4.0,"[0.11637726347473863,0.039990816591843864]",4.0,"[-0.18744729001002575,-0.056043937319951845]",4.0,"[0.1956659810554311,-0.004099467346046013]",100.0,"[0.10180604305379576,-0.07644730861944772]",4.0,"[-0.15139876974163716,-0.03820793354749704]",100.0,"[0.07482456177811052,-0.17771798545431466]",100.0,"[-0.1369962289873265,0.05305119374535082]",100.0,"[0.10340631618463507,0.1376680926124414]",100.0,"[0.04411743152686761,-0.06216401500001795]",4.0,"[-0.009019325139270574,-0.14477627095592227]",100.0,"[0.0161220912147546,-0.11157611025738105]",100.0,"[-0.17928035372420525,0.05187914352708309]",4.0,"[0.11424026781281216,-0.11471408685572884]",100.0,"[0.15411551190391634,0.08207928145844566]",4.0,"[0.04646418992230242,0.07948367964483344]",100.0,"[-0.06505972261408972,-0.0007506693107773979]",4.0,"[0.02,0.02]",184.3952,0.0,3.0,3.0,34.0,1.0,,,,,,,
