right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,25.9726,space,10.9512,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,25.973,60.653,space,4.6618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,60.6532,65.0863,space,1.4122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,65.1144,65.6024,65.6027,65.8466,65.8467,67.3359,,67.3361,68.4358,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,68.4369,68.9355,68.9356,69.1795,69.1796,70.6749,,70.675,71.7786,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,71.7791,76.1803,space,1.3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,76.2014,76.6852,,,76.9358,77.5358,right,,,,,,,,0.4,,,,,,76.6858,76.9358,0.5848,,77.5363,"[0.044759688949202146,-0.051881411480483]",4.0,"[0.1385235111416373,-0.003971276800148805]",100.0,"[0.15557605070626962,0.1227749037368385]",100.0,"[-0.08894685981265398,-0.02366132872831585]",100.0,"[0.07181848041001536,0.15857660647525532]",4.0,"[-0.15598032994160274,0.012067819300417355]",100.0,"[-0.16661817359381503,0.0982196699847844]",4.0,"[0.13136594365550583,-0.13981822350135434]",4.0,"[0.08411113239765512,-0.062066258414890066]",4.0,"[-0.05450564140532253,0.041494783353295456]",100.0,"[-0.11390902076304377,-0.163808240148761]",4.0,"[0.019015655682038213,0.09745025638827506]",100.0,"[0.006867802985380259,-0.09780857052844578]",4.0,"[0.17877158849308178,-0.08050192912406537]",100.0,"[-0.03768210415210768,-0.004412325611249709]",4.0,"[0.12761870052789318,-0.07611036226412879]",4.0,"[-0.18350403696516776,0.04853275670975858]",4.0,"[0.004895769440567668,0.18495210053341585]",4.0,"[0.01087402685201306,0.045837074662061154]",4.0,"[-0.061066247045759976,0.18107232410551674]",4.0,"[0.06460063991206322,-0.0169346043601894]",100.0,"[-0.07784021226126116,-0.13590483503813017]",4.0,"[-0.15511468967854478,-0.0494279742235635]",100.0,"[0.15537737566834803,0.0751686866748729]",4.0,"[-0.1919107455678268,-0.007354867466475083]",4.0,"[0.04641719820695618,-0.15171308001164147]",4.0,"[-0.13383182285104375,0.1475005290682912]",100.0,"[0.0017079996198054895,-0.16792284384232256]",4.0,"[-0.03934142878054111,-0.15040423676562364]",100.0,"[0.08897768648235667,-0.17333981076467658]",100.0,"[-0.030326005158255346,-0.1931397463730421]",100.0,"[-0.15414882836198357,-0.11661896454380484]",4.0,"[0.02,0.02]",78.6353,0.0,0.0,0.0,168.0,1.0,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,78.6361,79.1353,,,79.3853,79.9852,right,,,,,,,,0.1,,,,,,79.1355,79.3853,0.5844,,79.9853,"[-0.0007323446148439863,0.12974003601117184]",4.0,"[0.1299299674942676,-0.05303975231586353]",4.0,"[-0.05856338461008697,-0.11190812358090624]",4.0,"[-0.07603868176962399,0.14586645463637699]",4.0,"[-0.06975239236540795,-0.1730638425054328]",100.0,"[0.008986868950524583,-0.1876800455993866]",4.0,"[0.1574033379231524,0.010960936919668261]",4.0,"[0.08945765925382584,0.017761163520567877]",4.0,"[0.13417600277831904,-0.10454029531730141]",4.0,"[-0.058728996285591764,0.011844782032484022]",4.0,"[-0.03236129046013918,0.1650572935282292]",4.0,"[0.028331662192602587,0.09538357624545832]",4.0,"[-0.18737136397974136,-0.003252699777274865]",100.0,"[0.049155086142906625,0.17042230585105825]",4.0,"[0.09151908477899111,0.16008933458541288]",4.0,"[-0.1367923207257614,0.030416087740329195]",4.0,"[0.05244343630805884,-0.044540136392408024]",4.0,"[-0.12945446362920832,-0.11204102671714558]",4.0,"[0.10029788909719817,0.09840861515342299]",4.0,"[-0.17524307063921138,-0.0749973006229766]",4.0,"[0.14083809657925508,0.09601986615788571]",4.0,"[-0.002074803521287164,-0.10741509754085618]",4.0,"[-0.1233595874921675,0.14573163587649937]",4.0,"[-0.1356512005868968,-0.037600531456026653]",4.0,"[-0.01115220095249542,-0.055982689960636836]",100.0,"[-0.053836077366276734,0.07995659246434479]",4.0,"[0.04284587590956996,-0.15346109317742893]",4.0,"[-0.10073729241115373,-0.07110496338716861]",4.0,"[-0.01993202264476207,-0.14673707467785446]",4.0,"[0.021657705696311647,0.038969771511599784]",4.0,"[-0.17956043336479208,0.07864446804250787]",4.0,"[-0.09702637045476772,0.03549467159882362]",4.0,"[0.02,0.02]",81.0845,0.0,1.0,1.0,191.0,1.0,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,81.0853,81.5847,,,81.8292,82.1752,left,,,,,,,,0.5,,,,,,81.5848,81.8292,0.33,,82.1752,"[-0.005967826125848719,0.023611556957738304]",4.0,"[-0.1092990214805868,-0.10917748490730876]",100.0,"[0.08229443196376561,0.010785048423647855]",100.0,"[0.08369339235110505,0.0715041061598733]",100.0,"[-0.002135828452124719,0.1113039320274647]",4.0,"[0.15161346019953167,0.12984370481941146]",4.0,"[0.17848300754177238,0.08551944950423053]",100.0,"[0.027623730647273508,-0.17312851184248199]",4.0,"[-0.1942763273983127,-0.0384554977958293]",100.0,"[-0.03754329113030917,0.09212926442719219]",4.0,"[0.16675063409505156,0.03736652299219496]",4.0,"[-0.05650366219214796,0.13047456219298809]",4.0,"[0.02815937968335795,-0.022296447040445633]",4.0,"[-0.0926015854247379,-0.005230663147534307]",100.0,"[-0.00019556670713843257,-0.11976381015989994]",100.0,"[0.1514118799104784,-0.10754405586924506]",4.0,"[-0.10941071053187094,0.15513874835759792]",4.0,"[-0.14418468366420492,0.02475233074446463]",4.0,"[-0.15174621953202988,0.12572868391811096]",100.0,"[0.13628051369315408,-0.056003535697688414]",100.0,"[-0.0050871926936628155,-0.05624835233375901]",100.0,"[-0.018573152448207557,-0.19737033056658712]",100.0,"[0.09490288065352258,-0.10905251854511278]",4.0,"[0.11184838975038003,0.1373229552575033]",100.0,"[0.023483228643326793,-0.08539825212744045]",4.0,"[-0.03867213183366083,-0.07917195396654411]",4.0,"[-0.12306972037608842,0.08198510305269885]",100.0,"[0.06556275540013969,-0.0755636687856414]",4.0,"[-0.06860860717643046,-0.13020967877442896]",100.0,"[0.11387694583118241,-0.1534457632670191]",4.0,"[0.01860310290675925,0.19494901237502546]",100.0,"[-0.04914581689207587,-0.030442450820318774]",100.0,"[0.02,0.02]",83.2782,0.0,2.0,2.0,93.0,1.0,,,,,,,
,,,,,,,67c869b756cd63f0b3387d28,6844298c6a985a6ad2eb3e8d,2025-06-07_14h04.14.127,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,83.2792,83.7699,,,84.0199,84.5545,right,,,,,,,,0.45,,,,,,83.77,84.0199,0.5245,,84.5546,"[-0.07718708064384057,0.14047136953317493]",100.0,"[-0.017079411036182046,0.10138307329087587]",4.0,"[0.11504974927982271,-0.14489932147223197]",100.0,"[-0.030393834207428673,0.1901855047191442]",4.0,"[0.07488695641088564,0.051806386641701924]",4.0,"[0.025992342649367933,0.010524511593543081]",4.0,"[-0.1419446482310233,0.07924368158467618]",100.0,"[0.022456902671790666,0.13102697240632077]",4.0,"[-0.04364994110879139,0.008498130039242551]",100.0,"[-0.09355393799057067,-0.011710957058888747]",4.0,"[0.0750652355177642,0.1730033216228845]",4.0,"[0.06438236348500402,-0.0552927486051853]",4.0,"[0.13749080323961685,-0.07295966705311477]",4.0,"[-0.09212480854204155,0.050583034718239134]",100.0,"[-0.005908118635758663,-0.08304516378336473]",4.0,"[0.12059388939256896,0.13159770064849044]",100.0,"[-0.1452938445031583,-0.12476302551820052]",4.0,"[0.006522913564139956,-0.16829056140852103]",100.0,"[-0.12655086537121993,0.1330046451937043]",100.0,"[0.03987510717722185,0.08453014347837924]",100.0,"[-0.045251990811619604,-0.1390920852312314]",4.0,"[0.05037661495345856,-0.1617506887951463]",4.0,"[0.12030087185811109,0.05988037845908328]",100.0,"[0.16595961358383188,-0.022094634387703954]",100.0,"[-0.022244438899552667,0.1498757865486913]",4.0,"[-0.17394866783131618,-0.01794208612684842]",4.0,"[0.09202750873684763,-0.006396051071003811]",4.0,"[0.18635389683835268,0.021863804108537267]",4.0,"[0.08183391882039806,-0.09503381746152381]",100.0,"[-0.04703733892319196,-0.09371654555177608]",100.0,"[-0.08186135086862142,-0.1761894854193685]",100.0,"[0.010889713969934007,0.18084796285137486]",4.0,"[0.02,0.02]",85.6517,0.0,3.0,3.0,139.0,1.0,,,,,,,
