right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0006,227.9758,space,212.9347,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,227.9769,335.3636,space,77.3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,335.3813,339.0802,space,0.6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,339.1812,339.6055,339.6067,339.8424,339.8426,341.3425,,341.3597,342.447,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,342.4654,342.9366,342.9367,343.1912,343.1914,343.4284,left,343.4286,344.5105,0.0,1.0,1.0,0.0,1.0,0.2,0.2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.5124,505.592,space,158.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,505.6619,506.105,,,506.3528,507.8428,,,,,,,,,0.6,,,,,,,,506.1063,506.3525,507.8442,"[-0.08445892497924427,-0.1492768715110855]",100.0,"[0.016157912132591316,0.18091711474477545]",100.0,"[0.0013903800983111933,-0.008873435373829328]",4.0,"[0.15684294344921787,0.04259041777817388]",4.0,"[0.14735308424171265,-0.12058564996857389]",4.0,"[-0.03875768717039992,-0.13908958780369504]",100.0,"[-0.023525332950597447,0.13331739998086867]",4.0,"[0.0982787267328542,-0.0927380783955943]",100.0,"[0.01096612780403892,-0.17670936853844252]",4.0,"[0.04269680396709931,-0.131714389940641]",100.0,"[0.01973954579436474,0.02772983857883397]",100.0,"[0.06401355611398787,0.1856477219978504]",4.0,"[-0.13644702777113601,-0.11580783464943956]",100.0,"[0.022753659789439235,0.14049582149921475]",100.0,"[-0.04136413472247879,0.05391103765676939]",100.0,"[-0.14490539512106837,0.028068449698296444]",4.0,"[0.10881678893344224,0.00804664027835274]",100.0,"[-0.07309273022845246,0.08165106917718774]",4.0,"[-0.15637335263014593,-0.012654039931227342]",100.0,"[0.10523839943225446,-0.13595715528307054]",100.0,"[0.18801105966735246,-0.05297801770238251]",4.0,"[0.02768289855121198,-0.06858442975304775]",100.0,"[0.03200133604577937,0.08508139436716092]",100.0,"[-0.08452380023831293,-0.09755760523852433]",100.0,"[-0.048738137901517875,-0.0672357231020271]",4.0,"[-0.08573635862838412,-0.0017863294120249017]",100.0,"[0.06838699161278407,-0.04303037011330296]",4.0,"[-0.11303148172930837,0.09301015602929033]",100.0,"[0.1347906631502452,0.08825938720665083]",4.0,"[-0.1849358583446332,-0.06092142001840018]",4.0,"[0.05105632049449311,-0.1921618271376131]",100.0,"[-0.14995054785944412,0.0692978845504584]",100.0,"[0.02,0.02]",508.934,0.0,0.0,0.0,36.0,1.0,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,508.9362,509.4388,,,509.687,509.7577,left,,,,,,,,0.5,0.0523,,,,,,,509.4389,509.687,509.7578,"[0.0928955380475015,-0.11193565629538758]",100.0,"[-0.09313628829019649,-0.16583913062712033]",4.0,"[-0.003964154611528111,-0.187131227879439]",100.0,"[0.18192750167049263,-0.001249502803672072]",100.0,"[-0.10962338447126482,0.15880814716045832]",4.0,"[0.03523719242440201,-0.05640685136494417]",100.0,"[-0.1836220843733965,-0.045381487211010506]",4.0,"[-0.1316464414113215,-0.0125689305448365]",4.0,"[0.14464117860980444,-0.08565632970929021]",4.0,"[-0.03832610850531342,-0.011055801731287826]",4.0,"[-0.10825013100353936,0.0978255677642837]",100.0,"[-0.05709209412808792,0.09626121555052615]",100.0,"[-0.1717351800701187,0.015197264831585997]",100.0,"[0.11127389360819505,-0.02171696371520411]",4.0,"[-0.12497965024475524,-0.07318471050796929]",4.0,"[0.0763046490818709,0.05436928709794039]",100.0,"[-0.17003448694184659,-0.09989463304364253]",100.0,"[0.14910839012995192,-0.0393080954000129]",100.0,"[0.028925041065639718,-0.14792410557549965]",100.0,"[0.1283318912187495,0.06417132638239328]",100.0,"[-0.1059211226273752,-0.12367565997440837]",100.0,"[0.0680145575739391,-0.17825446962220598]",4.0,"[-0.1075413503140974,0.04316250220573369]",4.0,"[-0.053981435044953605,-0.17632802015970955]",4.0,"[-0.049762970639345754,0.16105407577138425]",4.0,"[-0.18173951690996293,0.0817064157382965]",4.0,"[0.039515476872695354,-0.002415292259393529]",4.0,"[-0.05920197733680483,0.03877053441286315]",4.0,"[-0.04733168454811505,-0.10588348445487542]",100.0,"[-0.14871681426478783,0.12846417880862676]",100.0,"[0.03719872615930483,0.09203771889866663]",100.0,"[0.1013897876813782,-0.07017603682346481]",4.0,"[0.02,0.02]",510.8512,0.0,1.0,1.0,93.0,1.0,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,510.8541,511.3559,,,511.6029,511.7574,right,,,,,,,,0.5,0.1359,,,,,,,511.356,511.6028,511.7577,"[-0.1157817607185082,0.08560870882948371]",4.0,"[-0.025663165882065096,0.10366576938099242]",4.0,"[-0.04251383959293243,0.1476568912450012]",4.0,"[0.049280290425370736,0.16996074859561727]",100.0,"[-0.10165810436899174,-0.1456916816432493]",4.0,"[0.04359099986891102,0.06278577925147723]",100.0,"[0.1334991236825434,-0.06956760695321719]",100.0,"[0.08943426717717165,0.09341716051132615]",100.0,"[0.13376991506282673,-0.012450426180463933]",100.0,"[-0.12708192295518242,-0.04009697603088565]",100.0,"[-0.07063196910293199,0.014825793423816114]",4.0,"[-0.16383603621370202,-0.0989083938566528]",100.0,"[-0.1673173401720393,0.054819583695754376]",100.0,"[0.07912819034174798,-0.12067182495450417]",100.0,"[-0.03018586937934493,-0.19518946278395424]",100.0,"[-0.02914242467392911,0.04994266598367465]",4.0,"[0.13869538369295642,0.03726569327185973]",100.0,"[0.01678885901190846,0.13551640286633296]",4.0,"[0.18099040761167734,0.032343923883590905]",100.0,"[-0.10325756559524861,-0.07768841832203496]",4.0,"[0.01355440463318905,-0.08059314128698887]",4.0,"[0.17905166515199508,-0.05518013882976596]",4.0,"[0.0491387450516014,-0.034211244466649325]",4.0,"[-0.04751612497054325,-0.12922129290045925]",4.0,"[0.07962503173755087,-0.17006708003135115]",100.0,"[0.1019339268560585,0.16907088473841345]",4.0,"[0.0623526489761698,-0.08057394435094783]",100.0,"[-0.06253408468169507,-0.033868526682147945]",4.0,"[0.07586513516134083,0.004724721794929664]",4.0,"[0.17571994520194395,-0.009970179086219165]",100.0,"[-0.16439870834768489,0.00836569201223744]",4.0,"[-0.003604321674984169,0.18261746825423808]",100.0,"[0.02,0.02]",512.854,0.0,2.0,2.0,91.0,1.0,,,,,,,
,,,,,,,67d08d8bfb1d7900834824f7,684429367996d2118ccc1014,2025-06-07_14h39.12.347,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,512.8558,513.3572,,,513.6015,513.6584,left,,,,,,,,0.4,0.039,,,,,,,513.3574,513.6015,513.6586,"[-0.054538518440088946,0.17689086526709108]",4.0,"[0.09986739084119062,0.000003325181179255435]",4.0,"[0.05634267683523979,0.019876086491782]",100.0,"[0.004879229978877018,0.1268515372418589]",100.0,"[-0.09335640744561173,0.03108097863862589]",100.0,"[-0.18619300306561468,0.07159211829319037]",4.0,"[0.11951176587770955,-0.05923307428625996]",4.0,"[0.030116485001638337,0.17487878806324633]",100.0,"[-0.1714709925697443,-0.08993951425360677]",4.0,"[0.03186703126496952,-0.09379675305860129]",4.0,"[-0.13201679206306702,-0.12284014255232875]",100.0,"[-0.03654366431146002,0.0640107287847965]",100.0,"[0.1257057559924907,-0.10910926972594356]",4.0,"[0.19711840502852102,-0.030428502304915506]",100.0,"[-0.13608588820228676,-0.06257836078540245]",4.0,"[0.017826419735424318,0.06683478530495221]",4.0,"[-0.1711499676700451,0.004623285195036035]",100.0,"[-0.08771784370036216,0.08666799931114633]",100.0,"[0.05684454445487045,-0.13696805812112636]",100.0,"[0.019716453272329876,0.002401930229116938]",4.0,"[0.02001270178983201,-0.04639239388903599]",4.0,"[-0.029766649607700032,-0.12194919155711473]",100.0,"[-0.04165244983053505,-0.17500115316666937]",100.0,"[-0.15096698202048853,0.09497478772596919]",4.0,"[-0.104542328719365,0.16943879438066417]",4.0,"[0.14612886264422104,0.046646407926845934]",4.0,"[-0.01443589356379018,-0.07077716712083953]",4.0,"[0.05802972389737625,0.08287980846279529]",100.0,"[0.14700451718132837,0.0870117896406503]",4.0,"[0.09831523458636555,0.0690382677902718]",4.0,"[0.06917786406312453,-0.04879594643580699]",4.0,"[-0.11848223243523676,-0.008936568037142607]",4.0,"[0.02,0.02]",514.7587,0.0,3.0,3.0,170.0,1.0,,,,,,,
