right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,70.4557,space,55.4424,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,70.456,115.7935,space,15.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,115.7938,120.4248,space,1.6211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,120.4467,120.9364,120.9373,121.1867,121.1869,122.6856,,122.6858,123.7852,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,123.7865,124.2857,124.2859,124.5356,124.5356,125.0182,left,125.0184,126.1179,0.0,1.0,1.0,1.0,1.0,0.8,0.4711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1185,130.0342,space,0.8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,130.0573,130.5516,,,130.7901,131.7899,left,,,,,,,,0.4,0.983,,,,,,,130.553,130.79,131.7903,"[0.021381074463792036,0.17286506308252744]",4.0,"[-0.16363655336924463,-0.08706011333737063]",4.0,"[0.027499044064612347,-0.1208068613382285]",4.0,"[0.1416120715105421,0.11480229583621183]",4.0,"[0.16773984763569044,-0.017804790265017297]",100.0,"[-0.05423732675593005,-0.02865330970405126]",100.0,"[0.14459987501526655,-0.07180032865539193]",4.0,"[-0.030678858120381874,-0.16089245118921558]",4.0,"[-0.16652422459027988,0.018760877879955278]",4.0,"[-0.06715124372286484,-0.10899177049124276]",4.0,"[0.09066026126315278,0.03102370049269587]",4.0,"[-0.03364654702876935,0.18012102326287072]",4.0,"[0.012100621293327358,0.027323298894441534]",4.0,"[0.08831595505239108,-0.017614419976279154]",4.0,"[-0.04367531709420147,0.07014055051170391]",100.0,"[0.0091086135098276,-0.015686993876631094]",100.0,"[-0.00021107738224280124,0.08913401195762838]",4.0,"[0.08462250720870683,-0.07379481007726402]",100.0,"[0.11119499943723472,0.08304954642949242]",4.0,"[-0.005833434159590321,-0.07007888959525012]",4.0,"[-0.10759650660719582,-0.07386781771024312]",100.0,"[0.08647928867295002,-0.11984381428583049]",100.0,"[0.09982669400558432,-0.17267669008686845]",4.0,"[0.05924523683667016,0.1475525001026071]",100.0,"[-0.14420162342166631,0.07229282692167695]",100.0,"[0.09543303814567855,0.17272115319307227]",4.0,"[0.1572072852789627,0.06940634170883611]",100.0,"[-0.12046110473521242,-0.033242575729044946]",100.0,"[-0.0738798167508522,0.1307261455757147]",4.0,"[-0.11049012674758944,-0.1559558500225453]",4.0,"[0.08989920312031169,0.12069223498100543]",100.0,"[-0.16364736355733406,-0.022186399045437913]",100.0,"[0.02,0.02]",132.8897,0.0,0.0,0.0,168.0,1.0,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,132.8905,133.3841,,,133.6342,134.0,right,,,,,,,,0.5,0.3568,,,,,,,133.3844,133.6342,134.0002,"[0.10810035135787258,0.07970413624572642]",100.0,"[0.08940865679709156,-0.17600734946076999]",100.0,"[-0.04008984180522685,-0.09085518838685944]",4.0,"[0.018136493389467757,0.03542911989570566]",4.0,"[-0.05015105855812917,0.054647259068870246]",4.0,"[-0.085936959459075,0.16721308297776402]",4.0,"[-0.05554020703296747,0.0047093687792860465]",100.0,"[-0.09343058146899187,0.0900576139275017]",4.0,"[-0.11184551093971996,0.020867404699236636]",4.0,"[-0.15249772656120897,-0.027346016518219503]",4.0,"[0.15805369460621646,-0.11718747380543569]",4.0,"[0.1552624954504766,0.03347603557056238]",100.0,"[0.05630167807339002,0.08187994062984379]",4.0,"[-0.16757548117185997,0.052709241736787975]",100.0,"[-0.002099827189158791,-0.197910260892868]",4.0,"[-0.11139917865659517,-0.1263389793860415]",4.0,"[-0.14499126458396516,0.1165751408074391]",100.0,"[0.0032676476551153724,-0.027466981306796583]",100.0,"[-0.0007643442557773639,-0.07412970687991141]",4.0,"[-0.12822923309546047,-0.06545891061588233]",4.0,"[0.07404224461865974,0.13524395640091666]",4.0,"[-0.1117418931638166,-0.021759635774289975]",4.0,"[0.08651114574221906,-0.028068611299487362]",100.0,"[0.011282079409234829,0.09003039540338394]",100.0,"[-0.168491647622443,-0.07013941804397943]",100.0,"[0.14858237195788096,-0.028073206461355762]",4.0,"[0.04089481876441875,-0.1756531032048293]",100.0,"[-0.06982596948717544,-0.15506548953158653]",100.0,"[-0.008341053246289191,0.15000774279039658]",100.0,"[0.12118471833662835,0.12325215724557603]",100.0,"[0.030890309536946495,0.17348488860816272]",100.0,"[0.08692535660268562,-0.06812749955533165]",100.0,"[0.02,0.02]",135.0997,0.0,1.0,1.0,93.0,1.0,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,135.1005,135.5993,,,135.8498,136.0828,left,,,,,,,,0.6,0.2197,,,,,,,135.5994,135.8497,136.0829,"[-0.18995683487024972,0.055508832126323675]",100.0,"[-0.03971700787926044,-0.10968908837813723]",100.0,"[0.034252859836320794,0.17813611023407078]",4.0,"[-0.07830023755790462,0.002322473148342288]",100.0,"[0.15937387160519206,0.07262037627724631]",4.0,"[-0.03212945904278131,0.032089656125127305]",100.0,"[0.004434957603145678,-0.042157058730539675]",4.0,"[-0.04324123474822426,-0.05775541763663299]",100.0,"[-0.03241129095318193,0.16769521667188628]",4.0,"[-0.011116184431117799,0.07322351502463408]",100.0,"[0.09057721748769237,0.05238540649280049]",100.0,"[-0.09227712688943578,-0.05739985982572567]",100.0,"[0.056513490893451465,-0.14977502455624914]",4.0,"[0.050746259456764364,0.04747422877050013]",4.0,"[-0.12276712898833143,0.14241467447337106]",100.0,"[-0.09012842741740203,0.11174720841468726]",4.0,"[0.14458539898232192,-0.10715645057942133]",100.0,"[-0.18860627612326938,-0.06641245342266693]",100.0,"[0.17035210420530458,0.016690159609000846]",4.0,"[0.05687720183333021,0.1394189350653641]",100.0,"[-0.18622321081355708,0.0077802686830243896]",4.0,"[-0.12933041323041136,0.08326348399984054]",4.0,"[-0.12745787989957752,0.00634454671747081]",4.0,"[0.02703573428623995,-0.08185364603177303]",100.0,"[0.06936007659446253,-0.09231730450827477]",4.0,"[0.026981551459379815,0.10439423416358949]",100.0,"[-0.07911056557841849,-0.11958370569736046]",100.0,"[0.17973505428425013,-0.03375518079625649]",100.0,"[-0.15885034490669664,0.11778044589820835]",100.0,"[0.05776159727864222,-0.03749690172505412]",100.0,"[0.00728157011812199,-0.12328958238087619]",4.0,"[0.11839061002324318,0.09177247081078035]",100.0,"[0.02,0.02]",137.1822,0.0,2.0,2.0,31.0,1.0,,,,,,,
,,,,,,,67d13bd326a4f1c00896e233,6842bc061dfbaf502fc2d052,2025-06-06_11h59.59.048,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,137.1829,137.6822,,,137.9325,138.6662,right,,,,,,,,0.6,0.7174,,,,,,,137.6822,137.9325,138.6663,"[-0.08864811502993854,-0.1046536518093152]",100.0,"[0.19230795492501418,-0.01181850162329557]",4.0,"[0.15242685525894428,-0.0588454494753638]",100.0,"[0.05029532358641522,-0.13161962270554198]",100.0,"[0.013971188705491137,0.1138140069837347]",100.0,"[-0.15819460943607858,0.06497689295190912]",100.0,"[-0.05303113887757061,-0.04897602133629619]",4.0,"[0.17907769986896452,0.039991567673652154]",100.0,"[-0.19535984872942483,-0.02958894707817285]",100.0,"[-0.028460584910834558,0.13181861499776212]",100.0,"[-0.06412018346295227,-0.00220313643957016]",4.0,"[-0.10849596714736286,-0.024737468233571973]",4.0,"[0.0023362261295434886,0.0352167001891844]",100.0,"[-0.11457233156996244,0.12387203640054616]",100.0,"[0.121393656439186,0.13787208874348447]",100.0,"[0.04937649974813496,0.030645170723174568]",4.0,"[0.07227447846878951,-0.005798744966703321]",4.0,"[-0.09115301194700741,0.07335014143311676]",100.0,"[0.08533213381698916,-0.060834353621457844]",4.0,"[-0.012507440237878736,-0.14657938234782558]",100.0,"[0.03875699754394039,0.1960341465114493]",100.0,"[-0.12859217281136073,0.033888850552196995]",4.0,"[-0.022086540379284345,0.18534046226921136]",100.0,"[0.11506202966117994,-0.017236466815616268]",100.0,"[-0.18636941145820465,0.032287049850436275]",4.0,"[0.10884055468737332,0.07841298766661763]",4.0,"[-0.1790905686243856,-0.0875267418179157]",100.0,"[-0.023041628092503232,-0.013097199178984109]",100.0,"[-0.07113053266997284,0.15228992071697828]",100.0,"[0.07541350900558587,0.13481340298423025]",4.0,"[-0.08251264486387358,0.03341707516757406]",4.0,"[0.01729303097102831,-0.19213103501841391]",4.0,"[0.02,0.02]",139.7655,0.0,3.0,3.0,35.0,1.0,,,,,,,
