right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0008,72.2482,space,57.2385,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,72.2485,108.895,space,6.6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,108.8952,113.3647,space,1.4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,113.3873,113.8787,113.8793,114.1292,114.1293,114.8807,left,0.7234,,114.8809,115.9789,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,115.9796,116.4796,116.4797,116.7289,116.7289,117.3622,left,0.6199,,117.3624,118.4619,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4625,125.8303,space,4.3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,125.8444,126.3314,,,126.5807,127.1971,right,0.6034,,,,,,,,,0.6,,,,,,126.3318,126.5807,127.1974,"[0.05684824613333817,-0.12396918499430261]",100.0,"[-0.11315636081336118,-0.11297088587469364]",100.0,"[0.1207098879299363,0.02058115555320355]",4.0,"[-0.05679710030520094,0.09921232318627952]",100.0,"[-0.03866824208957547,0.1928953562913112]",100.0,"[-0.060855791611298976,0.034086830842303996]",4.0,"[-0.1578298968936663,-0.045587547231004825]",100.0,"[-0.19487411430308613,-0.012604104528467849]",100.0,"[-0.10820799629152093,0.07343948006306354]",100.0,"[-0.07252592795942396,-0.14746676688359406]",100.0,"[0.004278026218367913,-0.17327992820858937]",100.0,"[0.05433551977431513,0.13153746892407459]",100.0,"[0.01739493048144601,-0.06286021417668676]",4.0,"[0.06770677575071514,-0.06871870980052378]",4.0,"[-0.09985002519921297,-0.07281752552141506]",4.0,"[0.10610420224152468,0.08938882722470455]",4.0,"[0.17202263511546437,-0.044139553034628964]",4.0,"[0.11594163661514478,-0.08848582821077904]",4.0,"[0.1312974751954333,-0.022356576401745133]",100.0,"[-0.04711661516389726,-0.03419022044031969]",100.0,"[0.05354371717450122,0.17665785669882697]",4.0,"[0.008959848833909073,-0.10851797594655216]",100.0,"[0.05139969664400534,-0.1912182164174159]",4.0,"[0.021070227500655552,0.05649368020709937]",100.0,"[0.10224927578861594,0.1577904385721726]",100.0,"[0.009104261742062638,0.09816583769722328]",4.0,"[0.07346297281661521,0.04466401391563573]",4.0,"[-0.14775035890368104,0.0980798709622538]",4.0,"[-0.05541317951979622,-0.08978813913802597]",100.0,"[-0.1402489400720601,0.13923873730253974]",100.0,"[0.10268305771054406,-0.13775643540090693]",100.0,"[0.02195240370958848,-0.00009421763144455393]",100.0,"[0.02,0.02]",128.2966,0.0,0.0,0.0,41.0,1.0,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,128.2976,128.7968,,,129.0478,129.7299,right,0.6674,,,,,,,,,0.45,,,,,,128.7968,129.0478,129.7299,"[0.1705043010645661,0.02879280861823154]",100.0,"[0.0917488003178823,0.13569560972125233]",4.0,"[0.11579636545528714,-0.02373639821518617]",4.0,"[-0.09025719756236797,-0.04607911259756778]",100.0,"[0.029154135633851056,-0.1530821144544844]",100.0,"[0.08075572781909843,0.010129545403237898]",4.0,"[0.06312900841762714,0.09362434723547577]",4.0,"[0.12938612970555924,0.10324530783771967]",4.0,"[0.04109275231940376,0.04287395011343359]",100.0,"[-0.02254165439057249,-0.15578749106521325]",4.0,"[-0.10968288379777312,-0.14999082632062363]",4.0,"[-0.018856794145347567,-0.07653092056337217]",100.0,"[-0.10688472070609936,0.07035807465982616]",4.0,"[-0.03509190110512964,0.08828222813564734]",100.0,"[-0.127423828023702,-0.06731882743037135]",100.0,"[0.006622027982780677,0.07249660646146422]",4.0,"[0.09615426366898568,-0.11333709005328843]",100.0,"[0.06774964100703207,-0.08037783974752719]",100.0,"[-0.03259834298877234,0.00008004645006975417]",100.0,"[0.14088912921530888,-0.06318533992183599]",4.0,"[0.02994950824747613,0.17252066120952697]",4.0,"[-0.16249958496723538,0.03974670997293633]",4.0,"[-0.0400757341672736,0.12948669254203476]",4.0,"[-0.1724282477003068,-0.055138006958877495]",4.0,"[-0.10917711227091008,0.15625036066239298]",100.0,"[0.17201954443140435,0.09332069620772437]",100.0,"[-0.06790730954685233,0.17475243863166265]",4.0,"[0.19014938513336832,-0.045368367706970655]",4.0,"[0.018644384253303385,0.11943888503560582]",4.0,"[0.03512642582979873,-0.11142830157429365]",100.0,"[0.16632103215076047,-0.10349691570813026]",100.0,"[-0.0032346014381949358,0.19991088609171237]",4.0,"[0.02,0.02]",130.8307,0.0,1.0,1.0,143.0,1.0,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,130.8312,131.3394,,,131.5801,132.0856,left,0.4867,,,,,,,,,0.5,,,,,,131.3394,131.5801,132.0857,"[-0.12212569111364129,0.008701461010893016]",100.0,"[-0.07818117404260455,0.17443570602692296]",100.0,"[0.1809904391578245,0.07321328974869719]",4.0,"[-0.05396734536385152,0.09739606764543922]",4.0,"[0.0468199064357156,-0.03227089216938957]",100.0,"[-0.1300097936604426,-0.12390716306699584]",4.0,"[0.15494584293810934,0.023022498839247167]",100.0,"[0.05714934523917945,0.05272853802767235]",100.0,"[-0.10239587168307636,-0.03588601464588576]",100.0,"[0.026684059404744758,-0.13598906015339693]",100.0,"[-0.11213594070118985,-0.08501383057363661]",100.0,"[0.025745542741685473,0.15372781778935743]",4.0,"[0.01275758708145517,0.05105705086653353]",100.0,"[0.11562332990862599,0.13823531032352465]",100.0,"[-0.023499707401936274,-0.0925046863114492]",4.0,"[-0.045216024728236784,0.05273662241429649]",4.0,"[-0.058435395172236455,-0.12310378295098415]",100.0,"[0.06671570823210504,0.09406938683648468]",100.0,"[-0.17500808059656772,0.03375384299907876]",100.0,"[0.06324334541881244,0.18303527337514597]",100.0,"[0.15721721431434357,-0.02056746329610901]",100.0,"[0.05496163972397675,-0.10312174528086322]",4.0,"[-0.09295757536790694,0.05766605687889278]",4.0,"[-0.02944415552598089,-0.012109336935674609]",4.0,"[0.034346839165317555,-0.18762313911818768]",4.0,"[0.07641687944619723,-0.1666967127395007]",4.0,"[0.10117428394558825,0.05667248444211645]",4.0,"[-0.15414148620166135,0.1255908496986322]",100.0,"[-0.015018752392091229,-0.18313226960040635]",4.0,"[0.12056212268545166,-0.09889677107130561]",4.0,"[-0.08329998223801177,-0.18037284081373028]",4.0,"[-0.19285803322904915,-0.022035279472671025]",4.0,"[0.02,0.02]",133.1838,0.0,2.0,2.0,101.0,1.0,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,133.1848,133.68,,,133.9344,134.4691,right,0.5188,,,,,,,,,0.55,,,,,,133.68,133.9344,134.4691,"[0.1494771163363664,-0.11692735380605283]",100.0,"[-0.09165604139184964,0.001813211586238952]",100.0,"[-0.0672300010041289,-0.06996292993240825]",100.0,"[0.181777049992395,-0.01143991203569818]",4.0,"[0.005983505241999803,-0.02716581028011282]",100.0,"[-0.1775133609360221,0.061465549531310254]",4.0,"[0.06400257506057962,-0.15245567952030478]",100.0,"[-0.038885501467618155,0.16261978387543682]",100.0,"[0.15702341783675533,0.05375509264679737]",100.0,"[-0.13470211737701307,0.05097834611345564]",100.0,"[-0.11536637423347884,-0.03922892806366534]",4.0,"[0.10517930118039794,0.11948441047764205]",100.0,"[0.02149523774325876,-0.16831135378993178]",4.0,"[0.07421018696286259,0.15297447616003712]",100.0,"[-0.029069039450218808,-0.10875129260439301]",4.0,"[0.09877942274060217,0.07391187345456163]",100.0,"[-0.11582616453354395,0.0936448324837669]",100.0,"[0.18557144850815316,-0.07007040218258817]",100.0,"[0.0936396925752111,-0.05095682964396475]",100.0,"[0.1451603248643404,-0.02836638398468434]",4.0,"[0.03651323186039902,0.05244009035093457]",4.0,"[-0.04904832514848967,-0.18851633247557822]",4.0,"[-0.009322164288790699,0.022472699510250056]",100.0,"[-0.03788674143534036,0.11236100293968272]",100.0,"[0.06493040434841958,0.01802510359455702]",4.0,"[-0.07432925534901608,0.04724162366001336]",4.0,"[-0.17029783317730263,-0.07941063532706667]",4.0,"[0.12122647511248234,-0.08660213124762049]",4.0,"[-0.03591199438553216,-0.02019048853795421]",4.0,"[-0.1650058790467812,-0.00757367046598218]",100.0,"[0.018762801538077474,0.17822540098696862]",4.0,"[0.021638222991717502,-0.11619629161021063]",100.0,"[0.02,0.02]",135.567,0.0,3.0,3.0,81.0,1.0,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,135.5682,136.068,,,136.3178,136.7529,right,0.4155,,,,,,,,,0.1,,,,,,136.0682,136.3171,136.7534,"[0.13220864863234413,0.013735260411718384]",4.0,"[-0.06168799077225991,0.037559486656339736]",4.0,"[-0.11875452270621875,-0.05962447403235087]",4.0,"[-0.11855632884218736,-0.12998477059670646]",4.0,"[0.16699721767263992,-0.07343803564542449]",100.0,"[-0.08628249940429719,0.1728455959464096]",4.0,"[0.11649008016257889,0.08297298848274097]",4.0,"[-0.006949702100116062,-0.10848097488304194]",4.0,"[-0.12501436406348826,0.05982146457759071]",100.0,"[0.12066473557324717,-0.15326262736880092]",4.0,"[-0.0438945007092438,0.1876568399630947]",4.0,"[-0.1098729127358653,0.012489138339661492]",4.0,"[-0.1724971605690782,-0.06828893649866205]",4.0,"[-0.024715502047895136,0.005281808014598534]",100.0,"[-0.06123123720313356,-0.14786957490611677]",4.0,"[0.13716192327197999,0.12725744881645482]",4.0,"[-0.009042997070239665,0.07006899748956986]",4.0,"[0.05831839164155219,0.011891348635881987]",4.0,"[-0.18318740066296332,0.058233068356791894]",4.0,"[0.16040480263251727,-0.023743815986755363]",4.0,"[-0.06922563259985894,0.10181900736048147]",4.0,"[0.06132668457209589,-0.046755838833592696]",4.0,"[0.12277274282331042,-0.0695836185644579]",4.0,"[-0.11060413518333026,0.12650021516347978]",4.0,"[0.03930829950748835,-0.13930737213408106]",4.0,"[-0.07089801194242447,-0.010066588273896518]",4.0,"[0.04696703241769226,0.10083268220802295]",4.0,"[0.16822213296289532,0.06681937378498486]",4.0,"[0.05243752346944855,0.15452447023519772]",4.0,"[-0.05848564110445942,-0.08111137190478726]",4.0,"[0.0972401534193308,-0.10407343639432229]",4.0,"[0.008806568499778029,0.13240598812216822]",4.0,"[0.02,0.02]",137.85,0.0,4.0,4.0,189.0,1.0,,,,,,,
,,,,,,,67d8270aba9f1c19f16caa6c,68442bf662fd7b9d3083b682,2025-06-07_14h13.41.959,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,137.8509,138.3488,,,138.6006,139.2011,left,0.5837,,,,,,,,,0.9,,,,,,138.3489,138.6004,139.2011,"[0.006959715896836439,-0.17679074249842214]",100.0,"[0.00522317650591902,-0.13431673991926954]",100.0,"[-0.07063473329124424,-0.11699377604102226]",100.0,"[-0.038714768638802896,-0.06000183374422365]",100.0,"[0.07897986976046126,0.1709665291972434]",4.0,"[-0.04573079868511948,0.03395975558427188]",100.0,"[-0.02800459216621061,0.18841551677255028]",100.0,"[0.07540904195877218,-0.01941384377992579]",100.0,"[-0.1935984969844318,0.018179958718907062]",100.0,"[0.14876197477553998,-0.055195808209618905]",100.0,"[0.06372934233571365,0.1331046169927247]",100.0,"[-0.1613819798082617,0.09934668563775581]",100.0,"[0.16463576179905834,-0.10138018678139833]",100.0,"[-0.09989906638068437,-0.06527769532672002]",100.0,"[-0.16657014606578613,0.048070794507018996]",100.0,"[-0.0276668416505424,0.11591061684329887]",4.0,"[0.014690669716799718,0.13123729731112896]",100.0,"[0.05766794436438494,-0.14955415865990834]",100.0,"[-0.11958008325225974,0.12607835753757632]",100.0,"[0.06861728019050414,0.023695392768800113]",100.0,"[0.11196508866006673,-0.08940422921280611]",100.0,"[-0.0008599657953661361,0.06281185175431944]",100.0,"[0.1617712752107547,0.081476283228598]",100.0,"[-0.14440132826233837,-0.0777473668136726]",100.0,"[-0.14563045732165106,0.010053386629664086]",100.0,"[-0.06845405864367786,-0.16872532550177588]",4.0,"[0.11145058371293608,0.05510446963259281]",100.0,"[-0.006539769299892733,-0.026417843640108844]",100.0,"[-0.11321808993911721,-0.1044329950196491]",100.0,"[-0.06829262120099708,0.10780558638478824]",100.0,"[-0.07572495318230758,-0.02898797054036753]",100.0,"[-0.1066223342348911,0.16430106110927795]",100.0,"[0.02,0.02]",140.2978,0.0,5.0,5.0,3.0,1.0,,,,,,,
