right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0006,68.951,space,53.882,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,68.9536,138.3507,space,39.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,138.3514,145.7044,space,4.3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,145.9194,146.2129,146.2138,146.5398,146.5409,147.961,,147.9619,149.0515,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,149.1014,149.5563,149.5566,149.9989,149.999,150.7494,left,150.7497,151.851,0.0,1.0,1.0,1.0,1.0,0.8,0.7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.8523,156.7312,space,1.8561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,156.8849,157.2406,,,157.4737,158.9694,,,,,,,,,0.6,,,,,,,,157.242,157.4733,158.9727,"[-0.04954720665865626,0.05059467410100447]",100.0,"[-0.10050852111071476,0.09783274717045624]",100.0,"[0.1440738355433169,0.003563149753730407]",100.0,"[0.05498953317632514,-0.0863022856995975]",4.0,"[0.09532689615606295,0.05450051260278602]",4.0,"[-0.07785106880777418,-0.1536668546245207]",100.0,"[0.022478899965978558,0.019506115471303414]",100.0,"[0.0782657551512518,0.10186714896499384]",4.0,"[-0.11661092506432766,0.05733276003456202]",100.0,"[-0.10555342074788288,-0.006191763051286527]",4.0,"[-0.09939507214311087,-0.1037641689402759]",100.0,"[-0.03657591043855074,0.16767349459027736]",100.0,"[-0.053436448436629536,-0.10405168125299549]",4.0,"[0.08224987922166052,-0.016986092410466263]",100.0,"[0.045383807415424554,0.1537629241563442]",100.0,"[-0.059358722826792124,-0.013550900949790664]",4.0,"[0.09705230883132002,-0.09347294506923373]",100.0,"[-0.07190752325960287,0.13814071799642474]",100.0,"[-0.1618487809284781,-0.051640556454027174]",4.0,"[0.1274793991753652,-0.13593296818887493]",100.0,"[-0.18122224568173598,0.02901891347412593]",100.0,"[0.18346332139811225,0.039403018404796875]",100.0,"[-0.01328601665139241,-0.16150736857866047]",4.0,"[0.14040944981024076,0.08810601363181367]",4.0,"[-0.03951544511218937,-0.05611925016824767]",100.0,"[-0.023468741290468387,0.10755233872482703]",100.0,"[0.08386330237469246,0.16841640258317964]",100.0,"[-0.15518778428440397,-0.10689928978234339]",4.0,"[0.051931012866353446,0.0585421306193097]",4.0,"[-0.15899117854596403,0.1057932448314092]",4.0,"[0.009639174501935431,-0.06154949222042666]",100.0,"[0.022702975132915335,0.11252375662787625]",4.0,"[0.02,0.02]",160.0611,0.0,0.0,0.0,32.0,1.0,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,160.0632,160.5597,,,160.7833,161.07,left,,,,,,,,0.55,0.2708,,,,,,,160.5598,160.7832,161.0701,"[0.031406296704894865,0.111259303514758]",100.0,"[0.00544476923805463,0.15572364442348255]",100.0,"[-0.12553996921711943,-0.12435503122349016]",100.0,"[-0.00817921365946629,-0.05857875202653914]",4.0,"[0.0023524599684312994,0.07467067201538988]",4.0,"[-0.15259245414400163,0.10019634075987222]",4.0,"[-0.0847229561273996,0.016675241751162317]",100.0,"[-0.16338549039367262,-0.06952138849086745]",100.0,"[0.007939446229479221,0.19629714357174868]",100.0,"[-0.06620753803711182,0.09698929893003323]",4.0,"[0.06797981223166465,0.08266888231462514]",4.0,"[0.13273933472874475,-0.1471373493726443]",100.0,"[-0.030966520930621657,-0.01005998999067574]",100.0,"[-0.057610574090471295,-0.0560205031684797]",4.0,"[0.13582569894503765,-0.09626981883416452]",4.0,"[0.13642057053794565,0.029218264105884895]",4.0,"[-0.09418041937996068,0.16925042283381148]",4.0,"[0.06873159169233166,-0.061880306009539324]",100.0,"[-0.009125993500405447,-0.14287507335156754]",100.0,"[-0.12693234945026913,-0.04023345503679523]",100.0,"[-0.05809084495483227,-0.15230932694631885]",4.0,"[0.04709101460196247,0.005780715876575932]",100.0,"[0.15067200833690897,0.09626002233800585]",4.0,"[0.0947910714800899,-0.0008602015872180655]",100.0,"[-0.19134520597439636,0.04875788951463135]",100.0,"[-0.05555178489769377,0.05607031176384783]",100.0,"[-0.1236462356214256,0.06948335886182068]",100.0,"[0.17303872166937923,-0.012205522618551708]",4.0,"[0.07762191940550169,-0.11296290773828814]",100.0,"[0.1922956335694517,0.04226168372282322]",100.0,"[0.07640441720509827,-0.16081555400011074]",4.0,"[-0.08256744743808812,-0.09280456777412772]",4.0,"[0.02,0.02]",162.1659,0.0,1.0,1.0,61.0,1.0,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,162.1674,162.6614,,,162.9091,163.1357,right,,,,,,,,0.55,0.2142,,,,,,,162.6615,162.909,163.1359,"[-0.019222489777853364,-0.19257212165628487]",4.0,"[0.013768550724395453,0.19874387297068793]",4.0,"[-0.06387190831475183,0.0525912882895412]",100.0,"[-0.025014180582355036,-0.11743236834033888]",100.0,"[-0.08949801262613308,0.12098338172740171]",4.0,"[0.19629497939263196,-0.006901923068817694]",100.0,"[0.06904644403312929,0.14694452443485365]",100.0,"[0.023413990417311556,0.1471777863110239]",100.0,"[0.07831333818615874,-0.08412620999177302]",100.0,"[-0.17229561697480458,-0.0904931064511925]",100.0,"[-0.13682200638875489,0.11209705470945804]",4.0,"[-0.06525619013343284,0.0027653510148433315]",4.0,"[0.12478848789388164,-0.10008902688550171]",4.0,"[-0.17755429992507743,0.06252057927654689]",4.0,"[0.02166421858831268,0.022378538540024792]",100.0,"[-0.030871954667922717,-0.05465538164346931]",100.0,"[-0.09353839874670056,-0.15069304313351103]",4.0,"[0.13530070150369028,0.049357856885835]",100.0,"[-0.04053358685900087,-0.15689345055901244]",100.0,"[0.040613043789107746,-0.01863450595917962]",4.0,"[-0.11283213585407514,0.032662408531410135]",100.0,"[-0.12059228592618502,-0.03259697870243328]",100.0,"[-0.00841003774076078,0.08442262469147797]",4.0,"[0.1676143975355891,-0.08950461333716322]",100.0,"[0.011650183860423628,-0.04953945430593871]",4.0,"[0.08425771154262521,0.00845046606999431]",4.0,"[-0.19688741315599145,-0.02269041141555021]",100.0,"[-0.16223353666346627,0.015171155085934631]",4.0,"[0.11520143389687017,0.15635061890010343]",4.0,"[0.13383853863489317,0.10557564125558712]",100.0,"[-0.0433627291286831,0.16384056903739053]",100.0,"[-0.0839901087618622,-0.058083662160765]",100.0,"[0.02,0.02]",164.2358,0.0,2.0,2.0,84.0,1.0,,,,,,,
,,,,,,,67d985ecdc5a2f49e468bf75,6842bbfe9a181b1f33f34f93,2025-06-06_03h04.50.167,shape_ratio,2024.1.5,Win32,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,164.2366,164.7365,,,164.9888,165.1385,left,,,,,,,,0.1,0.1367,,,,,,,164.7376,164.9886,165.1387,"[0.059614933914483234,-0.15460783128368916]",4.0,"[0.16262268248188758,0.09799941295520509]",4.0,"[0.03278753485677917,-0.01290567519296618]",4.0,"[0.1767412037398144,-0.07702804651598283]",4.0,"[-0.1441145518548861,-0.036829855494627924]",4.0,"[-0.017543659160967735,-0.07618705098344715]",4.0,"[-0.0702681363213812,0.021993981212431745]",4.0,"[-0.09289007263137071,-0.11966191360796456]",100.0,"[-0.024239873541392738,0.19217017010351917]",4.0,"[0.18179539540133002,0.06241617494411]",4.0,"[-0.13142836005744077,0.01570478084852466]",4.0,"[-0.022757591726999687,-0.17426660855694637]",100.0,"[0.08668272522215091,-0.12086131741303728]",4.0,"[0.04220582757455184,0.11500402846409077]",4.0,"[-0.18701485037129256,0.0434046662974973]",4.0,"[-0.18811511902792305,-0.0651596008650045]",4.0,"[0.06088625412483594,0.17637983920621061]",4.0,"[0.06492475179505326,-0.05412818829119401]",4.0,"[-0.14742058023902346,-0.12048345340259624]",4.0,"[-0.07787604543332369,-0.029238961260903536]",4.0,"[-0.054205775464900664,0.12950207060051103]",4.0,"[-0.12508685639964676,0.12305716967484294]",4.0,"[-0.10181987549635452,0.0874636857083834]",4.0,"[-0.00838429914215654,-0.015405519651198607]",100.0,"[-0.02343986115461071,0.039984683868751994]",4.0,"[0.12874924097161294,-0.15145277809883426]",4.0,"[-0.09112896539540498,0.14676584689790648]",4.0,"[0.10823485796480906,-0.029745683667112544]",4.0,"[0.11799671023953859,0.12893647355052107]",4.0,"[0.010938503427159076,-0.1342410459424469]",4.0,"[0.08410897848633547,0.0306987501794542]",4.0,"[0.13109589527655366,-0.07048940974419927]",4.0,"[0.02,0.02]",166.2282,0.0,3.0,3.0,187.0,1.0,,,,,,,
