right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.001,67.5916,space,52.5364,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,67.5928,98.3548,space,0.7162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,98.3565,102.1472,space,0.7541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,102.2229,102.6793,102.6803,102.9055,102.9061,104.4097,,104.4102,105.5078,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,105.5109,106.0074,106.0076,106.2421,106.2422,106.8758,right,106.8761,107.9704,0.0,1.0,1.0,0.0,1.0,0.2,0.6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.9728,112.0649,space,1.0487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,112.1267,112.5684,,,112.7988,113.1649,right,,,,,,,,0.4,0.3544,,,,,,,112.5704,112.7986,113.1671,"[0.05263113584853963,-0.03958098989971423]",4.0,"[-0.022559710843220285,0.008715354275706296]",4.0,"[0.07719730664318507,0.1651949185837338]",100.0,"[-0.12309067657826672,-0.12112751706573856]",4.0,"[0.17291750683021695,-0.06017527127844115]",4.0,"[0.16885651143142894,0.05996358017065906]",100.0,"[-0.10454548408101579,0.15059646045195044]",100.0,"[-0.01784108087616712,-0.14349647753568415]",4.0,"[0.09948113541414581,-0.04343704293523385]",4.0,"[-0.06261719779791936,0.03830094892603751]",4.0,"[-0.07231847058018546,0.10050813337538403]",4.0,"[0.01818420070930982,0.16582114412791754]",100.0,"[0.11254630254702498,-0.14884704410403607]",100.0,"[0.08985022956291322,0.03233108244825445]",4.0,"[-0.06752894998263127,-0.01708447101870663]",100.0,"[0.05543700826427693,0.06957657642493853]",100.0,"[0.023948446083675398,-0.180242281088475]",4.0,"[-0.1162971087352437,-0.021699109147041536]",4.0,"[0.1048787616668188,0.1359175846379103]",100.0,"[-0.18400498064542725,0.03314802987221046]",100.0,"[0.16111120077670776,-0.10730186455350833]",100.0,"[-0.10659225124045371,0.05733268351754592]",4.0,"[-0.13886695861454018,0.03059790580252721]",4.0,"[0.048712387596127144,0.011781515980705426]",4.0,"[-0.13607225535010245,-0.08143549538837079]",4.0,"[0.14961771807189095,0.020714534756392473]",4.0,"[-0.0891539748278804,-0.07927224527777232]",4.0,"[0.005235860678631623,-0.05357199643657269]",100.0,"[-0.03423152479954267,-0.19056480693971503]",100.0,"[-0.008427522133321706,0.10358301940743193]",100.0,"[-0.058389954532594684,-0.11834519663299725]",4.0,"[-0.033509735936350794,0.16988613337573608]",4.0,"[0.02,0.02]",114.2615,0.0,0.0,0.0,165.0,1.0,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,114.2633,114.7607,,,114.9961,115.4615,left,,,,,,,,0.45,0.451,,,,,,,114.7611,114.996,115.4616,"[0.1415854711001996,-0.10841892490713227]",4.0,"[0.01918815539945432,-0.04695169859484137]",4.0,"[-0.18830221693982377,0.032959479336486894]",100.0,"[-0.10893168582465984,0.00996686619241295]",4.0,"[0.047090263306414235,0.05153582353568435]",4.0,"[-0.1302077131594064,-0.12762491706999418]",100.0,"[-0.029293074667970986,0.16665804702838474]",4.0,"[0.17503274264406518,0.08236954578735727]",100.0,"[-0.08983048664631835,0.10017166472790785]",100.0,"[-0.1533333810871268,0.10848619081219145]",4.0,"[0.09377801501381453,0.027943922630964676]",100.0,"[0.019531977925764454,0.1426710643447189]",4.0,"[-0.0015706866785616229,-0.1326313790199841]",100.0,"[-0.015419762366497326,0.020096954430786608]",4.0,"[0.06432245329817521,-0.027271038075159525]",100.0,"[-0.05068833102110105,0.1293453647587439]",4.0,"[0.06477139112193989,0.1417485021007222]",4.0,"[0.08550543810383476,0.17741786161609166]",100.0,"[0.12694669680425988,-0.03931024480224412]",100.0,"[-0.11950058595432601,0.06416123806477261]",4.0,"[0.13521364826986657,0.13665536978966134]",100.0,"[0.04595312477886729,-0.1328011052455065]",4.0,"[-0.09315339992080308,0.14253731183360377]",4.0,"[-0.0181476442806514,-0.1899265293479462]",100.0,"[0.11473284838813044,-0.14922076527571645]",100.0,"[0.09520586306457851,-0.0854589756965068]",100.0,"[0.030362903098152535,0.00664826366928393]",4.0,"[-0.0033679154703223735,0.19760004292612707]",4.0,"[-0.06274543531584822,-0.1127775398306117]",4.0,"[0.185275404700772,0.0007980159105852801]",100.0,"[-0.09808661908293329,-0.07935677794926578]",4.0,"[-0.13877403286721388,-0.04385518420798257]",4.0,"[0.02,0.02]",116.563,0.0,1.0,1.0,145.0,1.0,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,116.5643,117.0561,,,117.2899,117.5578,right,,,,,,,,0.55,0.255,,,,,,,117.0563,117.2899,117.558,"[0.19384588647041523,0.006895629366254249]",100.0,"[0.02002181257500595,-0.19520086987735086]",4.0,"[0.12234588500705727,0.07278075560993463]",4.0,"[0.045332101999387704,-0.0012973469153637735]",100.0,"[-0.07038843794198306,-0.16404246629258615]",4.0,"[-0.003419142101076281,0.05344499955277314]",4.0,"[0.14478757150069926,0.13673922982854117]",100.0,"[-0.14981316651286788,0.047312347880988585]",100.0,"[0.039404885933309576,-0.10143315013794874]",100.0,"[-0.14049291475992062,-0.010202376269745815]",4.0,"[0.020365311211342923,-0.15252286740191925]",100.0,"[-0.12193574815261347,-0.14376654472971628]",4.0,"[0.07410270846506312,0.18038430095554728]",4.0,"[-0.03655297470580239,0.16768570349392561]",4.0,"[-0.19270426922152173,0.039420939386549614]",100.0,"[0.08201039142736344,-0.15701006265901388]",4.0,"[-0.021201765152301932,-0.09487248288551717]",100.0,"[0.09431038205879054,-0.030679552872139262]",100.0,"[0.11490293250218116,-0.11616246667397406]",4.0,"[-0.05197533967496118,-0.06319122303604016]",4.0,"[-0.026499388807345984,0.11653737748309144]",100.0,"[-0.06571310968112175,0.002118466531917595]",100.0,"[-0.08065573266197373,0.12134714884753381]",100.0,"[0.029008498827721076,0.15456905351150813]",100.0,"[-0.005811531626867917,0.011588458002910312]",100.0,"[0.047686127176632884,0.05939678437659637]",4.0,"[0.1813867900427261,-0.06978353946358672]",100.0,"[-0.08354008876540585,0.17409915371678295]",4.0,"[-0.12033190435936322,0.09763875135624472]",100.0,"[-0.09563462825973972,-0.08984014372530633]",4.0,"[-0.10430391999671143,-0.03891936134849473]",100.0,"[-0.1605188594870143,0.0881032617942648]",100.0,"[0.02,0.02]",118.654,0.0,2.0,2.0,75.0,1.0,,,,,,,
,,,,,,,67df19d8dfaa291bdd177c93,684428cccfb52ca9ec7bf8dd,2025-06-07_00h56.35.609,shape_ratio,2024.1.5,Win32,29.85074627,684250e4f00cb30b92d1fa88,,,,,,,,,,,118.6553,119.1526,,,119.3866,119.6524,right,,,,,,,,0.6,0.2503,,,,,,,119.1527,119.3865,119.6525,"[0.1626901256049298,0.05040603495080524]",100.0,"[-0.13484362552530257,-0.11889024266215197]",4.0,"[0.1605831869889342,-0.025599121149369148]",4.0,"[0.03663021001328813,-0.11541855417537307]",100.0,"[-0.04841102686459336,-0.16011321919036353]",100.0,"[0.1352710932419394,0.10549017022763336]",4.0,"[-0.03943394543521225,0.020408633890784827]",100.0,"[0.09731842135279041,-0.018000685071901747]",4.0,"[0.06815553900405144,-0.08419195662340358]",4.0,"[-0.012002876036356847,-0.0631940104235047]",100.0,"[0.03689038556507456,-0.19646610751373356]",100.0,"[-0.008271250928857126,-0.18650591905310368]",4.0,"[-0.15624928361730317,0.10889872846372232]",100.0,"[0.07584719656398921,0.08041207483419507]",4.0,"[-0.05872958257832159,0.11519023362982077]",100.0,"[-0.17682702264006545,0.004304562357026888]",4.0,"[-0.06889319792671539,-0.033483098891959905]",100.0,"[0.030713530431858607,0.09922778968607887]",100.0,"[0.10084009313244989,0.161004627524033]",4.0,"[0.012637797500594464,0.04555495636812736]",4.0,"[-0.08667292043256299,0.029267282748130497]",100.0,"[-0.14275101302579876,0.05606209909825079]",4.0,"[-0.10357181372615223,0.07418961123899438]",4.0,"[0.05845050083379875,0.011943936196831092]",100.0,"[0.1276499673773777,-0.08847934974677364]",4.0,"[-0.11044394724724232,0.16004862652471286]",100.0,"[0.10540029711021243,-0.14924486060662043]",100.0,"[0.0563429254571768,0.14877089633072682]",100.0,"[-0.13360728051953324,0.008773740753027703]",100.0,"[0.0019342093645269495,0.1487710196376178]",100.0,"[0.19740550265703297,0.006617726277637696]",100.0,"[0.044723407840678485,-0.04208445964739178]",100.0,"[0.02,0.02]",120.7519,0.0,3.0,3.0,42.0,1.0,,,,,,,
