right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0,19.815,space,4.809,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,19.816,526.416,space,476.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,526.417,547.51,space,18.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,547.536,548.026,548.026,548.279,548.279,549.775,,549.775,550.875,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,550.876,551.374,551.375,551.626,551.626,551.76,right,551.761,552.858,0.0,1.0,1.0,0.0,1.0,0.2,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.858,610.11,space,54.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,610.143,610.626,,,610.878,611.076,left,,,,,,,,0.55,0.184,,,,,,,610.626,610.877,611.076,"[-0.12483339476737634,-0.022046182572257374]",4.0,"[-0.12400196275759313,0.07699074576261997]",100.0,"[-0.08349528290727416,-0.0947227435688512]",100.0,"[0.06684689328023555,-0.009180342342476515]",4.0,"[-0.12684675453125588,-0.06553231536388454]",100.0,"[-0.026963783208069275,-0.04472157516667397]",4.0,"[0.0302111151643332,-0.1460788966483092]",4.0,"[-0.16796567669029483,0.07800254840424185]",100.0,"[-0.15843078061484192,0.00888913786142331]",100.0,"[-0.10543170261088596,0.15747714123150788]",4.0,"[0.08552842601689879,0.034967188504755525]",4.0,"[0.11838777173439086,-0.07920898680525625]",100.0,"[-0.031589670172758516,-0.1779352311204049]",4.0,"[0.09261343042126072,-0.15984680637353146]",4.0,"[0.08148287060248546,0.10140032854286257]",100.0,"[-0.1137929659330915,0.027176025749817676]",4.0,"[0.023203292056092874,0.12811777267946453]",100.0,"[0.12678073164316428,-0.12843543412430738]",100.0,"[-0.11375337204305408,-0.16137500832893384]",4.0,"[0.17171481826094168,-0.08493483817877488]",4.0,"[-0.004861637979309177,0.0867823966291708]",100.0,"[-0.03281757136541125,0.13836614718188167]",4.0,"[0.11264230389213634,-0.02824530505368064]",100.0,"[-0.13403116788545327,-0.11584519119391072]",100.0,"[-0.03185401589475385,0.032105352659772476]",4.0,"[0.1644262313738066,0.009334012314949952]",4.0,"[0.19252949468949485,0.052579470798304544]",100.0,"[-0.18083101666157358,-0.05067456803842094]",100.0,"[0.07084386361985966,0.14448763663823003]",100.0,"[0.13490658538004638,0.08707575262310904]",100.0,"[0.12540668676285494,0.14975054925619785]",100.0,"[0.03263197850867777,-0.052667215065207044]",100.0,"[0.02,0.02]",612.175,0.0,0.0,0.0,62.0,1.0,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,612.176,612.675,,,612.928,613.375,left,,,,,,,,0.45,0.435,,,,,,,612.675,612.928,613.375,"[0.14897433976047325,-0.045742709004999285]",4.0,"[-0.14651445824897347,0.03537244543595453]",4.0,"[0.11744976672431326,0.12933036936056505]",4.0,"[0.10557729690428289,-0.05037550604420248]",4.0,"[-0.12688134957875746,-0.15152486811300214]",100.0,"[-0.03706854163976344,-0.115735083480118]",100.0,"[0.022321417874074014,0.10389134093283701]",4.0,"[0.040642821533533664,-0.19130364388013324]",100.0,"[0.06727931816884417,0.06338235456048813]",100.0,"[0.19130569598940322,0.02310982137869794]",100.0,"[0.12289112323343135,-0.011993208473917745]",4.0,"[0.1670416815300868,-0.10728466035871816]",100.0,"[0.054605650417042594,-0.06008141166726154]",100.0,"[0.024214183905575577,0.02788063865676182]",100.0,"[0.11126232883509696,-0.1163529630505643]",4.0,"[0.02824403395847118,0.16776471289814288]",4.0,"[0.08106028481354402,0.14607673380874173]",4.0,"[-0.0945794946698922,-0.06751700578549222]",4.0,"[-0.10398188188844748,0.1532974339566968]",100.0,"[-0.09331931531407231,0.058001567688207245]",4.0,"[0.07552949184780797,-0.1579936892880588]",4.0,"[-0.06631546321655879,0.027598200467255293]",100.0,"[-0.017286930791043504,0.1244287480672399]",4.0,"[-0.01833427682196306,0.06668323395780808]",100.0,"[-0.065053669947041,0.18697920287821676]",4.0,"[0.14226628494173157,0.05521919215590965]",4.0,"[-0.08111460583582752,-0.13382580179223444]",100.0,"[-0.011331215319226142,-0.017581530340767208]",100.0,"[-0.15113134282488763,-0.0951802739935693]",4.0,"[-0.05397698070943173,0.10699980384470095]",4.0,"[0.06383705934750952,-0.011851094651952273]",4.0,"[-0.1837829008574688,-0.022301538646726123]",100.0,"[0.02,0.02]",614.475,0.0,1.0,1.0,146.0,1.0,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,614.475,614.974,,,615.225,615.808,left,,,,,,,,0.6,0.567,,,,,,,614.975,615.225,615.808,"[-0.06832022475720634,0.06001280574259571]",4.0,"[-0.07599865626750414,-0.004059029025856159]",100.0,"[0.05161627843647671,0.19188577204325885]",100.0,"[0.08269334799674011,-0.0969686412302186]",4.0,"[0.1638393006393167,-0.021940193317730807]",4.0,"[-0.09450453984380515,-0.1574236738289445]",100.0,"[0.011635815136807422,0.1721211724336883]",100.0,"[-0.09329604390902899,0.10911264155562306]",100.0,"[0.05296308769391419,-0.12601038350699403]",4.0,"[-0.03065256099530891,0.11008478237638684]",4.0,"[0.12685490878798136,0.12770120182530148]",100.0,"[0.1560337917561816,0.0338422597441532]",100.0,"[0.15997320644475635,-0.08249832067353621]",4.0,"[-0.008122200452099172,-0.18229309377469616]",4.0,"[0.034157313214688484,0.13425207304196962]",4.0,"[-0.18932797872237023,-0.06407331830616607]",4.0,"[-0.04789822013656521,-0.1253844931909293]",100.0,"[-0.13690432216723916,0.0894759575205707]",100.0,"[0.07514248441025331,0.02876848834505213]",100.0,"[0.07671472600768293,-0.170561750475243]",100.0,"[-0.015081411330059594,0.01802200368343089]",100.0,"[-0.1513830965123278,-0.11358484270878681]",100.0,"[-0.1855798902046458,0.07355701561435044]",4.0,"[0.0875447293745017,0.13774938127840064]",4.0,"[-0.09034215338658971,0.1573707938586208]",4.0,"[0.16107196359720186,0.0850094692453304]",4.0,"[-0.07048312083892394,-0.09179773921755469]",100.0,"[-0.1123564132346266,0.04945166166244709]",100.0,"[0.12743828490850098,-0.04046669241051577]",100.0,"[-0.12343975696445417,-0.012376036071828186]",100.0,"[0.004122662800067521,-0.029914436662085347]",100.0,"[-0.17713902602100212,-0.02308559151095466]",100.0,"[0.02,0.02]",616.908,0.0,2.0,2.0,39.0,1.0,,,,,,,
,,,,,,,67e1881ee6545fb8e1e7ade8,6844293b0701eca7405afcb9,2025-06-07_05h02.02.722,shape_ratio,2024.1.5,Win32,59.95203837,684250e4f00cb30b92d1fa88,,,,,,,,,,,616.908,617.407,,,617.658,617.94,right,,,,,,,,0.1,0.272,,,,,,,617.407,617.657,617.94,"[-0.14567908683729125,0.009977379842006123]",4.0,"[-0.05775826169801172,-0.03873321152115231]",4.0,"[-0.009784836319085215,-0.15475224039816002]",4.0,"[0.006298794169359093,0.05730011318905241]",4.0,"[-0.10999189980830298,0.10907424187001018]",100.0,"[0.16434590877652203,-0.024617798138490115]",4.0,"[-0.02739655931857097,-0.09947215402817278]",4.0,"[0.09587853219747465,-0.02986772032741107]",100.0,"[0.00003138700170915838,0.1563655995678167]",4.0,"[-0.09969196142836008,-0.16196791197117294]",4.0,"[0.0781915784365712,0.04347677699954539]",4.0,"[0.11187639008419689,0.07538465931354729]",4.0,"[-0.18184250570789723,0.07110334250470086]",4.0,"[0.09546663899577226,-0.10121237153411432]",4.0,"[0.1676355337739259,0.0893881474804346]",4.0,"[0.16486948145991626,-0.07894666055415571]",4.0,"[0.044844291674130864,-0.025562129574169024]",4.0,"[0.07828230875146582,-0.13928631313172724]",4.0,"[-0.0635000919752891,-0.18396676152450198]",4.0,"[-0.10167154298349163,-0.08413011251427227]",4.0,"[0.06649143203691701,-0.07352562444010892]",4.0,"[-0.1605331151664806,0.10587636502798004]",4.0,"[-0.11944401259285192,0.05216241753222113]",4.0,"[-0.0869216392965913,-0.005344143473152866]",4.0,"[-0.06389301611882844,0.18722207818783776]",4.0,"[-0.03702971304627108,0.12760288518558638]",4.0,"[0.013830781947066982,-0.11573984442865777]",4.0,"[0.06889144212121037,0.08326730944849821]",4.0,"[-0.16176684503455682,-0.04684344317762189]",4.0,"[-0.010449146862066222,-0.00037685544569168543]",4.0,"[-0.06296455742314189,0.028402460983438325]",100.0,"[0.13473218962325947,0.1310593307505642]",4.0,"[0.02,0.02]",619.041,0.0,3.0,3.0,190.0,1.0,,,,,,,
