right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0006,44.5016,space,29.3668,0.1076,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,44.5019,96.3797,space,21.8579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,96.38,103.0403,space,3.6521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,103.1843,103.5764,103.5769,103.8146,103.8149,104.8589,right,0.9579,,104.8592,105.9312,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,105.9327,106.4409,106.4412,107.0763,107.0764,108.2179,,,,108.2179,109.3344,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3351,114.5419,space,2.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,114.6228,115.0774,,,115.4094,116.0396,right,0.6091,,,,,,,,,0.45,,,,,,115.0797,115.4092,116.0404,"[0.08348445084435004,-0.010443989001987506]",100.0,"[0.047189708614802005,0.15051803288900442]",100.0,"[-0.07537153906984678,-0.07513569115897496]",4.0,"[-0.05033061767039779,0.17620195054608986]",4.0,"[-0.1968852490950579,0.00044243977847002264]",100.0,"[-0.1697627157095768,-0.0747014221785673]",100.0,"[-0.1624005459637273,0.11429931196477483]",4.0,"[0.14429340957624195,0.0786796591431915]",4.0,"[-0.08616260050997104,-0.1182754645043699]",4.0,"[-0.020761191440085473,0.14650533266415622]",4.0,"[-0.0239138060290916,-0.18846762305657783]",4.0,"[-0.03049270154640542,-0.11422857054397725]",100.0,"[-0.00864632038128926,0.017579598280670693]",100.0,"[0.13818662635918627,-0.0722195874444696]",100.0,"[0.126607470708708,-0.024185072839548002]",100.0,"[-0.06682183278800899,-0.1788987219297364]",4.0,"[-0.14253663169397288,-0.1345726632523144]",4.0,"[0.13379138015468686,0.12334548157355348]",4.0,"[-0.10493721716413167,0.16678270767285444]",4.0,"[0.02220216310020088,-0.16799080645044076]",4.0,"[0.06654215737910683,0.08277650315844932]",100.0,"[-0.13763699916680736,0.028801991799256386]",100.0,"[0.04915975525016772,-0.13518330211206003]",100.0,"[0.12860511024198115,-0.1427259877943984]",4.0,"[-0.004529692556751808,-0.02681572949230102]",100.0,"[0.18719251577283086,0.0052269029435064234]",4.0,"[-0.09627447097272955,0.09724547016336128]",4.0,"[-0.05680966155644925,0.005308041401595414]",4.0,"[-0.022694349268930297,0.06973640744486871]",100.0,"[-0.04594816120806108,0.10663063939901204]",100.0,"[-0.11817984959052748,-0.06877512373957219]",4.0,"[-0.10265369186952776,-0.15735205147952533]",4.0,"[0.02,0.02]",117.1386,0.0,0.0,0.0,137.0,1.0,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,117.14,117.659,,,117.8371,118.6256,left,0.7458,,,,,,,,,0.9,,,,,,117.6591,117.8369,118.6259,"[-0.029804043904472752,-0.0052215336089334605]",100.0,"[0.015614349408663786,-0.05612747273363759]",100.0,"[0.08979918751311136,-0.09960278104870128]",100.0,"[-0.07543542404469766,-0.024795315067988485]",100.0,"[-0.11792428001282865,0.03913778883526552]",100.0,"[-0.08264377518460587,-0.06876369276577776]",4.0,"[-0.18434665525268687,0.02172427288897843]",100.0,"[0.08923405164567555,0.06477132564560513]",100.0,"[-0.022491930415996442,0.08006801008302035]",100.0,"[0.1486403890201923,0.02488926352861276]",100.0,"[-0.01356159775863934,-0.1440958484241303]",4.0,"[0.05640154863922964,-0.16573856681820218]",100.0,"[0.06151360586990689,0.0958965737616273]",100.0,"[-0.17905469776332186,-0.07566479629288107]",100.0,"[-0.05109109362429638,0.029150260830791398]",100.0,"[0.14096125036364002,0.07052131339284023]",100.0,"[0.18290361222115953,-0.0669111568299198]",100.0,"[0.06551321420607252,-0.02573496728480632]",100.0,"[0.04863625938362749,0.175192248801414]",100.0,"[-0.16139493004071187,0.06459847587884814]",100.0,"[0.19719754607916315,0.0011348991523674663]",100.0,"[-0.014835742318103945,0.16171737373265022]",100.0,"[-0.14603882030783746,-0.030967838580568875]",100.0,"[0.13274115728542393,-0.051786985630279614]",100.0,"[-0.19127465130269589,-0.02282628416459281]",100.0,"[-0.07493990691354814,0.07871295909512456]",100.0,"[0.1406707790653903,0.11453492334379602]",100.0,"[0.15864863844147845,-0.10211481739193418]",100.0,"[-0.15295239975578712,-0.12736220597015274]",100.0,"[0.03806118092735682,0.054743170802901975]",100.0,"[-0.05150605591976094,-0.13089513710718512]",4.0,"[-0.1292685002707107,0.11609620953187359]",100.0,"[0.02,0.02]",119.6877,0.0,1.0,1.0,8.0,1.0,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,119.6882,120.1529,,,120.3354,121.091,right,0.6848,,,,,,,,,0.1,,,,,,120.153,120.3353,121.091,"[0.05242353176926384,0.14000511793591092]",4.0,"[0.16541647889144798,-0.006634348212884155]",4.0,"[0.10806278889843417,-0.1395622471324145]",4.0,"[0.023234177266767363,0.1723747054637127]",4.0,"[-0.010186753175704097,0.13162765532263357]",4.0,"[-0.05806402959725764,-0.11173748259721988]",100.0,"[0.1416941022101156,0.031237057648430013]",4.0,"[0.1667939760663097,0.0937658219845853]",4.0,"[0.12525646782044766,0.0828814335129117]",4.0,"[-0.09986275248991175,-0.06604214604235607]",4.0,"[0.10722466543889488,0.14551284978338172]",4.0,"[-0.15134222617364865,-0.11444384814829688]",4.0,"[0.011374154240764227,-0.18897177612115382]",4.0,"[-0.037697402842897874,0.17691501652148278]",4.0,"[-0.07013899353087127,0.13122305239274418]",4.0,"[0.04456310630487238,-0.1498118021191535]",100.0,"[0.13119981764644653,-0.10528944600365103]",4.0,"[-0.18035863218182713,-0.06490686682952812]",4.0,"[-0.10327002006986734,0.1580662140788071]",4.0,"[-0.11117599932596897,0.01257121835614926]",4.0,"[-0.04066346782842811,0.07672209408092169]",4.0,"[-0.012502572384227114,0.018288448881292847]",4.0,"[0.01892022146451514,-0.0977786016830706]",4.0,"[-0.13402465110736478,0.08756746307932811]",4.0,"[0.17514496956728967,-0.06708405945214208]",4.0,"[-0.16742859810959257,0.06406296996183226]",4.0,"[0.08955187697137607,0.03651927787819147]",4.0,"[-0.137450574183408,-0.0384716465529307]",4.0,"[0.13605865153698296,-0.052645779681347774]",4.0,"[-0.049547260251225286,-0.19274490731750016]",4.0,"[0.0152803242995041,-0.057267298885121894]",4.0,"[0.07501965063899742,-0.006905569157073142]",100.0,"[0.02,0.02]",122.1828,0.0,2.0,2.0,204.0,1.0,,,,,,,
,,,,,,,67f2f4b9769f12d21471a6b9,68442936e73deea808342887,2025-06-07_14h04.23.961,shape_ratio,2024.1.5,Win32,48.30917874,684250e4f00cb30b92d1fa88,,,,,,,,,,,122.1837,122.6537,,,122.9116,123.7343,left,0.7855,,,,,,,,,0.5,,,,,,122.6538,122.9115,123.7343,"[0.05295202135940196,-0.1316042488095916]",4.0,"[0.1625666974391503,-0.08904691115089018]",4.0,"[0.05911049778648216,-0.03297699759976428]",100.0,"[-0.022929710212383787,-0.09017227366845826]",100.0,"[-0.1486387500496224,0.08400169183089394]",4.0,"[0.0812260743230518,0.036089244960572434]",4.0,"[-0.03469962110111551,0.1511807424679021]",100.0,"[0.02670144798991199,0.09996333628440558]",4.0,"[0.060399050910553184,0.162792165174386]",4.0,"[-0.062079087974320414,-0.060828382410370405]",100.0,"[0.13151608719480512,0.03775771827363853]",4.0,"[-0.10273546865464007,0.056475024436516176]",4.0,"[0.09045557407781858,-0.0729257625384281]",100.0,"[-0.059845274626330804,0.03423152626846468]",4.0,"[-0.14852025206283806,-0.10636691485284236]",100.0,"[0.010615889533984863,-0.01073908123319971]",100.0,"[0.03220566571462734,-0.17158402213526205]",4.0,"[-0.03321503106497288,-0.1412685002387586]",4.0,"[-0.09977902506242735,0.09706827677938117]",100.0,"[0.02057669883817445,0.18571839109223692]",100.0,"[0.13316727602017694,-0.020255648714279637]",100.0,"[-0.09123902321583391,0.0005522355374870486]",4.0,"[-0.1611163313650328,-0.02298857620708265]",100.0,"[-0.023406006965674072,0.06291948955592153]",100.0,"[0.09630706314897702,-0.1408331205146699]",100.0,"[-0.09813464685115565,-0.16029595120996654]",4.0,"[-0.0007085809586841827,0.02936630993498418]",4.0,"[-0.18828536507586313,0.01536510373372291]",100.0,"[0.12537803578994622,0.0969283013912534]",100.0,"[-0.12096647743334529,0.13877594833370258]",100.0,"[0.16746306551390383,0.08810810554876436]",4.0,"[-0.04836332668881522,-0.1893074514093638]",4.0,"[0.02,0.02]",124.8139,0.0,3.0,3.0,106.0,1.0,,,,,,,
