right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,53.0681,space,38.0426,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,53.0692,126.0497,space,42.9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,126.051,130.7204,space,1.6593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,130.7864,131.2245,131.2255,131.4761,131.4764,132.9677,,132.9681,134.0664,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,134.0677,134.5655,134.5659,134.8146,134.8147,136.3116,,136.3117,137.4106,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,137.4119,144.739,space,4.3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,144.7923,145.2539,,,145.4958,145.7106,left,,,,,,,,0.5,,,,,,145.2568,145.4958,0.1992,,145.7111,"[-0.13893377994379272,-0.0780571921659101]",100.0,"[0.14138029784436354,0.13884419456183686]",4.0,"[-0.05509941781124241,0.01891823040732154]",4.0,"[-0.14915794955366715,-0.1229513143212132]",4.0,"[0.1255048702256771,-0.04483213347002156]",4.0,"[0.06328119393333315,-0.13530312275113868]",4.0,"[0.09753428862388767,-0.012447399934774813]",100.0,"[0.16067164461748584,0.058017218930697154]",4.0,"[-0.038442354468336014,-0.14330511078816308]",100.0,"[0.04206009051428536,0.07616724585935176]",4.0,"[0.11912635719779606,-0.08897355482074916]",4.0,"[-0.15787878229115,0.11173966846351023]",100.0,"[-0.024849275766403073,0.1089446723574243]",4.0,"[-0.09838926081212418,-0.06603300616169722]",100.0,"[-0.15785784267592706,-0.03067600807167727]",4.0,"[0.02835556568321893,0.17243064668275498]",100.0,"[-0.10795883228193116,0.10021817316269918]",100.0,"[-0.09839521766175376,0.058938331557597395]",100.0,"[0.10373774704902075,0.1211995359846897]",100.0,"[0.00738233336143305,-0.013613854477214192]",100.0,"[0.002661194748089307,-0.1445356420463431]",4.0,"[-0.004598914863899077,-0.07496177304305304]",100.0,"[-0.14393177562821413,0.06589859809421528]",100.0,"[0.11495826480316806,0.043407136866815986]",4.0,"[0.08116533033071759,0.17808656992832597]",100.0,"[0.056187346465751346,0.007301645145277556]",100.0,"[-0.0586702513898665,0.17129071486567526]",4.0,"[0.17045259151637993,-0.006778024119674698]",100.0,"[-0.061365566621110215,-0.04243382237964564]",4.0,"[0.0759677123603848,-0.18243207863670977]",4.0,"[0.021938552307973737,-0.1827534376419597]",4.0,"[0.05481743236641274,0.11996327072600174]",100.0,"[0.02,0.02]",146.8085,0.0,0.0,0.0,111.0,1.0,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,146.8091,147.3045,,,147.555,147.7359,left,,,,,,,,0.5,,,,,,147.3047,147.555,0.1705,,147.7371,"[-0.06117882226900014,-0.13185879208402343]",4.0,"[0.1441294938026584,0.05294588662293453]",100.0,"[-0.033689531611108305,0.1685622497117077]",4.0,"[0.017238963114404475,0.16334221244209038]",100.0,"[-0.047359521917269824,0.0651688269655983]",4.0,"[0.03916024163536571,-0.11983420048628138]",4.0,"[0.09939384863689739,0.07467270237949201]",100.0,"[0.13940914767154003,0.12734731617182923]",4.0,"[0.06461948922039461,-0.003276691050907035]",100.0,"[0.17907188505370264,-0.08522907791470388]",4.0,"[-0.19791510307833246,0.010001822974399025]",100.0,"[-0.12505895374804782,0.0615670723527844]",100.0,"[-0.1255338806087397,-0.08616317321631461]",4.0,"[-0.007888052584938512,0.01086493406486982]",4.0,"[-0.07755338849826056,0.17922397326905262]",4.0,"[-0.08713752675942586,-0.00921361136020776]",4.0,"[-0.03700015469254028,0.10387228829307223]",4.0,"[-0.02562449149241145,-0.047916391166648045]",100.0,"[0.08307312747960276,-0.173111327549856]",4.0,"[0.10882367916075106,-0.07321055804597683]",100.0,"[0.12148532947211853,-0.15203461834265938]",100.0,"[-0.1335507025166565,-0.12758861015984113]",4.0,"[0.06688103128898332,0.12822327074894058]",4.0,"[-0.15354363120408823,-0.01847610449015946]",4.0,"[0.10967961308234474,0.017737097447201776]",100.0,"[-0.003200186534226763,-0.19496631006773363]",100.0,"[-0.059876323038558776,-0.1869162946358016]",4.0,"[-0.12252754188871688,0.10908967937521316]",100.0,"[0.006855554138745365,0.1033005038639149]",100.0,"[-0.010262108177894915,-0.12843229375585133]",100.0,"[-0.025867211213968653,-0.08927062973749535]",100.0,"[0.05939326932866998,0.18408141585092305]",100.0,"[0.02,0.02]",148.8342,0.0,1.0,1.0,102.0,1.0,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,148.8347,149.3334,,,149.5854,149.8512,right,,,,,,,,0.1,,,,,,149.3335,149.5853,0.2568,,149.8513,"[-0.05357136027206845,-0.04643438540715265]",4.0,"[0.06158767437519582,-0.0413583806865873]",4.0,"[0.04231987363722981,-0.08980446646602779]",4.0,"[0.039551369257442445,0.06190612331514376]",4.0,"[-0.1399695499046478,0.051229689039451104]",4.0,"[-0.041469356639322504,0.14892686336121858]",4.0,"[-0.009291812005684979,-0.13876945074360736]",100.0,"[0.09666750804789709,0.08950440416866963]",4.0,"[0.06041522185408823,0.14856992348768974]",4.0,"[-0.10721356529709092,0.1422823576089592]",4.0,"[0.10252520825999376,0.0427679026287182]",4.0,"[-0.1122522565641539,0.016879096514463135]",4.0,"[-0.13426781888232572,-0.12315154892692806]",4.0,"[0.026197495240694164,0.013699040695521797]",4.0,"[0.11795055582480249,-0.10358622332975803]",4.0,"[0.179411031857848,0.05324545280123229]",4.0,"[-0.00552260082084763,-0.06638254451793191]",4.0,"[0.14209776541403396,0.11547353669320617]",4.0,"[-0.18015825108497152,0.011904819251778647]",4.0,"[-0.14491299061765373,0.1279840816212465]",4.0,"[-0.0171738798903318,0.1812751494483317]",4.0,"[-0.15980102884207528,-0.044901740762961766]",4.0,"[-0.040974446151876065,0.033192469710112596]",4.0,"[-0.08215735795043981,0.08659716985947254]",4.0,"[0.041479368809916435,-0.17316131876427343]",4.0,"[0.16104634541821888,-0.05657087342344027]",4.0,"[-0.005711448867952441,-0.17975798818416014]",4.0,"[0.12659939846903928,-0.01169625220149017]",4.0,"[-0.015922891441354177,-0.024507240060031812]",100.0,"[0.011750107406498733,0.15258678738506853]",4.0,"[0.09513018048984263,-0.15839401401385808]",100.0,"[-0.08839348442161934,-0.09026121525795014]",4.0,"[0.02,0.02]",150.9492,0.0,2.0,2.0,195.0,1.0,,,,,,,
,,,,,,,682ce4f0aaf6e240215469e7,68399dd73428fd1d0ba673c1,2025-05-30_08h02.15.575,shape_ratio,2024.1.5,Win32,62.89308176,683853e18dae57a2147b65e0,,,,,,,,,,,150.9501,151.4502,,,151.698,151.9492,left,,,,,,,,0.9,,,,,,151.4503,151.6979,0.2375,,151.9494,"[-0.12755317748776376,-0.02559679185749016]",100.0,"[-0.06781236104988432,0.07645380152425199]",100.0,"[-0.17812432774501935,-0.04604696742819836]",100.0,"[-0.09924500627747437,0.020985963236964434]",100.0,"[0.12814672623628995,0.15156114925473282]",100.0,"[0.10515255438794839,0.1182717180458172]",100.0,"[-0.12883434366177582,0.11456247618897793]",100.0,"[-0.08941179740661108,-0.10552219592960953]",100.0,"[0.14706135833266798,-0.10718275639314831]",100.0,"[0.0043357956187202815,0.09058838577785101]",100.0,"[0.05199946538805329,-0.1453310281205983]",100.0,"[0.18284999976691518,-0.028857536613720904]",100.0,"[0.009178008766670685,-0.16357780427597554]",100.0,"[-0.03617159020958406,0.14757458760450395]",100.0,"[0.1694150825911544,0.009464114529081524]",100.0,"[0.12490999546100737,-0.14373099909346804]",100.0,"[0.07400307411736963,-0.024299912243768096]",100.0,"[-0.08202150169861765,0.17844391866531883]",4.0,"[0.03809248060966579,0.17387828861846708]",4.0,"[0.12144192811781458,0.02130739463098457]",100.0,"[-0.0938415836746975,-0.05787179183882785]",100.0,"[-0.032300578037146914,-0.17842374154796095]",100.0,"[0.052809337512550895,-0.07877579572382565]",4.0,"[-0.028557465442302307,-0.11469101715779134]",100.0,"[-0.16968590437474537,0.048216244334330575]",100.0,"[0.010121637195463938,0.019427897145800874]",100.0,"[0.10017604036376802,-0.07893523203631507]",100.0,"[0.1339526373711036,-0.016734933829049448]",100.0,"[-0.022339974848248338,0.053845515684220094]",100.0,"[0.045894240653314274,-0.18796020558704096]",100.0,"[0.07894877795001128,0.01807104967141547]",100.0,"[0.1741713035282086,-0.07420703042022604]",100.0,"[0.02,0.02]",153.0462,0.0,3.0,3.0,5.0,1.0,,,,,,,
