right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,191.5046,space,176.4992,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,191.5047,251.6051,space,30.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,251.6052,260.7395,space,6.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,260.7519,261.2361,261.2364,261.4775,261.4776,262.9755,,262.9757,264.0746,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,264.0749,264.5765,264.5765,264.8283,264.8283,265.6575,right,265.6575,266.7611,0.0,1.0,1.0,1.0,1.0,0.8,0.8056,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.7614,283.8945,space,14.1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,283.9025,284.3991,,,284.6289,285.3146,right,,,,,,,,0.6,0.6663,0.0,,,,,,284.3993,284.6289,285.315,"[-0.08811328595834657,-0.13365380038278074]",4.0,"[0.0029006414510215684,0.098093399249053]",100.0,"[0.15150676645077912,0.12317535556367659]",100.0,"[-0.02572749357429864,0.16081447841529944]",4.0,"[-0.1266865858622106,0.08924849620499398]",100.0,"[-0.08580799343985328,-0.04938678598989163]",100.0,"[-0.10370765669119728,0.1670270498994998]",100.0,"[0.00023144367565693466,-0.17444384829981863]",4.0,"[-0.1516763434429798,-0.03382931877624767]",100.0,"[-0.06173211605364248,0.026800086422052075]",4.0,"[0.09357565543158301,-0.046352542109087534]",100.0,"[0.14837020065056664,-0.13406025750010792]",4.0,"[0.13215894089380356,0.04317706315570854]",4.0,"[0.09381318638427084,-0.16931158038637664]",100.0,"[-0.06674010756873545,0.08762623595042353]",100.0,"[-0.00544606603957028,0.19805051807347115]",100.0,"[-0.025436945457569714,-0.06400099120924252]",100.0,"[0.07056690701422094,0.07635871242409535]",100.0,"[0.10968741082105615,0.15337437950855728]",100.0,"[-0.16065569697182164,0.02951031017626345]",100.0,"[0.10493500438220375,-0.12644453693542154]",4.0,"[0.041639142695890356,0.007225229081211943]",4.0,"[-0.05243892252150283,-0.020241695670553034]",100.0,"[0.01649532613303431,-0.07023586272059298]",100.0,"[0.1739850115890567,-0.08101112548790493]",4.0,"[0.09257826408419355,0.03265801827069184]",4.0,"[-0.18792664312155385,-0.009537421767971978]",4.0,"[-0.1498569597659988,0.12651775766297924]",4.0,"[0.07007571355004712,-0.09871252825895019]",100.0,"[-0.17928150324052755,-0.08674264992953983]",4.0,"[-0.08382695817413388,0.1239390191115905]",100.0,"[0.16450438552130653,0.07319069688426198]",100.0,"[0.02,0.02]",286.4089,0.0,0.0,0.0,48.0,1.0,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,286.4093,286.8984,,,287.1467,287.4242,left,,,,,,,,0.4,0.2587,0.0,,,,,,286.8984,287.1467,287.4242,"[-0.019016923942121483,0.032223175105646325]",100.0,"[0.07000478819824396,0.07315779792179648]",100.0,"[0.13409731218021045,-0.024967617843818613]",4.0,"[-0.08859642702717216,-0.12760435440783574]",100.0,"[0.047230039662636523,0.037468427460154594]",4.0,"[-0.026681825165917442,-0.1229612023713059]",4.0,"[-0.1374532091272486,0.0224179839032443]",4.0,"[-0.07381470728551419,-0.1657221046444396]",100.0,"[0.04504692371993991,-0.07308065787557487]",100.0,"[-0.06699718167065143,0.1708262661327773]",100.0,"[-0.03724752716324397,0.10835887255811183]",4.0,"[0.022327456989137934,0.0032018746774647097]",4.0,"[0.1769325812680473,0.035970890584456176]",4.0,"[0.08955008318633342,0.1525154919619288]",100.0,"[0.17086050439318762,0.08057946319056557]",100.0,"[0.0026804963866617106,0.13793331366881503]",4.0,"[-0.08746011230878824,-0.002222497454335658]",4.0,"[-0.12659721798701803,0.06450115703229825]",100.0,"[-0.16585090878688144,-0.09659340613679225]",4.0,"[0.07676600057560982,-0.17827871521237273]",4.0,"[-0.19066277677218765,-0.012708859626122981]",4.0,"[0.10942414009673461,0.06171439381457115]",4.0,"[0.08398882089426243,-0.0018093119843932178]",4.0,"[0.09365588281920217,-0.0975291704433183]",100.0,"[-0.08437106264661282,-0.06582144655421962]",4.0,"[0.00647428302121361,-0.17442601724102252]",100.0,"[-0.15133822811266903,-0.025591600759817586]",4.0,"[-0.1847637002483227,0.027587585569659494]",100.0,"[-0.042090795125986166,-0.19500530872163063]",4.0,"[0.1776330008309558,-0.02231620455385104]",4.0,"[0.008817287470791378,-0.046299014170756214]",4.0,"[0.04868407636034795,0.1563437050930294]",100.0,"[0.02,0.02]",288.5268,0.0,1.0,1.0,156.0,1.0,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,288.527,289.0116,,,289.2529,289.4499,right,,,,,,,,0.4,0.1776,0.0001,,,,,,289.0117,289.2529,289.45,"[0.013729944196133662,-0.14586721743027775]",100.0,"[0.06689577288189746,0.11149055945837742]",4.0,"[-0.01911975032736924,-0.002830156498471701]",100.0,"[-0.0524159019978242,-0.1317232025064121]",4.0,"[-0.09535074823375644,-0.10177542900376586]",4.0,"[0.07986644002536342,0.007551317015510325]",100.0,"[0.1358563333679335,-0.1251269912582827]",4.0,"[-0.17220966304723345,0.03284545580895726]",4.0,"[0.013374351142288292,0.16742869424552229]",4.0,"[-0.0073837573852788925,0.12138860093783255]",100.0,"[0.14583224417155452,-0.08236566346784545]",4.0,"[-0.0025869136149380668,-0.045458847775433756]",4.0,"[0.11079078236127902,-0.039338820545173944]",4.0,"[-0.17352179719953192,-0.056389310240627474]",4.0,"[0.11331502796032747,0.1513499168991266]",100.0,"[0.1616482169428894,-0.006197747946499976]",100.0,"[-0.08914584259007892,0.14598963848313573]",4.0,"[0.05917425569015474,0.17623814534983143]",4.0,"[-0.0011456948461480143,-0.08618258055863767]",4.0,"[-0.06854882880000963,0.07086685817927477]",100.0,"[0.06320921916790186,-0.07196626852802382]",4.0,"[-0.1644769495693726,0.10579365771467489]",4.0,"[-0.08606572507001553,-0.03853839046453426]",100.0,"[-0.13540142752210027,-0.08286123099094785]",100.0,"[-0.1018238620260517,0.010154091005561977]",100.0,"[-0.03969437690483758,-0.1808034261678594]",4.0,"[0.06465443744486654,0.05252967016069185]",4.0,"[-0.09110739442495756,-0.15997811820400515]",4.0,"[-0.0568247672587813,0.11309113549379649]",4.0,"[-0.04255640008827033,-0.05439264547731906]",100.0,"[0.08689346660845246,-0.14682009140576258]",100.0,"[-0.10869210647146992,0.06811629489294894]",100.0,"[0.02,0.02]",290.5494,0.0,2.0,2.0,174.0,1.0,,,,,,,
,,,,,,,682fc5d8cd077835a5ca6610,6842bad77dafeaad49e0dd09,2025-06-06_05h56.35.954,shape_ratio,2024.1.5,MacIntel,56.81818182,6842b561977af9ba9b0f87ca,,,,,,,,,,,290.5496,291.0495,,,291.2958,291.4913,left,,,,,,,,0.1,0.1761,0.0,,,,,,291.0495,291.2958,291.4913,"[0.035967678901295846,0.08218939279288537]",4.0,"[0.0033242488649251607,-0.12270839097339306]",4.0,"[-0.06787989640931041,-0.17562739659906337]",4.0,"[0.16621779534595227,-0.02671702409694442]",4.0,"[0.10210678536980003,-0.09315429636558621]",4.0,"[-0.17620591448187475,0.04817087667787813]",4.0,"[-0.0697606556381333,0.02557570418663485]",4.0,"[-0.14608871288503916,0.09680444516490101]",4.0,"[-0.19229376712309723,-0.01710523726134738]",4.0,"[-0.0425258845326957,0.09754558359425727]",4.0,"[-0.023462310425206922,0.13957479295824834]",4.0,"[0.04732461992459823,-0.028223480526049654]",4.0,"[-0.056321910918223056,-0.12490304676282057]",4.0,"[0.08329190910391163,-0.16383677393380475]",4.0,"[0.013452181944609296,0.19615813847407196]",4.0,"[-0.16959761370109433,-0.06880317631625363]",4.0,"[0.06956656284131307,0.13182482836293563]",4.0,"[0.153199167073851,0.04443533482698944]",4.0,"[-0.054000644264144325,0.17048595985526593]",4.0,"[-0.07767797009844551,0.13280952784689223]",4.0,"[0.006393224670377453,-0.19339338486495802]",4.0,"[-0.10478140537785502,0.16316452289740718]",4.0,"[0.06584619968754891,0.030480416003699034]",4.0,"[0.10366140025193178,-0.043620909589163245]",100.0,"[-0.014073083612665576,-0.0067159951604030725]",100.0,"[-0.10034618035873495,-0.012924235336879263]",4.0,"[-0.12479475043205153,0.027045946211166075]",4.0,"[0.13389718305319848,-0.14495554674721195]",4.0,"[0.13403135588498707,0.14307986253382607]",100.0,"[-0.12033694084756508,-0.15720904426864438]",4.0,"[0.0892552297745823,0.17569815159233554]",4.0,"[0.1730874694093528,-0.0866430837507441]",4.0,"[0.02,0.02]",292.5913,0.0,3.0,3.0,191.0,1.0,,,,,,,
