right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0016,75.7341,space,60.6978,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,75.7357,108.9253,space,3.1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,108.9261,114.549,space,2.6028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,114.7151,115.0521,115.054,115.2279,115.2285,116.139,left,0.8088,,116.1398,117.2435,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,117.2505,117.7539,117.7541,117.9821,117.9825,118.6029,right,0.6082,,118.6032,119.7034,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.7058,126.1282,space,3.4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,126.2291,126.6346,,,126.8969,127.354,left,0.4465,,,,,,,,,0.6,,,,,,126.6367,126.8967,127.3561,"[-0.15632732471602634,0.015873372952797334]",4.0,"[0.15284249818881893,-0.0152852263073354]",4.0,"[0.0026719729355987962,-0.04768931435417803]",100.0,"[-0.08518196587239296,-0.178494884439676]",4.0,"[0.1496830790675108,0.04201507972003988]",100.0,"[-0.06017670135323273,0.02181196038905192]",100.0,"[0.10928888680489109,0.06561722308178879]",100.0,"[-0.10210060131818995,-0.0821600224399047]",100.0,"[-0.1765094732355158,0.0839613304977766]",100.0,"[-0.17204996254467744,-0.03285366313485402]",4.0,"[0.03711188796233275,0.13066094402700634]",100.0,"[0.03685289195025148,-0.132191298749452]",100.0,"[0.08180789878019085,-0.04372942547407521]",4.0,"[-0.01445702976998174,-0.16321882730663942]",4.0,"[-0.04118254541317239,-0.09171710326878955]",4.0,"[0.14104750974524488,-0.06542702078679347]",100.0,"[0.10553263251459732,-0.12431899534163254]",4.0,"[-0.12767749182205632,0.1264124293225067]",4.0,"[-0.05235886349300762,-0.04419792307735974]",100.0,"[-0.04593622538167341,0.08792044085489535]",100.0,"[0.03403693757075972,0.00722941382575662]",100.0,"[-0.09492742974324335,0.15640939420138714]",100.0,"[0.16966728243811266,-0.10046766667570736]",4.0,"[-0.15072640193275302,-0.1063960096905655]",4.0,"[0.12738845184297473,0.13339462292855297]",100.0,"[0.042068789484684725,0.07373058357650315]",100.0,"[0.08189846456656948,0.01840193787952345]",100.0,"[-0.09198144718297031,-0.12433326112012823]",100.0,"[-0.12136068030561305,-0.011841127816656976]",100.0,"[-0.0170956608316853,0.15595163258708808]",4.0,"[-0.09341703351899838,0.10219353195268163]",100.0,"[-0.001455590603759843,-0.0999150425337994]",4.0,"[0.02,0.02]",128.4502,0.0,0.0,0.0,51.0,1.0,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,128.4528,128.9514,,,129.1985,129.7058,right,0.4978,,,,,,,,,0.5,,,,,,128.9519,129.1983,129.706,"[-0.12086511002468506,-0.03981924131482073]",100.0,"[0.11050688931041587,0.011746450003071921]",4.0,"[0.056816708270255305,0.05679060179014389]",4.0,"[0.030633156252593604,-0.015541999224746335]",100.0,"[-0.16818470603861546,0.07466326652193106]",4.0,"[0.07974810935703922,-0.033893119675198334]",100.0,"[0.16046461937994141,0.07628102200885752]",4.0,"[-0.061504608963181495,-0.1530397316779061]",100.0,"[0.03615001267415605,0.10378547684609352]",4.0,"[0.1949904933055718,0.013750573716064033]",100.0,"[0.1402694915543028,-0.13559492446422308]",4.0,"[-0.0032843533653692434,0.11535809782666523]",100.0,"[-0.11244231182824214,-0.11846281251330958]",4.0,"[0.0252524601136583,0.17518246759489528]",4.0,"[0.09650913207137969,-0.12466138246653005]",4.0,"[-0.15084586734356734,-0.0032925615904193426]",4.0,"[-0.05504186734584822,0.13876031405721093]",100.0,"[-0.11593767152608977,0.027126339639320894]",4.0,"[0.1338496027698708,-0.05438101479858133]",100.0,"[0.1430821580330837,0.03636897163711665]",100.0,"[-0.18486178590477398,-0.04521771529886257]",100.0,"[-0.015248763096851534,0.06429813997431182]",100.0,"[-0.10865958370073271,0.09696525215983345]",100.0,"[0.14571697161041267,0.13006079779040283]",100.0,"[-0.003759068304437657,-0.18734679663684384]",4.0,"[-0.017451684961764358,-0.1048906785750442]",100.0,"[0.030291400339463936,-0.07311816817669135]",100.0,"[-0.15442010322640543,-0.1155902458081464]",100.0,"[0.13614525569700162,-0.09554561914677655]",4.0,"[0.05095048640421474,-0.13651262256414623]",4.0,"[-0.08741818104335199,-0.0758881893245431]",4.0,"[-0.05553789456508036,0.032203093419090445]",4.0,"[0.02,0.02]",130.7949,0.0,1.0,1.0,91.0,1.0,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,130.7967,131.2943,,,131.5477,131.9958,left,0.4379,,,,,,,,,0.6,,,,,,131.2944,131.5476,131.996,"[-0.17281961508374596,-0.011762437175923698]",100.0,"[-0.029809103149730298,-0.0812873796163375]",4.0,"[-0.012346838358993636,0.05858759010122197]",100.0,"[-0.009801571628028713,-0.027872764135318265]",4.0,"[-0.012467624948772233,0.18477518573925947]",100.0,"[0.08440809339511786,0.1668551396876903]",100.0,"[0.08423525880832478,-0.132548092818255]",100.0,"[-0.05227071276185562,-0.012542980349186005]",4.0,"[-0.15235733069042176,0.04482445366275241]",4.0,"[0.1646010489293707,-0.020745174725077527]",4.0,"[0.07055814149020176,0.10330661112988493]",100.0,"[-0.15809687708646394,-0.08469700412423443]",100.0,"[0.061657399968361636,-0.07514979213010457]",100.0,"[-0.05510758233891887,-0.13588620221927122]",100.0,"[0.10930548392390482,0.003536928764735255]",4.0,"[-0.02737686746165219,-0.17869119925030527]",100.0,"[0.15666641050934796,0.06131703929120031]",100.0,"[-0.090120654495488,-0.11394449710591073]",4.0,"[-0.07977783034578394,0.07428170455466776]",4.0,"[0.1584293424566824,0.11352128500126289]",4.0,"[0.026852718780466727,-0.11822426875635225]",100.0,"[-0.012477285498340492,0.11952846998496144]",4.0,"[0.06400095943123617,0.026744933113869464]",4.0,"[-0.129312265358087,0.08073580920657153]",100.0,"[-0.043182474738850354,0.1567139078178681]",100.0,"[-0.093117677184558,0.15725405905291528]",100.0,"[-0.07945341000444459,-0.07493472828662649]",100.0,"[0.029932398463258014,-0.183165266747706]",100.0,"[-0.14011518122847907,-0.14142995238496062]",4.0,"[0.1303226126095953,-0.11681982832927874]",100.0,"[0.07223687258640084,-0.17709831484850613]",100.0,"[-0.08459111088544095,-0.1637741184381]",4.0,"[0.02,0.02]",133.0941,0.0,2.0,2.0,31.0,1.0,,,,,,,
,,,,,,,6831d9e8ad8968b05a9c41a2,683aef33867e918121deecda,2025-05-31_07h59.41.990,shape_ratio,2024.1.5,Win32,68.02721088,683ae9196541af24d3a69e58,,,,,,,,,,,133.0958,133.5984,,,133.8516,134.3333,right,0.4676,,,,,,,,,0.45,,,,,,133.5985,133.8515,134.3336,"[-0.056396476713654276,0.025399890031979167]",4.0,"[-0.02689657977591219,0.14707395261904094]",100.0,"[-0.06472992649395129,-0.17157365375503086]",4.0,"[-0.0322193635374144,-0.0238843319882479]",100.0,"[0.07375423714019462,0.06785158346771729]",100.0,"[0.09739890183708892,-0.030968597216795807]",100.0,"[0.10798529857756387,-0.07834026632624645]",4.0,"[0.0005703050757738155,-0.06678718267170852]",4.0,"[0.17503338414440056,0.06339450715951904]",4.0,"[0.1393860833712542,-0.013548561942014833]",100.0,"[0.050703720028967524,-0.09344009301273742]",4.0,"[0.07736485571227643,0.14637850979176606]",100.0,"[0.016599983649570303,0.016945975171496333]",100.0,"[-0.07937063877131731,-0.012615160301451942]",100.0,"[0.13110842187540336,0.13866107703422156]",4.0,"[-0.16671694017529853,-0.014502751347238264]",100.0,"[-0.00017066627434167702,-0.1935339231936323]",100.0,"[-0.06497315412947052,0.16778886735253692]",4.0,"[0.1780373040221942,0.00874443195961678]",4.0,"[-0.06545704962297641,0.0935755403725058]",4.0,"[-0.048761464501133965,-0.08444707876751031]",4.0,"[-0.16664675896169992,0.04443490839145371]",4.0,"[-0.10209511130661979,-0.07541019074433497]",4.0,"[0.08390777710694289,-0.17092678428510605]",4.0,"[-0.10791749576200352,0.03604192922246018]",100.0,"[-0.02086319611562956,-0.1193410154004669]",4.0,"[-0.006103994919832351,0.19167386124984906]",4.0,"[-0.12245689440088868,-0.008493976659372836]",4.0,"[0.0380511929680567,-0.17596252519348268]",100.0,"[0.04639856862730046,0.17502025227426837]",4.0,"[0.1665546555769716,-0.08832286616406856]",100.0,"[0.11374387058508513,0.10122979212710291]",100.0,"[0.02,0.02]",135.4296,0.0,3.0,3.0,144.0,1.0,,,,,,,
