right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,111.1406,space,96.1137,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,111.1418,165.0702,space,23.9093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,165.0707,169.2675,space,1.1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,169.339,169.7769,169.7784,170.0303,170.031,171.5258,,171.5264,172.6239,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,172.6261,173.1233,173.1235,173.375,173.3751,174.8052,right,174.8055,175.9042,0.0,1.0,1.0,1.0,1.0,0.8,1.4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.9063,198.5496,space,19.6198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,198.5945,199.0638,,,199.3157,200.4969,left,,,,,,,,0.5,1.1701,,,,,,,199.0657,199.3154,200.4988,"[0.09429064357649723,-0.1480551931038043]",4.0,"[0.05834697835498434,0.0961219101211264]",100.0,"[-0.1622146291913203,0.05279468968646324]",100.0,"[0.12870232912426482,0.055420513179020116]",4.0,"[0.1471183548209574,-0.030765747180372765]",4.0,"[0.08244939710673513,-0.07722453502921363]",100.0,"[0.005182422966491268,0.01577144880124566]",100.0,"[-0.10682714650000491,0.16730932227093662]",100.0,"[-0.13132015135295116,0.1306224818867568]",4.0,"[-0.15411613063076604,-0.11082189643013723]",100.0,"[-0.042749366877593724,0.09992419329002422]",4.0,"[-0.1057169680498851,-0.001719509656471417]",100.0,"[-0.0072617869680578605,-0.1350903595120219]",4.0,"[0.12223840765996341,-0.11248192266117059]",4.0,"[-0.09756708901688547,-0.16864686342632937]",100.0,"[-0.05315351685792189,-0.11738930909389841]",4.0,"[-0.024533348388470714,0.05561143563441512]",4.0,"[0.1022662813455349,0.1414584280621416]",100.0,"[-0.013854098146238805,-0.02406022663706236]",100.0,"[-0.1319566108295223,-0.0668568016832295]",100.0,"[-0.07183099578832053,0.05241932198790751]",4.0,"[-0.0416768312218038,-0.055652634679376665]",100.0,"[0.05339171136703672,-0.03640329221168127]",4.0,"[0.011747648591792679,-0.08115137911599694]",100.0,"[0.009144115498808376,0.12428031380994572]",4.0,"[-0.19198732683303954,-0.04998629578946802]",100.0,"[-0.19646193251786448,0.01567019220577384]",4.0,"[-0.050579155970179666,0.1633617166170811]",100.0,"[0.12246536203303304,0.013037030467025517]",4.0,"[0.17765720503872573,0.04071834228779156]",4.0,"[0.04136560549720396,0.18378114958349132]",100.0,"[-0.11306569632926572,0.06908840754205685]",4.0,"[0.02,0.02]",201.595,0.0,0.0,0.0,90.0,1.0,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,201.5963,202.0939,,,202.3496,202.9456,left,,,,,,,,0.4,0.5799,,,,,,,202.0941,202.3495,202.9459,"[-0.05527038088815572,-0.11151471172023285]",4.0,"[-0.18525112026436816,0.04785358602561954]",100.0,"[0.10285360308674028,0.15608459478915185]",4.0,"[-0.0011329110826403823,0.031811047670931535]",100.0,"[-0.09656690910109123,-0.16530453206706722]",4.0,"[-0.08305946858765173,0.1758369416037021]",4.0,"[0.04877555097665964,0.12979208135353815]",100.0,"[0.060532301059985055,-0.046972783149193]",4.0,"[-0.06981819937966331,0.059185175793093986]",4.0,"[0.0581925527764481,0.07433645099977207]",4.0,"[0.19304525159635813,-0.016204890957421118]",100.0,"[0.08830092828626265,0.11678111086588969]",4.0,"[0.04984502064172408,-0.1271540435035403]",100.0,"[0.1449321497182797,-0.1138558135101564]",4.0,"[-0.1732492779137842,-0.06075308620586485]",4.0,"[0.10277281065210919,0.021831317652996368]",4.0,"[0.02703046989942521,0.17691137735836046]",4.0,"[-0.031108875710611043,-0.18137654780931153]",4.0,"[-0.017784641002714312,0.07478251114034257]",4.0,"[-0.1660823978995344,0.10284193388197517]",100.0,"[-0.0600217103221553,-0.06449134382435644]",100.0,"[0.004371021102936001,0.1273159970849512]",100.0,"[-0.12901799083200022,0.021328902071408966]",100.0,"[-0.10934159440739179,-0.10077964046622483]",100.0,"[0.12421344084622901,0.0890173442569198]",4.0,"[0.03700663192899387,0.009310082572673795]",4.0,"[-0.00844148356478724,-0.054723919732644066]",100.0,"[-0.10974062513599743,-0.0562583527307953]",4.0,"[-0.08457480091359203,0.10866126066307416]",4.0,"[-0.04154825305143512,-0.0033344693656922973]",100.0,"[0.017944027861536767,-0.17191525643518496]",100.0,"[0.05851483043288528,-0.1674518373296286]",4.0,"[0.02,0.02]",204.0436,0.0,1.0,1.0,159.0,1.0,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,204.0444,204.5427,,,204.7934,205.2581,left,,,,,,,,0.55,0.4493,,,,,,,204.543,204.7932,205.2583,"[0.05416553358534263,-0.10795172819165985]",100.0,"[0.07707116861412021,0.06295858887264166]",4.0,"[0.07664337500297241,0.15545680953353863]",4.0,"[0.1179313378216389,-0.07974032796666464]",100.0,"[-0.04515614836369108,-0.11165899285137393]",4.0,"[-0.03857692385633552,-0.049406351279611856]",4.0,"[-0.13333936458990267,0.10919107488092122]",100.0,"[0.07475354172848601,-0.014813549494564331]",100.0,"[-0.05139087858617389,0.07382841684294146]",4.0,"[0.1574865869118223,-0.06379944107077104]",4.0,"[-0.19303373035172922,-0.026738072159847134]",100.0,"[-0.11026570162429034,0.02665037715227511]",4.0,"[-0.10188021163988965,-0.1506515307196685]",4.0,"[0.02824831056431281,0.16352892965624713]",100.0,"[0.06409282313084273,-0.1625627297099468]",100.0,"[-0.1394174012406886,-0.12277433822209421]",4.0,"[0.0018462920131739186,-0.16976951485636002]",4.0,"[-0.118175292306242,0.15398108657770368]",100.0,"[-0.13963523558657026,-0.05225791169728142]",100.0,"[0.1921796019985012,-0.023322522464912572]",100.0,"[-0.08369973552406744,0.12234648837995607]",100.0,"[-0.19070108209690337,0.040833545976593624]",100.0,"[0.13669062734635737,0.03974655074440726]",100.0,"[-0.0062846617769215804,-0.0016924442114951777]",4.0,"[0.1476496679096616,-0.016462489036698134]",4.0,"[-0.10038933188736568,0.0852819526770071]",100.0,"[0.05355787252027579,0.09652683144338149]",100.0,"[-0.042308443189959084,0.03416810247498798]",4.0,"[0.13543329239276872,0.09086751673455418]",100.0,"[-0.04664742052447285,0.14617807084939416]",4.0,"[0.07009622060785979,-0.06836095955353733]",100.0,"[0.012536898877577106,-0.07422427354702402]",100.0,"[0.02,0.02]",206.3567,0.0,2.0,2.0,89.0,1.0,,,,,,,
,,,,,,,6833610f9644c791ebdf6fd8,6842baffea32a0a5183add65,2025-06-06_05h57.29.610,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,206.3576,206.8565,,,207.1078,207.5392,left,,,,,,,,0.5,0.4165,,,,,,,206.8565,207.1076,207.5394,"[0.0032000135577396364,-0.09931746442670934]",4.0,"[-0.11343549537375251,0.142235555990348]",4.0,"[-0.07889904208709506,-0.0684134601331143]",100.0,"[0.13196308021468425,0.13446287538762247]",100.0,"[-0.029932614817239123,0.10663194610562565]",4.0,"[0.03363439340660455,0.169557275237566]",4.0,"[0.07547067180291145,0.07973351070166272]",100.0,"[-0.08094290772017927,-0.025575022822864318]",100.0,"[0.05030792736885285,-0.18196676771062795]",4.0,"[0.13958807531096876,0.0739739070931746]",100.0,"[-0.12726559647697167,-0.04104090523830766]",100.0,"[0.07949731398259109,-0.0887886981501897]",4.0,"[0.011410349919905841,-0.05706386832559993]",4.0,"[-0.034025695231943265,-0.02950612753554167]",100.0,"[0.1593083106591026,-0.0928720003064955]",4.0,"[-0.052413453601670164,-0.19293771676459262]",100.0,"[0.03526975681716551,0.04556519148267979]",100.0,"[0.060957891824171315,-0.004748292176483063]",100.0,"[-0.019520528382368885,-0.16700918242844656]",4.0,"[0.11549449472399657,0.0017415657196406477]",4.0,"[-0.04549307217063726,0.021099407065051402]",4.0,"[-0.16960493513014696,-0.06691908449511862]",4.0,"[-0.04937525014267882,-0.12482890398702332]",4.0,"[0.18065245733913698,-0.017204288013032143]",100.0,"[-0.11934335839434004,0.043803859666180736]",4.0,"[-0.03803886060498351,0.14653157732321587]",100.0,"[0.08587665998197044,0.040708205714649795]",100.0,"[0.19227859807613729,0.02556884377354818]",100.0,"[0.034338224499399404,0.10920627597832111]",100.0,"[-0.13953582139926002,-0.0010955214520147992]",4.0,"[-0.08444153960982137,0.09198274388236516]",4.0,"[0.11756727274143464,-0.16169250900902862]",100.0,"[0.02,0.02]",208.6386,0.0,3.0,3.0,91.0,1.0,,,,,,,
