right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.rt,key_resp.duration,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,92.1156,space,77.0937,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,92.1166,139.8777,space,17.7412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,139.8782,144.4723,space,1.5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,144.5894,144.988,144.9894,145.2385,145.2389,146.7356,,146.7364,147.8344,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,147.836,148.3335,148.3337,148.5894,148.5894,150.0732,,150.0735,151.1649,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,151.1674,158.1444,space,3.9539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,158.2258,158.6583,,,158.899,160.3905,,,,,,,,,0.5,,,,,,158.6601,158.8989,160.3921,"[-0.12318864261914488,-0.035345758928464095]",4.0,"[-0.0449341515687053,0.1531105643537614]",4.0,"[0.11483529274526708,0.0047169605716823795]",100.0,"[-0.12636865792765262,-0.10697953751460008]",100.0,"[-0.17164055104068363,-0.014161732130264745]",100.0,"[0.03718198602798308,-0.0020749721811888205]",4.0,"[0.0034821035443329262,-0.1306214821799838]",4.0,"[0.1897661214164783,0.044269818622972607]",100.0,"[-0.007730500095421814,-0.018926081034674327]",4.0,"[-0.0031053020758730647,0.19068391346127675]",4.0,"[0.06195371831812285,-0.10490176523204499]",4.0,"[0.1482855720934302,-0.043108391320735726]",4.0,"[0.1438475909322276,0.04146021538276622]",4.0,"[0.05034966539891429,-0.042385997569671055]",100.0,"[-0.043341545806463384,0.03167758528639667]",100.0,"[0.10146946900063811,-0.06860812710014738]",4.0,"[-0.0021067031444652455,0.0744327355033345]",4.0,"[-0.05591239722507477,-0.09885498012824373]",4.0,"[-0.10816713111227064,0.015185778233938255]",4.0,"[0.16124349680750394,-0.003716775978709277]",100.0,"[-0.0035401632253988903,-0.17314035425114865]",100.0,"[-0.1872065884555801,0.028183741397705794]",100.0,"[0.09836312645492118,0.17046992746537792]",100.0,"[0.1408534001619944,0.12987184750649478]",100.0,"[-0.09943932926269886,-0.07618025910236267]",4.0,"[0.01196426101786544,0.14912278919151786]",100.0,"[-0.04711358758197702,-0.1546844978975285]",100.0,"[0.052947592240720744,0.0432598227267594]",100.0,"[0.09475944141583384,0.11690178441216588]",4.0,"[-0.11462540619601379,0.09869022253370377]",100.0,"[0.05557383390522874,-0.16792303819010318]",4.0,"[-0.07996081703162175,0.064850528536408]",100.0,"[0.02,0.02]",161.4902,0.0,0.0,0.0,115.0,1.0,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,161.4922,161.9896,,,162.2435,163.7379,,,,,,,,,0.1,,,,,,161.9903,162.2435,163.7381,"[-0.08067432253732279,0.017086681246068623]",4.0,"[0.0167419769312236,0.03845923788172297]",100.0,"[0.12344265367690202,-0.012373946012133975]",4.0,"[0.046139214284283796,0.11497010177855237]",4.0,"[-0.0009173539724523809,-0.1392998664467748]",4.0,"[0.05854477125689927,-0.14879562662488444]",4.0,"[-0.10186794069741129,-0.15994647459736347]",4.0,"[-0.0730695078773448,-0.10098727302685286]",4.0,"[-0.1146233512453834,-0.0732840340388233]",4.0,"[-0.07944237604113795,0.0692590392190505]",4.0,"[-0.0063165790066618535,-0.030747584521942324]",4.0,"[-0.13134824934287048,0.13518391847409994]",100.0,"[0.11411195394594804,0.1425303751182958]",4.0,"[0.07598353207126003,-0.03541340399254427]",4.0,"[-0.03964077470311955,-0.07591026856346826]",4.0,"[-0.053423943817363595,-0.15663235804736556]",4.0,"[-0.17900489498471042,-0.0780825216302675]",4.0,"[0.06860084830436175,0.1644297649933559]",4.0,"[-0.03486657065100186,0.11230882640658071]",4.0,"[0.17914822613898548,0.0561316665067486]",4.0,"[-0.05822935351749772,-0.021420599645214786]",4.0,"[0.19740163191679072,-0.009156583802362632]",4.0,"[-0.03975644568265572,0.02379242690903699]",4.0,"[-0.1434367482654801,-0.12677940144444436]",4.0,"[-0.004543939733832983,0.0805046605838113]",4.0,"[0.028607724483825255,-0.1867178337372116]",4.0,"[-0.015554330669466624,0.162690681830953]",4.0,"[0.09033202953250027,-0.10416119796077938]",4.0,"[0.1376330157383135,0.0502135454348305]",4.0,"[-0.18156538169859515,0.03727883900312442]",4.0,"[-0.12169844865213048,-0.005442307431310848]",100.0,"[0.027327954300221575,0.18348464242322696]",4.0,"[0.02,0.02]",164.8388,0.0,1.0,1.0,198.0,1.0,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,164.8399,165.3365,,,165.5765,167.0682,,,,,,,,,0.6,,,,,,165.3369,165.5764,167.0684,"[-0.02190533549195125,-0.18979798522923294]",4.0,"[0.09951393040998252,0.044057624811095056]",4.0,"[-0.07539237331647704,-0.029152050483113923]",100.0,"[-0.04093915646168776,0.18561706544818876]",100.0,"[-0.13464017408534748,0.01008525837474848]",100.0,"[0.01364905521317017,-0.015049837854458716]",4.0,"[0.10729419949049503,-0.06502087215234827]",100.0,"[-0.00018341050270424824,0.0626595345883929]",4.0,"[-0.16134182796346963,0.11394516360897003]",4.0,"[-0.06670083897554382,-0.08868930974456528]",100.0,"[0.11002482318904305,0.08471769005344386]",100.0,"[-0.08400628913413091,0.07773753061449355]",100.0,"[0.05029569037281484,-0.10679669834762624]",4.0,"[0.17840105667386036,0.08869362238100217]",100.0,"[-0.12043234344137964,-0.056210227399864934]",100.0,"[0.04778349567171202,0.00990310934641627]",100.0,"[-0.02732934063002139,-0.14956881149316512]",100.0,"[0.002980710624831096,0.19515896800784419]",4.0,"[0.04362648562328937,0.09696012636097834]",100.0,"[-0.1738531545437618,0.07510622503455032]",100.0,"[-0.19391658223884908,-0.008676420765328098]",100.0,"[0.16493173109121204,0.047597961311689696]",4.0,"[0.04445825693262501,0.1498973204277241]",100.0,"[0.11255412808641792,-0.13669411886409466]",100.0,"[0.1018902192154711,0.16909838296398075]",100.0,"[-0.024843811851690836,-0.026557620268795306]",100.0,"[-0.11633700886071309,-0.16157612372141658]",4.0,"[0.1891516855743497,0.0037954381100483523]",4.0,"[0.14776774135551565,-0.09903792473530071]",100.0,"[-0.10603694311472343,-0.11585770991880723]",4.0,"[-0.019899031904801374,-0.09865077454203436]",4.0,"[0.15282488179093015,-0.057542197466583234]",4.0,"[0.02,0.02]",168.1676,0.0,2.0,2.0,43.0,1.0,,,,,,,,,
,,,,,,,683729c64975b4dbb8ff32f4,68399cfd12d067932d614819,2025-05-30_07h58.17.061,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,168.1694,168.6678,,,168.924,170.416,,,,,,,,,0.4,,,,,,168.668,168.9239,170.4163,"[-0.18378901404983453,-0.055044058465861107]",4.0,"[0.10615278134524234,0.01717996353554349]",100.0,"[0.16152073491450414,0.04881474777929877]",100.0,"[-0.03184285410962459,0.10043874366071458]",100.0,"[0.12510850077422236,-0.13807122267207336]",4.0,"[-0.039286766530158494,-0.019411268485300275]",100.0,"[-0.09715554456318731,-0.1740194601788728]",4.0,"[0.12716349867168653,-0.06447945233318442]",4.0,"[-0.025848093464704014,-0.11308748661158413]",100.0,"[0.12982861189147898,0.10813533485064303]",4.0,"[-0.004489390056974847,0.1716721236423421]",4.0,"[-0.13465685801337898,-0.009112716775501423]",4.0,"[0.08164075310602163,-0.1670967710605772]",4.0,"[-0.05860625891877076,-0.18471447415105158]",4.0,"[-0.002395442040275258,0.061203984482614014]",4.0,"[-0.10998182570301969,-0.09998433112112311]",100.0,"[-0.10814002717908908,0.13765059137998636]",4.0,"[0.09009710947357029,0.10138017124497499]",100.0,"[-0.0693185344246557,-0.05184424723048375]",100.0,"[0.05981705316494725,0.05455191578961781]",100.0,"[0.10179670976831458,0.14575828762728565]",100.0,"[0.0298019715970578,0.13147011361968278]",100.0,"[0.19106627336713952,0.009448387947325623]",4.0,"[-0.012684799241966757,-0.15833984897894635]",4.0,"[0.17371526274381496,-0.09125692840138443]",4.0,"[0.03740533075105514,0.0029829926267008304]",100.0,"[-0.15364300170278788,0.06257083599927882]",4.0,"[-0.06826628654812192,-0.1108666397988135]",4.0,"[-0.18094566372412538,0.010278566772337508]",4.0,"[-0.08399250252496379,0.06406751423408108]",4.0,"[0.019153438346259603,-0.03269416222062248]",100.0,"[0.08475430175584603,-0.09486588907410529]",4.0,"[0.02,0.02]",171.5153,0.0,3.0,3.0,152.0,1.0,,,,,,,,,
