right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0005,89.4226,space,74.3936,0.0046,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,89.424,129.2342,space,9.7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,129.2345,136.044,space,3.7984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,136.0935,136.5542,136.5555,136.8026,136.8029,137.6701,right,0.8342,,137.6705,138.7674,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,138.7697,139.2712,139.2714,139.5205,139.5205,140.4872,right,0.9502,,140.4874,141.5837,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.5847,146.0972,space,1.4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,146.1254,146.6092,,,146.8624,147.443,right,0.5514,,,,,,,,,0.55,,,,,,146.6103,146.8623,147.4444,"[-0.07235157908976497,-0.0543679181119913]",4.0,"[-0.017858226344836994,-0.18355839523415513]",4.0,"[0.0611013247740475,-0.18175335051665026]",4.0,"[-0.061365953020981245,0.14119265698374908]",100.0,"[0.027119709120204036,-0.050231436263240496]",4.0,"[-0.0030828112643275546,-0.1335293552939712]",4.0,"[-0.05015564457427735,0.04353408919650223]",4.0,"[-0.1513180434319681,0.06599743353927547]",100.0,"[0.10452670317729815,0.10738945234524667]",4.0,"[-0.03748141942432665,0.18783798842210617]",4.0,"[0.02346677173092056,0.007275840366618169]",4.0,"[0.0552760614201134,0.17199435218145664]",100.0,"[-0.0924895449398174,0.07021595379111535]",100.0,"[0.05311185912337258,0.06003289897569587]",100.0,"[0.05342952588408664,-0.10092388089779264]",100.0,"[0.16792844476775845,-0.06025835777715572]",4.0,"[-0.12056598312030256,0.02040483767759473]",4.0,"[-0.020449958846299434,0.1513086979107857]",4.0,"[0.09484438803099947,-0.14971800105402364]",100.0,"[0.1143188391987475,-0.02079588702798853]",100.0,"[0.12314870797532236,-0.07305399528326155]",100.0,"[-0.11543333379218768,-0.037994803364559605]",100.0,"[-0.07366417145574097,-0.1290284280396584]",100.0,"[0.0073277155922679554,0.04748050828268067]",100.0,"[0.07181940695326436,-0.023396934548722458]",100.0,"[-0.036880955733141894,-0.08782450005058813]",100.0,"[0.09577159605127092,-0.10273683148538783]",100.0,"[-0.06853458921120102,-0.009357234814004625]",4.0,"[-0.18804729424533564,0.006130877760361033]",100.0,"[0.13762670931097065,-0.13863186972460598]",4.0,"[-0.11579770350305407,-0.0954319350364115]",100.0,"[-0.15632209674825007,-0.08862614363430223]",100.0,"[0.02,0.02]",148.5458,0.0,0.0,0.0,83.0,1.0,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,148.5472,149.0407,,,149.2903,149.6898,left,0.3823,,,,,,,,,0.5,,,,,,149.0409,149.2902,149.6899,"[0.0867451980920429,0.1361413660590054]",100.0,"[0.09865797491135538,-0.050553154549011506]",100.0,"[0.002639565121017478,-0.12109293326120757]",100.0,"[-0.09827107267851803,-0.017102565675747507]",4.0,"[-0.0702437657115236,0.1768225375314718]",100.0,"[0.10203683326451027,-0.005686702106417829]",4.0,"[-0.09824564246904618,-0.10599576855240016]",100.0,"[0.05671216502840329,0.034765733704785744]",4.0,"[0.17242330314231044,-0.007661329988443706]",4.0,"[-0.09607708052119283,0.04512890696505541]",4.0,"[-0.1758902180273086,-0.08249208924106896]",100.0,"[-0.0030417478872867996,-0.17603522084592768]",100.0,"[0.1302492868911834,0.1275977766945359]",100.0,"[-0.1732440326548951,0.08733183253648968]",100.0,"[-0.0770711586759576,0.13073287866245215]",4.0,"[0.04150406236453183,-0.1490815760362756]",4.0,"[0.15437188349911524,0.03899648543124366]",100.0,"[-0.17415586554226492,-0.023694420972830685]",100.0,"[0.16444847186770184,-0.11118839931612647]",100.0,"[0.03364848071640874,0.18869540484685765]",100.0,"[-0.0713944486141309,-0.15534624625137503]",4.0,"[0.00346169280722641,0.1612518270208772]",100.0,"[-0.05675910581337881,0.09511537568276107]",4.0,"[0.017552870127465082,0.10143321387373837]",4.0,"[-0.002551855433697958,0.005869694386648907]",4.0,"[0.05188773104933557,-0.10421235412964187]",4.0,"[-0.13659856802610074,-0.0478488176826622]",100.0,"[-0.023475097199256657,-0.056599306206148794]",4.0,"[-0.15867549732934294,0.019351803620234326]",4.0,"[0.054276428280523474,-0.037007784944937235]",100.0,"[-0.07039144192937603,-0.05178602925927575]",4.0,"[0.09566194369143573,0.05680781674677225]",4.0,"[0.02,0.02]",150.7886,0.0,1.0,1.0,91.0,1.0,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,150.7896,151.2881,,,151.5381,152.0044,right,0.4538,,,,,,,,,0.1,,,,,,151.2882,151.538,152.0046,"[-0.04520694269362162,0.06373828110578918]",4.0,"[0.10578382000573439,-0.0971308494458131]",4.0,"[-0.12299369274476142,-0.022621511886337087]",4.0,"[0.05955318341317701,0.1792401252256467]",100.0,"[-0.16424733352705653,0.0884189835537025]",4.0,"[0.1552274879307273,-0.06509944964124138]",4.0,"[-0.012691575477596338,-0.18217819153539988]",4.0,"[-0.1873565938201018,-0.053866824154733046]",4.0,"[0.12814135464858914,-0.013268125322609828]",4.0,"[-0.04381211771903132,-0.1300957964005274]",4.0,"[0.1221500447132442,0.10844313801559205]",4.0,"[-0.0779783656445347,0.011009793181488885]",100.0,"[-0.0918307630953423,-0.17061004775473557]",100.0,"[0.0925086831184092,0.05809034714381133]",4.0,"[0.15239870679122344,0.04190635001965701]",4.0,"[-0.09314715822580483,0.15786349778627667]",4.0,"[0.07817620901096552,0.0021859300172108087]",4.0,"[0.05431055619828695,-0.12503376894651536]",4.0,"[0.05419368553087043,-0.07816818273953194]",4.0,"[-0.15541684640529912,-0.0943984476144656]",4.0,"[0.04477316936814797,0.0964913003484748]",4.0,"[0.03394608970245943,0.05666987682160849]",4.0,"[0.19962518881115696,-0.006358474940261957]",4.0,"[0.040200975112810164,-0.17361660140503105]",4.0,"[-0.014651606944500607,-0.021058452009646164]",4.0,"[-0.1162104886793651,0.08536988521662361]",4.0,"[-0.031285011476265376,0.02255921562171663]",4.0,"[-0.06824490699018239,-0.07269236635605396]",4.0,"[-0.04656003324913115,0.1307212229272277]",4.0,"[0.003939108903982026,-0.09475328828151984]",4.0,"[-0.004741254460612183,0.1215680102335543]",4.0,"[0.1570923065157831,-0.11404911089459709]",4.0,"[0.02,0.02]",153.1033,0.0,2.0,2.0,207.0,1.0,,,,,,,
,,,,,,,683798782103c0dd7218d498,684428bc7996d2118ccc0ff4,2025-06-07_07h56.17.220,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,153.1043,153.6023,,,153.8524,154.4349,right,0.5756,,,,,,,,,0.1,,,,,,153.6023,153.8523,154.435,"[-0.012824455992812884,0.18697881012675735]",4.0,"[-0.13479533648333328,0.0399620090698291]",4.0,"[-0.045592169733786894,0.15246960274868243]",4.0,"[0.010109562634283966,-0.11603085545628015]",100.0,"[-0.1173338199220156,0.1512240706029602]",4.0,"[0.15028358178528717,0.09773247027608935]",4.0,"[0.05879066719696413,-0.16754079557534587]",4.0,"[-0.12852107589226974,-0.04514436621819765]",4.0,"[-0.14120168809327346,0.0966482661533905]",4.0,"[-0.18376782852396625,0.0731352707324777]",100.0,"[-0.027939222434103926,-0.16052968355878813]",4.0,"[-0.061482148469906794,-0.07384537629021354]",4.0,"[-0.0965060213641293,-0.10471838111302023]",4.0,"[0.05318131179689328,-0.12071309744690811]",4.0,"[-0.17953729584139022,-0.03497484856787739]",4.0,"[0.1416197889634384,-0.1386127544156074]",4.0,"[0.04185544717724057,0.1621831757025713]",4.0,"[0.08271470957537153,-0.012424493261637044]",4.0,"[-0.056539348104350066,0.08466709506226976]",4.0,"[0.16421348385933546,0.03994921327780241]",4.0,"[-0.011092369666486397,-0.07559246985829554]",4.0,"[-0.16113276939495313,-0.09900393057422986]",4.0,"[0.14638326523371675,-0.011769965009009327]",4.0,"[-0.05368968961934582,0.0010600634376475525]",4.0,"[-0.011117973093465076,0.09404655788337617]",100.0,"[0.04961963425407539,0.10205136143816705]",4.0,"[-0.07208624401872081,-0.15277021368939347]",4.0,"[0.11976045412387429,0.13498463379691222]",4.0,"[0.02890149685628484,0.0187727189092059]",4.0,"[0.08353977388310167,-0.08458171635099616]",4.0,"[0.08925114850623884,0.06576312081223129]",4.0,"[0.020728141894586927,-0.033421060784419136]",4.0,"[0.02,0.02]",155.5337,0.0,3.0,3.0,193.0,1.0,,,,,,,
