right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.rt,key_resp.duration,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0008,113.1315,space,98.1045,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,113.1328,189.9346,space,46.7768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,189.9356,199.4071,space,6.4556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,199.5078,199.9221,199.9241,200.1775,200.1782,201.6729,,201.6732,202.7698,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,202.7727,203.2692,203.2696,203.5231,203.5232,205.0197,,205.0201,206.1197,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,206.1217,217.6057,space,8.4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,217.6567,218.1207,,,218.3601,219.852,,,,,,,,,0.4,,,,,,218.1227,218.3599,219.8551,"[-0.08821523166860609,0.1295804276650543]",100.0,"[0.14752988301626369,-0.005641310725486792]",100.0,"[0.1847736517958775,0.03650479770408059]",100.0,"[-0.16199408413084992,0.07408804182043272]",100.0,"[0.10244650232543989,0.11931812039850014]",100.0,"[-0.10398982259862272,-0.15806278235042773]",4.0,"[0.07301434303377248,-0.02568098633707098]",4.0,"[-0.07622841729643685,0.001195493258004861]",4.0,"[0.0918607861150053,0.04407640984700426]",100.0,"[0.00984082328082383,0.031424996829186994]",4.0,"[0.07545824678171353,-0.16030282741463722]",4.0,"[-0.0035190778157327403,-0.17890057482841046]",4.0,"[-0.04646511760743079,-0.13367336698359214]",4.0,"[0.13744717949988247,0.042066010572397075]",4.0,"[-0.1655991463941556,0.027989502260870047]",4.0,"[0.006661237536817732,-0.060466733511315866]",4.0,"[0.05907299304760217,0.1801707020839214]",4.0,"[0.131058506707007,0.09074718941896068]",100.0,"[0.018393980219661533,0.11403600887280733]",4.0,"[-0.04923736205754227,-0.06592929395926476]",4.0,"[0.04586899088144532,-0.13171568680294127]",4.0,"[-0.13425281788636031,-0.10086873547500082]",100.0,"[-0.19217877765433775,-0.03963616774576587]",4.0,"[0.18387530149624254,-0.06170222497916709]",100.0,"[0.060325503574306195,0.09192618216968733]",4.0,"[-0.04750435149077952,0.052265511002489884]",4.0,"[-0.022144660019210078,0.17064026892768483]",100.0,"[-0.10397301385173727,0.072635180653228]",100.0,"[-0.021880399025129296,-0.01761509455450268]",100.0,"[0.04366620239469854,-0.1943643863642207]",4.0,"[-0.12702584484716997,0.11985132000975575]",4.0,"[-0.13789505318170717,-0.008544661410521267]",100.0,"[0.02,0.02]",220.9521,0.0,0.0,0.0,166.0,1.0,,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,220.9541,221.4504,,,221.7036,222.6865,right,,,,,,,,0.6,,,,,,221.4509,221.7033,222.6869,"[-0.03947599146887782,-0.12017551788902038]",100.0,"[0.05721651115108651,-0.10352865547632446]",100.0,"[0.17336088465238075,0.05676476918314231]",100.0,"[0.13276444990722133,0.12756622499221712]",100.0,"[-0.028808761331167453,0.17695010711362938]",100.0,"[0.06723068028914003,-0.022128078385717065]",4.0,"[0.03772364041145327,-0.1727034703031664]",100.0,"[-0.00793845504989011,0.12747300826550576]",100.0,"[0.01487211747846216,-0.08570489987339044]",4.0,"[-0.17635828338327245,-0.0005560551370769446]",4.0,"[-0.09324475223349586,-0.1313416750295263]",100.0,"[0.15587662300020583,-0.07891146361460095]",100.0,"[-0.1460231962199488,-0.03568096433664753]",100.0,"[-0.08598768294738203,-0.007446998326324478]",100.0,"[0.1397048559680606,0.00023544473920401738]",4.0,"[0.003939262180433719,0.06535553199756076]",4.0,"[-0.13170266500393274,0.03269984186299843]",100.0,"[0.03075424304290505,0.16569795482920677]",100.0,"[0.0963583337827237,0.10522712652863264]",4.0,"[-0.12123681690118916,0.10918656057595023]",4.0,"[0.09869333460130521,0.1595978412009005]",100.0,"[-0.02866765956024079,-0.02786426337608809]",100.0,"[0.06520867256528787,0.0735448285893642]",4.0,"[-0.04704662132948062,0.07998785471917542]",100.0,"[-0.1066094697167775,-0.05740233908057474]",4.0,"[-0.15934957433428426,-0.10160189111073399]",100.0,"[-0.0067061988161157765,0.01561005427488699]",4.0,"[0.041033908279192344,0.03491175996369061]",4.0,"[-0.18388213501916698,0.06410158537363043]",100.0,"[-0.08116624097528378,-0.17908963249549661]",100.0,"[0.08903986385437598,0.01502699439461902]",4.0,"[-0.08907450098686036,0.03886690322298142]",4.0,"[0.02,0.02]",223.7822,0.0,1.0,1.0,48.0,1.0,0.9723,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,223.7844,224.283,,,224.5319,224.9645,left,,,,,,,,0.55,,,,,,224.2831,224.5317,224.9652,"[0.06915739677651128,0.10868402361917136]",100.0,"[0.18689778515545083,0.026264240292816283]",4.0,"[-0.10289289630171944,-0.12854640521897948]",100.0,"[0.03611759705896741,0.040564838783462315]",4.0,"[-0.05066979734966975,0.11493162727523934]",100.0,"[-0.045193436566444395,-0.12703922400030512]",100.0,"[0.09545678913456081,0.15322421977256007]",4.0,"[-0.061216345713041985,-0.0807123850730475]",100.0,"[0.1771095620705244,0.07642770610385768]",100.0,"[0.09347030335975547,0.060872024383835675]",100.0,"[-0.05001630321871634,-0.1807279337616257]",100.0,"[0.08038524682854785,-0.1119786023270276]",100.0,"[-0.009438392957772577,0.17006567780412662]",4.0,"[-0.07392484706681154,0.0024128951386341506]",100.0,"[-0.09615593708325765,0.06714858886141364]",100.0,"[-0.08985074125113529,0.13787004113639006]",100.0,"[0.1308287931647887,-0.14194685570631316]",100.0,"[-0.04417702763422653,0.19276321655794518]",100.0,"[-0.1580864744980484,-0.06076822619262497]",100.0,"[-0.1420160585127531,0.112402460170136]",4.0,"[-0.00005750438746291737,0.07208615293144054]",4.0,"[0.11252216698973853,-0.07271909623873497]",100.0,"[0.14859201852751577,0.11245582687261994]",4.0,"[0.07170881903468063,-0.17960593206181977]",4.0,"[0.14198151469422854,-0.006602181706535989]",4.0,"[-0.19555534786162881,0.02062290033381347]",100.0,"[-0.021220106242372267,-0.004390348534166166]",4.0,"[0.05050383172120113,-0.048915097957463134]",4.0,"[0.08956595817238883,-0.013441455540200018]",100.0,"[0.16396126117672616,-0.059012507882391395]",4.0,"[-0.14701916207169627,-0.10744076418199462]",4.0,"[-0.00009578931231617317,-0.13131580741863408]",4.0,"[0.02,0.02]",226.0626,0.0,2.0,2.0,89.0,1.0,0.418,,,,,,,,
,,,,,,,68398283a2f2b6f05f300540,683aeeee751871b78dd2d16e,2025-05-31_07h59.10.347,shape_ratio,2024.1.5,Win32,60.97560976,683ae9196541af24d3a69e58,,,,,,,,,,,226.0645,226.5623,,,226.8138,227.1783,right,,,,,,,,0.5,,,,,,226.5623,226.8136,227.1786,"[0.14062094962670996,-0.007757424938441668]",4.0,"[-0.1673146958368071,0.00266314773397682]",4.0,"[0.08766375120209653,0.09800753024160742]",100.0,"[0.03522112557784529,-0.04166794068807518]",100.0,"[0.13979151412913413,-0.13639233669974082]",4.0,"[-0.026417763298075093,-0.017237671176750867]",100.0,"[-0.09180685755442718,-0.05979978256560143]",100.0,"[-0.056032680245023794,0.1562434649806779]",4.0,"[-0.017067787566852767,0.04030524031933603]",100.0,"[-0.06238931152281474,-0.09825788103048624]",100.0,"[0.10782457046911172,-0.03532365447458105]",4.0,"[-0.04916585605788941,0.09978032488722878]",100.0,"[0.029299146902343295,0.07340859750134544]",4.0,"[0.14648181545501981,0.11118645231962428]",4.0,"[-0.1739073989259095,0.058443637369705315]",4.0,"[0.008293518303884652,0.19606538974027785]",100.0,"[0.0412945726400922,0.1620668447033907]",100.0,"[0.024336386913891943,-0.1300981758587581]",100.0,"[-0.01830811105981885,-0.1701330392801211]",4.0,"[-0.13542597919992927,-0.11796618262202177]",4.0,"[0.13964181814276283,0.061713219341169134]",100.0,"[-0.09830354158007511,-0.14853514030899015]",100.0,"[0.1090105022916089,0.14889048904101268]",4.0,"[-0.1285034167280847,0.05323204918773921]",100.0,"[-0.06777333802429321,-0.17934348368206388]",4.0,"[0.08739856813446108,0.02104609112927824]",100.0,"[-0.15756650863192395,-0.03746406439252963]",100.0,"[-0.07252411175369262,0.06071187035927486]",4.0,"[-0.09981316962950404,0.10203259646648775]",100.0,"[0.07287974032145524,-0.1413575297129938]",4.0,"[0.001594865895774687,0.10279573960069943]",4.0,"[-0.11647455523810277,0.007761772915503348]",4.0,"[0.02,0.02]",228.2768,0.0,3.0,3.0,103.0,1.0,0.3523,,,,,,,,
