right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,30.8274,space,15.8,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,30.828,62.6755,space,1.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,62.6761,68.3978,space,2.7117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,68.4325,68.9146,68.9152,69.1485,69.1488,70.6498,,70.65,71.7509,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,71.7516,72.2511,72.2512,72.5019,72.502,73.1022,right,73.1024,74.2031,0.0,1.0,1.0,1.0,1.0,0.8,0.5831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2036,80.7933,space,3.5847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,80.8126,81.2936,,,81.5446,81.6773,right,,,,,,,,0.4,0.1283,,,,,,,81.2942,81.5445,81.6779,"[0.04882818174384277,-0.0625670346255487]",4.0,"[0.0157032425793401,0.05966812313895356]",4.0,"[0.14887620369148508,-0.05961671450073968]",4.0,"[-0.0462228886567596,-0.0956600908269717]",4.0,"[-0.14964840348530084,0.04963474825468061]",100.0,"[0.04329313231051547,0.1778626358391225]",100.0,"[-0.07989998203313821,-0.15686108315124142]",4.0,"[-0.01799570446421593,0.11451091103732772]",100.0,"[0.011058409681709487,0.0009012314037791575]",4.0,"[0.1261323174219289,0.04329884872412626]",100.0,"[0.05654637004238562,0.12504808167258105]",100.0,"[0.008669611193971069,-0.0971456515387982]",4.0,"[-0.17298356134662204,-0.05157478518492338]",4.0,"[-0.04970029587037021,0.04911704956020522]",4.0,"[-0.06312943166316011,0.17110135013083197]",100.0,"[0.10658650190400723,-0.11928680847962962]",4.0,"[0.10896004236325446,-0.0011269948734883412]",100.0,"[0.06754958312512081,0.06725745476318205]",100.0,"[0.11044336618965409,0.11027265380796077]",4.0,"[0.005493431343026189,-0.16378975780914456]",4.0,"[0.05006908771667392,0.022656158951864677]",4.0,"[0.09718233719206519,0.15558003974380755]",100.0,"[0.08294087436711889,-0.15549611280298603]",4.0,"[-0.10533050161955158,0.0812526800224931]",4.0,"[0.06103452851449338,-0.11036721478283995]",4.0,"[-0.05395278155966585,-0.1908024872313408]",100.0,"[0.18074820678163844,-0.029298670208700004]",100.0,"[-0.059893810933505896,-0.00783211258592103]",4.0,"[0.16308214830537138,0.09223848882483497]",4.0,"[-0.1133532163697643,-0.06539541752169675]",100.0,"[-0.06577979158608932,0.09801749288360893]",4.0,"[-0.1640489893605383,-0.11269527205096272]",100.0,"[0.02,0.02]",82.7786,0.0,0.0,0.0,178.0,1.0,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,82.779,83.2788,,,83.5298,83.7128,left,,,,,,,,0.5,0.1672,,,,,,,83.2789,83.5297,83.7128,"[-0.10799170083391321,0.04125045117647417]",100.0,"[-0.10426681127754621,0.15028909645828864]",100.0,"[0.12771336152458765,0.12136428639332482]",4.0,"[0.01389804813649863,0.13138043458762394]",100.0,"[-0.054098062583838334,-0.025142898126050684]",100.0,"[0.05155018183261384,-0.06890615686789017]",100.0,"[-0.03453028595486478,0.16112367381112389]",4.0,"[0.1655435981342977,-0.06465970805633087]",100.0,"[0.02651497932180309,0.08803111087870347]",4.0,"[-0.10186609503467906,-0.06894874954004744]",4.0,"[0.03544604129699757,0.19268148925187814]",4.0,"[0.15110050066019506,-0.01677479574453327]",4.0,"[0.07581924800524599,0.05237944646911296]",4.0,"[-0.048347312981570224,0.06760724481189927]",100.0,"[0.0781464582739494,0.15946224639059858]",4.0,"[-0.02552940010973216,-0.07066544224478859]",4.0,"[0.03792402175781445,-0.022420842343046598]",100.0,"[-0.08930728912270829,0.0031769654454969947]",4.0,"[0.1484892400948247,0.024603949697067796]",100.0,"[0.12080954078214301,-0.1078522108719052]",100.0,"[0.024787097063243148,-0.18394047297266541]",100.0,"[-0.1564605675368393,-0.0037006627008702698]",100.0,"[-0.027559481439147406,-0.14950080491387405]",100.0,"[-0.08258709638003878,-0.1816181264460287]",4.0,"[0.10256835130855795,-0.02386546562117077]",100.0,"[-0.17929914608379766,0.057493267934731584]",4.0,"[-0.16553194182578365,-0.10851048302698796]",4.0,"[0.10748268043221008,-0.14964175803571853]",4.0,"[0.07886038708584117,-0.09859873260936183]",4.0,"[0.19673759068035013,0.013774918081479478]",100.0,"[0.0745040970256199,0.005996389142379687]",100.0,"[-0.052220552144437694,0.11118270379746127]",4.0,"[0.02,0.02]",84.8137,0.0,1.0,1.0,91.0,1.0,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,84.814,85.3142,,,85.565,85.9483,right,,,,,,,,0.55,0.3693,,,,,,,85.3143,85.565,85.9485,"[-0.0942448295504082,0.14495925599936735]",100.0,"[-0.04123095860695656,0.08377479764740361]",4.0,"[-0.023527506070099746,0.019763860648265144]",100.0,"[0.14579546916991037,0.061571766805852954]",4.0,"[0.13493614357533756,0.14184711744347248]",100.0,"[-0.0925456213441478,-0.15441543858740847]",100.0,"[0.028996533569402592,0.06917678606881353]",100.0,"[-0.15941672639586435,0.1103978605273788]",100.0,"[0.1794517735382168,0.08787028107310599]",4.0,"[-0.12447837203659688,-0.11127816429204206]",100.0,"[-0.18833555462493845,-0.05390831764639815]",100.0,"[0.16750586186003696,-0.005575786800338887]",4.0,"[0.016649520834691945,-0.08344325181127367]",4.0,"[-0.02087064055420543,-0.13124588326510417]",4.0,"[-0.049999196720993365,-0.03322057655329052]",100.0,"[0.09462036763519446,-0.0750698638482091]",100.0,"[0.06075625465035845,0.03160037829472499]",100.0,"[0.03575217029444216,-0.14302822038828186]",100.0,"[0.06952798609111052,0.15442400974532813]",100.0,"[0.1895921340622924,0.044936385791913114]",100.0,"[0.046576045353574166,-0.044683514611089936]",100.0,"[-0.13872339596022473,0.054099645930741985]",100.0,"[-0.10903160841244917,0.08227258937019297]",4.0,"[0.1252824634241942,-0.10599241546796667]",4.0,"[-0.054425356686217334,0.12315623934569178]",4.0,"[0.0730604955732042,-0.11978574493095462]",100.0,"[-0.1735206635051605,-0.01067862036298422]",4.0,"[-0.08076839990648292,0.049681109038495]",4.0,"[0.0036651569674438673,-0.18711388786198238]",4.0,"[-0.06798618497557597,0.17690473909190066]",4.0,"[-0.11676529692529174,0.019030925754608918]",100.0,"[0.17408577560272823,-0.059853156960669555]",4.0,"[0.02,0.02]",87.0493,0.0,2.0,2.0,60.0,1.0,,,,,,,
,,,,,,,683b5b1a56674ca7248af790,684428b6f6b0f08d2aa35dbf,2025-06-07_08h00.14.057,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,87.05,87.5498,,,87.8029,87.8836,left,,,,,,,,0.9,0.059,,,,,,,87.5498,87.8029,87.8837,"[-0.10730832524211752,-0.1218502939939117]",100.0,"[0.002414765247173117,-0.03261815104953539]",100.0,"[-0.1641201202574273,0.11412332079843013]",100.0,"[-0.06708966058083378,0.01626439791462609]",100.0,"[-0.0629444312302406,-0.095219659106185]",100.0,"[-0.04342116652583625,0.1577658821437298]",100.0,"[0.059447135684018694,0.12895504747630085]",100.0,"[-0.10337717852401926,-0.0599868548283948]",100.0,"[0.05618159669391469,-0.11969475582990913]",100.0,"[0.023621783112648027,0.025608573572326234]",100.0,"[0.1132407457958355,-0.1387265392760159]",4.0,"[-0.018507609163733067,-0.0705548031770531]",100.0,"[0.03144474475826544,0.08169227356476695]",100.0,"[0.08777737824776176,-0.01940925400882078]",100.0,"[0.16610763585549115,0.09363608744038102]",100.0,"[-0.08219193187308153,-0.15756374148058017]",4.0,"[0.011541939153258206,0.14166848424199652]",100.0,"[-0.08766921472723369,0.07011632772229572]",100.0,"[0.0613347526160331,-0.19021940142632013]",100.0,"[0.1668296969221771,-0.04749029133160397]",100.0,"[-0.014644286320192566,-0.16531972335543083]",100.0,"[-0.1816857292835047,-0.030385850928538405]",100.0,"[0.11333738180517657,0.15954787857179847]",100.0,"[-0.15158956234061247,-0.09140009904677426]",100.0,"[-0.14381090228228852,0.06962716541943315]",100.0,"[0.12953426855177325,0.03801737933638901]",100.0,"[-0.018858964935515105,0.037799584800913236]",100.0,"[-0.08446947321501264,0.1161352414149032]",100.0,"[0.04485533615822431,-0.05041503497687822]",100.0,"[-0.09957174832847072,-0.017553588394740506]",4.0,"[0.10546858164305616,-0.08005913216732753]",100.0,"[-0.0038581079707176126,-0.11357537684008247]",100.0,"[0.02,0.02]",88.9845,0.0,3.0,3.0,20.0,1.0,,,,,,,
