right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,47.3395,space,32.3061,0.0005,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,47.3401,125.1197,space,47.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,125.1213,131.5388,space,3.3987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,131.5898,132.0477,132.0487,132.2885,132.289,133.7853,,133.7856,134.8798,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,134.8812,135.3793,135.3798,135.6302,135.6303,137.1265,,137.1267,138.2257,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,138.2277,144.8618,space,3.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,144.9153,145.3681,,,145.6216,145.9889,left,,,,,,,,0.6,,,,,,145.3688,145.6215,0.3523,,145.9912,"[-0.04476720241372752,0.008386521911194043]",100.0,"[-0.11802500322313247,0.04928869987452569]",4.0,"[0.18453637371810735,-0.03614356654021324]",100.0,"[-0.09083224523907647,-0.08233590438617305]",4.0,"[0.07985128389061956,0.11479432327636337]",100.0,"[-0.0855926434913355,0.13403209718173045]",100.0,"[0.07599931346482279,-0.16431075167108292]",100.0,"[-0.09272909912885342,-0.12403663347277104]",100.0,"[-0.04998502005721321,-0.04740676867868503]",100.0,"[0.17754400065845466,-0.07698917090777085]",100.0,"[-0.009508684957755592,-0.01706989190874925]",100.0,"[-0.13339872839518913,-0.11341510196173446]",100.0,"[-0.018284516774025247,0.16824856218496492]",4.0,"[-0.10912549673121512,-0.03833673984536247]",4.0,"[-0.01812017876350298,-0.09958418051754775]",4.0,"[0.031699914361679425,-0.19152578506358892]",100.0,"[0.1245419863664462,0.13585999211323854]",4.0,"[0.10681323983816161,0.05261415851660358]",100.0,"[0.17687335772700344,0.07261632291912262]",4.0,"[0.15955980542594095,0.02804858632558492]",4.0,"[0.07339583379431551,-0.08290739465633751]",4.0,"[-0.020263512423832522,0.08846708732800203]",4.0,"[-0.18283011076627764,-0.010726253457518415]",100.0,"[-0.16917594041311787,-0.08070451803215944]",4.0,"[-0.12944409780998772,0.00039373192888925477]",100.0,"[0.011030763988935948,0.1325365909528116]",100.0,"[0.022459440210302096,0.01213821714047073]",4.0,"[0.08048584969372626,-0.03546629191174051]",100.0,"[-0.05539612425359136,0.047916765381861175]",100.0,"[0.05723066635696487,0.07927529491107992]",100.0,"[-0.16592800508850553,0.06336075059336078]",100.0,"[-0.007530590290380069,-0.1636837140613207]",4.0,"[0.02,0.02]",147.0846,0.0,0.0,0.0,35.0,1.0,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,147.086,147.5838,,,147.8343,148.1837,right,,,,,,,,0.4,,,,,,147.5841,147.8341,0.337,,148.1838,"[-0.06947039990840659,-0.1448029255003988]",4.0,"[0.058021840037547484,-0.048808874995620345]",4.0,"[-0.04076537415142818,-0.05384991055440255]",4.0,"[-0.12596689101765227,0.036336711207770406]",4.0,"[-0.15443231048534345,0.06591995387492243]",4.0,"[0.13996434197944982,0.03143234507919769]",100.0,"[0.030716078763679745,-0.13970557624146257]",4.0,"[0.021951724410819825,0.12926579544091596]",100.0,"[0.09100228532492784,-0.09902159186468701]",100.0,"[-0.043492034150846334,0.005454605257645736]",4.0,"[0.17247483655786255,-0.01726904934644876]",4.0,"[-0.15771609539308656,-0.0820195695933816]",4.0,"[0.09650006546259732,-0.03530703866760485]",100.0,"[-0.1439155223611345,0.11559834916482468]",100.0,"[0.05569218361616281,0.051820969174757876]",100.0,"[-0.06948177839062371,0.13074437743438044]",4.0,"[0.1692906407491916,-0.081742985286388]",100.0,"[-0.014536596248749725,0.06861609842846733]",100.0,"[0.008311889366200592,-0.17438874785330205]",4.0,"[0.12429599320083053,0.10480329545427082]",4.0,"[-0.08742243275089344,0.054739792447121474]",100.0,"[-0.05378258461553195,0.08559916912610355]",100.0,"[0.024480677783171107,0.013523007397400493]",4.0,"[-0.19631446586251788,0.03750424745074332]",100.0,"[0.023295393421930797,-0.09047443782011874]",4.0,"[0.13097122479892823,0.14964052100798628]",4.0,"[-0.16200150149682435,-0.014371114747923313]",4.0,"[0.06905618624607159,0.00720389606301381]",4.0,"[-0.11337793930373001,-0.012204884464617073]",4.0,"[-0.09601811543507781,-0.05291424571900516]",100.0,"[-0.03836187897489965,0.16788759516584378]",100.0,"[0.04278841119438608,-0.19508722723801866]",4.0,"[0.02,0.02]",149.2819,0.0,1.0,1.0,159.0,1.0,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,149.2833,149.7814,,,150.0215,150.4985,right,,,,,,,,0.1,,,,,,149.7815,150.0214,0.4556,,150.4989,"[0.13921763632870945,0.07404507466162019]",4.0,"[-0.001699940945293756,0.11128789296893066]",4.0,"[-0.062161795795573814,0.05382773059419945]",100.0,"[0.15182257789643447,-0.026744399476202104]",4.0,"[-0.17862069440813458,0.03768571686262312]",4.0,"[0.10696409538000204,0.16617992396363146]",4.0,"[0.08770647032281707,0.07927576839772617]",4.0,"[-0.10959207564962016,-0.06504759834024058]",4.0,"[0.05139207993724483,-0.056790715989197396]",4.0,"[-0.03599509832833279,0.18876494881880188]",100.0,"[0.058850147359931895,0.11603690873731815]",4.0,"[-0.019967627113726034,0.059749929903378185]",4.0,"[0.09195771761115268,-0.08145883731234477]",4.0,"[-0.08591718096845645,0.12869864500150832]",4.0,"[0.1600606311846692,0.1164697777821456]",4.0,"[0.014327684137193658,-0.11025088203083212]",100.0,"[-0.1175650154424879,0.05433253380515454]",4.0,"[-0.17993176914404443,-0.06194611928719445]",4.0,"[0.04825604344227459,-0.14788149409348184]",4.0,"[-0.0845480305969927,-0.13288439520583245]",4.0,"[0.08371030648076792,0.03317147921654574]",4.0,"[-0.1375796008779753,-0.14386917436775376]",4.0,"[-0.019158060642857713,-0.012461661030296181]",4.0,"[0.10646387075471979,-0.16124055122216416]",4.0,"[-0.12997927245124757,-0.017700523193743226]",4.0,"[0.08448710265069885,-0.00993757098427158]",4.0,"[-0.12764939446715237,0.15092751391064718]",4.0,"[0.14236817329159202,-0.10155980710715977]",4.0,"[-0.08579224940732316,-0.004299173817967189]",4.0,"[0.15017782599013696,0.03519069276892627]",4.0,"[0.0199020024029153,-0.19509817486529088]",4.0,"[-0.15636480842046727,-0.1046270086678797]",4.0,"[0.02,0.02]",151.5964,0.0,2.0,2.0,196.0,1.0,,,,,,,
,,,,,,,683dd5dbf93407b4f87a7cd9,68442818c56998de97088960,2025-06-07_04h53.54.695,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,151.5981,152.0961,,,152.3527,152.8049,right,,,,,,,,0.5,,,,,,152.0962,152.3527,0.436,,152.8053,"[-0.00554977682469458,0.1661560621018082]",4.0,"[-0.018687890725626526,0.02966277434501161]",100.0,"[-0.12188980646043812,0.0533058321513858]",4.0,"[0.08808376970635584,0.013901404790330285]",100.0,"[0.156925652042314,0.08198955287043794]",100.0,"[-0.14263088875558816,0.12827915593340136]",100.0,"[0.04756004828960077,0.09661993470570829]",100.0,"[-0.035841371184398826,0.13716398179138228]",4.0,"[0.028027985329380153,-0.08405850511829088]",100.0,"[0.1381207029788765,0.007799286885668696]",100.0,"[0.0008152639382680868,0.08751751754995996]",100.0,"[-0.009141563310824465,-0.19945965045270747]",100.0,"[0.1575814432927549,-0.10841903199622029]",100.0,"[0.13466151497121118,-0.14375971027618253]",100.0,"[-0.04928310037974918,0.0038523721107241054]",100.0,"[0.002848215862185613,-0.14362686002446387]",100.0,"[0.04554059675464601,-0.13575125521306525]",4.0,"[-0.11418873245780302,-0.15833584993144745]",4.0,"[-0.062441856865779924,-0.1851776176592261]",4.0,"[-0.15100152820715654,0.023688440788958293]",4.0,"[0.189651031849714,-0.012415730768031596]",4.0,"[0.08095143524584103,-0.11384099928098385]",4.0,"[-0.031333515990423125,-0.04966434024124282]",4.0,"[0.13003243873761408,0.14787240989672895]",100.0,"[-0.17174476127461552,0.08711036238445892]",4.0,"[0.05935384398384549,0.1418165773678461]",100.0,"[0.024501085588220943,0.04236049929914911]",4.0,"[-0.06503227417025205,-0.11882476873549529]",4.0,"[0.0733276389679067,-0.03940130924877997]",4.0,"[0.03604945068933299,0.17699002184252513]",4.0,"[0.17712417254515764,-0.06559494179172616]",100.0,"[-0.17417322369179708,-0.03262561992700467]",4.0,"[0.02,0.02]",153.8943,0.0,3.0,3.0,100.0,1.0,,,,,,,
