right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,31.364,space,16.3525,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,31.3643,68.0312,space,6.6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,68.0313,129.5561,space,58.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,129.5645,130.063,130.0631,130.3131,130.3132,131.8127,,131.8127,132.9097,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,132.9099,133.4096,133.4096,133.6597,133.6597,134.0762,right,134.0763,135.1731,0.0,1.0,1.0,1.0,1.0,0.8,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1734,174.6044,space,36.4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,174.6094,175.1111,,,175.3613,176.1042,right,,,,,,,,0.55,0.7389,,,,,,,175.1113,175.3613,176.1044,"[0.15821604593963912,0.08220964517737883]",100.0,"[-0.16017285856102342,0.08195059643193038]",4.0,"[-0.16736858218782402,0.018444638212852357]",100.0,"[-0.07267514629760614,-0.08268744439784771]",100.0,"[0.028673513087589374,0.12195109265103227]",4.0,"[0.13697472602093674,-0.09259722045314416]",4.0,"[-0.12052482957256933,-0.10677351707002473]",4.0,"[-0.05980256797924169,-0.12382845039810657]",4.0,"[0.012584872311259942,-0.06606812674168057]",100.0,"[-0.09465729101726494,0.055112563378636154]",100.0,"[0.11591722001103241,0.07487380730237889]",100.0,"[-0.013421386247055656,-0.15442696291101946]",4.0,"[0.05680903187062203,0.04708177218405829]",100.0,"[-0.19467844352741517,-0.02962865259180815]",4.0,"[0.17622150582005564,-0.02586585333467573]",4.0,"[-0.05602726182061249,0.004117227609384853]",4.0,"[-0.08786093002804382,0.1664505830919853]",4.0,"[0.04178273140169356,-0.14100651018100505]",100.0,"[-0.01922075520614077,-0.11336391813009249]",100.0,"[-0.038376514218665225,0.1685297724256361]",100.0,"[-0.021079186486601505,0.12468545187406725]",4.0,"[0.09234899962394819,-0.13541685334298434]",4.0,"[0.08719100871679203,0.12379994791796042]",4.0,"[-0.03990177315635773,0.07184803506709452]",100.0,"[-0.13285766239954608,-0.05307523649551422]",100.0,"[0.048889331542210264,-0.025819089821433685]",100.0,"[0.10386643094665465,0.17051343690776993]",100.0,"[-0.1165254698736354,-0.011620812631390138]",100.0,"[-0.01603657275311743,0.03017103734845456]",100.0,"[0.18610101393510498,-0.06928908636673156]",100.0,"[-0.13665135739193782,0.12740891971750637]",100.0,"[-0.02771082413477166,-0.0701940043967463]",4.0,"[0.02,0.02]",177.2011,0.0,0.0,0.0,77.0,1.0,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,177.2013,177.701,,,177.9511,178.5066,left,,,,,,,,0.55,0.5488,,,,,,,177.701,177.9511,178.5066,"[-0.1204825593139901,-0.06508764652226458]",4.0,"[-0.10619876842292722,0.08487942182118365]",100.0,"[-0.02120318518405388,-0.1691204377134295]",4.0,"[0.1313915238082526,0.07930738151804569]",4.0,"[-0.1471834883217288,-0.10411306560761512]",100.0,"[0.05522479739198333,0.17836916553538817]",100.0,"[-0.14275670224418185,0.11819409444408446]",4.0,"[0.01968318955373389,0.13527957437721355]",100.0,"[0.1003526528324624,0.12140269658815904]",4.0,"[0.12333705273853576,-0.05220270137719422]",100.0,"[-0.052775696743052006,-0.11729904516917047]",100.0,"[-0.06587606845330289,0.1022423089399935]",4.0,"[0.06900445685892215,0.07338508941534508]",100.0,"[0.06102342932439769,0.017275863914430967]",4.0,"[0.10097357441518372,0.005483935096987895]",100.0,"[-0.05383612646128266,0.1457604967255873]",100.0,"[-0.07748144553055993,0.05416596628629446]",100.0,"[-0.016183384310469836,0.0788775848381743]",100.0,"[-0.03180334145113815,-0.029151083539436587]",100.0,"[-0.12920363003168656,-0.0034065935699782463]",100.0,"[-0.09043838222413805,-0.1334243951292371]",100.0,"[0.052585526684681194,-0.0883060306898299]",100.0,"[-0.07715955663476672,0.005174925527753775]",4.0,"[0.050835559639749256,-0.18165123157931917]",4.0,"[-0.0722729275532452,-0.06009996259908726]",4.0,"[0.10653269710511344,0.047111035269088795]",4.0,"[0.1242999911527129,-0.11250179757289082]",4.0,"[0.009135878431007721,-0.05116056965146627]",4.0,"[-0.1857659781424679,0.054685691533092926]",4.0,"[0.1690038067022723,-0.10313134832020554]",100.0,"[0.015009640041546165,-0.10406731676620841]",100.0,"[-0.01672881367866375,0.19741088922636243]",100.0,"[0.02,0.02]",179.6035,0.0,1.0,1.0,64.0,1.0,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,179.6037,180.1034,,,180.3535,180.9159,right,,,,,,,,0.5,0.5552,,,,,,,180.1034,180.3535,180.9159,"[0.06038503219254806,0.10552186227791513]",100.0,"[0.14070654793407117,-0.13375491826597694]",4.0,"[0.18639333695237975,0.011766563662608568]",4.0,"[-0.12237811594658556,-0.05338525553658395]",100.0,"[-0.04903007995504591,-0.05284078274491517]",100.0,"[-0.14233659790603984,-0.12205405858157266]",100.0,"[0.027828114741432982,-0.053696204153066036]",4.0,"[0.08999426908495697,-0.06345521520444555]",100.0,"[0.008119801818887792,-0.11680079076869392]",4.0,"[-0.023242733938212717,0.12015514169477362]",100.0,"[0.12827587652137207,0.04309365938488987]",100.0,"[-0.053116099640602536,0.08721285075496459]",100.0,"[-0.01129271407034289,0.06030774676348412]",100.0,"[0.038537664970930495,-0.15501354784511587]",4.0,"[-0.1730542518553328,-0.08917302184161617]",4.0,"[-0.11072974006276977,-0.16497723203246628]",100.0,"[-0.16932040084674807,0.028040809929848334]",4.0,"[-0.028564370000592754,-0.19297724838813204]",4.0,"[0.02508785347750059,-0.00010764197776323348]",100.0,"[-0.12242305752472135,0.08293003139826277]",4.0,"[-0.06624147322211074,0.18724693760208327]",4.0,"[0.18984873515649253,0.06252735876165647]",4.0,"[0.1302045858014062,0.10279611491153923]",4.0,"[-0.07345065374220426,0.015040225753240993]",4.0,"[-0.008701894477895262,-0.02617885925894965]",100.0,"[0.07113469555328354,0.047555946817194834]",100.0,"[0.10273879649419132,0.14466842282889747]",4.0,"[0.13898408774915777,-0.048835753430547996]",100.0,"[0.0656123708496224,-0.020962850368612538]",100.0,"[-0.13423329364316586,-0.013885588227872052]",4.0,"[-0.09547422994600718,-0.10835705729724823]",100.0,"[-0.19048218569257883,-0.029486370366099558]",4.0,"[0.02,0.02]",182.0131,0.0,2.0,2.0,90.0,1.0,,,,,,,
,,,,,,,5ecfc4e722413102e68160ba,684391103ff03c54a4ebb646,2025-06-07_03h08.38.669,shape_ratio,2024.1.5,Win32,142.8571429,6842b561977af9ba9b0f87ca,,,,,,,,,,,182.0132,182.5127,,,182.7629,183.8113,right,,,,,,,,0.55,1.0415,,,,,,,182.5127,182.7628,183.8113,"[-0.11081544005691212,0.0359424915645918]",100.0,"[0.12125326966473678,-0.15040941613764494]",100.0,"[0.10893044842913495,0.15811072118186442]",4.0,"[0.05113213665962559,0.17097607894637404]",4.0,"[0.11994578932932752,0.09891998904654992]",4.0,"[-0.05602538441335545,0.16134102611055584]",100.0,"[-0.0368710637580605,-0.014938737220451215]",100.0,"[-0.14744489657256954,0.06905050470382812]",100.0,"[0.011496900124708652,-0.029135286128020656]",100.0,"[0.10957822950078125,0.014297834251886018]",4.0,"[-0.179347077956131,0.001707737034868855]",100.0,"[0.02778570663220785,0.12450251149228295]",4.0,"[-0.19320191889765054,-0.041331043048188125]",100.0,"[0.007994060305897815,0.04962554575354722]",100.0,"[-0.06574753887660388,-0.16378321775191887]",100.0,"[0.13002745101514127,-0.05037878564411465]",4.0,"[-0.006756967488743093,-0.10357205902756958]",100.0,"[0.04008369972362226,0.085900280279409]",4.0,"[0.010714699654673034,0.19337533714243105]",100.0,"[-0.12918409872032766,-0.06530016007354417]",4.0,"[0.16318627393492308,0.10485369074934482]",4.0,"[0.19544800594945128,-0.02975453229596555]",100.0,"[0.03879216226465606,0.022213869773222632]",100.0,"[-0.08451647831001746,-0.014730592949507423]",100.0,"[0.07383167093567657,-0.022432127403560556]",4.0,"[-0.04885134981311997,-0.05358887038749488]",4.0,"[-0.08461010517268444,-0.0798082864207238]",4.0,"[-0.03616330765476573,-0.1958734115427366]",100.0,"[-0.11148204150966899,-0.14969611192098836]",100.0,"[0.08856594072012416,-0.11951601491548734]",4.0,"[-0.07188469155102635,0.11820974873679833]",100.0,"[-0.018469596984569937,0.13784030300974293]",4.0,"[0.02,0.02]",184.9084,0.0,3.0,3.0,68.0,1.0,,,,,,,
