right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0007,26.1446,space,11.1045,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,26.145,56.4777,space,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,56.4781,61.1775,space,1.6591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,61.2259,61.7108,61.7117,61.9452,61.9458,63.2771,right,1.2653,,63.2776,64.3768,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,64.3784,64.8766,64.8767,65.1105,65.1106,65.7436,left,0.5939,,65.7437,66.8435,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8448,70.7774,space,0.8908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,70.8146,71.3101,,,71.5465,72.4771,left,0.8974,,,,,,,,,0.6,,,,,,71.3111,71.5464,72.4784,"[-0.03948842996691092,0.008927356192455766]",100.0,"[-0.082634541865988,-0.08483019968278334]",4.0,"[-0.1561498676367135,0.10870159019966757]",100.0,"[0.0664618843151248,0.04843589783863132]",4.0,"[-0.06627997781646555,-0.024544367772193553]",100.0,"[0.12119900277357065,0.06346633577910538]",4.0,"[-0.06534048405214558,0.15520924405149103]",100.0,"[-0.0907893564699985,0.11440154449473379]",4.0,"[-0.12360927248791914,0.05824779051517203]",100.0,"[-0.006665227638866306,0.04634339258276521]",100.0,"[-0.08624562563525028,-0.13832906371656462]",100.0,"[0.1713286028952455,0.04677029573024406]",100.0,"[-0.08011395042158843,0.014538547287183047]",100.0,"[0.08664662615117825,0.013585739907520582]",4.0,"[-0.14047760234469286,-0.10424081427932537]",4.0,"[0.10015770833369689,-0.1443548435731265]",4.0,"[0.07130046152755527,-0.08567880584200233]",100.0,"[0.16158444553732818,-0.10005085225897752]",4.0,"[-0.18169121578437097,0.05193860337522243]",100.0,"[0.17169641469484648,0.0954306430798746]",100.0,"[0.05902249848028901,0.16364900623790712]",100.0,"[0.009646690454723947,-0.12916204414517182]",4.0,"[0.03131054163586613,0.014323029438588214]",100.0,"[-0.004741705544098535,-0.06759886165349063]",100.0,"[-0.0027181983219000754,0.1644516977783659]",4.0,"[0.043988189634397025,-0.045274178596496434]",4.0,"[-0.11240052930721635,-0.013158083478412193]",4.0,"[0.12795668581045483,-0.048764455462387106]",100.0,"[-0.17956519996183162,-0.006622093374903432]",4.0,"[0.08373889255523291,0.08661514533807164]",100.0,"[0.19721035037339302,0.006061904836381237]",100.0,"[0.051947493660895516,-0.1367153693733843]",100.0,"[0.02,0.02]",73.5774,0.0,0.0,0.0,31.0,1.0,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,73.5785,74.0765,,,74.3109,75.5433,right,1.1952,,,,,,,,,0.55,,,,,,74.0767,74.3108,75.5435,"[-0.1573776907355595,0.09144973123882097]",100.0,"[-0.14861404616810953,0.039454031675703494]",4.0,"[0.09289190386303964,0.15996607235093036]",100.0,"[0.05259399114618743,0.03032858191034131]",4.0,"[0.04681970369677851,0.16353885844430627]",100.0,"[0.16642869004894295,-0.06629924189715565]",4.0,"[0.006799075617916513,0.12577594433846345]",4.0,"[-0.1154182561142267,-0.09018395370734208]",100.0,"[0.1003370799557382,0.06144484787610272]",100.0,"[-0.09062553480689572,-0.04087919818529134]",100.0,"[0.0025238853977219895,-0.1716358604743107]",100.0,"[0.11204596721082682,-0.07972014720067047]",4.0,"[-0.023561356211368543,0.18573742175890062]",100.0,"[0.12390223722497534,-0.024439060781289112]",100.0,"[-0.1630001475218946,-0.09997893122948388]",100.0,"[0.042959217578209835,-0.02314208088639647]",100.0,"[-0.07930847353728282,-0.14550396811416266]",4.0,"[0.05772061815860772,0.11413027420504851]",100.0,"[0.06319302154740701,-0.09237298376783006]",4.0,"[0.15914819989242168,0.11065551003837804]",100.0,"[-0.1273237070527158,-0.1361849697973456]",4.0,"[-0.016608828536109385,0.06721278845637944]",4.0,"[-0.1532184042123746,-0.020307577798513766]",4.0,"[-0.07636250149847493,-0.10491535275480683]",100.0,"[0.11251150959413435,-0.15989464037450415]",4.0,"[-0.08508381905635144,0.1334962776662303]",4.0,"[-0.07185692968691251,0.01610626131590823]",100.0,"[-0.01979420589634184,-0.0998428894179138]",4.0,"[0.1305216826091792,0.14215403437797983]",100.0,"[-0.10779822750394522,0.05408123667922958]",100.0,"[0.1385441479716476,0.014152241626415735]",100.0,"[-0.0010324854682842296,-0.06139639710130889]",4.0,"[0.02,0.02]",76.6434,0.0,1.0,1.0,68.0,1.0,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,76.6443,77.1431,,,77.3778,77.9435,left,0.5486,,,,,,,,,0.5,,,,,,77.1432,77.3778,77.9438,"[0.020547497794695887,-0.1271945108446554]",4.0,"[0.019586713272872664,0.0974088804551034]",100.0,"[-0.05575132118229139,-0.1782801303847989]",4.0,"[0.11341180736149965,-0.09511598567147118]",4.0,"[0.031071353950729245,-0.021004637792520403]",100.0,"[-0.09535972319314816,0.03765686100377655]",100.0,"[-0.1090826380119589,0.16665263411033118]",100.0,"[0.0839231971845204,0.056080420970727525]",100.0,"[-0.11420104288263548,0.11405984335387559]",100.0,"[0.05096738385853595,-0.08445798408679916]",100.0,"[-0.03851788887599074,0.06407558036735692]",100.0,"[0.04707649429483936,0.19223924817922877]",4.0,"[-0.0893895594035029,-0.1126766170084754]",4.0,"[-0.04974710672968789,0.12454305042733996]",4.0,"[0.1343101521191885,-0.038254725370993885]",4.0,"[0.08986041685036586,-0.018219189073136532]",100.0,"[0.15947236762755274,0.012383429916282005]",4.0,"[-0.002943404376905961,0.1780544421298119]",4.0,"[0.07457141554140617,0.16198423354971628]",4.0,"[0.007791689378762408,-0.06265519090462673]",4.0,"[0.005624600095436719,-0.18117158404395908]",100.0,"[-0.12437719870693002,-0.06681820905216475]",4.0,"[0.05551582197169149,0.12035612641562261]",100.0,"[-0.06636114995038259,0.18463671475881743]",100.0,"[-0.19469467627860915,0.02308959886498829]",4.0,"[0.17870892660603488,-0.034666667389963796]",100.0,"[0.16774801364227837,-0.09923007238620153]",100.0,"[0.10595888949357354,0.09315625197213312]",4.0,"[-0.16511706404394424,-0.10566202865738128]",100.0,"[-0.11738842939892295,-0.009319678307437537]",4.0,"[-0.0828960520559072,-0.0429786589739153]",100.0,"[0.07945112399398396,-0.1528277234206102]",4.0,"[0.02,0.02]",79.0431,0.0,2.0,2.0,95.0,1.0,,,,,,,
,,,,,,,5f8739ae0483431242e11d41,683c3946c3a07ca8d797577f,2025-06-01_13h46.23.818,shape_ratio,2024.1.5,Linux x86_64,30.03003003,683ae9196541af24d3a69e58,,,,,,,,,,,79.0441,79.5425,,,79.7778,80.382,left,0.5629,,,,,,,,,0.5,,,,,,79.5426,79.7777,80.3821,"[-0.17139204678223655,0.0963620969429176]",100.0,"[-0.15563243123191642,-0.049155795815539666]",100.0,"[-0.0574067933306835,-0.12202693581637002]",4.0,"[0.08799584996433095,-0.17359102099705864]",100.0,"[-0.12237790707918175,0.03528990648519296]",100.0,"[-0.11794256155762675,-0.009392517014572463]",4.0,"[0.02256052572579345,0.16779333210981137]",100.0,"[0.05770464626343748,-0.00415540362471427]",4.0,"[0.06688552183023919,0.0644369815078712]",4.0,"[0.060836930913185906,-0.1010455020736289]",4.0,"[0.1469070850175627,0.05022210891525446]",100.0,"[0.10568666526220781,-0.11737810428161939]",100.0,"[-0.19197729795796853,0.03580581297872315]",4.0,"[-0.08730494002046611,0.12289191803510861]",100.0,"[0.08632817237615124,0.0252959926635444]",4.0,"[0.009646378972212835,-0.17527356481340553]",4.0,"[-0.040104701865588954,-0.18600002008684866]",4.0,"[-0.08188744651021995,-0.172850957709822]",4.0,"[-0.07476943400809673,0.080880715436226]",4.0,"[-0.08859260431600713,-0.04639454186077451]",100.0,"[-0.03550673044002498,0.015188702799324124]",100.0,"[0.11701250198892564,0.1401117028155641]",4.0,"[-0.07239797651353132,0.17501228815410638]",100.0,"[-0.05209286162062318,-0.07319811550756815]",4.0,"[-0.006951374309313667,-0.08096559991722763]",100.0,"[0.13835840639270391,-0.08770623544899674]",4.0,"[0.025055692712633137,-0.12726257225050772]",100.0,"[-0.15790471033049422,0.0009470960148933865]",100.0,"[-0.12404090041617423,-0.11550864145401085]",4.0,"[-0.016906838936525066,0.09643945602758844]",100.0,"[0.1892181961260409,0.0012278486535577035]",4.0,"[0.16718886070579694,-0.056918432431112886]",100.0,"[0.02,0.02]",81.4763,0.0,3.0,3.0,93.0,1.0,,,,,,,
