right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0007,98.1368,space,83.1019,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,98.1371,140.2462,space,12.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,140.2465,144.8306,space,1.5578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,144.8662,145.3357,145.3362,145.5813,145.5816,146.5487,left,0.9403,,146.549,147.6479,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,147.6488,148.148,148.1481,148.3986,148.3987,149.6155,left,1.1965,0.0003,149.6155,150.7155,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.716,158.6687,space,4.9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,158.7099,159.1853,,,159.4359,160.1858,left,0.733,,,,,,,,,0.6,,,,,,159.1857,159.4358,160.1861,"[-0.015158158273940407,0.16721458136868234]",4.0,"[-0.04757136244481419,-0.08952306082190621]",4.0,"[0.1572216283570564,0.04341782266269113]",100.0,"[-0.12909153156568792,0.08840899058108304]",100.0,"[0.10222540529025564,-0.01959521766957116]",100.0,"[0.08415896435715382,-0.08208111582304091]",4.0,"[0.12950655118242743,-0.13630093064150925]",4.0,"[-0.14534783526806544,-0.04750021543431626]",4.0,"[-0.0962000849701379,0.15820801230699003]",100.0,"[0.041369106320185,0.187279752579957]",100.0,"[0.016084536001578532,-0.09683741131854871]",100.0,"[0.05270127604934953,0.029922661464130713]",4.0,"[-0.0769634767778138,-0.058220977252537]",100.0,"[0.1742636486436912,-0.08705171572717141]",100.0,"[0.11289966838889065,0.0796532405038954]",100.0,"[0.03111170725963532,0.09364576382954079]",100.0,"[-0.09164835097041503,-0.17132258880559456]",100.0,"[-0.09037162643364846,0.013298233417686238]",100.0,"[-0.0025656050011487195,-0.189972983354792]",4.0,"[0.1859389522714256,-0.012361585133224634]",100.0,"[-0.021544263849876975,0.03505456350036081]",100.0,"[-0.1305125440184596,-0.10406653892792231]",4.0,"[-0.0417131897614908,0.12273015728949734]",4.0,"[0.028275779606322132,-0.01819861804334047]",100.0,"[-0.02831716819161184,-0.13615810498209702]",100.0,"[0.10650321511480514,0.13391166381029115]",4.0,"[-0.06813059002295019,0.06941177395523104]",4.0,"[0.06103641905105927,0.12623543055677047]",100.0,"[-0.1835307410786783,0.056854848620854305]",4.0,"[-0.04071938175467801,-0.029953908173459137]",100.0,"[-0.18779511623899803,-0.06848852135423628]",100.0,"[-0.12753526409282498,-0.1454612657630732]",4.0,"[0.02,0.02]",161.2863,0.0,0.0,0.0,30.0,1.0,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,161.2867,161.7866,,,162.037,162.9035,left,0.8459,,,,,,,,,0.9,,,,,,161.7866,162.0369,162.9035,"[-0.1568513866142508,0.06118391153544064]",4.0,"[0.040170138069877244,0.13634406378768332]",100.0,"[0.12236604505993989,0.14403782879656193]",100.0,"[-0.1422638187351599,-0.10468787126487615]",4.0,"[-0.013642161323347092,0.190143664397588]",100.0,"[-0.17935671489560084,-0.0789866880688246]",100.0,"[0.07900201129075231,-0.0849504694291196]",100.0,"[0.07546818628097467,0.019644226925017286]",100.0,"[-0.0417842562708839,0.14195654943905336]",100.0,"[0.009600856721913532,0.05743441360161706]",100.0,"[-0.045191111512643094,-0.06674745652439833]",100.0,"[0.08222084111668139,-0.031150588092968286]",100.0,"[-0.08989449189352283,0.023248748961111662]",100.0,"[0.0719305517772247,0.0872862721403457]",100.0,"[-0.02256118698513473,-0.10883244034102897]",100.0,"[0.13583208379859465,-0.05473712499770316]",100.0,"[-0.15350631289916938,-0.027106907550361662]",100.0,"[0.054606507123548594,-0.11948945266653926]",100.0,"[-0.0407796759827354,-0.1563466752241514]",100.0,"[-0.03934862049354376,0.055818517439962176]",100.0,"[-0.10082298784148762,0.1090138030341902]",100.0,"[-0.02467253338374397,-0.01961919657608796]",100.0,"[0.11692959009574408,0.09860328490897247]",100.0,"[-0.10975931756304007,-0.07640440399384385]",100.0,"[0.08013055039784496,-0.17856396210206457]",100.0,"[-0.09540661230452374,-0.1735237070861075]",100.0,"[0.05998212769947718,0.18929622087055287]",4.0,"[0.18119309076426837,0.04289998764917272]",100.0,"[0.17357415969243334,0.09384394751467126]",100.0,"[-0.0008939621570862324,0.13349371631053591]",100.0,"[0.09789961052159799,0.05453840090680432]",100.0,"[0.1882387103829756,-0.00039982837791171014]",100.0,"[0.02,0.02]",164.0034,0.0,1.0,1.0,28.0,1.0,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,164.0039,164.5037,,,164.7545,165.4539,right,0.682,,,,,,,,,0.1,,,,,,164.5037,164.7544,165.4539,"[0.1620294146268242,0.08309918101708984]",4.0,"[-0.1458280228064053,0.0694321623674914]",100.0,"[0.0164846957365876,0.05572774984142123]",4.0,"[-0.1738899170334682,-0.07908627356472751]",4.0,"[-0.07942356139604341,0.04312833275673334]",4.0,"[0.10361068067920073,0.11726533016279089]",4.0,"[-0.07229853412008401,0.15415462555293558]",4.0,"[0.14166164428238548,0.015439770979893058]",4.0,"[-0.0057970658351798625,-0.10934669274915429]",4.0,"[-0.00908293298287413,-0.03652449584044553]",4.0,"[-0.1303406441656514,0.13130107482477724]",4.0,"[-0.061639560544913825,0.08541763939191294]",4.0,"[-0.10415887331922635,-0.09323638901860878]",4.0,"[0.06822093943249583,-0.06549116800577982]",4.0,"[0.12622556220861314,-0.10845775536227646]",4.0,"[-0.13367866121287936,-0.039579694693556794]",100.0,"[0.0445720175339614,0.12056833415470722]",4.0,"[0.0058511209736717106,0.16687333884404681]",100.0,"[0.1650166538139952,-0.039541934351680706]",4.0,"[-0.0991233229160893,-0.16808483371741698]",4.0,"[-0.13289731305881647,0.00333827921127456]",4.0,"[0.029472314961526584,-0.16689643432861123]",4.0,"[-0.17134746142616444,-0.023926076271721265]",4.0,"[-0.006911380285907827,0.11613303443453188]",4.0,"[-0.08011369586079967,-0.0030220235155312587]",4.0,"[0.16711739922675156,-0.09171254493561834]",4.0,"[0.1944678274336622,0.04378669423189702]",4.0,"[-0.05000076251428656,-0.187846718708074]",4.0,"[-0.14240881791570315,-0.1337659057449484]",4.0,"[0.07264700755447277,-0.11564172009731247]",4.0,"[0.10148261450970845,-0.14552565787832883]",4.0,"[-0.05465681614946744,-0.04749643035001744]",4.0,"[0.02,0.02]",166.5542,0.0,2.0,2.0,201.0,1.0,,,,,,,
,,,,,,,611ce3570a53282a7597ee62,6846a881d0cc0a480e53af7c,2025-06-09_11h27.52.327,shape_ratio,2024.1.5,Linux x86_64,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,166.5547,167.0541,,,167.3056,168.1215,left,0.7969,,,,,,,,,0.9,,,,,,167.0542,167.3055,168.1215,"[-0.01920902932347651,0.14016225539446442]",100.0,"[0.0789716045043567,-0.03236800684187647]",4.0,"[0.033955564459011614,0.16880062729111792]",100.0,"[-0.06754342715814786,0.17250013905492703]",100.0,"[-0.0008585799327559757,0.09756817474953432]",100.0,"[-0.14487802103023595,0.12809913767331768]",100.0,"[0.04051508029893442,0.009597417054175697]",100.0,"[0.16643746081288643,0.04071727751087583]",100.0,"[-0.15021896175999308,-0.05640912531528267]",100.0,"[0.10295144124275413,0.09462245841548048]",100.0,"[-0.1773226017575249,0.05284600562201948]",100.0,"[0.09545231426917157,0.033275295146919126]",100.0,"[0.006993119245852762,-0.03889762675744942]",100.0,"[0.17761352858734475,0.0876990896420606]",4.0,"[-0.035524530206011776,-0.023375357782415333]",100.0,"[-0.07573595204969984,-0.060211303915765076]",100.0,"[-0.10424192756922696,-0.14754966637374187]",100.0,"[0.015438500518828497,-0.14856165334822216]",4.0,"[0.08923309887139952,-0.13970674560386248]",100.0,"[-0.10398203416829609,0.07499130907197617]",100.0,"[-0.0022038218836491616,0.1878442069138752]",100.0,"[-0.022063307567592914,0.03401274118582297]",100.0,"[0.15793838973052354,-0.09202044271140074]",100.0,"[-0.07643044040881873,-0.013928399276579856]",100.0,"[0.12407316881602955,-0.02816857373427105]",100.0,"[0.012625431799874475,0.056507130376308216]",100.0,"[0.0778780912875917,0.14151139433322593]",100.0,"[-0.0013165275299085648,-0.08846884897447631]",100.0,"[-0.049715892815209634,-0.12838982233905222]",100.0,"[-0.162479379493719,-0.009656727802861191]",100.0,"[-0.0884044856359731,-0.10137705876252236]",100.0,"[-0.15571059171156246,-0.10394725587742794]",100.0,"[0.02,0.02]",169.2216,0.0,3.0,3.0,10.0,1.0,,,,,,,
