right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,79.9378,space,19.6168,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,79.9378,116.8358,space,6.8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,116.8358,121.0731,space,1.2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,121.0819,121.5672,121.5674,121.8232,121.8232,123.2853,,123.2854,124.3847,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,124.3851,124.8592,124.8593,125.1033,125.1034,125.611,right,125.611,126.6903,0.0,1.0,1.0,0.0,1.0,0.2,0.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6905,133.9465,space,4.2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,133.9522,134.4387,,,134.649,135.2645,right,,,,,,,,0.55,0.5493,,,,,,,134.4391,134.6489,135.2648,"[0.18048283067763707,0.06646957878089493]",100.0,"[0.11372951854146608,-0.08200618192269722]",4.0,"[0.07176211771385846,0.10097725465426716]",4.0,"[-0.04007597243417374,-0.18156208220535688]",4.0,"[0.0650385880296185,0.02389041947281155]",4.0,"[-0.054653362519879005,-0.07655246756135924]",100.0,"[-0.024111988226256802,-0.11985387926589156]",100.0,"[0.18664008403725466,-0.04538182280975109]",100.0,"[0.018996709406138068,-0.04502654377614965]",100.0,"[-0.09903295395957669,0.015384507733106558]",4.0,"[-0.03154041314058901,0.16219739147812962]",100.0,"[-0.06403094724191839,0.08294176170678381]",4.0,"[0.12385522606962668,0.06472739704462963]",4.0,"[-0.021908551202348508,0.11184831237346235]",100.0,"[-0.03504648128973045,0.02392370585437803]",100.0,"[-0.14446475413657173,-0.09140525739859913]",100.0,"[0.015035801516615268,0.08968572119870782]",4.0,"[-0.11042467972217518,0.16454114443935441]",4.0,"[0.13862838111770556,0.1329792485107359]",100.0,"[0.13230270698574179,-0.1307079567209191]",100.0,"[0.1503315400014047,-0.011343253149835262]",4.0,"[-0.1625307463630787,0.06907571888160025]",100.0,"[0.03232577655623407,-0.17463405118847017]",100.0,"[0.08585277839850015,-0.11733512849849626]",100.0,"[-0.1083049162782803,-0.07203378324967975]",100.0,"[0.15575865624126786,0.034860241749582965]",4.0,"[0.049629712232100984,0.17915061155760517]",100.0,"[0.023433356127100232,0.1395181893919467]",100.0,"[-0.17652979210249192,-0.04241074053863673]",100.0,"[0.022159424688653374,-0.11111364136528049]",4.0,"[0.07550093593515429,-0.17490869245725893]",4.0,"[-0.0863849306241207,-0.17409743778298198]",4.0,"[0.02,0.02]",136.3595,0.0,0.0,0.0,68.0,1.0,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,136.3598,136.8098,,,137.0739,137.523,left,,,,,,,,0.9,0.3921,,,,,,,136.8099,137.0739,137.5231,"[-0.05722783980690168,-0.16272501659657154]",100.0,"[-0.07179078422486454,-0.12537423126677633]",100.0,"[-0.10068341290917918,-0.07339238940383531]",100.0,"[-0.08830257568602219,0.069131852630619]",4.0,"[-0.0024040212962169174,-0.04162896129455151]",100.0,"[0.019274159018071158,0.13371494416624638]",100.0,"[0.0651940490941231,-0.1640487165897368]",100.0,"[0.12849609683386973,0.021411224278339223]",100.0,"[0.10026401653281408,-0.012777098124587537]",100.0,"[0.10793976265088977,0.13091824378137146]",4.0,"[0.16178013043721481,-0.021009230324280308]",100.0,"[-0.03263793865236482,-0.09764787795691707]",100.0,"[0.045609292806229294,0.10127820685012089]",100.0,"[-0.15527956891366734,0.034593438280409644]",100.0,"[0.0021628605064039973,-0.13028545579535367]",100.0,"[-0.08953060153563022,0.13241770761418295]",100.0,"[-0.07022857998294692,0.019895281719261526]",100.0,"[0.18792337483096963,0.009389058721404593]",100.0,"[0.023515724039489847,0.057656555715593444]",100.0,"[-0.04772171696611048,-0.01743637480000106]",100.0,"[-0.14744281218355892,0.08645894178196445]",100.0,"[-0.051341352297539146,0.16616200958188235]",100.0,"[0.13838921115229194,0.10460525651911146]",100.0,"[0.058001664330745294,-0.07629472825193608]",100.0,"[-0.17038801232672868,-0.05379990030834021]",100.0,"[0.07125217391827184,0.18508024349915164]",100.0,"[0.042625775797430744,-0.12070165325030767]",100.0,"[-0.016148753031722758,-0.19030961136163163]",100.0,"[0.060256000048736776,0.012499501744900816]",4.0,"[0.17700323605793786,0.0819963399474425]",100.0,"[0.13488538569282926,-0.08113381790776343]",100.0,"[0.02468786639164646,0.19465834202216936]",100.0,"[0.02,0.02]",138.5799,0.0,1.0,1.0,27.0,1.0,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,138.5802,139.0748,,,139.3237,139.7158,right,,,,,,,,0.55,0.328,,,,,,,139.0748,139.3237,139.7159,"[0.14714794699780456,0.011042498308318344]",4.0,"[-0.04530337092859736,-0.023444831411051373]",100.0,"[-0.16901820787847577,-0.06971403968543853]",4.0,"[0.15765831998053742,0.06863457102795974]",4.0,"[-0.11649501460876165,0.039533325373111154]",4.0,"[-0.11155192991627139,0.11484540517921181]",4.0,"[0.06776548393851509,-0.016351075772445562]",4.0,"[0.017952704618083654,-0.10597560460622334]",100.0,"[0.05575963958154168,-0.175606093406259]",100.0,"[0.11310139466789869,-0.130895817124615]",100.0,"[-0.17280712748037508,0.06529024458348652]",4.0,"[-0.06782114099972783,0.09649616010545174]",100.0,"[-0.006963125489574717,-0.13994231636173654]",100.0,"[-0.009030937721173157,0.19235328109132754]",100.0,"[0.08294981876844619,-0.10384445825272602]",100.0,"[0.04978433410554192,-0.07609838493037603]",4.0,"[-0.007676459031382341,-0.054197803890912354]",4.0,"[0.14064134414137408,-0.05943881626596263]",100.0,"[-0.04489090526616202,0.15072737150247792]",100.0,"[-0.10733851462317995,-0.04052563382157577]",4.0,"[-0.044450228123737154,-0.16418757201655257]",4.0,"[0.16986472993622795,-0.09265703277677642]",100.0,"[-0.08880394871349824,0.1580831598447182]",100.0,"[-0.01570233070579399,0.06972938680871642]",100.0,"[0.008399997845460225,0.12508142070401587]",100.0,"[0.058289607823442814,0.06047004800990398]",4.0,"[0.1475456382777995,0.13362327893398263]",100.0,"[-0.11816552926528927,-0.11023798398771474]",4.0,"[-0.04810809982284287,-0.08181110730944187]",4.0,"[-0.1187137273230155,-0.0010731123398575594]",100.0,"[-0.04023612433912207,0.02831677954791842]",100.0,"[0.08312618709150633,0.09939456205292559]",100.0,"[0.02,0.02]",140.7839,0.0,2.0,2.0,77.0,1.0,,,,,,,
,,,,,,,659b99fcfe88c311aee00bed,6846a84de1d84b2efe80b788,2025-06-09_03h24.43.469,shape_ratio,2024.1.5,Win32,18.34862385,684250e4f00cb30b92d1fa88,,,,,,,,,,,140.7842,141.2579,,,141.5151,141.9718,right,,,,,,,,0.45,0.3919,,,,,,,141.2579,141.5151,141.9719,"[0.18239642081812626,0.013471416780857148]",4.0,"[-0.08281502887241704,0.07600315860365137]",100.0,"[0.031619411263943784,-0.13571390174524445]",4.0,"[0.028921908823767696,-0.18600937477375631]",100.0,"[-0.09451485700797338,-0.08534983553169843]",4.0,"[-0.14370562031358142,0.11560917340127176]",100.0,"[0.10443765982182368,0.043416858077654115]",4.0,"[-0.04290258950237686,-0.16391348351748491]",4.0,"[-0.1552150091441339,-0.09237975001692773]",4.0,"[0.03769253182021395,0.06952251897558608]",4.0,"[-0.04248267975858634,-0.09750857730087707]",100.0,"[-0.041179252916874735,0.11431867760086625]",100.0,"[0.13765252502404057,0.07147261006920146]",100.0,"[-0.1667264982181017,0.056172669426725164]",4.0,"[-0.0848602494027061,0.026465447839270094]",100.0,"[0.1713902138541491,0.09769621916350384]",4.0,"[-0.192824397173406,-0.05071059635750275]",4.0,"[0.004404658566325309,0.020166904883775302]",100.0,"[0.10352671521530471,-0.043933241854072394]",4.0,"[0.13800874990871195,-0.003941512129220805]",100.0,"[-0.08239982047173544,0.12021200340800123]",100.0,"[0.06683001731955499,0.013175089835104663]",4.0,"[-0.149275647672234,-0.007833180869868247]",100.0,"[-0.008270267114375073,-0.044319876079994415]",4.0,"[-0.04533508519568674,0.18186773051185667]",4.0,"[-0.06104051689824593,-0.05993321108645878]",100.0,"[0.12084496565666678,-0.11634710994541152]",4.0,"[0.16937881947072195,-0.08533499813333982]",4.0,"[0.07138249612065106,0.12488142532977811]",100.0,"[0.07379161588454168,-0.17480441321274837]",4.0,"[0.05423618876614476,-0.09136118975259573]",100.0,"[0.1202007546355318,0.128553634383191]",4.0,"[0.02,0.02]",143.042,0.0,3.0,3.0,137.0,1.0,,,,,,,
