right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,19.447,space,4.416,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,19.447,50.597,space,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,50.597,54.948,space,1.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,54.961,55.464,55.464,55.715,55.715,57.014,right,1.263,,57.014,58.114,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,58.115,58.614,58.615,58.866,58.866,59.697,right,0.825,,59.697,60.797,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.798,65.264,space,1.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.274,65.764,,,66.014,67.364,right,1.339,,,,,,,,,0.6,,,,,,65.764,66.014,67.365,"[0.03186618877923823,-0.008193814998517191]",4.0,"[0.14488351329752702,-0.10574903398378888]",100.0,"[0.13148219351480056,-0.021980514024099593]",4.0,"[-0.11038750992840489,-0.09922024127521896]",100.0,"[0.16375376422892665,0.006947730106238735]",4.0,"[0.06541620654582639,0.04456355884921238]",4.0,"[0.00899835692419822,0.044274852672754945]",100.0,"[0.1269860946726808,-0.06542760155726389]",4.0,"[0.03721188112656875,0.16686705196740603]",4.0,"[-0.03429468052246236,-0.047308195859413205]",100.0,"[0.015514132367794748,-0.12778530024015233]",100.0,"[-0.11109287881336692,0.032083682988561825]",100.0,"[-0.0569304446293482,0.05950947881192287]",100.0,"[0.057861102224768104,-0.10144850053659378]",4.0,"[0.02884552160690325,-0.1887120644745907]",100.0,"[0.06616603691373057,-0.14636823827186968]",100.0,"[-0.06585709589286079,-0.10939149778342336]",100.0,"[0.09159708721264845,0.16729147944070244]",100.0,"[0.13052960618824522,0.14354085533482366]",100.0,"[0.034514985960963744,0.0954021049159769]",4.0,"[0.07548951860375068,-0.03181979464920412]",4.0,"[0.1596289555458846,0.09055046499788416]",100.0,"[-0.01825825979019985,0.15287741965777843]",100.0,"[0.08460426902092255,0.12553017758187354]",4.0,"[0.020217348724108877,-0.04809772234420299]",100.0,"[-0.10934083190878556,0.1581830988326294]",4.0,"[-0.08135407673461427,-0.17196717065507067]",100.0,"[-0.09659031327057915,0.07692594377404334]",100.0,"[-0.1540890405970019,-0.04337970516550744]",4.0,"[0.11797072011625506,0.04154464145633617]",4.0,"[0.19366785624244404,-0.048159476728196905]",100.0,"[-0.05895284738651947,-0.002686360764187219]",100.0,"[0.02,0.02]",68.465,0.0,0.0,0.0,37.0,1.0,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,68.468,68.964,,,69.215,70.632,left,1.398,,,,,,,,,0.1,,,,,,68.965,69.215,70.632,"[-0.1182193208420061,-0.016466965646363647]",4.0,"[-0.09919254940586862,0.022403979177614417]",4.0,"[-0.0981793954526285,0.07596487601103918]",4.0,"[-0.11939050487153634,0.1427264596802302]",4.0,"[0.054182216033399726,-0.015119272784791696]",100.0,"[0.179224514147403,0.08000374454516933]",4.0,"[0.11241000487614078,-0.12047075792863453]",4.0,"[0.012517551770677706,-0.18595353623554092]",4.0,"[-0.028297036048092878,-0.1596772885209871]",4.0,"[0.02741239723873565,0.1575203034560288]",4.0,"[0.0828006069728592,-0.16562191043001265]",4.0,"[-0.12494662308835576,-0.12167433218226129]",4.0,"[-0.04097098647701368,0.028472041239176484]",4.0,"[-0.19716954022823355,0.00978078213958852]",4.0,"[0.07765058317337425,0.10714108734398521]",4.0,"[-0.06804407993832011,-0.13123950911488524]",4.0,"[0.13925648561351445,-0.012930959914551027]",4.0,"[0.16245287176547404,-0.11278974396283818]",4.0,"[0.01799704338471147,-0.0729091403304039]",4.0,"[0.05907119830827499,-0.11458372676947237]",4.0,"[-0.15503039264504867,0.09686061864992634]",4.0,"[0.0915860511188913,-0.056393291263176624]",4.0,"[-0.0974514698710537,-0.07125467041000175]",4.0,"[-0.04290939887224806,-0.031878838991598504]",4.0,"[-0.15810651796949568,-0.04304771860022454]",4.0,"[0.06730128039607997,0.055474232029763794]",4.0,"[-0.0018251331038105364,-0.0015036580523024076]",100.0,"[-0.027872175528249648,-0.0915109014592738]",4.0,"[0.15301929241642967,0.025506516362302483]",4.0,"[0.13102428325856233,0.116645857661781]",4.0,"[0.03542600966390555,-0.15303700413428437]",100.0,"[0.031191062115509656,0.025187591506626424]",4.0,"[0.02,0.02]",71.73,0.0,1.0,1.0,180.0,1.0,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,71.731,72.23,,,72.482,72.98,right,0.486,,,,,,,,,0.9,,,,,,72.23,72.482,72.98,"[0.033261727751717034,-0.051356159795472825]",100.0,"[0.12939399521568756,0.06656525732862653]",100.0,"[0.12901692171699441,-0.07065199545025103]",100.0,"[0.07264502229612035,-0.18119651467346773]",100.0,"[-0.14724201013259386,0.026774518763930583]",100.0,"[-0.05374214605774479,-0.18781041212001698]",100.0,"[-0.1249075011791775,-0.0756645206598968]",100.0,"[0.18506573161566284,-0.002686599877670331]",100.0,"[-0.02758248717032269,0.12525868528759243]",100.0,"[-0.0992970999455054,0.06760416234342852]",100.0,"[0.017504861081721567,0.03784690094598377]",100.0,"[-0.16208314449230463,0.10900744260553748]",100.0,"[0.03179967466612099,-0.13802442758038347]",100.0,"[0.08220056899911439,0.0005540554027464729]",100.0,"[-0.16850206562417042,-0.05195747160827405]",100.0,"[-0.11898215832629352,-0.12513915637642326]",4.0,"[-0.025457704087469613,0.18784216806280576]",100.0,"[-0.09137348546732249,0.018988295771651557]",100.0,"[-0.015661126970704146,-0.09694089641392664]",100.0,"[0.029564690923941504,0.17823405494041467]",100.0,"[0.1420426734745467,0.002384576152089578]",100.0,"[0.07450532412630362,0.14559031219590834]",100.0,"[-0.04978151889523681,-0.13934110285863527]",100.0,"[0.15218307810302825,0.10375870466002664]",100.0,"[-0.11383988015352146,0.13829707233510177]",100.0,"[0.021816901388666293,-0.1835173144445826]",100.0,"[-0.030760913542550224,0.0722311769019405]",100.0,"[-0.19950970910047802,-0.013205685477391085]",100.0,"[0.07518934375870567,-0.1356862755991598]",4.0,"[-0.056451248637168994,0.15832726043670603]",100.0,"[0.181813404308319,-0.06797475608091205]",4.0,"[-0.05619537720523207,-0.034505846313099574]",100.0,"[0.02,0.02]",74.08,0.0,2.0,2.0,10.0,1.0,,,,,,,
,,,,,,,672adb2909ca72744f212a7d,684395e6ae8bb79da192d28c,2025-06-06_18h29.32.372,shape_ratio,2024.1.5,MacIntel,59.95203837,6842b561977af9ba9b0f87ca,,,,,,,,,,,74.08,74.581,,,74.831,75.847,right,1.0,,,,,,,,,0.5,,,,,,74.581,74.831,75.847,"[-0.03211893527373887,-0.14392563413914036]",4.0,"[-0.17765855282205778,-0.034836150944895505]",4.0,"[0.004772872743450181,0.02584538815852586]",4.0,"[0.09389367903223475,0.15802273327944374]",100.0,"[-0.07012169451431166,0.11101010991079328]",100.0,"[-0.04733220894232698,0.19321603748770816]",4.0,"[-0.01998552001179721,0.05841193697370431]",100.0,"[-0.12448212151044827,0.08181212330441978]",4.0,"[0.11797830351377761,0.06658362250022488]",100.0,"[0.023762034208831946,-0.028302016191515015]",4.0,"[0.18162404859824263,0.06789633631032486]",100.0,"[0.14727306238637577,0.10617968324444994]",100.0,"[-0.09648433789490174,-0.025369413773978163]",100.0,"[0.14948481058077934,-0.010893580349885095]",4.0,"[0.09500341229464579,-0.16295257384491588]",100.0,"[-0.03607133811556255,-0.03985119390636424]",4.0,"[-0.19773997337450372,0.028231697263427412]",100.0,"[-0.07762148519891796,0.0321506280994287]",4.0,"[0.021761822641792484,-0.09017269588258231]",100.0,"[-0.15916360850905134,0.10417313547701998]",100.0,"[0.020154931136321164,0.1810939433077552]",4.0,"[0.06758708972040676,0.006242170130471994]",4.0,"[-0.03212030870758336,-0.09292933999297733]",100.0,"[0.11820372086085648,-0.055664183936784836]",100.0,"[0.034733673447467285,0.08529242740554738]",100.0,"[-0.03418122201944023,0.012308310193848211]",4.0,"[-0.12382720856574407,0.014560087150729085]",4.0,"[0.18591657349319032,0.024391294579281925]",4.0,"[-0.16072155683223893,0.050536440474493835]",4.0,"[-0.09331394427767295,-0.14190614231766663]",100.0,"[0.12397592000869509,0.02547365663578725]",4.0,"[-0.08430135878424923,0.17791452700152807]",100.0,"[0.02,0.02]",76.947,0.0,3.0,3.0,96.0,1.0,,,,,,,
