right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0008,17.0687,space,2.0292,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,17.0697,56.7554,space,9.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,56.7556,63.3219,space,3.5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,63.3602,63.8369,63.8375,64.0898,64.0901,65.59,,65.5903,66.6803,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,66.6819,67.1824,67.1824,67.4218,67.4218,67.9852,left,67.9853,69.0877,0.0,1.0,1.0,0.0,1.0,0.2,0.5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0884,76.5051,space,4.3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,76.5337,77.0177,,,77.2493,77.7593,right,,,,,,,,0.55,0.4923,,,,,,,77.0187,77.249,77.7599,"[-0.005611561934858634,-0.18675570847940468]",100.0,"[-0.17994196461740647,-0.03351566599057157]",100.0,"[-0.1137643775035676,0.03223861608966481]",100.0,"[0.15129523931404965,0.020040062218728182]",100.0,"[0.01801595751300928,0.1873634501815375]",4.0,"[0.017504594255283015,-0.011709829086593954]",4.0,"[-0.1276190121447669,-0.10553681823544891]",100.0,"[0.14146389345845428,-0.1366096930882439]",100.0,"[-0.09207987531019123,0.16019939334348016]",4.0,"[-0.050067678177204776,0.16107787817112773]",100.0,"[0.16090038784352215,-0.06480484086531253]",100.0,"[0.10448399671817042,0.009791817423559808]",4.0,"[-0.03733241118230397,-0.015685668019782252]",4.0,"[-0.02402060685651973,-0.07599345460205192]",4.0,"[-0.028467829562680545,0.062146193424154866]",100.0,"[0.054648192502157994,-0.04911655306185476]",100.0,"[-0.17996135318225676,-0.08271537430752934]",4.0,"[-0.14251356448610208,0.0780443219760407]",4.0,"[-0.02716914253902429,0.19585008248675978]",100.0,"[0.0347248766591163,0.0354366290560414]",4.0,"[0.08840010700103755,0.1187226044678314]",4.0,"[0.0760355324933683,0.0514348374660681]",100.0,"[0.02749314117067715,-0.11919859940853564]",4.0,"[0.09639692821732777,-0.1158671881144799]",100.0,"[0.08623822828308297,0.16513855466198996]",100.0,"[0.09255883687383357,-0.07547000929195832]",4.0,"[-0.07155587677975475,0.06195797495855331]",100.0,"[0.02479197356818561,0.12230306830936849]",100.0,"[-0.11517419399147373,-0.04006209465630975]",100.0,"[-0.11441183667118793,0.12283352382468239]",4.0,"[0.13150660596540995,0.11120061119391358]",100.0,"[0.025180680509038742,0.07694504823585395]",4.0,"[0.02,0.02]",78.8494,0.0,0.0,0.0,65.0,1.0,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,78.85,79.354,,,79.5801,80.0937,left,,,,,,,,0.9,0.4937,,,,,,,79.3541,79.5801,80.0938,"[-0.11961487468814187,-0.03897690226701663]",100.0,"[0.12128238202393725,-0.03154496362480891]",100.0,"[0.06126965797074125,0.07044698359604329]",100.0,"[0.020789303287934328,-0.029327801569293443]",100.0,"[0.06545158643417064,-0.16615213018653777]",100.0,"[-0.020916300842759795,0.08093180456577882]",100.0,"[-0.04421524882334166,-0.1099233668039374]",100.0,"[-0.08113742777196918,0.002606300351092078]",100.0,"[0.11032507307209495,0.08649872988546928]",100.0,"[0.014127976740782257,-0.12688720795162506]",4.0,"[-0.029500008511781,-0.01929556411340826]",100.0,"[0.12419178632109783,-0.10638192719732639]",100.0,"[-0.11897529168608498,0.01606560336629011]",100.0,"[-0.08398417221596578,-0.17756277609011092]",100.0,"[0.02096313881477836,0.1032248065185973]",100.0,"[-0.1693317643208295,0.07322898998834887]",100.0,"[-0.12520279190990727,0.14789645749611324]",100.0,"[-0.1721276226438015,0.002575434119336911]",100.0,"[0.04004429735948099,0.024095469239589756]",100.0,"[-0.1609067542874185,-0.11195531898194654]",100.0,"[0.1808003994337503,0.04693161763246032]",100.0,"[-0.07655835911674312,0.11606029714011008]",100.0,"[0.17652809670151134,-0.029754472696715457]",100.0,"[-0.055102053226965104,-0.0662697434462271]",100.0,"[0.12444531997752806,0.013293378127849278]",100.0,"[-0.11688825595804953,-0.12585352234472985]",4.0,"[0.1048783053302197,0.14487676795771887]",100.0,"[0.04437150743567021,-0.09754099129181519]",100.0,"[-0.02461784653791522,0.03198494850335387]",4.0,"[-0.07660372383196203,0.16634678125145994]",100.0,"[0.046559304459691454,0.15292061457478806]",100.0,"[-0.016605730017262867,0.1706515676520648]",100.0,"[0.02,0.02]",81.1913,0.0,1.0,1.0,12.0,1.0,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,81.1923,81.6888,,,81.9294,81.95,right,,,,,,,,0.9,0.0008,,,,,,,81.6889,81.9293,81.95,"[0.12511338406515674,-0.030103363788413353]",100.0,"[-0.008968647506228505,0.183057943063878]",100.0,"[-0.01263277417643732,-0.1415571601783412]",100.0,"[-0.0029190999901186595,0.0682907410503874]",100.0,"[-0.18926080492292532,0.04349728943945555]",100.0,"[-0.0415385505740252,-0.025068113343299413]",100.0,"[0.037805225945134115,0.19385212146186123]",100.0,"[-0.173446494418767,-0.05991681572727396]",4.0,"[0.012676043830760661,-0.029495330895428013]",100.0,"[0.046680838239125305,0.03537581007006989]",100.0,"[-0.10121729564623304,0.03359818120524858]",100.0,"[-0.057093672745175544,0.14799083463100735]",100.0,"[-0.18554028344577086,-0.006755656407757458]",100.0,"[-0.029425677107045776,-0.19216011438909142]",4.0,"[0.065782633078232,-0.10640942656674028]",100.0,"[0.10716364862886987,-0.12673306667929177]",100.0,"[-0.1270809445046197,0.06508202486568486]",100.0,"[-0.09428555320980056,-0.09965039017231592]",100.0,"[0.06512449001242063,0.08270766992345528]",100.0,"[-0.012158889531207414,-0.07573910383039625]",100.0,"[0.16429671914329397,-0.09198469879648834]",100.0,"[-0.12238324972606501,-0.05584228850269863]",100.0,"[-0.11875274318946116,0.15172927985230994]",100.0,"[0.1034566041806344,0.05854354180865577]",100.0,"[0.17365054785509978,0.04949345526736814]",100.0,"[-0.1498337416021765,-0.10468922272962626]",100.0,"[0.06344105337524245,-0.15879256229198965]",100.0,"[0.07409786713853202,0.13662126313866685]",100.0,"[-0.08207157429349453,0.08744547467651247]",100.0,"[-0.06198484462720263,0.18777533096784682]",100.0,"[-0.08748598253328449,-0.028602113705241804]",4.0,"[0.0886855705813434,0.011017888256099102]",100.0,"[0.02,0.02]",83.0452,0.0,2.0,2.0,8.0,1.0,,,,,,,
,,,,,,,6744814c173b9afac78cf039,6846a84c60a471a75d0d8e47,2025-06-09_11h28.56.973,shape_ratio,2024.1.5,Win32,57.80346821,684250e4f00cb30b92d1fa88,,,,,,,,,,,83.0466,83.5459,,,83.7874,83.8525,left,,,,,,,,0.6,0.048,,,,,,,83.546,83.7873,83.8525,"[0.10731615622639992,0.0691060650131979]",100.0,"[-0.003503434663944443,0.17349868510365463]",100.0,"[-0.07335780924626177,0.16528007485178137]",100.0,"[0.04266532652941163,-0.12224401761457498]",100.0,"[0.03403985035843142,0.055929727911900685]",100.0,"[-0.15356353185599975,-0.10280569578143055]",100.0,"[0.095152739505088,-0.08200574311219368]",4.0,"[-0.05793423683977145,0.12443454640111284]",100.0,"[-0.06539946334116933,0.0645804841582476]",100.0,"[0.13284297980501011,-0.1291125403056824]",4.0,"[0.14912340827654894,-0.02706178664952481]",100.0,"[0.16276965028896387,0.06535636254347706]",100.0,"[-0.0177060783473526,-0.06991767603102454]",4.0,"[-0.12251322378529138,-0.050974957945512565]",100.0,"[-0.11577208573350896,0.061096057509247244]",100.0,"[-0.04189825788870087,-0.17416583999077254]",100.0,"[-0.0463940649163691,0.025607661773425085]",4.0,"[-0.004701040256620176,0.07619092313753406]",4.0,"[0.04818395591084381,0.1617554752670486]",4.0,"[-0.16636436046608172,0.051774358947052505]",4.0,"[-0.09988110270555277,-0.14720573752782803]",100.0,"[0.17101725312560845,-0.07865947211576159]",100.0,"[0.04239000599433927,0.0001099773541504045]",4.0,"[0.034292536846087227,-0.16554566573481688]",4.0,"[-0.07805881396432698,-0.0027606229297640777]",4.0,"[-0.14056241971937897,-0.013266285274398753]",100.0,"[0.014525559798412972,0.11541219444146923]",100.0,"[0.14543085330668415,0.12037892954678606]",100.0,"[0.17923085282800008,0.018697422218224267]",4.0,"[0.03920369289505288,-0.06669001596935518]",4.0,"[-0.019911340015682896,-0.11179805715564468]",4.0,"[0.08783145022245165,0.13388929500178592]",100.0,"[0.02,0.02]",84.9451,0.0,3.0,3.0,59.0,1.0,,,,,,,
