right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0005,39.6155,space,24.5911,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,39.6164,85.9763,space,16.3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,85.9765,96.2102,space,7.2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,96.2485,96.724,96.7249,96.9485,96.9489,98.4404,,98.441,99.5402,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,99.5427,100.0398,100.0399,100.2916,100.2917,101.1096,right,101.1099,102.2085,0.0,1.0,1.0,0.0,1.0,0.2,0.8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2101,108.4109,space,3.1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,108.4483,108.9251,,,109.1748,109.6588,right,,,,,,,,0.1,0.4693,,,,,,,108.9264,109.1748,109.6601,"[-0.08187144147897898,-0.014484382328104296]",4.0,"[0.1068842075679045,-0.006269197300467387]",4.0,"[0.12166335162199526,-0.09394332801160239]",4.0,"[0.04507614774865754,0.160842927208576]",4.0,"[0.011406678071913687,-0.05723681249736202]",4.0,"[0.003401697163148218,0.12168910758359626]",4.0,"[-0.025646167925983412,0.1718081743830364]",100.0,"[-0.03497869863587426,0.08538111636759901]",4.0,"[0.007209746916312989,-0.128921988417257]",4.0,"[-0.10542515300897401,0.05882582870230065]",4.0,"[-0.10635472264009448,-0.0965178733047359]",4.0,"[0.17442316503273114,-0.013291288593242724]",4.0,"[-0.00689150234507353,-0.19963277242787147]",4.0,"[-0.04573217511778379,-0.13885549055169988]",100.0,"[-0.13884999457812155,0.09016281983415758]",4.0,"[-0.16938111252817278,-0.09583881433148586]",4.0,"[0.17791539892692684,0.04936356993688663]",4.0,"[-0.13774162637432544,-0.02174715387078]",4.0,"[0.09470185173595706,0.03920913107263902]",4.0,"[0.04362675195934394,0.05359261227292632]",100.0,"[-0.05157606704962106,0.015191544102772592]",4.0,"[0.14659020630064984,-0.046435992778511306]",4.0,"[-0.14228797329685977,-0.06206766808627863]",4.0,"[-0.17637571404483326,0.03900380700530387]",4.0,"[-0.17464607596811915,-0.003420151523860897]",4.0,"[0.09847083760015751,0.1384252854728712]",4.0,"[-0.14827055677714998,0.1330587167499619]",4.0,"[0.07198165417624124,0.09230196592884038]",4.0,"[-0.04876248627002452,-0.18729600296366844]",4.0,"[-0.14388051663018045,-0.13790899179325636]",4.0,"[0.13774543043101695,-0.1418512357031196]",4.0,"[0.1386505299209205,0.06255667671370453]",4.0,"[0.02,0.02]",110.7587,0.0,0.0,0.0,203.0,1.0,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,110.7596,111.2576,,,111.5098,111.8924,right,,,,,,,,0.4,0.3699,,,,,,,111.2583,111.5097,111.8924,"[0.03722584888586067,0.055261406586398484]",4.0,"[-0.06461629554063593,0.05346451898257417]",100.0,"[0.178177798063382,0.05688228788511227]",4.0,"[0.04544176580931744,-0.15358178975523862]",4.0,"[0.0532147230931899,0.016715425040388067]",4.0,"[-0.13152034909802676,0.05151533212157417]",100.0,"[-0.1693943251454482,-0.008497625355051486]",4.0,"[-0.10617235970104949,-0.06087287539784353]",100.0,"[0.06007895660731645,-0.07748452466068312]",100.0,"[0.09566849692546779,-0.1530373608640169]",4.0,"[-0.028960037053704618,-0.04080327511826646]",4.0,"[-0.1589879374105604,0.10287101613594847]",4.0,"[-0.022376145511399766,-0.0013113273558761002]",4.0,"[-0.10790141235941679,-0.1371324830026452]",4.0,"[-0.07725132084885254,0.008758063140427671]",4.0,"[-0.031171970008417215,-0.130191694381497]",100.0,"[0.08947276517162521,0.08875174032370459]",4.0,"[0.1190132215034412,0.12792462572489535]",4.0,"[0.07526090181746965,0.16359541860768034]",100.0,"[-0.17897532843322705,0.05170559368945298]",100.0,"[0.005247080398982344,0.1991593393615927]",4.0,"[0.0020388089047751958,-0.08294355460820511]",4.0,"[0.07917051145996278,-0.015393185843171285]",100.0,"[-0.010046680600335301,-0.19401165092039974]",4.0,"[-0.11407059994315556,-0.01710061079743914]",4.0,"[0.09896527580731587,-0.0953013583697714]",100.0,"[-0.06515705518328899,-0.09653341491246217]",4.0,"[0.033032701263111135,-0.10827550423931856]",100.0,"[-0.13514732775202476,-0.10228044660260614]",100.0,"[-0.045910566638712354,0.1789872736631972]",100.0,"[-0.021677023235767416,0.08455281928978502]",4.0,"[-0.09343360385380024,0.16698802942092872]",100.0,"[0.02,0.02]",112.991,0.0,1.0,1.0,173.0,1.0,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,112.9942,113.4916,,,113.7423,113.9587,left,,,,,,,,0.1,0.2044,,,,,,,113.4916,113.7422,113.9588,"[0.01895084503141912,-0.12022582301314298]",4.0,"[0.10362423231787057,0.16105904299784216]",4.0,"[-0.11169673851469178,0.081389528558274]",4.0,"[-0.08013850330119977,-0.15104206754058913]",4.0,"[-0.16652737861134795,-0.09291969474357574]",4.0,"[-0.05757210231946618,0.002205524832591593]",4.0,"[-0.0707769558280113,0.11060854903819378]",4.0,"[0.03775852303069142,-0.07709306430864647]",4.0,"[0.04139959316704911,-0.014237153447522738]",4.0,"[0.04443897563838945,0.08060424469233736]",4.0,"[0.11589881368078724,0.06766678525333518]",100.0,"[-0.1674187648244219,0.07509579690107347]",4.0,"[-0.05763122844367223,-0.039546759756100995]",4.0,"[-0.0017011345047875065,0.11432479832674236]",4.0,"[-0.13459857052713575,-0.04898694460250671]",100.0,"[-0.15842458214847682,0.012205813370626276]",4.0,"[0.04427403576622281,0.18831783352023967]",4.0,"[-0.016374622411660603,-0.012604143545320044]",4.0,"[0.1153433777298944,-0.13952919654820914]",4.0,"[-0.07472310130355736,-0.11091668698888238]",4.0,"[0.16383192283120632,0.05927080123878338]",4.0,"[0.12161541437996554,-0.09765864633513545]",4.0,"[-0.12186612179792065,-0.12629197113329574]",100.0,"[0.1774732311277463,-0.07640121625438412]",4.0,"[-0.02633932810346085,-0.10871215152050967]",4.0,"[0.1488193412236725,0.011579281136585944]",4.0,"[-0.003127474276986118,-0.15950101381646228]",4.0,"[0.07777151938724917,-0.059503200333238]",4.0,"[-0.18966890547513046,-0.05964065933051356]",4.0,"[0.0357127242299198,0.0272103530678235]",4.0,"[-0.009420962253796603,0.1546375207302896]",4.0,"[0.08678392087470563,0.12176406157546778]",4.0,"[0.02,0.02]",115.0568,0.0,2.0,2.0,183.0,1.0,,,,,,,
,,,,,,,678d265eb819fdb2c5a362f9,6846a866269b30c6d305f7c5,2025-06-09_11h25.24.536,shape_ratio,2024.1.5,Win32,60.97560976,684250e4f00cb30b92d1fa88,,,,,,,,,,,115.0584,115.5582,,,115.8078,116.1588,right,,,,,,,,0.55,0.3375,,,,,,,115.5585,115.8078,116.1589,"[0.00689581909076337,-0.030705329566377847]",100.0,"[-0.11311367624838786,-0.10984078452117178]",100.0,"[0.08228937254263546,-0.1402695401175427]",100.0,"[-0.02801005611784213,0.05446096340217608]",4.0,"[0.14809091097337382,0.11216547835186645]",4.0,"[-0.037127488075645726,0.14788434733962874]",100.0,"[-0.03913097020194,0.0058165066804982055]",100.0,"[0.16291941538474172,-0.04022735893264561]",100.0,"[0.05433537306417713,0.0804443748225448]",4.0,"[0.09570560682903054,-0.001713172348835112]",4.0,"[-0.15536073932034428,-0.11496693584053261]",4.0,"[0.18250818539262234,0.028493086162367752]",100.0,"[-0.12204832545521735,0.06015138684891007]",100.0,"[-0.12856111180642307,0.10472321270427233]",4.0,"[0.016791085865150036,-0.1648264559624049]",4.0,"[-0.17582428640740272,-0.03427423272614428]",4.0,"[-0.04922598043648569,0.10784746231346064]",4.0,"[0.11822816967374172,-0.10955759483659178]",100.0,"[-0.16403858945623173,0.0373949601026547]",100.0,"[0.03599436576447766,0.1337969157682234]",100.0,"[-0.061418199601623646,-0.11300483058563258]",4.0,"[-0.12486044280565034,-0.045756430921315566]",100.0,"[0.13173406691173853,0.02923175841165367]",100.0,"[0.0042582695548788775,0.010513701891317851]",100.0,"[0.08975273494610833,0.16283969483654545]",100.0,"[-0.022760648840856133,-0.18109022661421434]",100.0,"[-0.019001089352217827,-0.12354191932098059]",100.0,"[-0.04278129585927016,0.19264886474815351]",4.0,"[0.04255584218313975,-0.08430716631638678]",4.0,"[0.14759088481726498,0.07004791209253591]",4.0,"[-0.0040769821868706455,0.12434523915574516]",100.0,"[-0.15683531834004635,-0.07058675354180546]",4.0,"[0.02,0.02]",117.2588,0.0,3.0,3.0,76.0,1.0,,,,,,,
