right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,68.9731,space,53.9496,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,68.9739,106.7377,space,7.7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,106.7381,111.0984,space,1.3433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,111.1438,111.6147,111.6154,111.8651,111.8654,113.1485,left,1.2193,,113.149,114.2479,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,114.2491,114.7472,114.7473,115.0065,115.0066,115.8904,right,0.8665,,115.8905,116.9807,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9815,131.5651,space,11.5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,131.5936,132.0809,,,132.3315,132.6145,left,0.2516,,,,,,,,,0.1,,,,,,132.0817,132.3314,132.6154,"[-0.031317253096538655,-0.11898012454355894]",4.0,"[0.12970518518094784,-0.006947573259780481]",4.0,"[0.11714295746568762,0.045663298524813045]",4.0,"[-0.07864583372385081,0.09615373593069437]",4.0,"[-0.053232506118419246,-0.1544846513179522]",4.0,"[-0.12312991273762282,-0.14282048761636143]",100.0,"[-0.03457065136750557,0.10196077464980724]",100.0,"[-0.10044443997695905,-0.03905948242121876]",4.0,"[-0.05840453979870632,-0.061666285424550535]",4.0,"[0.03127104775695542,0.13631392589829283]",4.0,"[0.11528719981323968,-0.04932469319922967]",4.0,"[0.05659334143721547,-0.14230738943194643]",4.0,"[-0.1931236448936732,0.020489822567764188]",4.0,"[-0.14652870791376585,-0.04058938667758846]",100.0,"[-0.018631653077002805,-0.002044826554090709]",4.0,"[-0.12260033099230265,0.03993406718844821]",4.0,"[0.03911386056212222,0.08967334384972138]",4.0,"[0.017721937990293445,0.04619303080266131]",4.0,"[-0.07628106737704415,0.15654978799818398]",4.0,"[0.16961405845116015,-0.036470149578739584]",4.0,"[0.09038039528343349,0.007174613430455141]",4.0,"[-0.10780255158110025,-0.08507906157094136]",4.0,"[-0.08596008769867006,0.00301381754478967]",4.0,"[-0.015680416469613285,0.18450904396646853]",4.0,"[0.1404184843082707,0.13764474848770267]",4.0,"[0.003653083791394638,-0.19162089071324553]",4.0,"[-0.12343573392449937,0.12020122463668985]",4.0,"[-0.03829118185876903,0.04242320466642904]",4.0,"[0.029698473654038843,0.1820181106635419]",4.0,"[0.0414186325313256,-0.06333381647684314]",4.0,"[-0.0007091096208354041,-0.06654339869712857]",4.0,"[0.08105243464421677,0.15488783012031876]",4.0,"[0.02,0.02]",133.7145,0.0,0.0,0.0,199.0,1.0,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,133.7153,134.2142,,,134.4641,134.7583,right,0.2675,,,,,,,,,0.1,,,,,,134.2143,134.4641,134.7583,"[-0.15911842727593128,0.10077644030811926]",4.0,"[0.09396302723532754,-0.15675787636764338]",4.0,"[0.12338040408425228,0.009838776403358479]",4.0,"[-0.0033608010462516003,0.17496011696692987]",4.0,"[-0.0005467136333412194,0.0977212200846235]",100.0,"[0.08695112532503661,-0.11344516041987858]",4.0,"[-0.04039961921130708,-0.03404724476412103]",4.0,"[0.1702703607883045,-0.08896206169944128]",4.0,"[0.07174634647472118,0.09483237347125947]",4.0,"[-0.020705677925562528,0.0010339121309809068]",4.0,"[0.13483155070226785,0.14187625213735536]",4.0,"[-0.12946414052089444,-0.08239914739856348]",4.0,"[0.13700210053879244,0.07377521911456542]",4.0,"[0.012580410564606494,-0.16073001025728512]",4.0,"[-0.17248717047769357,-0.06672280764558018]",100.0,"[0.14429830164986127,-0.12177402428462455]",4.0,"[-0.11429931184998819,-0.12035503026522894]",100.0,"[-0.19229788406391332,0.04752722009691903]",4.0,"[-0.09268476090648356,-0.05206395794052289]",4.0,"[-0.05997877114884715,0.09924386885556889]",4.0,"[-0.12897512967679112,0.0009748257795575023]",4.0,"[0.12752749373171818,-0.062451356249859244]",4.0,"[0.04473918598150325,0.01334170508195775]",4.0,"[-0.12208607073586589,0.0765723284377149]",4.0,"[0.08866126790729399,0.17754299101918095]",4.0,"[-0.0817254532391834,0.1559974974333134]",4.0,"[-0.01368749503995809,0.040431980311055486]",4.0,"[-0.07486061697022701,-0.13850232067376128]",4.0,"[0.09676827392374632,0.042915760338698684]",4.0,"[-0.05586387001795723,-0.07143272856847684]",4.0,"[-0.10178084567643188,0.11658787961963829]",4.0,"[0.18465162582082562,0.07104142419804658]",4.0,"[0.02,0.02]",135.8476,0.0,1.0,1.0,192.0,1.0,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,135.8482,136.3476,,,136.5979,136.9811,right,0.3515,,,,,,,,,0.5,,,,,,136.3477,136.5979,136.9812,"[0.11087278882080331,0.030450615005507685]",100.0,"[-0.011470148524348302,-0.03889921297191482]",4.0,"[0.08666688828756296,0.14165184371858175]",4.0,"[0.0607422634855429,0.07072112116173601]",100.0,"[-0.11783121333900494,-0.0023290570105496244]",100.0,"[-0.15871521078799208,0.05503416542117226]",4.0,"[-0.06818957620547228,0.006075631660539306]",100.0,"[-0.01670791513759634,0.04041597446709538]",100.0,"[0.16925193345313314,0.025449043505986608]",100.0,"[0.1094980673078347,-0.032981661340013374]",4.0,"[0.028050763378366865,-0.1541643588882111]",4.0,"[0.12264760427268302,-0.10961414322018156]",4.0,"[0.11619441369696933,0.08148184235840664]",100.0,"[0.04542306707433879,0.15752054933647783]",100.0,"[-0.08379104252701135,0.09050053934699476]",4.0,"[-0.09524963175126001,-0.11772017249786901]",100.0,"[0.1461687575610666,0.11802028487803035]",100.0,"[-0.12655891655890783,-0.06204488003585209]",4.0,"[-0.19595887662897954,-0.013943125437234164]",4.0,"[0.07482157993128413,-0.0041185417260249805]",4.0,"[0.051118530358898066,0.03061652902595736]",100.0,"[-0.039823226837526954,-0.18087286674531367]",100.0,"[0.032253839518522814,-0.05485392450611379]",100.0,"[-0.022247054984653607,-0.10336406580765725]",4.0,"[0.10790504073205519,-0.15891331554420846]",4.0,"[-0.07162526716743128,0.1316508075119078]",4.0,"[-0.10501087599279628,0.04346891389135759]",4.0,"[-0.08501211820297659,-0.16061901550646684]",4.0,"[0.1809655157886815,-0.06835458202265596]",100.0,"[-0.08667181870530234,-0.057606058947536766]",100.0,"[0.0066694182256924915,0.19157761426779774]",4.0,"[-0.13146736738382545,0.14932107062679217]",100.0,"[0.02,0.02]",138.0808,0.0,2.0,2.0,105.0,1.0,,,,,,,
,,,,,,,67c1d7dfe0aaba274972150e,683aef14190727d64367fe4f,2025-05-31_07h01.55.757,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,138.0815,138.5808,,,138.8306,139.0978,left,0.2366,,,,,,,,,0.45,,,,,,138.5809,138.8305,139.0979,"[0.06210495893579264,-0.08448323138687791]",4.0,"[0.0027874279608079305,0.16740539811118835]",100.0,"[-0.023758474177546972,-0.047427754655060265]",100.0,"[-0.15445625944126834,-0.033623128684808636]",4.0,"[0.005826562450455039,-0.11944197198020753]",4.0,"[0.052418850677561156,0.13959055040946894]",4.0,"[-0.04018318706359593,-0.10817586922244025]",100.0,"[0.17897017689713127,-0.08912170677869886]",100.0,"[0.16574488993051933,0.015893399682813315]",100.0,"[0.10321215756201055,0.1705923293003416]",100.0,"[-0.11484643228106965,-0.04342868598371094]",4.0,"[0.12781071814134637,-0.07345564726760424]",4.0,"[-0.10647687951517217,0.13659036428103744]",4.0,"[0.04274237813331568,0.0595263027522301]",4.0,"[-0.12558192805252139,0.023616323857836612]",100.0,"[-0.06558733995002972,0.04169195626620004]",4.0,"[-0.01501351774536859,0.07876714850844299]",4.0,"[-0.1273749720757757,0.097913560663162]",100.0,"[0.05105005343654616,0.014958051295881283]",4.0,"[0.155277353438895,0.09806140981852858]",4.0,"[-0.06873507231388516,-0.06288672145276163]",100.0,"[0.02191602309106163,-0.16899697846900624]",4.0,"[0.13278887606257525,-0.13191001753642656]",100.0,"[-0.06258629360484483,-0.15740127649647453]",4.0,"[-0.01069556975717843,-0.19550351416452216]",100.0,"[-0.07651194064291117,0.002817246987252479]",4.0,"[-0.09744940626185988,-0.12025306706727666]",4.0,"[0.09625012971891538,-0.012666819887008457]",4.0,"[0.015160767338466736,-0.037251659961439615]",4.0,"[-0.14410461794079849,-0.11211002725900066]",100.0,"[-0.037058458474712806,0.1711912401800453]",100.0,"[-0.08727854126939139,0.1758847641286298]",100.0,"[0.02,0.02]",140.1976,0.0,3.0,3.0,146.0,1.0,,,,,,,
