right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,59.1419,space,44.1233,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,59.1428,90.4541,space,1.2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,90.4545,93.5268,space,0.0669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,93.5838,94.036,94.0371,94.287,94.2872,95.7847,,95.7849,96.8844,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,96.885,97.3842,97.3842,97.6361,97.6362,98.9522,right,98.9525,100.0515,0.0,1.0,1.0,1.0,1.0,0.8,1.3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0525,113.2674,space,10.1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,113.3004,113.7832,,,114.0348,115.1336,left,,,,,,,,0.45,1.084,,,,,,,113.7843,114.0346,115.1347,"[0.10296492787896837,0.022917853973071608]",4.0,"[-0.03195209690245409,0.16199133532817897]",100.0,"[0.06462097978892199,0.17021953058545902]",100.0,"[-0.047186646353295385,0.0201494421510312]",4.0,"[0.055130237286014495,-0.002245015220015833]",4.0,"[-0.11447692372057573,0.09064998457773325]",100.0,"[-0.12193327217818417,-0.06302282074330882]",100.0,"[0.08795122140005215,-0.08251794558435978]",4.0,"[0.10453102713094373,0.15717265726569649]",4.0,"[0.006643878203326778,0.14230598696405308]",4.0,"[0.16592323791593272,-0.07219887578297327]",4.0,"[-0.17433032853726388,-0.052139749087621944]",4.0,"[-0.14935426481350209,0.13077751987425532]",100.0,"[-0.09316396920270212,-0.10454501737639085]",4.0,"[-0.13968622388323668,0.0025856656903249634]",100.0,"[0.11720057301709874,0.08636823074845214]",4.0,"[-0.07459810989590444,-0.1601999935389874]",100.0,"[0.016839064974516718,-0.19244139635686747]",100.0,"[0.1619579561626369,0.06347993250505277]",100.0,"[-0.04927063885058763,-0.05543384489807425]",4.0,"[0.005600506723862118,0.03516716387269152]",4.0,"[0.12255571350037614,-0.15387386745693807]",100.0,"[0.021566517535479824,-0.07675258362874725]",4.0,"[-0.09408829371923079,0.021941122547929185]",4.0,"[0.038897024461243296,-0.11943249156113349]",100.0,"[-0.038311917762965,0.07741043876636655]",4.0,"[0.051924490122849866,0.05212598742840151]",100.0,"[-0.19099972681332295,0.0007203605600378623]",100.0,"[-0.03823668763105939,-0.14293721237410018]",4.0,"[-0.13490305962863416,-0.11678994228787268]",4.0,"[0.010969207972740386,-0.023044545968247128]",4.0,"[0.11767358492647818,-0.02652099003469989]",100.0,"[0.02,0.02]",116.233,0.0,0.0,0.0,126.0,1.0,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,116.2339,116.7327,,,116.9837,117.2164,left,,,,,,,,0.4,0.2166,,,,,,,116.7328,116.9836,117.2165,"[-0.051947691180859804,-0.039269479028926337]",4.0,"[-0.06866793449579445,0.16903801461573856]",4.0,"[0.05779060697969188,0.15355648024374755]",4.0,"[0.0756212557179494,0.07998663487648036]",4.0,"[0.188580715025483,-0.045921899774461]",100.0,"[0.03141864907677911,0.18419994982965662]",100.0,"[-0.030665950843750667,0.07332861167965161]",100.0,"[-0.14999643027572104,-0.10252525607106819]",100.0,"[-0.1655612288769354,0.09538575233038375]",4.0,"[0.030581637356880204,-0.19647307981949386]",4.0,"[-0.028138141485745744,0.1521152535558011]",100.0,"[-0.18392024727831283,0.04052651984149295]",4.0,"[-0.028273887726663897,0.19403046499826684]",100.0,"[0.07107897331880633,0.007458128127586006]",4.0,"[0.03147585835425434,-0.03887099898476647]",4.0,"[-0.022194060405746185,-0.11900654931054871]",100.0,"[-0.06217216182187576,-0.16278392778544115]",4.0,"[-0.10044415777419811,-0.08002278365197368]",100.0,"[-0.10396599607177712,-0.13655835558315513]",4.0,"[-0.0820174459468726,0.07356706065067507]",4.0,"[-0.11534858485903868,0.10938715852534306]",4.0,"[0.05657419584305034,-0.1156400971220843]",100.0,"[0.0021341854022696406,0.006689273321253434]",4.0,"[0.18552312226855647,0.03366555387521055]",100.0,"[0.1233102241122895,0.1482210841515119]",4.0,"[-0.15590273956311743,-0.045250225784851154]",100.0,"[0.09642325829306797,-0.08339684998587554]",100.0,"[0.02480784317677305,0.10858230654304821]",4.0,"[0.10943730904713754,0.044093984361849886]",4.0,"[-0.10466251211477601,-0.017254048774219707]",100.0,"[-0.13963212445318154,0.03667065772375608]",4.0,"[0.07718516304354375,-0.15814975999375766]",4.0,"[0.02,0.02]",118.3156,0.0,1.0,1.0,178.0,1.0,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,118.3165,118.8153,,,119.0553,119.3372,right,,,,,,,,0.55,0.2661,,,,,,,118.8155,119.0551,119.3373,"[0.09365779333112025,-0.04251065210439636]",100.0,"[-0.11237308555553904,0.09547988317913166]",4.0,"[-0.114771967669234,0.1568493679700726]",4.0,"[0.1744690071952536,-0.07026936208268146]",100.0,"[-0.0554285058085199,0.018422118854046578]",4.0,"[-0.1662530134525167,0.07114061631383202]",100.0,"[-0.030168873916874124,0.1218292004987777]",100.0,"[0.0223031446008128,-0.12775838717383792]",100.0,"[-0.08732816212391906,-0.17964019966250194]",4.0,"[-0.15674053358290027,0.029168408761827396]",4.0,"[0.07255796797520807,-0.14180372681683504]",100.0,"[0.04003897306170769,0.09174589502123356]",100.0,"[-0.04604072300189793,-0.03528115469187073]",4.0,"[-0.07283882995557256,0.14703227874478797]",4.0,"[-0.12080915907976882,-0.10800598760596158]",100.0,"[0.10599825675101393,0.00968930047743119]",4.0,"[0.09431283249922749,0.11647230973755011]",4.0,"[0.11497656451061017,-0.11887964466255609]",4.0,"[0.17187124021443562,0.021576509792708354]",100.0,"[-0.04240433764037458,-0.11827741641442113]",4.0,"[-0.14560616644909274,-0.06295219559295341]",100.0,"[0.007604835655999137,-0.18911297699746946]",100.0,"[-0.0347566339679518,-0.18876169910254398]",4.0,"[0.14191981987686456,0.07633398301552721]",100.0,"[-0.13192169397900153,-0.00999961604765935]",4.0,"[0.04207065619306203,0.1426545859837188]",100.0,"[-0.08242079970245991,-0.06928158137112392]",100.0,"[-0.07960739418247395,0.06831266856853936]",100.0,"[0.027331732765030026,-0.06919026408979542]",100.0,"[0.024838923437169272,-0.016292059433577984]",100.0,"[0.022964838082557514,0.18285925000594766]",4.0,"[0.14290454669409985,-0.04139074789442412]",100.0,"[0.02,0.02]",120.4368,0.0,2.0,2.0,68.0,1.0,,,,,,,
,,,,,,,67e18d3d9ae271b1719712c3,6846a85375e39dc6af24ce41,2025-06-09_05h29.30.748,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,120.4371,120.938,,,121.183,121.8162,left,,,,,,,,0.6,0.6189,,,,,,,120.9381,121.1829,121.8162,"[-0.02328801314372752,-0.18602481337430748]",4.0,"[0.0799077596246865,-0.156821975864058]",100.0,"[-0.06283919272925542,-0.13429164942674743]",100.0,"[-0.04557736793119236,-0.08161762230224323]",100.0,"[0.1378733456246235,-0.08783547307212877]",100.0,"[-0.1099906727240645,-0.1599714464726259]",100.0,"[-0.0011135524312657593,0.1622944477956426]",100.0,"[-0.07926408071750678,0.12912170851334107]",4.0,"[0.10768182612747638,0.11586052621541307]",100.0,"[-0.019168386088414414,0.0012608471172774439]",4.0,"[-0.1063071231787971,0.007436915599057343]",100.0,"[0.14386293498186506,-0.04621926901699616]",4.0,"[-0.031011333039154734,0.07471289018277559]",100.0,"[0.045061492067238265,-0.11483773406092726]",4.0,"[-0.11573986168942427,-0.03565655421611043]",100.0,"[-0.14178143400721252,0.1293982664445768]",4.0,"[0.08838120742929813,0.01358559564174834]",4.0,"[-0.02680428214514636,0.19805495461821582]",100.0,"[-0.15609137471456772,-0.04771804609474654]",100.0,"[0.05038351227895158,-0.05509226911607209]",4.0,"[-0.09046538380953502,0.17348311491882432]",4.0,"[-0.1619466401542637,0.07498961175603572]",100.0,"[-0.15317744424496643,-0.12346911204874651]",100.0,"[0.03407907183970905,0.027838590937364748]",100.0,"[0.12269568146219453,0.07373941484866282]",100.0,"[0.013476129244692483,-0.0754284662045049]",4.0,"[-0.11152608946449477,-0.09989142193775208]",100.0,"[0.1877387749523685,-0.013312725078134063]",100.0,"[-0.0734883708449259,0.05869925092004847]",100.0,"[0.059473954448283003,0.14366044137045353]",4.0,"[0.1838517877952018,0.07608368188382562]",4.0,"[-0.004807694421138738,-0.13350794808201202]",4.0,"[0.02,0.02]",122.9152,0.0,3.0,3.0,55.0,1.0,,,,,,,
