right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,48.7643,space,33.7325,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,48.7653,87.7619,space,8.9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,87.7625,91.773,space,0.9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,91.8018,92.274,92.275,92.5257,92.5265,94.0233,,94.0239,95.1229,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,95.125,95.6205,95.6208,95.8762,95.8763,96.6216,right,96.6226,97.7209,0.0,1.0,1.0,1.0,1.0,0.8,0.7272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7227,102.7022,space,1.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,102.7325,103.2166,,,103.4678,103.7507,right,,,,,,,,0.6,0.2714,,,,,,,103.2172,103.4678,103.7515,"[0.12485573342724579,0.055674029567008884]",100.0,"[0.0848045310768004,0.04335463518468545]",100.0,"[-0.13854507762862311,-0.08921495972289559]",4.0,"[0.04609347505127425,-0.014366889948043145]",4.0,"[0.03639845111136878,0.1256921705182115]",4.0,"[0.09378548433170736,0.16190017855333275]",100.0,"[-0.139268950952208,0.08126105641639456]",4.0,"[-0.1091754619469689,0.12492860630875936]",4.0,"[-0.0584052421093326,-0.02048746472634775]",4.0,"[-0.0005976013825953157,-0.1964063909947482]",100.0,"[0.016987673818855586,-0.06810529246572318]",100.0,"[-0.14037394275438986,0.008361850423004486]",4.0,"[0.1093610941276709,-0.14311078808362587]",100.0,"[-0.03258914161192706,0.07718930468331875]",4.0,"[0.17303263107695108,0.024357017963690126]",100.0,"[0.06419285317723242,-0.12839609909791497]",4.0,"[0.17405013415983905,0.08650237905235732]",4.0,"[0.12130187319461526,-0.07971847335515189]",100.0,"[0.054442598853888635,-0.17893125612881372]",4.0,"[-0.011689204162029412,0.01496943749447501]",100.0,"[0.00913743803447565,0.07740274771759327]",100.0,"[-0.09321398851307196,-0.14428664917542236]",100.0,"[-0.18236248771251998,0.08211654962827102]",100.0,"[-0.10071017013831056,-0.030949157635332406]",100.0,"[0.13975982357369734,-0.01860459306144658]",100.0,"[0.08764490731089025,0.08523382643534012]",100.0,"[-0.1861727671542867,-0.04612760637356426]",100.0,"[-0.09980326097563302,-0.07606139716318516]",4.0,"[-0.05870604636679302,0.044345339560947945]",4.0,"[-0.02118746838997375,0.12245580042286182]",100.0,"[0.03728276633285398,0.16622556108351588]",100.0,"[-0.06634262250605216,0.11172846283684423]",100.0,"[0.02,0.02]",104.8506,0.0,0.0,0.0,55.0,1.0,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,104.8512,105.35,,,105.5993,106.116,left,,,,,,,,0.6,0.5034,,,,,,,105.3501,105.5992,106.1162,"[-0.09218211574530194,0.05645173545372934]",100.0,"[-0.1235936867980362,0.09557933799012591]",100.0,"[0.17334692970543653,-0.010453104032521327]",100.0,"[0.10003210791772568,-0.10912232018011478]",4.0,"[0.051215554575457366,-0.15902754336643934]",4.0,"[-0.03017890188125168,-0.1798369364217003]",100.0,"[-0.11615838125249729,-0.09673346086103186]",4.0,"[-0.044936580678837136,-0.012404437086147073]",4.0,"[0.04961540375580922,-0.1037156127166338]",100.0,"[0.09491124399377544,-0.06543315117677946]",4.0,"[-0.07396046697112456,-0.04923297788669461]",100.0,"[0.022077320895272323,-0.029924494118827274]",100.0,"[0.12631340039585295,0.13077047471496742]",100.0,"[-0.0009787295786799419,0.19847463630451237]",4.0,"[-0.07795696666029572,-0.15090943595482667]",4.0,"[-0.16006776820898608,-0.014179802260924664]",4.0,"[0.00826792355330221,-0.06978159035190368]",100.0,"[0.07871399562544479,0.033592969138272304]",100.0,"[0.07962361254509208,0.13569769226868675]",4.0,"[-0.12031592775550387,-0.02763223014829675]",100.0,"[-0.02684636937140307,-0.13059554790353894]",4.0,"[-0.19980547027685214,-0.0076790688955038705]",100.0,"[0.13658952242514044,-0.04061244818399203]",100.0,"[-0.18004678328138707,0.07941568049896497]",100.0,"[-0.15534163178356225,-0.06466391865215616]",4.0,"[-0.006622900741264895,0.03628271265955016]",100.0,"[0.1740939689623939,0.03820287736741828]",100.0,"[0.03495347359099984,0.09752165612299013]",100.0,"[-0.024218023390695596,0.0841722959100212]",100.0,"[0.1296885672229134,0.05560475195946811]",4.0,"[0.0753040812875114,0.07459324739315702]",100.0,"[-0.08509122815281356,0.16182315438123973]",4.0,"[0.02,0.02]",107.2149,0.0,1.0,1.0,35.0,1.0,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,107.2153,107.716,,,107.9665,108.198,right,,,,,,,,0.45,0.2119,,,,,,,107.7161,107.9665,108.1981,"[-0.14632930019892373,0.02821376685701845]",100.0,"[-0.005754349207301878,-0.11590586236015185]",4.0,"[-0.05051821023656382,-0.12219399091433893]",100.0,"[0.10456785205064634,-0.06777316909776054]",4.0,"[0.07800337403467268,-0.17510797324642519]",100.0,"[-0.1671590699693991,-0.006516672641425089]",100.0,"[0.08971799900711487,0.14001282246913746]",4.0,"[0.03554383750115329,0.07192408203942971]",100.0,"[0.16006253671433723,-0.10221277087485334]",4.0,"[0.0757835029615924,-0.022172848338630625]",100.0,"[0.19277864530745312,-0.04098161054586072]",4.0,"[0.15299094687031023,-0.019228912892986463]",100.0,"[-0.14281806583044576,-0.11902660140515792]",100.0,"[0.02439978705772474,-0.006307115473829959]",100.0,"[0.07903331750267474,0.037900753003649874]",4.0,"[-0.15929043904077061,-0.07593945312692711]",4.0,"[-0.1185797152061911,0.07476683018769725]",100.0,"[-0.016848302977295743,-0.17580937524602133]",4.0,"[-0.03786810754819067,-0.044677758454923125]",4.0,"[0.1318891544348197,0.0942722354425617]",4.0,"[-0.06122929473819488,0.18514292387295167]",4.0,"[0.16802670496474367,0.07469118844290518]",100.0,"[0.04492383436147981,-0.12335600387285277]",4.0,"[-0.000464720652841951,0.03948768596313496]",4.0,"[-0.16164165695267158,0.09851251182072703]",4.0,"[0.02314295565558246,0.1834945557582074]",4.0,"[-0.04234785061808523,0.11486717268937746]",100.0,"[-0.12862811269704727,-0.024366683157305835]",4.0,"[-0.0029812262264941407,0.13223657393488453]",4.0,"[-0.08584484350099299,-0.1474320188405981]",100.0,"[0.02507197118355592,-0.18952543874304684]",100.0,"[-0.03826892232454769,0.0015451652172066871]",4.0,"[0.02,0.02]",109.2969,0.0,2.0,2.0,139.0,1.0,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,109.2972,109.7979,,,110.0493,110.172,left,,,,,,,,0.55,0.1025,,,,,,,109.7979,110.0489,110.1722,"[0.03770818536778414,-0.10777030214062375]",100.0,"[-0.1560356708114477,-0.0011833418131075918]",4.0,"[-0.022735085823433157,0.1885386440855053]",4.0,"[-0.0978468670354643,0.151071932521118]",4.0,"[0.0810893893277085,-0.13008170004342046]",100.0,"[-0.09994190038140682,-0.16190139586112795]",100.0,"[0.13580260639381891,0.07547028128397336]",100.0,"[0.1423022705741478,-0.12436632711786612]",4.0,"[-0.017770564991705127,-0.10182247448271968]",4.0,"[-0.09423927800475157,-0.01486732086512817]",100.0,"[0.0015867098684878454,0.11627204457704622]",100.0,"[0.09093265028020496,0.12440925750077332]",100.0,"[0.03406403189058133,0.16367474823888936]",100.0,"[-0.05276208347761667,-0.021259136666750274]",100.0,"[0.15407802171901228,-0.07289653031694533]",4.0,"[-0.060172220516107634,0.12356439493410416]",4.0,"[0.12237186482511132,0.009660257647118321]",100.0,"[-0.15834680007527838,-0.10315271665048975]",4.0,"[-0.00628813447377881,-0.18231343523231808]",100.0,"[0.06302450724125176,0.051075384260661875]",100.0,"[-0.11560465481486357,0.1042663623502477]",100.0,"[-0.11381389727471806,-0.05404768915119967]",100.0,"[0.03513258792792068,-0.05113816542241884]",4.0,"[-0.046930814094290646,0.03606140233510058]",100.0,"[0.056950818517198916,0.011056744163218843]",100.0,"[-0.0342312858950702,-0.05964412272153681]",4.0,"[0.062363455860309905,-0.18656104344407062]",4.0,"[-0.08499620440491563,-0.11294921048079172]",100.0,"[-0.09887509449533628,0.06105012036073225]",4.0,"[0.15737606043947744,0.12007282449558211]",4.0,"[-0.15758253770904218,0.0755479367634878]",100.0,"[0.16855265308893702,0.03982096182234947]",4.0,"[0.02,0.02]",111.2637,0.0,3.0,3.0,88.0,1.0,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,111.2647,111.7629,,,112.0132,112.0981,right,,,,,,,,0.45,0.0628,,,,,,,111.763,112.0131,112.0984,"[0.11011956191760604,-0.13569324192304946]",4.0,"[-0.012894895528939012,-0.06793509974918664]",100.0,"[0.050608860112876124,0.07007729315187175]",100.0,"[-0.018555047858103368,0.19478527695108871]",100.0,"[-0.15807560363693784,0.07134722308884647]",4.0,"[-0.04160455971706804,-0.15944772766606774]",4.0,"[-0.009601454438594939,0.14266601184908786]",100.0,"[0.1562279083639626,0.029393645302762228]",100.0,"[-0.05027389513851078,0.1473875721105905]",100.0,"[-0.09255626667700721,0.11637570832028718]",4.0,"[0.06249463437946132,-0.10241045209431819]",4.0,"[0.034687613094042426,0.17289166279523854]",4.0,"[0.1036704611487503,-0.09108464697469351]",100.0,"[0.04315048186253405,-0.13777244534698013]",4.0,"[-0.1689816703634831,-0.1033851133851076]",4.0,"[0.17513949465298326,0.08387512409370694]",100.0,"[0.021253798100881346,0.0011779798826705653]",4.0,"[-0.006882390969693645,0.046800498987669366]",4.0,"[-0.06141553322636242,0.08572525324171226]",4.0,"[0.063402973144677,0.023425567608775847]",4.0,"[-0.07544886443124738,-0.04826204171665206]",100.0,"[0.19371177174141593,-0.0026454107036352936]",4.0,"[-0.029488548816596426,-0.11257336279137103]",4.0,"[0.007828712826499877,-0.1757645640850758]",100.0,"[-0.014747992108939291,-0.018955968342938587]",100.0,"[-0.06753769372982119,-0.09625121200682434]",100.0,"[-0.19463651750694055,-0.008005045944540847]",4.0,"[-0.08181577111368654,0.044620737565356776]",100.0,"[0.11519521492747792,-0.0014235741005329849]",4.0,"[-0.14722693413410684,-0.036164317227916694]",100.0,"[-0.11052624574738021,-0.11131671367131375]",4.0,"[0.1768071150536475,-0.07343768045288256]",4.0,"[0.02,0.02]",113.195,0.0,4.0,4.0,140.0,1.0,,,,,,,
,,,,,,,683257b42d026cccbb0eb561,684396241a0e8d6ce0b93f25,2025-06-06_21h30.52.930,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,113.1958,113.6971,,,113.9456,114.0292,right,,,,,,,,0.6,0.0672,,,,,,,113.6972,113.9455,114.0292,"[-0.012190958913645165,-0.19781877947773538]",100.0,"[-0.06740410092196551,-0.0006680671391350701]",4.0,"[0.1486235369278222,-0.006246679428707631]",100.0,"[-0.03974830864301247,-0.12837243868443715]",4.0,"[-0.033451635505325115,0.09537830761196674]",100.0,"[0.19611697048912036,0.016387249442817338]",100.0,"[-0.1046709764909416,0.06162268558629596]",100.0,"[0.1030097923252705,0.1343471035876382]",100.0,"[0.007382347625481106,-0.0975941653675084]",100.0,"[-0.12744665381772183,-0.12185575325701879]",100.0,"[0.08221143066369206,-0.1045817050126859]",100.0,"[0.07135178651960741,-0.06057306517768156]",100.0,"[0.14719829547459182,-0.09721674815778601]",4.0,"[0.03716677800084517,-0.025778658249192923]",100.0,"[0.013356204710989006,0.14150039201995152]",100.0,"[0.04452938810180462,0.10265850152516691]",4.0,"[-0.06436654709566604,0.1874184171141241]",4.0,"[-0.11336240539517786,-0.04907810253235153]",4.0,"[0.10297961944314103,0.09090579863221217]",4.0,"[-0.025071477241728042,0.0057810587954904525]",4.0,"[0.07986242286124126,-0.16223677389044336]",100.0,"[-0.17452599262488486,0.07824144683324041]",100.0,"[-0.0625902390952846,-0.06701604285060558]",4.0,"[0.10419936207140908,0.005576752590542443]",100.0,"[0.055230945460803045,0.01757450337521341]",100.0,"[0.16502561175490077,0.07682079879882497]",4.0,"[0.055871463235091394,0.1538079321637666]",100.0,"[0.04477884072162277,0.060579442000381734]",4.0,"[-0.08673090652502972,-0.16852022519350632]",100.0,"[-0.08217614027885271,-0.10294837192128851]",4.0,"[-0.04665837743719979,-0.17564089759594242]",100.0,"[0.04055112335051034,-0.12491841113453588]",4.0,"[0.02,0.02]",115.128,0.0,5.0,5.0,57.0,1.0,,,,,,,
