right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,18.3703,space,3.3505,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,18.3708,52.7855,space,4.3933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,52.786,56.0532,space,0.2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,56.0826,56.5704,56.5718,56.8202,56.8205,58.3073,,58.3076,59.4049,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,59.4056,59.9051,59.9053,60.155,60.1551,60.6883,left,60.6886,61.7881,0.0,1.0,1.0,1.0,1.0,0.8,0.5246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7886,68.0914,space,3.2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,68.1153,68.6078,,,68.8589,69.9421,left,,,,,,,,0.9,1.0708,,,,,,,68.6085,68.8588,69.9427,"[0.10166837567516501,-0.06613993938095362]",100.0,"[-0.04932667029162331,0.03561450586241819]",100.0,"[0.031809863852067154,0.09960880591250265]",100.0,"[-0.0178698502736586,-0.09257353120313594]",4.0,"[-0.067542980838165,0.11364466415878414]",100.0,"[-0.03408960829619657,0.14536760789890862]",100.0,"[-0.06371001446270824,-0.0727236242283087]",100.0,"[0.06917978041711038,-0.13653222545789198]",100.0,"[-0.09178754360955892,-0.03604168821075543]",100.0,"[0.16846435957462094,0.05595855103558978]",100.0,"[-0.17864500072417386,-0.0334561099042517]",100.0,"[0.05467500029699251,-0.05710992140263607]",100.0,"[-0.014897552537464248,0.0027258737154970385]",100.0,"[-0.13555273171592036,0.08238824653486898]",100.0,"[0.02118442549003793,0.15066210772912478]",100.0,"[0.13794012286264093,-0.13573248295809734]",100.0,"[0.06813893329076873,0.016357711965947878]",100.0,"[0.13810898561592472,0.014427893432499611]",100.0,"[-0.11467559261596268,-0.0977282929167009]",100.0,"[-0.1755635679328002,0.02440451580579931]",100.0,"[0.17296170140866746,-0.05294287741061293]",100.0,"[0.10319501379552497,0.06608439449670635]",100.0,"[0.0694521345692422,0.18352337978754857]",100.0,"[-0.10003754999343283,0.051707250743739136]",100.0,"[-0.06644876570784604,0.18110473686249123]",100.0,"[-0.17344566901190317,-0.08910631128834488]",4.0,"[-0.10326818965786065,0.14109539464333798]",100.0,"[0.12551510333874435,0.15246925067295336]",4.0,"[0.14439900890180468,0.1102862710493026]",100.0,"[-0.06603830454448409,-0.11328044050814882]",100.0,"[-0.14543423095911526,-0.055783792988988945]",100.0,"[-0.010364998164352929,-0.16913208294142362]",100.0,"[0.02,0.02]",71.0425,0.0,0.0,0.0,7.0,1.0,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,71.0431,71.5426,,,71.7932,72.1597,right,,,,,,,,0.45,0.3578,,,,,,,71.5426,71.7932,72.1598,"[-0.07300874549053699,0.08352942298903616]",4.0,"[-0.04477035063486658,0.1835891412879028]",4.0,"[0.043053791011917995,0.08117230285034795]",4.0,"[-0.0067609483362396005,0.02919692855718042]",100.0,"[0.10717938775546705,0.02784883194685886]",100.0,"[0.06807800395646967,-0.13123711439294117]",4.0,"[-0.09220372610587296,0.045391285131642777]",100.0,"[-0.01985069109431675,0.13998203461584585]",100.0,"[-0.04408236551964246,-0.09748939233972372]",100.0,"[0.11933039996245214,-0.04657439025210717]",4.0,"[0.1160839791520921,0.08898461778929342]",4.0,"[-0.12046530187259923,-0.0062431739343239735]",4.0,"[-0.15064880776771303,-0.12447936225811808]",4.0,"[0.08576158880236631,-0.007681541738155079]",100.0,"[0.13411354592358224,-0.09438705072563702]",100.0,"[-0.15556885276601573,0.03029750195920746]",4.0,"[-0.07694329369916782,-0.14334600310355758]",100.0,"[0.14574937693764192,0.12995821129570642]",4.0,"[0.030681589805261925,0.17860619797843555]",100.0,"[0.029630095913229373,0.002111954579803481]",4.0,"[-0.11024745686022877,-0.049216661135667104]",4.0,"[0.04586917032989407,-0.03672504907015635]",4.0,"[0.06567778017434497,0.13681676122196204]",4.0,"[0.025401537596557253,-0.12010323140151741]",4.0,"[0.18938279634953104,0.03610401960854524]",100.0,"[-0.009035877004089659,-0.184240543637638]",4.0,"[0.059118790990148495,-0.18618162115885067]",4.0,"[0.16637607648270342,0.07558916574110101]",100.0,"[-0.04784134316247081,-0.051178860576538185]",100.0,"[-0.05417319417470489,0.028970946175079657]",100.0,"[-0.14247477420565938,0.09126752960637517]",100.0,"[-0.030591258183330673,0.06815769202628114]",4.0,"[0.02,0.02]",73.2604,0.0,1.0,1.0,140.0,1.0,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,73.2615,73.7604,,,74.0116,74.3109,left,,,,,,,,0.1,0.2817,,,,,,,73.7604,74.0115,74.3109,"[0.17323225433039405,-0.09756840795748663]",4.0,"[-0.14565398681382752,0.03186550839382204]",4.0,"[-0.0011050276216878123,-0.09083403382446024]",4.0,"[0.08855093696179185,-0.1742922274120712]",4.0,"[0.06882085127835498,-0.06842937265920167]",4.0,"[-0.07281836460104316,0.046580279804983374]",4.0,"[0.10637454502467066,0.1477967099854047]",4.0,"[0.04346498669512908,0.08175504621372395]",4.0,"[-0.06378604750466255,0.12061198453730802]",4.0,"[-0.1567514436391839,-0.0685183447889483]",4.0,"[0.1570568094757484,0.049452788744351266]",4.0,"[-0.07252724637905902,-0.0951777629952527]",4.0,"[0.0013086471856096553,-0.04559045199675506]",4.0,"[0.07062155556336107,0.02733803466931948]",4.0,"[-0.13567405956271839,-0.011605543915542714]",100.0,"[0.045313102216346074,0.17752732095344395]",100.0,"[0.12439849575715495,-0.13263541992250355]",4.0,"[0.1457656977568252,-0.030540571586508233]",4.0,"[-0.19436704815900438,0.006633256391515125]",4.0,"[0.0025936650543506986,0.06302053995218636]",4.0,"[0.18773510122675857,-0.03514812235229462]",4.0,"[0.03761779182209507,-0.17948321011761786]",4.0,"[0.038357447411863664,-0.09902286172908702]",4.0,"[-0.034284587004750525,-0.18241392530925726]",4.0,"[-0.05243354106296145,-0.046953605604355554]",4.0,"[-0.07801665832490605,-0.004085809429843842]",4.0,"[-0.04296998202756604,-0.1241683829171339]",4.0,"[0.08477159101737017,-0.10978525122164787]",4.0,"[0.013099058609408226,0.11891139106447313]",4.0,"[0.102545396255376,0.06341320172038115]",4.0,"[-0.027722491531259028,0.024772512817013773]",4.0,"[0.1582429222670954,0.11288091521129505]",100.0,"[0.02,0.02]",75.411,0.0,2.0,2.0,197.0,1.0,,,,,,,
,,,,,,,683795ff8d15104c4c64949e,6846a8475a52c3792082698b,2025-06-09_05h24.55.342,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,75.4117,75.911,,,76.1618,76.396,right,,,,,,,,0.4,0.2204,,,,,,,75.9111,76.1617,76.3961,"[0.05477755068513236,0.15834182338547448]",4.0,"[0.17506218480420985,-0.035131834813407585]",4.0,"[0.01359967091882344,0.05587811505154853]",4.0,"[-0.1594617675384491,-0.021261699191144717]",4.0,"[0.11436412206762815,-0.025955616365968884]",100.0,"[-0.17319470078997415,-0.06523926815434715]",4.0,"[-0.15383212166318205,0.10231713365774012]",4.0,"[-0.047684609982977036,-0.15921463207800696]",100.0,"[-0.11618654388186599,-0.15215412267203746]",100.0,"[0.11592298616338491,0.1558527127776014]",100.0,"[-0.06680628432512886,0.16380475062632854]",100.0,"[-0.012467492695164938,0.10046967795945487]",4.0,"[0.09743455464883347,-0.08702055172092456]",4.0,"[-0.022362485467672576,0.16918379053972604]",4.0,"[0.17817962816137894,0.05700361759793198]",100.0,"[0.10289878663836417,0.10185507503555608]",4.0,"[0.05355779616795034,0.025570639378960595]",4.0,"[0.012783822265878432,-0.0019080053282264364]",100.0,"[-0.0607574612683898,-0.06303039942927458]",100.0,"[0.06434484430217566,0.09087234493704761]",4.0,"[0.11984552861134368,-0.13745384116520415]",4.0,"[-0.026365635221188975,-0.027784204423657286]",4.0,"[0.040215541288610976,-0.04253949826039955]",100.0,"[-0.12585240732747333,-0.06573468192847105]",4.0,"[-0.017503159047492806,-0.07353008980009759]",100.0,"[-0.1273949584805744,0.14905636942531586]",4.0,"[0.00042531651680238655,-0.1567783155989833]",4.0,"[0.11619672656707296,0.058226691371906905]",4.0,"[0.14540605889829034,0.1097882286443602]",4.0,"[0.007747538696138309,-0.11350598568666509]",100.0,"[-0.1324275318621588,0.05926667943801991]",100.0,"[-0.08216248742760436,0.06905334870339525]",100.0,"[0.02,0.02]",77.4955,0.0,3.0,3.0,178.0,1.0,,,,,,,
