right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,165.1155,space,150.0941,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,165.1157,224.9867,space,29.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,224.9869,230.7813,space,2.7697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,230.8033,231.2972,231.2976,231.5475,231.5478,233.0456,,233.0459,234.1446,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,234.1452,234.6442,234.6442,234.8941,234.8941,236.3922,,236.3923,237.4912,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,237.4917,285.5656,space,45.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,285.6159,286.0799,,,286.32,286.3679,left,,,,,,,,0.9,,,,,,286.0818,286.3197,0.0317,,286.3692,"[0.023744570115201858,-0.05073137489318082]",100.0,"[0.12727891920389064,0.06614151640443912]",100.0,"[-0.047959661135050353,0.09778140966371446]",100.0,"[-0.14276309274076415,0.041116588743768105]",4.0,"[0.03335940664492915,0.1065339982399247]",4.0,"[0.06464862170042246,0.005053534710780656]",100.0,"[-0.13161136762882716,0.11732617346709494]",100.0,"[-0.02877464808647975,0.18639100757317903]",100.0,"[-0.09914385777555912,-0.16307526094528044]",100.0,"[0.06962491324515116,-0.16748586624142617]",100.0,"[-0.04737043754176316,-0.1382951350651147]",100.0,"[0.1319560380803524,-0.11980867461462415]",100.0,"[-0.09776122423543565,0.04030877387779345]",100.0,"[-0.04628884519120495,-0.01662806233956973]",100.0,"[-0.021888327658988214,-0.18520326418502836]",100.0,"[0.09873110311946308,0.17111841327490632]",100.0,"[0.009779276901933268,-0.10214434363545044]",100.0,"[-0.004581387997156388,0.11945718946882312]",100.0,"[0.18275463031240494,0.05135969399090893]",4.0,"[0.032978008426170935,-0.14987473601746482]",100.0,"[-0.069552517596755,-0.0759791915931827]",100.0,"[-0.09162298593307408,0.09909182176039442]",100.0,"[0.02202737772140059,-0.0015097363382371894]",100.0,"[0.13610632524101562,0.13410561896265652]",100.0,"[-0.18910051795281074,0.010727529990592405]",100.0,"[-0.1748886900199996,-0.08631391965218385]",100.0,"[0.1158610414004724,-0.012801573149833819]",100.0,"[0.06740119498487546,0.13470284561938858]",100.0,"[0.0016142051094486705,0.053747898640650736]",100.0,"[0.08674250918911508,-0.12197806226450376]",100.0,"[-0.16590886884341946,-0.04169259615043057]",100.0,"[-0.1435815089256506,-0.12429009766791217]",100.0,"[0.02,0.02]",287.4623,0.0,0.0,0.0,26.0,1.0,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,287.4643,287.9617,,,288.2138,288.3117,right,,,,,,,,0.6,,,,,,287.962,288.2137,0.0825,,288.3119,"[-0.016586610439224412,-0.18083569381415124]",100.0,"[0.15762468463349907,0.08632967129324069]",4.0,"[-0.16541632759261632,0.09361448534427154]",4.0,"[0.051833565594085806,0.14573924041044709]",4.0,"[0.1196661588833377,-0.10105168294364075]",100.0,"[0.16991424128962546,-0.07021625950542792]",100.0,"[-0.11909324047668178,-0.05460258047079198]",4.0,"[-0.07273376292244539,-0.10064620116967268]",100.0,"[0.07285271362113542,-0.15582293780480083]",4.0,"[-0.003563896749543139,-0.07968512432583293]",100.0,"[0.0030028771576369254,-0.0025178739963262003]",100.0,"[0.05443651825812415,0.03871782322854218]",100.0,"[-0.07360883052836902,-0.16568502206666058]",4.0,"[0.016385601254166948,-0.1183288145197965]",100.0,"[-0.0777111130353097,0.12659967772713093]",100.0,"[-0.031674243883863085,0.09906212705644893]",4.0,"[0.09110535754357932,0.10916350104607792]",4.0,"[-0.17996425642833386,-0.0015521340907193265]",100.0,"[-0.08683368409844289,0.06346032737654642]",4.0,"[0.1888722251214044,0.05738207475392192]",4.0,"[-0.06348108305524724,0.1759897184092636]",100.0,"[0.10417428487556699,0.0031979952687649946]",4.0,"[-0.1933182221186957,-0.04852964951208197]",100.0,"[0.10258006234811057,0.04930790440934926]",100.0,"[0.14268171393922774,0.1294524703615928]",100.0,"[0.08737074260048158,-0.07612674087947989]",4.0,"[0.03064879552210748,0.08692251385386596]",100.0,"[-0.11327400727830657,-0.12689473614256472]",100.0,"[-0.1676987025580453,0.04616465138848356]",100.0,"[0.19766665467465425,0.008363077217098433]",100.0,"[-0.07188625052808154,0.013551014944672509]",4.0,"[-0.0383849521799742,0.1404637465630033]",100.0,"[0.02,0.02]",289.4099,0.0,1.0,1.0,38.0,1.0,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,289.4115,289.9097,,,290.1611,290.4105,left,,,,,,,,0.55,,,,,,289.9098,290.161,0.2353,,290.4108,"[-0.11357858296045739,0.10812295808705005]",100.0,"[0.1840509819700433,0.055144667810151475]",4.0,"[0.1533039814221909,0.12574472329481498]",100.0,"[-0.01648409279633645,0.0628680665041694]",4.0,"[-0.059048047220026524,0.04240515893900579]",100.0,"[0.022853819729402734,0.04228248648484228]",100.0,"[-0.06373943799147412,0.11084841254370405]",100.0,"[0.036244481368453874,-0.0213163970399352]",100.0,"[-0.1246735894979719,-0.1090488754116057]",4.0,"[-0.1267093469204654,0.005135809571214371]",4.0,"[-0.17505764094802573,0.012028638944592373]",4.0,"[0.16040933569180132,-0.05876686256995416]",100.0,"[0.017872400032772462,0.16191337185440854]",100.0,"[-0.12016602756919553,-0.03549525003533968]",4.0,"[-0.040064801509254754,0.14370157901396094]",100.0,"[0.12844199866669662,0.05897690879493147]",4.0,"[-0.08659226458820153,-0.15518737902969207]",100.0,"[-0.08119490931937104,-0.055038075959136144]",100.0,"[0.062395806723459034,0.14517442454131355]",4.0,"[0.114792595400994,-0.03802618219060449]",100.0,"[0.08307695783649896,-0.08159126461938156]",100.0,"[-0.0047844547438219654,-0.18529995886687062]",100.0,"[-0.01925688887426566,-0.0667212599113594]",4.0,"[0.0702397659442512,0.011803760575554486]",4.0,"[-0.11421282291704034,0.06358368434700387]",100.0,"[0.1268894783663337,-0.12721980310994882]",100.0,"[-0.1872047707844976,0.05961144214300811]",4.0,"[-0.16478823111622473,-0.05858891728343248]",100.0,"[-0.1533692364142367,0.08646320447091814]",4.0,"[0.07814124020993872,-0.14865223479773274]",4.0,"[0.013834842862179815,-0.12543881870187093]",4.0,"[0.11427620104402976,0.1498523895488624]",100.0,"[0.02,0.02]",291.509,0.0,2.0,2.0,88.0,1.0,,,,,,,
,,,,,,,683b46a5c71571449dd863cb,6846a84e5bfc320ef02303a3,2025-06-09_05h28.10.435,shape_ratio,2024.1.5,Win32,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,291.5108,292.0089,,,292.2596,293.7572,,,,,,,,,0.1,,,,,,292.009,292.2594,,,293.7573,"[0.07818046017377783,-0.15356388701769752]",4.0,"[0.07397551086163769,0.1363692955620196]",4.0,"[-0.02137575817587352,0.1075582914687028]",4.0,"[-0.09390952628809754,-0.09623517568293012]",4.0,"[-0.1470878899071811,-0.09446562005813616]",4.0,"[-0.14129073118903882,0.09041119163396669]",4.0,"[0.057860332078697715,0.03671208966454406]",4.0,"[-0.17751178375800536,0.053104396017669885]",4.0,"[0.030677382629737935,-0.0828934776641871]",4.0,"[-0.04157701447781461,-0.0507683600319371]",4.0,"[-0.08198287120837196,-0.14839046467492525]",4.0,"[-0.09093613339581924,0.17758541667024347]",4.0,"[0.16486704200735353,0.04329300889197003]",4.0,"[0.11739502982820212,-0.1381889396222444]",4.0,"[-0.05258100408421877,-0.19084255933491595]",4.0,"[-0.1400256871424576,0.031828401485101146]",100.0,"[0.1431579609924994,0.09358897838670574]",4.0,"[0.09454940022483325,0.009264194847093399]",4.0,"[-0.18057722874832136,-0.0020141989547454195]",4.0,"[0.15101181310528386,-0.08064241754975451]",4.0,"[0.037840831649972505,-0.12958766772081207]",100.0,"[-0.08917353805509061,0.11430570734785289]",4.0,"[0.10062030964937084,0.09630372729736139]",4.0,"[0.032716132254275235,0.0863570839824011]",4.0,"[0.08525056933635089,-0.10873125899018136]",4.0,"[0.17328672994716424,-0.002052229160042049]",4.0,"[-0.019640663296973653,-0.09980685335500353]",4.0,"[-0.160858963204044,-0.03910298942851724]",4.0,"[-0.0004648556993166838,0.19042609652812753]",4.0,"[-0.1195051136613722,-0.030476964348912346]",4.0,"[0.1235869048175256,0.04160791384944281]",4.0,"[0.01471779329599168,-0.035998749032304184]",100.0,"[0.02,0.02]",294.8563,0.0,3.0,3.0,201.0,1.0,,,,,,,
